mu1,mu2,sigma1,sigma2,pi1,pi2
0.019688226,0.00058606267,0.6033673,0.6323761,0.503113,0.49688703
0.019907653,0.0008472428,0.60300016,0.6324795,0.5033033,0.49669674
0.019564658,0.00038020872,0.6036179,0.6323523,0.5029973,0.49700272
0.019743077,0.00061891973,0.6032959,0.6324223,0.50315833,0.49684167
0.019736983,0.00057868846,0.60333025,0.63243896,0.50314856,0.4968515
0.020145394,0.0011226311,0.60260814,0.6325961,0.5035084,0.49649158
0.020819753,0.0020178072,0.6014254,0.63285524,0.50409824,0.4959018
0.020659558,0.0018306877,0.60170597,0.63277197,0.50394946,0.49605057
0.01895728,-0.00029883906,0.6046568,0.63231814,0.50252426,0.49747577
0.019741781,0.0007401686,0.60325843,0.63253105,0.50319403,0.496806
0.019804157,0.000749927,0.60320646,0.63252443,0.5032137,0.4967863
0.020102553,0.0011308752,0.6026842,0.6325989,0.5034625,0.49653754
0.020843118,0.002129307,0.6013643,0.6328418,0.50410765,0.49589238
0.020563036,0.0017501283,0.6018666,0.6327137,0.50385296,0.49614707
0.02064915,0.0018931534,0.60167956,0.63272494,0.5039429,0.49605715
0.02092398,0.0022615865,0.60118556,0.63282585,0.50419074,0.4958093
0.020788066,0.0020755772,0.6014344,0.6327745,0.5040667,0.49593332
0.020097546,0.0011643786,0.6026425,0.63251376,0.5034686,0.49653146
0.019497499,0.00040693022,0.6036585,0.6322709,0.5029603,0.4970397
0.019703984,0.00066384114,0.6033027,0.6323468,0.5031314,0.49686858
0.020212613,0.0013017524,0.6024296,0.6325669,0.50357604,0.496424
0.020791717,0.0020497628,0.60142934,0.6328017,0.5040796,0.4959204
0.020308428,0.0013846029,0.6023106,0.632624,0.50364286,0.4963572
0.019652888,0.00052991696,0.60344565,0.6323733,0.50308067,0.49691936
0.019349545,0.00013268925,0.6039728,0.63224554,0.5028113,0.49718872
0.019763857,0.00065070204,0.6032541,0.6324286,0.50317854,0.4968215
0.020870164,0.0021046065,0.6013162,0.63286513,0.5041492,0.49585077
0.020154402,0.0011361595,0.602603,0.63260823,0.50351834,0.4964817
0.020195916,0.0012732986,0.6024758,0.6325598,0.50355244,0.49644753
0.020053186,0.0010773353,0.6027319,0.6325085,0.50342625,0.49657378
0.020479664,0.0016396567,0.6019781,0.6326776,0.50380415,0.49619582
0.020519584,0.0016722176,0.6019284,0.6327031,0.50383276,0.49616724
0.02052039,0.0017006751,0.60191095,0.6326858,0.50383455,0.49616548
0.020655721,0.0019147899,0.6016499,0.6327169,0.50395674,0.4960433
0.020785205,0.0021084398,0.6014093,0.632753,0.5040714,0.49592862
0.02033557,0.0015064776,0.602209,0.63258046,0.5036725,0.4963275
0.02035831,0.0015227292,0.6021699,0.63260084,0.5036967,0.4963033
0.019614205,0.00049534626,0.6034875,0.63237447,0.5030728,0.49692717
0.01989936,0.0008991379,0.60296994,0.63244665,0.5033093,0.4966907
