mu1,mu2,sigma1,sigma2,pi1,pi2
0.022594742,-8.4314495e-05,0.49899635,0.56200624,0.509854,0.49014598
0.022499226,-0.00022231787,0.4991969,0.5620658,0.50979114,0.4902089
0.021957546,-0.0009335503,0.5002321,0.56228596,0.5094463,0.49055374
0.022347912,-0.00046974793,0.49953085,0.5622144,0.5097077,0.49029228
0.02240324,-0.00043017045,0.49946937,0.5622252,0.5097365,0.49026355
0.022011936,-0.0009077899,0.5001895,0.5623312,0.5094756,0.49052447
0.021299616,-0.0017518885,0.50146925,0.5624969,0.5090048,0.4909953
0.020996936,-0.0019994117,0.5019506,0.5624257,0.50875497,0.491245
0.020090826,-0.0031900406,0.5036882,0.5628035,0.50818217,0.49181783
0.020731494,-0.0023458414,0.50245076,0.5625607,0.5085964,0.49140355
0.020893432,-0.0022383928,0.5022628,0.5626352,0.5086993,0.4913007
0.021997087,-0.0009883456,0.5002641,0.56246567,0.50949347,0.49050653
0.023207627,0.0003690347,0.49811566,0.56227833,0.510345,0.48965505
0.022654414,-0.00036139414,0.4992228,0.5624767,0.50995076,0.4900492
0.022170447,-0.00079613924,0.4999887,0.56239504,0.5095838,0.4904162
0.023183241,0.00047901645,0.49803248,0.5620716,0.5102978,0.48970222
0.024092302,0.0015194528,0.4964041,0.56189924,0.51093304,0.48906696
0.024067014,0.0015044138,0.49645853,0.5618621,0.51089156,0.48910844
0.024416491,0.0020211972,0.49570638,0.56163603,0.5111293,0.48887068
0.024164587,0.0017273538,0.4961667,0.5616787,0.51094824,0.48905173
0.02432862,0.0019900836,0.49579522,0.56155056,0.511057,0.488943
0.023053102,0.000304427,0.49821877,0.56207436,0.5102563,0.4897437
0.02215065,-0.0006579496,0.49978274,0.56215525,0.5096073,0.4903927
0.020648226,-0.0024220534,0.5025377,0.5625174,0.508571,0.491429
0.01948648,-0.0038055256,0.5046243,0.5628036,0.5078133,0.49218675
0.020614237,-0.0024021566,0.5025341,0.5624829,0.50854427,0.49145576
0.020764574,-0.0023812838,0.50248474,0.5626586,0.50861424,0.4913858
0.021638036,-0.0014228895,0.50093746,0.5625653,0.5092431,0.49075696
0.021983892,-0.0011010394,0.5004053,0.56259215,0.5094799,0.49052012
0.02230785,-0.00071758777,0.49981454,0.56250757,0.5096999,0.49030012
0.023071878,0.0001777038,0.49841142,0.5623412,0.5102399,0.4897601
0.0233659,0.0005575195,0.497856,0.56220794,0.5104248,0.48957527
0.022788927,-9.8805875e-05,0.49886534,0.56228656,0.5100335,0.4899665
0.022369102,-0.00043290854,0.49947488,0.5621593,0.5097189,0.49028108
0.021304414,-0.0017067678,0.5013721,0.5624229,0.5090372,0.49096286
0.021571875,-0.0012730025,0.5008056,0.5622299,0.50918007,0.49082
0.022467814,-0.00025790185,0.499227,0.56209564,0.5097936,0.49020642
0.022248827,-0.00062771514,0.49976036,0.5622833,0.509637,0.49036297
0.020427942,-0.0028655007,0.5031978,0.5628775,0.50841063,0.49158934
0.018003419,-0.0056231134,0.50762206,0.56337374,0.50667524,0.49332473
0.019699842,-0.0035327114,0.50438255,0.5628562,0.5078475,0.49215248
0.019810729,-0.0035778023,0.50440085,0.56301695,0.5078987,0.49210137
0.020565256,-0.0026882812,0.5029843,0.5628309,0.5084385,0.49156144
0.020661414,-0.0026363544,0.50285745,0.56286883,0.5085176,0.49148235
0.021729909,-0.00135611,0.50082797,0.5625972,0.5092929,0.49070716
0.022073,-0.0010137707,0.50026107,0.5625864,0.5095362,0.49046382
0.021599784,-0.0015766881,0.5011454,0.562686,0.50919783,0.4908022
0.02204606,-0.0009597689,0.50022817,0.5624684,0.50950474,0.4904953
0.02240152,-0.00048665702,0.4995253,0.5623028,0.50974184,0.49025816
0.02266851,-7.069856e-05,0.49893552,0.5620946,0.50991493,0.49008504
0.022194944,-0.00068149343,0.4998412,0.56227094,0.5096025,0.49039748
0.022482887,-0.00026166067,0.49924147,0.5621041,0.5097878,0.4902122
0.02379752,0.0012352839,0.4968622,0.56189305,0.5107349,0.4892651
0.024192318,0.0016382635,0.49622935,0.561866,0.51099426,0.48900574
0.023884535,0.0012920946,0.49679083,0.5618973,0.51076204,0.489238
0.023631819,0.0010663085,0.49718267,0.56185234,0.51057416,0.4894258
0.023437709,0.0008925535,0.49747312,0.56181943,0.51043874,0.4895613
0.023869678,0.0014247224,0.49664947,0.5617022,0.51074827,0.48925173
0.024586499,0.0022339188,0.49536973,0.56159127,0.51125956,0.48874047
0.023728095,0.0010912269,0.49702522,0.56193876,0.5107046,0.48929545
0.022531785,-0.00025473908,0.49911362,0.5621203,0.5098897,0.4901103
0.023028865,0.0004997887,0.49808067,0.56180704,0.51018476,0.48981524
0.02232454,-0.00048424304,0.49952924,0.5621711,0.5097084,0.4902916
0.022803508,0.00015802681,0.49860293,0.56197584,0.5100137,0.48998636
0.022563308,-0.00020769611,0.49913087,0.56213284,0.5098507,0.49014932
0.022215605,-0.00060094893,0.49975088,0.5621889,0.5096067,0.4903933
0.02208303,-0.00072050095,0.4999703,0.5621736,0.5095004,0.49049965
0.02262079,-0.00013085455,0.49901175,0.5621258,0.5098965,0.49010345
0.023745194,0.001099538,0.49703604,0.5620093,0.510705,0.489295
0.022660822,-0.00034840405,0.49914104,0.56244636,0.5100006,0.4899994
0.022454746,-0.00032557547,0.4993031,0.5621368,0.5097853,0.49021474
0.022429146,-0.00032104924,0.49934354,0.5621041,0.5097428,0.49025723
0.023291491,0.0006864928,0.4977524,0.5619318,0.5103638,0.4896362
0.023064457,0.00034249574,0.49826512,0.56207204,0.51019603,0.48980403
0.022725433,-2.1986663e-05,0.49884224,0.5620965,0.5099609,0.49003914
0.022324339,-0.00046272948,0.49953458,0.5621437,0.5096853,0.49031472
0.022069842,-0.00071528554,0.4999645,0.5621422,0.50949454,0.4905055
0.021904409,-0.0009184815,0.5002851,0.56219834,0.5093748,0.4906252
0.021621272,-0.0013124123,0.50086427,0.56235087,0.5091869,0.49081305
