mu1,mu2,sigma1,sigma2,pi1,pi2
-0.019949298,0.017300822,0.5776603,0.62042207,0.5027754,0.4972246
-0.020153355,0.017448649,0.5775073,0.6203276,0.50272936,0.49727064
-0.019863512,0.017182961,0.5779045,0.6205496,0.50283027,0.49716976
-0.019999977,0.017308787,0.57771516,0.62044394,0.5027823,0.49721774
-0.020041075,0.017304748,0.57779336,0.6204783,0.50279456,0.49720547
-0.020413894,0.017624706,0.57735294,0.6202272,0.5026787,0.49732134
-0.021066006,0.018170625,0.57662725,0.6198098,0.50248474,0.49751526
-0.020977046,0.01809702,0.57672334,0.61986536,0.50251067,0.49748936
-0.019516509,0.016877852,0.5783599,0.62081224,0.50293875,0.49706122
-0.020032745,0.017395727,0.5774866,0.620329,0.5027346,0.4972654
-0.02010132,0.017398812,0.5775856,0.62037086,0.50274885,0.49725115
-0.02036642,0.017619029,0.57729596,0.6202038,0.5026711,0.4973289
-0.021026384,0.018198587,0.5764743,0.6197388,0.50245756,0.4975424
-0.02084824,0.018022053,0.5767608,0.619896,0.502528,0.49747202
-0.020903911,0.018108383,0.5765709,0.61979777,0.5024861,0.49751386
-0.021161336,0.018334411,0.57625073,0.6196165,0.5024029,0.49759716
-0.021092873,0.01825732,0.57639056,0.6196914,0.50243586,0.49756417
-0.020469587,0.017737418,0.57707787,0.6200874,0.50262004,0.49738
-0.019799609,0.017237246,0.5776279,0.6204205,0.50278056,0.4972194
-0.019936051,0.017344385,0.57749885,0.62034434,0.5027445,0.49725547
-0.020375568,0.017693758,0.57706934,0.62009215,0.50262564,0.4973744
-0.02093209,0.018140547,0.576512,0.6197662,0.5024723,0.4975277
-0.020603616,0.017808653,0.57706064,0.6200661,0.5026063,0.4973938
-0.02000137,0.017317608,0.57768893,0.620431,0.502777,0.49722302
-0.019698989,0.017066978,0.5780176,0.6206206,0.5028653,0.49713466
-0.020048466,0.017350145,0.57765865,0.62041163,0.5027674,0.49723265
-0.021051023,0.01819507,0.5765248,0.6197611,0.5024656,0.49753436
-0.020487111,0.017681405,0.57728624,0.6201875,0.50265986,0.49734017
-0.020461205,0.017731987,0.57708204,0.6200901,0.5026215,0.4973785
-0.020338241,0.017619267,0.5772504,0.6201843,0.50266427,0.4973357
-0.02071644,0.017943151,0.5768061,0.6199308,0.5025472,0.49745286
-0.020811122,0.017990924,0.5768023,0.61991984,0.5025391,0.49746093
-0.020804692,0.01800888,0.5767342,0.6198872,0.5025261,0.49747387
-0.020891305,0.018119194,0.5765161,0.6197721,0.5024763,0.49752373
-0.02098814,0.018223211,0.5763345,0.619674,0.5024329,0.49756718
-0.020608615,0.017887056,0.57681596,0.6199458,0.50255746,0.4974425
-0.020636026,0.017901264,0.5768136,0.6199422,0.5025549,0.4974451
-0.019932833,0.017300755,0.57763445,0.6204109,0.50277156,0.49722844
-0.020125639,0.0174893,0.57733226,0.62024474,0.50269693,0.49730307
-0.020102363,0.017438464,0.5774593,0.620309,0.5027238,0.4972762
-0.020887028,0.018101558,0.5765661,0.619797,0.5024865,0.4975135
-0.02103063,0.01818645,0.57652026,0.6197608,0.5024663,0.4975337
-0.020857554,0.018049262,0.5766879,0.61985946,0.5025129,0.49748713
-0.020819213,0.01803463,0.5766743,0.6198564,0.5025132,0.4974869
-0.020656351,0.017895356,0.5768649,0.61996526,0.5025635,0.49743655
-0.020651545,0.017916143,0.57679033,0.6199293,0.5025491,0.49745092
-0.020862188,0.01809863,0.57653624,0.6197847,0.50248253,0.49751753
-0.020970177,0.018213376,0.5763377,0.6196773,0.5024349,0.49756512
-0.021032017,0.018264987,0.5762695,0.619638,0.5024166,0.49758342
-0.021145325,0.018376216,0.5760908,0.61953974,0.5023725,0.49762753
-0.021224167,0.01842355,0.5760633,0.6195187,0.50236094,0.4976391
-0.021139648,0.0183556,0.5761482,0.61956835,0.50238425,0.49761572
-0.021238428,0.018461697,0.57598597,0.6194834,0.50235003,0.49764994
-0.020843368,0.018120319,0.5764365,0.6197378,0.50246423,0.49753574
-0.020704564,0.018027209,0.57651645,0.6197902,0.5024908,0.49750918
-0.020671759,0.017994612,0.5765695,0.6198193,0.5025039,0.49749616
-0.020324629,0.0176728,0.5770562,0.6200906,0.50262696,0.49737304
-0.020211887,0.017571263,0.5772048,0.62017405,0.50266504,0.49733493
-0.020867478,0.01812666,0.5764543,0.6197441,0.5024659,0.49753413
-0.020963643,0.018163316,0.5764886,0.61975175,0.50246525,0.49753475
-0.02056573,0.017816417,0.57697564,0.62002814,0.5025924,0.49740764
-0.020969633,0.018194847,0.5763965,0.61970615,0.5024466,0.49755347
-0.020649377,0.017885111,0.57688683,0.6199767,0.50256836,0.49743167
-0.020419944,0.017718725,0.5770593,0.62008303,0.5026202,0.4973798
-0.020898547,0.018144377,0.5764465,0.6197374,0.50246197,0.49753806
-0.021191027,0.018374942,0.5761673,0.6195727,0.50238407,0.49761596
-0.02128135,0.018468894,0.5760087,0.6194867,0.50234586,0.4976541
-0.020852815,0.018111266,0.5764806,0.6197585,0.5024722,0.49752775
-0.020582315,0.017881483,0.5767923,0.6199368,0.50255483,0.49744517
-0.02048188,0.017797314,0.5769043,0.62000126,0.50258476,0.49741527
-0.020412724,0.017743565,0.5769679,0.620039,0.5026027,0.49739736
-0.020938989,0.018180236,0.57639503,0.61970836,0.5024487,0.49755135
