mu1,mu2,sigma1,sigma2,pi1,pi2
-0.008801341,0.0046411604,0.44953823,0.5295441,0.5323963,0.46760368
-0.008758277,0.00458619,0.44967926,0.52963513,0.5323776,0.4676224
-0.00845027,0.004281834,0.45042807,0.5301242,0.5324449,0.4675551
-0.008788668,0.0045321137,0.44997004,0.5298073,0.53239834,0.46760163
-0.008856632,0.0045556426,0.4499977,0.5298163,0.53239924,0.4676008
-0.008619636,0.0043484643,0.45046127,0.5301249,0.532444,0.467556
-0.008114643,0.003947422,0.451269,0.530673,0.53252393,0.46747604
-0.007843606,0.0037770048,0.45150167,0.5308452,0.53254974,0.46745026
-0.0073240995,0.003263697,0.4527868,0.5316839,0.5326705,0.46732956
-0.0076279193,0.0035883337,0.45192516,0.53112674,0.53259057,0.4674095
-0.007867537,0.0036763698,0.4520003,0.53114486,0.53259164,0.46740836
-0.008564889,0.0042654425,0.45072582,0.5302918,0.5324678,0.46753228
-0.009637617,0.004967779,0.44940987,0.529331,0.53238624,0.46761376
-0.009435803,0.0047240555,0.4501539,0.5298132,0.532442,0.46755803
-0.0090183765,0.0045003146,0.45039776,0.53001744,0.53246075,0.46753925
-0.009698294,0.0050965995,0.44904852,0.52911115,0.53240937,0.46759063
-0.010507032,0.005654007,0.44813943,0.52845645,0.5324177,0.46758235
-0.010371268,0.0056296214,0.44809633,0.5284637,0.5323749,0.46762514
-0.010373272,0.0058215857,0.44750178,0.5281316,0.53234714,0.4676529
-0.010133855,0.005664386,0.44775307,0.5283179,0.5323325,0.46766755
-0.010101467,0.005752802,0.44745058,0.52815676,0.5323077,0.46769235
-0.009204179,0.004955329,0.44900244,0.52918226,0.53234506,0.46765497
-0.008518264,0.004445702,0.44985262,0.5297692,0.5324023,0.46759775
-0.0074900985,0.003584817,0.45167053,0.53098816,0.5325719,0.46742812
-0.00656949,0.00286635,0.45308998,0.5319543,0.5327128,0.46728718
-0.0072501376,0.0034493357,0.4518078,0.53109884,0.53258884,0.46741116
-0.007679254,0.0035544634,0.45217806,0.5312743,0.5326109,0.46738908
-0.008294478,0.004031524,0.4512443,0.53063744,0.5325179,0.46748212
-0.008715451,0.004270032,0.45100024,0.53044116,0.53248787,0.46751216
-0.008999072,0.0044953525,0.45054635,0.5301332,0.5324429,0.4675571
-0.009575479,0.0049618483,0.4495442,0.5294526,0.5323527,0.46764728
