mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0069181435,0.011205047,0.39041162,0.016020913,1.9637171,0.08871757,0.9462485,0.0066220383,0.047129564
-0.0057658665,0.012959689,0.39288193,0.015734373,1.9719458,0.08782944,0.94695985,0.006491281,0.04654885
-0.0048933737,0.012405783,0.39093566,0.01612224,1.9594166,0.088981934,0.9460254,0.0066812146,0.04729345
-0.0062325113,0.0121560395,0.39202356,0.01582227,1.9691026,0.08810435,0.9467225,0.0065339142,0.0467436
-0.0075275414,0.012733489,0.3948934,0.015268404,1.9870886,0.0864377,0.94805515,0.0062660696,0.045678765
-0.006446492,0.014128715,0.39819038,0.014922802,1.9970504,0.08533912,0.9489336,0.006108042,0.04495834
-0.006289672,0.01395002,0.39970917,0.014779182,2.000636,0.084877536,0.9492979,0.0060429755,0.04465913
-0.007320594,0.011055797,0.39333934,0.015604621,1.975165,0.08745115,0.947246,0.006427983,0.04632598
-0.005890142,0.011894733,0.39279312,0.015802065,1.9687802,0.08802645,0.9467941,0.006525904,0.046679974
-0.005779814,0.0119077265,0.3929698,0.015796015,1.9687954,0.08800432,0.9468139,0.00652343,0.04666264
-0.0063130967,0.011146158,0.3909362,0.016032157,1.9623064,0.08873297,0.9462272,0.006632681,0.047140125
-0.00408883,0.012908071,0.39315587,0.01592008,1.9641802,0.08834665,0.9465405,0.0065896916,0.046869874
-0.0057306997,0.011617273,0.39278388,0.015839793,1.9670892,0.088133775,0.94670254,0.0065460755,0.04675142
-0.005696725,0.011645287,0.39233607,0.015897201,1.9655477,0.08830912,0.946562,0.0065730643,0.04686492
-0.0045725815,0.011929303,0.3920279,0.016064217,1.9597371,0.08878806,0.9461793,0.00665757,0.047163196
-0.0049740784,0.011743814,0.39277452,0.015931334,1.9636167,0.08839234,0.94649553,0.006593396,0.046911113
-0.005950939,0.011533827,0.39353412,0.015726652,1.9703598,0.08779156,0.9469776,0.006491846,0.04653056
