mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.29794767,-0.00913237,0.3000234,0.44448557,0.015466656,0.2393538,0.011008471,0.6783701,0.31062138
0.29830065,-0.007936284,0.30030975,0.4444812,0.015492253,0.23948361,0.011043425,0.67818356,0.31077304
0.29767695,-0.007903904,0.30007353,0.44442907,0.015562671,0.23961349,0.011072221,0.67825514,0.31067264
0.2975388,-0.007859364,0.29878506,0.4448396,0.015626151,0.24015726,0.011133973,0.6779708,0.3108952
0.2979144,-0.0066770315,0.29854295,0.44496655,0.015668232,0.24047782,0.011189988,0.6776717,0.31113836
0.29802313,-0.0061362684,0.29862317,0.44484466,0.015685868,0.2405058,0.011207048,0.67762506,0.31116787
0.29759583,-0.0064731985,0.298398,0.44478232,0.015715457,0.24052414,0.011211592,0.67772627,0.3110622
0.29749385,-0.0073466897,0.2987925,0.44458628,0.015658842,0.24016337,0.011154527,0.67798185,0.31086358
0.29804686,-0.007423237,0.29869476,0.44471583,0.015604385,0.24015464,0.011139422,0.677859,0.31100166
0.2991606,-0.0067507476,0.29969826,0.4444728,0.015498905,0.23978104,0.011094517,0.677806,0.3110995
0.2980062,-0.0067656934,0.29962072,0.44436517,0.015612592,0.2399055,0.011131174,0.6780005,0.31086832
0.29836702,-0.0074644983,0.29877624,0.44465196,0.015567426,0.24005479,0.011122987,0.6778486,0.31102845
0.29928532,-0.006697923,0.29985818,0.44439048,0.0154838385,0.23969857,0.011085596,0.6778267,0.31108773
0.2988108,-0.006490901,0.2996492,0.4443803,0.01554925,0.23985653,0.011117941,0.67784154,0.31104055
0.29862133,-0.0066049993,0.2988445,0.44461516,0.015590416,0.2401706,0.011152685,0.6777063,0.31114104
0.2986563,-0.0062618405,0.2989435,0.4445912,0.015603565,0.24020258,0.011163873,0.6776717,0.3111645
0.2991055,-0.0062226653,0.29910156,0.4445273,0.015556102,0.24008252,0.011144335,0.6776408,0.31121486
0.29943112,-0.0062348098,0.29969034,0.44430387,0.015501911,0.23978584,0.01110738,0.6777423,0.31115037
0.29939488,-0.0060611665,0.2991524,0.44447318,0.0155352475,0.24004222,0.011139873,0.67759824,0.31126186
0.29899698,-0.005728349,0.29892346,0.44452316,0.015601839,0.24024779,0.011177894,0.6775622,0.31125996
0.300485,-0.005863607,0.2994947,0.44435024,0.015428373,0.23979719,0.011099636,0.67749304,0.31140736
0.2992902,-0.00543572,0.2997397,0.44417176,0.015559815,0.2399056,0.01114552,0.6776938,0.3111607
0.29869637,-0.006819904,0.29898015,0.44433385,0.015563952,0.23995984,0.011129396,0.67783177,0.31103885
0.2990612,-0.0071121007,0.2995377,0.44426686,0.015491676,0.23967303,0.011082209,0.67791563,0.31100214
0.2989773,-0.0069318563,0.29975453,0.44427285,0.0155029,0.23966736,0.011085662,0.6779286,0.3109857
0.29937926,-0.0069229007,0.2998167,0.44430447,0.015462472,0.23961295,0.011071719,0.6778668,0.31106147
0.29954258,-0.006392285,0.29981402,0.44433874,0.015477863,0.2397195,0.011092535,0.67775446,0.311153
0.29906642,-0.0066558123,0.3001043,0.44414982,0.0154975,0.23956934,0.011080745,0.67795986,0.31095943
0.29872486,-0.007269159,0.29947087,0.44434068,0.015517972,0.23973294,0.011089326,0.67795616,0.31095448
0.29805097,-0.0077360123,0.29995707,0.44417298,0.015538405,0.23952262,0.011067454,0.6782396,0.31069297
0.29745772,-0.00792259,0.29859033,0.4447158,0.015636314,0.24015391,0.01113816,0.6780043,0.3108575
0.29876885,-0.0073349774,0.29954293,0.44455364,0.015508744,0.23978394,0.011086458,0.677903,0.31101054
0.2993978,-0.0063804686,0.29983935,0.4444755,0.015492627,0.23979223,0.0110995155,0.6777351,0.31116542
0.29943806,-0.0059568286,0.2995998,0.44445813,0.015521596,0.23993339,0.011126809,0.6776409,0.31123233
0.2993151,-0.006063774,0.29950485,0.44437626,0.015530055,0.23991747,0.011127448,0.6776873,0.31118527
0.29930666,-0.00586538,0.29878637,0.44458944,0.0155687295,0.24024217,0.011167805,0.677498,0.3113342
0.29986128,-0.0047738254,0.29824224,0.4448019,0.015598837,0.24063647,0.011226734,0.67711884,0.31165445
0.30001763,-0.0042534024,0.29895183,0.44445685,0.015587267,0.24039166,0.011213605,0.6772212,0.3115652
0.2992489,-0.0051398277,0.2986605,0.44438237,0.015620005,0.2403504,0.011204881,0.67744786,0.31134728
0.29919127,-0.006686032,0.2995763,0.4440352,0.015501067,0.23963831,0.011092288,0.6779113,0.3109964
0.29961106,-0.0071399063,0.2996532,0.44416472,0.015432102,0.23952062,0.011057227,0.67788595,0.31105682
0.29936573,-0.0066888183,0.30007973,0.44413152,0.015467263,0.23952171,0.011070231,0.67792314,0.3110066
0.2988375,-0.007294044,0.3000647,0.44411632,0.015483654,0.23946023,0.011058477,0.6780916,0.31084993
0.298347,-0.008146316,0.3001921,0.44409263,0.015477036,0.23930009,0.011028532,0.67831194,0.31065953
0.29821488,-0.008883521,0.30056974,0.4440443,0.015433635,0.23904048,0.0109832855,0.6785036,0.3105131
0.2982386,-0.00882028,0.30035004,0.44425592,0.015443927,0.23919824,0.010997659,0.67839634,0.310606
0.297543,-0.008084819,0.2996488,0.44456038,0.015580703,0.23976105,0.011085968,0.6782041,0.3107099
0.29785487,-0.007771209,0.2992715,0.444713,0.015582707,0.23995127,0.011107802,0.6780154,0.3108768
0.29779103,-0.0074472427,0.29959098,0.4445668,0.015595932,0.23988198,0.011110667,0.6780651,0.3108242
0.2986043,-0.0073909163,0.29935214,0.4446402,0.015528622,0.23988108,0.011097702,0.6778832,0.31101912
0.29808822,-0.006367475,0.29896083,0.4447379,0.015653372,0.24031274,0.011179295,0.6777273,0.31109345
0.29776594,-0.0066567212,0.29858735,0.4447418,0.015680991,0.24039486,0.011189537,0.67776585,0.31104463
0.2979624,-0.006826043,0.298507,0.44475797,0.015654609,0.24036096,0.0111784125,0.6777461,0.31107545
0.29869488,-0.0064171553,0.29880515,0.44470462,0.015596205,0.24024928,0.01116257,0.6776352,0.31120226
0.29880288,-0.006227106,0.2993985,0.44445598,0.0155746285,0.24001242,0.01114146,0.6777475,0.3111111
0.29802907,-0.007036701,0.29929373,0.44437474,0.015605823,0.23993579,0.01112966,0.6779903,0.31088006
0.29821625,-0.007850066,0.29933527,0.44440407,0.015538612,0.2397393,0.011084063,0.6780779,0.31083804
0.29855952,-0.007246569,0.29931065,0.4445527,0.015542293,0.23989174,0.011105742,0.6778903,0.311004
0.2998666,-0.006347105,0.2997068,0.44449884,0.015453804,0.23978244,0.011091521,0.67763656,0.31127197
0.29856935,-0.0058754086,0.2996802,0.44434154,0.015607608,0.23999487,0.011153099,0.6778032,0.31104365
0.29777625,-0.0076936036,0.2992132,0.44432718,0.01559445,0.23983067,0.011108378,0.67812717,0.31076446
0.2977925,-0.008407399,0.29940602,0.44437224,0.015544622,0.23964444,0.011067808,0.67824054,0.31069168
0.29814383,-0.007974595,0.29952857,0.44449887,0.015532311,0.23971102,0.0110752955,0.67810297,0.31082168
0.29818466,-0.007135302,0.29924378,0.44466722,0.015588461,0.24003117,0.011127713,0.67788476,0.31098753
0.29771015,-0.0073161274,0.29956886,0.44446433,0.015611657,0.23988315,0.011118228,0.67808664,0.3107951
0.29773453,-0.008513287,0.29987904,0.44430336,0.015527286,0.23947486,0.0110460585,0.67834854,0.31060538
0.29753116,-0.008849964,0.2999626,0.4443433,0.015524774,0.23942487,0.011034312,0.6784261,0.3105396
0.29748124,-0.008612856,0.29961738,0.4445555,0.0155568225,0.23966311,0.011063899,0.67828757,0.3106486
0.29738653,-0.0073727816,0.29844984,0.44504306,0.015682776,0.24045642,0.011178492,0.6778146,0.31100687
0.2977699,-0.00699158,0.29934445,0.44467646,0.015634073,0.24009371,0.011144296,0.6779351,0.31092063
0.29730168,-0.007970467,0.29956594,0.44443965,0.015613095,0.23978822,0.011099661,0.67824924,0.31065115
0.2971991,-0.0086952895,0.29924598,0.44456476,0.015592442,0.23978537,0.01108261,0.6782887,0.31062868
0.29766718,-0.007888347,0.29892316,0.44482252,0.015606959,0.24009009,0.011123105,0.6779798,0.31089705
0.2977265,-0.0067297816,0.2987676,0.44489685,0.01567528,0.24040204,0.011183807,0.67775834,0.31105787
0.298322,-0.006582767,0.2989522,0.44475546,0.015618183,0.24024563,0.011162185,0.67771786,0.31111997
0.29891703,-0.006163627,0.29897955,0.4447009,0.015583311,0.24022588,0.011161137,0.6775899,0.31124896
0.30029592,-0.00511761,0.29883322,0.44474083,0.015515462,0.24032228,0.0111733265,0.67720294,0.31162375
0.3003305,-0.003923282,0.29909202,0.44451526,0.015571599,0.24040793,0.011215451,0.6771276,0.31165695
0.29920444,-0.004414469,0.2981361,0.44458848,0.015686713,0.24073814,0.0112647675,0.67721456,0.3115207
0.29886875,-0.00545308,0.29808715,0.44452745,0.015659701,0.24054803,0.011226074,0.6774281,0.31134582
0.29956287,-0.006051302,0.29899254,0.44430572,0.015523894,0.23999383,0.011137463,0.6776028,0.31125972
0.29951295,-0.0063865483,0.299893,0.4440554,0.015476518,0.23958391,0.011085182,0.6778563,0.31105855
0.29963088,-0.0067619383,0.29967144,0.44420454,0.01545181,0.23961037,0.0110746715,0.67781806,0.3111073
