mu1,mu2,sigma1,sigma2,pi1,pi2
0.059744257,-0.010424003,0.14078246,0.086476706,0.58907133,0.4109287
0.05997907,-0.011387214,0.1390738,0.08525021,0.5913271,0.4086729
0.0606515,-0.005385801,0.14177057,0.08780567,0.5888151,0.4111849
0.06021898,-0.010257468,0.13960084,0.08572122,0.59067,0.40932998
0.059441406,-0.018433675,0.13574691,0.08217082,0.5943594,0.40564063
0.05945744,-0.020728752,0.1336465,0.08055521,0.59701884,0.40298113
0.059432257,-0.022067234,0.13265006,0.07975792,0.5982093,0.40179068
0.059729416,-0.014644548,0.13796984,0.08407664,0.5919274,0.40807265
0.060168285,-0.010670885,0.13955389,0.085629955,0.59060144,0.4093986
0.060116608,-0.01064907,0.13953796,0.08563254,0.5907068,0.4092932
0.06012704,-0.008976445,0.1409677,0.08677774,0.58901757,0.4109824
0.060742546,-0.0064747185,0.14065395,0.086925894,0.59011084,0.4098892
0.060297478,-0.009626135,0.1397987,0.08593614,0.5905475,0.4094525
0.060383726,-0.00902532,0.14017606,0.08625248,0.5900786,0.4099214
0.060792644,-0.0055317134,0.14151318,0.087601215,0.5890157,0.41098428
0.06061958,-0.0074428767,0.14058398,0.08673463,0.5898829,0.41011706
0.06018575,-0.011283085,0.13904212,0.085215926,0.59117764,0.4088224
0.060509462,-0.0072781295,0.14114676,0.08711997,0.58910716,0.4108928
0.06008186,-0.009130344,0.14112292,0.08685138,0.5887178,0.41128218
0.06086703,-0.0048417896,0.1415856,0.087754436,0.58915573,0.4108443
0.06045072,-0.0054735392,0.14274085,0.08840911,0.5873105,0.41268954
0.06090944,-0.0055597275,0.1409748,0.0872523,0.58980906,0.41019097
0.060471255,-0.007334098,0.141186,0.087140046,0.5890563,0.41094366
0.061113257,-0.0036616176,0.14197966,0.08816075,0.58876663,0.41123337
0.061442483,-0.0019643158,0.14216854,0.08852211,0.588908,0.41109198
0.06080647,-0.005300924,0.14205526,0.087966785,0.58816004,0.41183993
0.061403204,-0.0010118932,0.14336613,0.089426465,0.58735126,0.4126487
0.061288495,-0.00013922155,0.14441189,0.09023979,0.5861276,0.41387245
0.061599363,0.004304424,0.14709172,0.09264137,0.583438,0.416562
0.06142043,0.00203152,0.14569886,0.09139878,0.58486813,0.4151319
0.061012913,0.0019123107,0.1471871,0.09235748,0.58275795,0.41724205
0.060991783,-0.000355348,0.14508581,0.0906615,0.5852176,0.41478243
0.06163462,0.004290715,0.14641656,0.09221821,0.58454716,0.4154528
0.061069924,-0.00042967498,0.14479354,0.090456635,0.58558726,0.4144128
0.060755003,-0.0052924603,0.14195248,0.0879148,0.5884114,0.41158867
0.06103607,-0.0024847835,0.14320332,0.08912483,0.5873276,0.41267243
0.059572864,-0.01225023,0.14055066,0.0860487,0.58874226,0.4112577
0.060304213,-0.009454116,0.13978493,0.085956566,0.59065396,0.40934607
0.060201693,-0.009847805,0.13964468,0.08582108,0.5908281,0.40917185
0.05971517,-0.013824269,0.13842925,0.084491335,0.5915444,0.4084556
0.059784103,-0.011730835,0.13993429,0.08573638,0.58984935,0.41015065
0.06010749,-0.010551736,0.13949248,0.085623614,0.590851,0.40914905
0.059603978,-0.01606004,0.13674836,0.083133265,0.5935642,0.40643582
0.059652228,-0.016157433,0.13665484,0.08305393,0.5936229,0.40637714
0.059572447,-0.017263696,0.13605787,0.08252848,0.5942361,0.4057639
0.059682984,-0.017796323,0.13519934,0.08191579,0.59539455,0.40460545
0.060474712,-0.009028301,0.13972571,0.08596718,0.59076786,0.4092322
0.060215194,-0.011794016,0.13849697,0.08479819,0.5918548,0.40814516
0.060279507,-0.0119698495,0.1380857,0.084512606,0.59242463,0.40757534
0.060397614,-0.009317264,0.13988408,0.08602457,0.5904301,0.40956992
0.06073271,-0.005114123,0.1421876,0.088092014,0.58811784,0.41188222
0.060533334,-0.0063695163,0.14180022,0.08766934,0.5883954,0.41160455
0.06022023,-0.007910535,0.1416177,0.087339655,0.5883054,0.41169462
0.060368497,-0.007009253,0.1416603,0.087499455,0.58851576,0.41148427
0.060053784,-0.008745417,0.14131698,0.08703979,0.5886109,0.41138908
0.059889186,-0.011360094,0.13967404,0.08562798,0.5903772,0.40962285
0.060231734,-0.01063703,0.13890173,0.08523559,0.5917109,0.40828907
0.0601012,-0.011805221,0.1386168,0.08488606,0.5917768,0.4082232
0.060869176,-0.008860514,0.1383868,0.085129835,0.59276503,0.40723497
0.060421962,-0.010747537,0.13876064,0.08510167,0.59166676,0.40833327
0.060344864,-0.011054799,0.13895132,0.08517529,0.5912597,0.40874028
0.060586322,-0.008555159,0.13989596,0.08613315,0.59057003,0.40942997
0.060306687,-0.007865712,0.14147857,0.08724968,0.58846617,0.41153386
0.06020193,-0.008083686,0.14154935,0.08727113,0.58835864,0.41164136
0.060168315,-0.006719038,0.14260651,0.08815386,0.58724993,0.41275004
0.060456116,-0.004752919,0.1430532,0.08872537,0.5871333,0.41286674
0.060619224,-0.0056894273,0.14159398,0.08765081,0.5890092,0.41099074
0.05997603,-0.009902939,0.1407357,0.08650168,0.5891351,0.41086492
0.059366096,-0.01778476,0.13637811,0.08266304,0.5936375,0.4063625
0.059500057,-0.017559752,0.13587087,0.082380004,0.5945151,0.40548488
