mu1,mu2,sigma1,sigma2,pi1,pi2
-0.011678398,0.0030005407,0.03457931,0.013307958,0.44834396,0.551656
-0.012033403,0.002989633,0.034283217,0.013155646,0.44806778,0.5519322
-0.010850966,0.0030897688,0.033782493,0.012925315,0.4475641,0.5524359
-0.01205343,0.003002746,0.03342401,0.012731144,0.44724086,0.5527592
-0.013006389,0.0029564332,0.033443514,0.012726873,0.44727507,0.55272496
-0.012793839,0.002995951,0.03367522,0.012843774,0.44749448,0.5525055
-0.012043893,0.0030563306,0.033772465,0.012902584,0.44757512,0.55242485
-0.011398256,0.0030916166,0.034209367,0.013128138,0.44798437,0.55201566
-0.012729704,0.0029862951,0.034554627,0.013279504,0.44833782,0.55166215
-0.013687789,0.0029416513,0.035264254,0.013617885,0.4490131,0.5509869
-0.011395872,0.0031028818,0.03458235,0.013313267,0.44833508,0.5516649
-0.013060868,0.002958877,0.034794338,0.01339353,0.44857326,0.5514267
-0.013655961,0.0029431414,0.035369392,0.013670816,0.4491119,0.5508881
-0.012790263,0.0030168723,0.03499527,0.013497505,0.4487472,0.55125284
-0.013325036,0.002972586,0.034815226,0.01339977,0.44859192,0.55140805
-0.013284028,0.002979083,0.034887,0.013436052,0.44865802,0.551342
-0.013828218,0.002940638,0.035289023,0.01362793,0.44904375,0.55095625
-0.013707578,0.0029709768,0.03570322,0.013836726,0.44941673,0.5505833
-0.0142175555,0.0029410552,0.035571557,0.013762868,0.4493051,0.55069494
-0.01368171,0.0029727053,0.035314113,0.013642604,0.44906124,0.5509388
-0.015700638,0.0028475951,0.0365025,0.014205991,0.4501761,0.5498239
-0.013087571,0.00304435,0.035791926,0.013890732,0.44948342,0.5505166
-0.012786806,0.003029151,0.035671823,0.013835379,0.44937736,0.55062264
-0.01321131,0.0029986333,0.036023103,0.014004983,0.44970003,0.5503
-0.012923896,0.0030082297,0.035807963,0.0139016155,0.44949946,0.5505006
-0.013652861,0.0029541682,0.03592689,0.013949791,0.4496212,0.55037886
-0.013940513,0.0029331874,0.035783753,0.013873489,0.44949782,0.5505022
-0.012579501,0.003036959,0.03559868,0.013802106,0.44930205,0.550698
-0.012707293,0.0030065607,0.035332028,0.013666806,0.44906434,0.5509357
-0.011115372,0.0031367969,0.03508052,0.013565756,0.44879165,0.5512084
-0.011790216,0.0030464362,0.034337107,0.013185726,0.44811365,0.5518864
-0.013312519,0.0029399227,0.035093065,0.013538445,0.44885182,0.55114824
-0.013953388,0.002914114,0.035234265,0.013598856,0.44899297,0.55100703
-0.0139840245,0.0029222798,0.035165675,0.013564094,0.44893286,0.5510672
-0.013662517,0.00296597,0.035248376,0.013610166,0.44900092,0.55099905
-0.014425576,0.0029249024,0.035196293,0.013572397,0.44896516,0.55103487
-0.015989006,0.002827866,0.035384294,0.013641822,0.44916806,0.5508319
-0.015162885,0.0029234719,0.035884216,0.013904155,0.4496037,0.5503963
-0.013831675,0.0030041765,0.035890155,0.013928111,0.44958994,0.55041003
-0.012833774,0.003056867,0.03655995,0.014281097,0.4501756,0.54982436
-0.013914406,0.0029659104,0.03675624,0.014362793,0.45036867,0.54963136
-0.013187349,0.0030114483,0.036350984,0.014170249,0.44999105,0.55000895
-0.012223542,0.003055377,0.03598108,0.013999617,0.4496442,0.5503558
-0.011351287,0.0030846428,0.03566511,0.013854829,0.44934547,0.5506546
-0.010950983,0.0030954909,0.0354911,0.013773952,0.44917777,0.55082226
-0.0115632415,0.0030520987,0.035043873,0.013540882,0.4487705,0.55122954
-0.01118201,0.0030660462,0.03403978,0.013047664,0.44781706,0.5521829
-0.012136161,0.0029927325,0.03398212,0.013005047,0.4477829,0.55221707
-0.011525452,0.0030413698,0.033935606,0.0129910065,0.447728,0.55227196
-0.013209164,0.0029439759,0.034380246,0.013185938,0.44818076,0.5518192
-0.012590706,0.0030048322,0.033850044,0.012932928,0.44766054,0.5523395
-0.012172997,0.0030374955,0.033887275,0.012957385,0.4476904,0.5523096
-0.0126597285,0.0030043554,0.034223944,0.013116595,0.448022,0.551978
-0.013668597,0.0029387306,0.03475453,0.013364445,0.44854245,0.5514575
-0.01304096,0.003000481,0.03503443,0.013513146,0.44878933,0.55121064
-0.011604011,0.003085954,0.034825962,0.013431296,0.44857225,0.5514277
-0.01213032,0.0030402374,0.035108127,0.013563989,0.44884393,0.5511561
-0.013005316,0.002965374,0.035011478,0.013502445,0.44877216,0.5512278
-0.014913499,0.0028636884,0.03562519,0.013778997,0.44936788,0.5506322
-0.01219672,0.0030612182,0.034802917,0.013410746,0.44855794,0.551442
-0.011122882,0.003109796,0.03477218,0.013411838,0.44851607,0.5514839
-0.011376321,0.0030794572,0.034883607,0.013463635,0.44862196,0.551378
-0.012191355,0.0030261707,0.034805015,0.013412143,0.44855762,0.5514424
-0.012607515,0.0029919576,0.034447588,0.013228299,0.4482303,0.55176973
-0.011166751,0.003087623,0.034297995,0.013175662,0.44806492,0.5519351
-0.010844886,0.0030922722,0.034596186,0.013328689,0.4483453,0.5516547
-0.010637701,0.0031019878,0.034351766,0.013210402,0.44810712,0.5518929
-0.011166513,0.003078742,0.033987,0.01302178,0.4477608,0.55223924
-0.012393653,0.0029851627,0.03332549,0.0126778465,0.44714567,0.55285436
-0.011790454,0.0030337404,0.03378421,0.012912317,0.44758385,0.55241615
-0.0104218125,0.0031239223,0.033877,0.012978241,0.44765148,0.55234855
-0.01079458,0.0030917954,0.033867966,0.012968365,0.44764802,0.552352
-0.012282789,0.0029970836,0.03379049,0.0129082715,0.44759613,0.5524039
-0.012443721,0.0029986333,0.033580706,0.012802491,0.4473953,0.5526047
-0.013023794,0.002962334,0.034121256,0.0130605055,0.4479315,0.55206853
-0.013897359,0.0029137563,0.03455764,0.013263348,0.4483639,0.5516361
-0.016358554,0.0027736258,0.03532428,0.013606392,0.44912344,0.5508766
-0.015713632,0.002879722,0.035489704,0.0136984885,0.44925356,0.55074644
-0.014295876,0.0029801559,0.03519729,0.013574582,0.44896242,0.5510376
-0.013803065,0.0030078124,0.035644013,0.01380528,0.44936484,0.5506352
-0.014275134,0.0029622745,0.036554277,0.014254918,0.45019576,0.5498042
-0.0133295655,0.0030299257,0.036744393,0.014366231,0.4503425,0.54965746
-0.013941944,0.002955718,0.036669414,0.014318558,0.45029363,0.5497064
-0.013193667,0.0030007195,0.036639974,0.014315883,0.4502534,0.5497466
-0.012499273,0.0030311178,0.036425337,0.014218888,0.45005205,0.549948
-0.01430434,0.0029151272,0.036405724,0.014180004,0.4500627,0.54993737
-0.015540183,0.0028354358,0.035652667,0.01378282,0.4494051,0.5505949
-0.014240921,0.002945466,0.035431847,0.013692643,0.44917908,0.5508209
