mu1,mu2,sigma1,sigma2,pi1,pi2
0.014055215,-0.025573816,0.022893079,0.28687733,0.99334776,0.0066522514
0.01579713,-0.0257953,0.023254989,0.28768498,0.99325174,0.006748287
0.015724085,-0.025959197,0.022929715,0.28664988,0.99338305,0.006616925
0.0149599835,-0.025529277,0.023269111,0.2876029,0.9932417,0.006758272
0.014840417,-0.025131453,0.0238476,0.2892215,0.99301636,0.0069836746
0.016344897,-0.025284115,0.024205454,0.28995124,0.9929213,0.007078663
0.016454749,-0.025215913,0.024298657,0.29001236,0.9929015,0.007098485
0.013607703,-0.025042538,0.023351835,0.28773877,0.99319553,0.006804488
0.014515094,-0.025428023,0.023138965,0.2871327,0.9932922,0.006707811
0.014770858,-0.025501858,0.023143172,0.28715563,0.99329376,0.0067061963
0.013977848,-0.025470313,0.022906635,0.2866498,0.9933602,0.0066397595
0.016174577,-0.0259259,0.023066653,0.2867838,0.993356,0.0066440324
0.0147489235,-0.025488917,0.023136392,0.2870471,0.99330235,0.0066976324
0.014530264,-0.025468912,0.023067906,0.28686956,0.99332404,0.006675982
0.015119724,-0.025709148,0.022909727,0.28632215,0.9934006,0.0065994486
0.014922462,-0.025565851,0.023034012,0.28663656,0.99335283,0.0066471673
0.014379881,-0.025313076,0.023205174,0.28717875,0.9932748,0.0067252503
0.014348291,-0.02551334,0.02288105,0.28630856,0.9933948,0.0066051967
0.013381235,-0.025330905,0.022829656,0.2864048,0.99338233,0.0066176774
0.015945934,-0.025961127,0.022881193,0.2862433,0.993424,0.0065759947
0.013611101,-0.025517728,0.02263505,0.28580993,0.9934628,0.006537139
0.01600667,-0.025891785,0.023006022,0.2865238,0.9933827,0.0066173165
0.014176808,-0.025462966,0.022902755,0.28638765,0.9933826,0.0066174073
0.015524797,-0.025826726,0.022850936,0.2860109,0.99343926,0.0065607517
0.016002856,-0.025905829,0.022845304,0.2857374,0.99346673,0.0065332823
0.013385229,-0.02527472,0.022716878,0.28561378,0.99345845,0.006541548
0.014781587,-0.025727462,0.022554658,0.28498617,0.99355257,0.006447464
0.013939671,-0.025631156,0.022341168,0.28445655,0.9936146,0.006385401
0.013452731,-0.025773305,0.021931052,0.2833623,0.993755,0.0062449924
0.013968758,-0.025792938,0.0221332,0.2839445,0.9936872,0.006312839
0.012102835,-0.025554683,0.021842273,0.28348196,0.993743,0.0062570334
0.01404687,-0.025857177,0.02222774,0.2845567,0.99362963,0.0063703973
0.015479229,-0.02627102,0.022145014,0.2840953,0.993697,0.0063029598
