mu1,mu2,sigma1,sigma2,pi1,pi2
-0.03186404,-0.010023072,0.33960286,0.027632583,0.034398705,0.96560127
-0.0320146,-0.010048583,0.3388541,0.027230939,0.033968475,0.96603155
-0.03236609,-0.0092395395,0.33787566,0.02666334,0.033343352,0.9666567
-0.032378487,-0.010715619,0.33650905,0.026224278,0.032905422,0.9670946
-0.032300822,-0.011288241,0.3363758,0.02618853,0.032878082,0.96712196
-0.03222155,-0.010905281,0.33709362,0.026448566,0.03314879,0.96685123
-0.032230787,-0.010350391,0.3375371,0.02659031,0.033289667,0.9667104
-0.03207063,-0.009751514,0.3388385,0.027148599,0.033875152,0.96612483
-0.031767838,-0.010857955,0.3393198,0.027532747,0.03431051,0.96568954
-0.031402014,-0.011040762,0.34093133,0.02831013,0.03514065,0.96485937
-0.031939916,-0.009286061,0.33988568,0.027562894,0.034305423,0.9656946
-0.031616203,-0.011104509,0.3398344,0.02781876,0.03462118,0.9653788
-0.031360738,-0.010917619,0.34124178,0.028438568,0.03527396,0.96472603
-0.031614654,-0.010320857,0.34054124,0.028010301,0.03480509,0.96519494
-0.03161215,-0.011080012,0.33987552,0.027797276,0.034596562,0.9654034
-0.031594686,-0.010891691,0.3401268,0.027875429,0.034674976,0.96532506
-0.03135284,-0.011222318,0.34100506,0.028349219,0.03518652,0.9648135
-0.031205019,-0.010806337,0.34209585,0.028825518,0.035681646,0.96431834
-0.031203022,-0.011394486,0.3415788,0.028647175,0.03550669,0.96449333
-0.031370066,-0.01098226,0.3411342,0.028355058,0.035186797,0.96481323
-0.030652752,-0.012262687,0.3434826,0.02971788,0.036659513,0.96334046
-0.031254046,-0.009995535,0.34258023,0.028911164,0.03575236,0.96424764
-0.031258218,-0.0103711635,0.3422218,0.028849417,0.035698622,0.96430135
-0.031084409,-0.010479018,0.34297374,0.029246438,0.03612081,0.9638792
-0.031217596,-0.010228291,0.34255055,0.028997878,0.035851527,0.9641485
-0.031094512,-0.01082702,0.3426155,0.029120116,0.03599482,0.9640052
-0.03114148,-0.01100187,0.3422313,0.028930932,0.03579791,0.9642021
-0.031365,-0.0098591,0.34216523,0.028744336,0.03557361,0.9644264
-0.031427793,-0.01038827,0.34138542,0.02845971,0.035285592,0.96471435
-0.031730406,-0.008976683,0.34117597,0.02817208,0.03494766,0.96505237
-0.03195005,-0.010250762,0.33897766,0.027309168,0.034058914,0.9659411
-0.031493895,-0.010949597,0.34056708,0.028144661,0.034963503,0.9650365
-0.031398468,-0.011193737,0.3408138,0.02826501,0.03509553,0.9649045
-0.031421892,-0.01122646,0.3406696,0.028180405,0.035006076,0.96499395
-0.031413607,-0.010947183,0.34095687,0.028279567,0.035105422,0.9648946
-0.031346254,-0.011750832,0.3405652,0.028189786,0.035029024,0.964971
-0.03111153,-0.0129271895,0.34065375,0.028351367,0.03522719,0.9647728
-0.031008443,-0.011717215,0.34223437,0.028938292,0.035820805,0.9641792
-0.031093976,-0.01086469,0.34257823,0.029024176,0.035893448,0.96410656
-0.030887952,-0.009873763,0.34447396,0.029897174,0.03679244,0.96320754
-0.030691018,-0.010836765,0.34457326,0.030113582,0.03704385,0.9629562
