mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
8.207187e-05,-0.006670378,-0.14513956,0.4748269,0.4479524,0.7107082,0.2793251,0.5900034,0.13067152
0.0006508231,-0.006663926,-0.14540361,0.4745384,0.44777378,0.71051604,0.2789506,0.5904133,0.1306361
0.0003376864,-0.006901957,-0.14591832,0.47437903,0.44749907,0.7107583,0.27888793,0.59069145,0.13042066
0.00010750629,-0.0070203245,-0.14624752,0.47443664,0.44739237,0.7109607,0.27889538,0.5907637,0.13034087
0.0007283911,-0.0070465356,-0.14666991,0.47417888,0.44717565,0.7108133,0.2784618,0.5912343,0.13030389
0.00028246455,-0.0075807944,-0.14802499,0.4738136,0.44650546,0.71133053,0.2781571,0.59200066,0.12984228
0.00054789707,-0.00765761,-0.14845408,0.47369075,0.44632033,0.7113454,0.27789527,0.59232336,0.12978145
0.0007713437,-0.0075236633,-0.14814563,0.47368443,0.44644213,0.7111601,0.27789456,0.59222883,0.12987657
0.0007999297,-0.0074761733,-0.14797719,0.4736693,0.44649646,0.71109045,0.27792937,0.5921671,0.12990364
0.00082894415,-0.007568173,-0.14824052,0.47355193,0.44635418,0.7111397,0.27781364,0.5923659,0.12982044
0.0010468364,-0.0075666457,-0.14833452,0.473453,0.44629335,0.7110686,0.27767602,0.5925114,0.12981264
0.00082460605,-0.007621333,-0.14836387,0.47347334,0.44627565,0.71116376,0.27776137,0.5924706,0.12976807
0.000923384,-0.0076557845,-0.14853878,0.47342783,0.4462015,0.7111751,0.2776598,0.59259707,0.12974313
0.0009752717,-0.0077103376,-0.14871241,0.47334427,0.44610742,0.7111942,0.27756894,0.59273815,0.12969285
0.00082306005,-0.007718928,-0.14866374,0.4734012,0.4461385,0.7112467,0.27765733,0.59265196,0.12969069
0.00054214895,-0.0077909976,-0.14876683,0.4734854,0.44611907,0.7114024,0.27775893,0.59259367,0.12964742
0.0001550205,-0.007775329,-0.14859776,0.47373307,0.44625974,0.71154475,0.27802035,0.59228915,0.12969051
0.0004053954,-0.0076124743,-0.14830191,0.47383815,0.44642872,0.7113804,0.2780304,0.5921353,0.1298343
0.0003611818,-0.0075647384,-0.14810614,0.47386342,0.4465052,0.7113376,0.27811164,0.59202206,0.12986627
0.001594875,-0.007444352,-0.14822234,0.47356302,0.4464211,0.710884,0.27752256,0.5924823,0.1299952
0.0010792278,-0.0076112,-0.1483308,0.47342178,0.44628224,0.7110669,0.27766374,0.59252745,0.12980875
0.0010549128,-0.0076509193,-0.14849775,0.47341117,0.44621754,0.7111233,0.27762008,0.5926077,0.12977225
0.0009026639,-0.0076898783,-0.14856909,0.47343612,0.44619253,0.7112041,0.27766454,0.5925978,0.1297377
0.0022894964,-0.007645577,-0.1489649,0.473111,0.44601023,0.7107946,0.27693135,0.5932234,0.12984535
0.002194509,-0.0078052506,-0.14928772,0.47269845,0.44570366,0.71090305,0.27671608,0.5936682,0.12961571
0.0017340612,-0.008083083,-0.14982457,0.4726645,0.44547015,0.7111639,0.27679628,0.59379673,0.12940697
0.001209477,-0.008210629,-0.1500699,0.47280848,0.4454101,0.7114591,0.27696347,0.5937244,0.1293121
0.0012457985,-0.00812117,-0.1499467,0.47292423,0.44550788,0.71142423,0.27700835,0.5936059,0.12938575
0.0015574098,-0.008041605,-0.14986534,0.47283104,0.44551808,0.71125895,0.27688497,0.5936869,0.12942816
0.0011454206,-0.0080169365,-0.14957489,0.47295105,0.4456428,0.7113345,0.27716094,0.5934053,0.12943378
0.0009276904,-0.008013822,-0.14952336,0.4730807,0.44570255,0.71142346,0.2772916,0.5932614,0.12944704
0.0006504413,-0.00796514,-0.14930792,0.4732806,0.44584656,0.7114966,0.27751055,0.5929874,0.129502
0.00048997253,-0.007877052,-0.1490316,0.47347516,0.44601792,0.7115071,0.27769974,0.59271055,0.12958969
0.0012260266,-0.007603988,-0.14857842,0.47346172,0.44622487,0.7110932,0.27753648,0.59264725,0.12981628
0.0013505556,-0.0075965077,-0.14850508,0.47327217,0.44617555,0.7109772,0.27746454,0.5927571,0.1297784
0.0013511777,-0.007682532,-0.1487145,0.47313365,0.4460406,0.71101236,0.27737087,0.5929401,0.12968904
0.0013444666,-0.0077755153,-0.1489821,0.4730413,0.44590542,0.71108085,0.27727363,0.5931189,0.12960748
0.0009982921,-0.007855549,-0.14907144,0.47313175,0.44588876,0.71125627,0.2774065,0.5930387,0.12955487
0.0010019988,-0.007798925,-0.14897268,0.47324294,0.44597316,0.7112473,0.27745885,0.59292495,0.12961619
0.00138155,-0.007762186,-0.1490383,0.47311452,0.44592118,0.7111025,0.27725843,0.5931056,0.12963599
0.0010410044,-0.007876858,-0.14916043,0.4730956,0.4458447,0.7112613,0.27735478,0.59311,0.12953524
0.0011865664,-0.007867821,-0.14924426,0.47308025,0.44581947,0.71123224,0.27726796,0.59318507,0.12954703
0.00085441954,-0.007935099,-0.14927606,0.47315347,0.44581625,0.71138006,0.27740848,0.5930918,0.12949976
0.0010686442,-0.007796347,-0.14902209,0.47323984,0.44595948,0.71123844,0.27741665,0.5929619,0.12962142
0.0009950474,-0.0077745244,-0.14889525,0.47326198,0.44600824,0.7112284,0.2774886,0.5928767,0.1296347
0.00093531795,-0.0077614486,-0.14883398,0.4733056,0.44604462,0.71123993,0.2775405,0.59281033,0.12964919
0.0013810117,-0.0076951906,-0.14884005,0.47319254,0.44602513,0.7110573,0.2773353,0.5929655,0.12969917
0.0009107869,-0.007835783,-0.14897446,0.47319964,0.44594637,0.7112727,0.27748588,0.59293526,0.12957886
0.0010136291,-0.007790126,-0.14895643,0.4732586,0.44598663,0.71124226,0.27746278,0.5929096,0.12962766
0.0012032278,-0.007724233,-0.14884855,0.47322315,0.44602275,0.7111287,0.2774101,0.5929184,0.12967153
0.001018187,-0.007796988,-0.14894237,0.47320074,0.44596618,0.71122134,0.27745166,0.5929408,0.1296075
0.0010990072,-0.0077702254,-0.14892687,0.47321504,0.44598398,0.7111901,0.27742693,0.5929399,0.1296332
0.00091818534,-0.007829055,-0.14900674,0.47323346,0.44595084,0.7112865,0.27748024,0.592931,0.1295888
0.0016174186,-0.0077420548,-0.14905475,0.47310698,0.44592893,0.7110324,0.27716136,0.5931567,0.12968197
-0.0017373301,-0.008194581,-0.14837335,0.47413346,0.4463729,0.71230674,0.27895966,0.5915587,0.12948169
