mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.00452343,9.986758e-05,-0.0865393,0.32746094,0.41923752,0.22706628,0.2609208,0.30529657,0.43378267
-0.004738454,0.0006493181,-0.08723855,0.3270438,0.4188862,0.22659002,0.26089013,0.305348,0.43376184
-0.0048342086,0.0016420484,-0.08817214,0.3266273,0.4186394,0.22618678,0.26083392,0.30548447,0.4336816
-0.004687343,0.001593262,-0.08810881,0.3266562,0.41870567,0.2262546,0.26081568,0.30550343,0.4336809
-0.0046733953,0.0015319586,-0.08794385,0.3267978,0.4188239,0.22641121,0.2608333,0.30549306,0.43367362
-0.0047400333,0.0013712645,-0.088122755,0.32651314,0.4185319,0.22606048,0.26080838,0.30546632,0.4337253
-0.004581962,0.0007018149,-0.087203026,0.327102,0.41899583,0.22670242,0.26087272,0.3053823,0.433745
-0.0046611167,0.0009557307,-0.087620795,0.32680517,0.41874996,0.22637144,0.26084152,0.30541283,0.43374565
-0.004701797,0.0005239397,-0.08741376,0.32677642,0.41864842,0.22628964,0.2608509,0.30534464,0.4338045
-0.0046494044,-0.00020682812,-0.086806685,0.3269973,0.41874984,0.22648577,0.2608837,0.30524343,0.4338729
-0.004554663,-0.0006324947,-0.08625105,0.32734087,0.41901594,0.22685778,0.2609213,0.3051899,0.43388882
-0.0046388246,-0.0007825792,-0.086372554,0.32712585,0.41878018,0.2265809,0.26090822,0.30515945,0.43393233
-0.00466666,-0.0012712479,-0.08608362,0.32715115,0.41872135,0.22655804,0.26092362,0.30508393,0.43399242
-0.004404817,-0.0021374822,-0.084861875,0.32794484,0.4193671,0.22744004,0.26100197,0.30498487,0.43401322
-0.004483763,-0.0014299154,-0.08545822,0.32772318,0.4192531,0.22723372,0.26097366,0.30507788,0.4339485
-0.0044149794,-0.0019767284,-0.08491823,0.32798004,0.41941768,0.22749107,0.26100564,0.3050049,0.43398944
-0.004608009,-0.0020065308,-0.08521178,0.32765707,0.41907054,0.22707431,0.26099333,0.30497494,0.43403175
-0.0045290925,-0.0019874275,-0.085000604,0.32789242,0.41930282,0.22736096,0.261012,0.30498517,0.43400288
-0.0046938993,-0.0013893843,-0.08588359,0.32730025,0.41882408,0.22670688,0.26094958,0.30505776,0.4339927
-0.0046346225,-0.0020256042,-0.08533555,0.3275131,0.41893446,0.22690423,0.26097864,0.3049716,0.43404976
-0.004685376,-0.0016941726,-0.08570632,0.32731095,0.41879147,0.22669394,0.26095447,0.30501556,0.43403003
-0.0044030882,-0.0012457371,-0.08540186,0.32788822,0.41944948,0.22745703,0.2609801,0.305114,0.43390593
-0.004276607,-0.0008442104,-0.0854221,0.32809612,0.4197299,0.22776046,0.26098162,0.3051882,0.43383014
-0.0042786635,-0.00065100193,-0.085327,0.3283151,0.41994685,0.22802275,0.2610079,0.30520904,0.43378308
-0.004583452,-9.87947e-06,-0.08636749,0.32758692,0.41931066,0.22718115,0.26094863,0.30526632,0.43378514
-0.0045444705,0.00043214858,-0.08641973,0.32779044,0.41956443,0.22745937,0.26096255,0.30533054,0.43370697
-0.0048013665,0.0013719797,-0.08779815,0.3268703,0.4188211,0.22644345,0.26086542,0.3054448,0.4336898
-0.005031023,0.0020373017,-0.08880371,0.3261915,0.418255,0.22568165,0.2608003,0.30551782,0.43368194
-0.0048761405,0.0027592778,-0.08918753,0.32619244,0.41841245,0.22578877,0.26076484,0.30564913,0.4335861
-0.004851196,0.004028961,-0.090262234,0.3257793,0.41824818,0.22544673,0.2606857,0.30584714,0.4334672
-0.004755322,0.0037699044,-0.09008369,0.325812,0.41827023,0.22548617,0.26067927,0.3058266,0.43349406
-0.004661057,0.0025594532,-0.08897698,0.3262863,0.41853526,0.22593403,0.26074702,0.305657,0.43359593
-0.0046213306,0.0015796274,-0.0881612,0.3265864,0.41866496,0.22619312,0.26079634,0.30551556,0.4336881
-0.00471038,0.0005438626,-0.087519646,0.32667398,0.4185598,0.22617455,0.26083827,0.30534893,0.43381283
-0.004561398,-0.00058072805,-0.08641073,0.3271986,0.41889828,0.22670142,0.26090267,0.3052002,0.43389714
-0.004651729,-0.0013890266,-0.085895896,0.32728395,0.41882393,0.22670017,0.26094082,0.30506596,0.43399322
-0.0045939125,-0.0012993813,-0.08586404,0.32736772,0.41892853,0.22681749,0.2609415,0.30508682,0.4339716
-0.004523579,-0.0017314553,-0.08547589,0.32752737,0.41902652,0.22697666,0.2609586,0.30503333,0.43400803
-0.0043931343,-0.0023058355,-0.08465785,0.32806578,0.4194508,0.22756363,0.26101884,0.30495942,0.43402177
-0.004520688,-0.0019878447,-0.0851261,0.327755,0.41918665,0.22720933,0.2609924,0.30499065,0.4340169
-0.004603211,-0.0023929924,-0.08501497,0.3276407,0.4190013,0.22702272,0.26099652,0.30492118,0.43408233
-0.0043361224,-0.0028106868,-0.08398667,0.32849184,0.41976362,0.22801125,0.2610744,0.30488542,0.43404025
-0.00441942,-0.0015107393,-0.08504447,0.32812062,0.41960615,0.22768924,0.26101762,0.30506644,0.43391594
-0.0044761337,-0.00095018744,-0.08551973,0.32794145,0.41951472,0.22752325,0.26099384,0.30514133,0.43386486
-0.0046827532,-0.00010688603,-0.08655444,0.32733327,0.4190443,0.22686152,0.2609319,0.3052418,0.43382633
-0.00479785,0.00016102195,-0.08709192,0.32691714,0.4186855,0.22638866,0.2608903,0.30527124,0.4338385
