mu1,mu2,sigma1,sigma2,pi1,pi2
0.14620897,-0.008485876,0.62450117,0.03057047,0.3961902,0.60380983
0.14304647,-0.008789733,0.6280485,0.031774007,0.39549637,0.6045037
0.142912,-0.010028824,0.62710285,0.031980406,0.3955857,0.60441434
0.14141181,-0.012170784,0.6261314,0.032896295,0.39589962,0.6041004
0.14044836,-0.010623381,0.62968206,0.03310812,0.39535266,0.60464734
0.15092054,-0.0029624999,0.62890714,0.028217819,0.39527676,0.6047232
0.15555891,0.002476357,0.63105553,0.026061239,0.39491355,0.60508645
0.15332049,0.0011440963,0.631919,0.026952773,0.3946828,0.6053172
0.15078348,-0.0012250766,0.6319352,0.02810833,0.39458355,0.6054164
0.15233684,0.00046577305,0.6325716,0.027363302,0.39443865,0.6055614
0.15195811,0.001139231,0.6339809,0.027399523,0.394188,0.6058121
0.1512211,-0.00042504072,0.6327774,0.027826272,0.39438495,0.6056151
0.15190408,0.0007414669,0.6335509,0.027452784,0.39430997,0.60569
0.1532172,0.0021884888,0.634015,0.02683732,0.39422318,0.6057768
0.15265268,0.0009874105,0.63306206,0.02717155,0.39439535,0.60560465
0.15463701,0.0017196164,0.6315851,0.026426759,0.39471158,0.60528845
0.15528738,0.0007295534,0.62907135,0.026326867,0.39527467,0.6047253
0.15418541,0.0005585849,0.6299245,0.026736934,0.39519668,0.6048034
0.15389699,-0.00016883016,0.6293393,0.026931407,0.39521402,0.604786
0.15185237,0.0020727515,0.63506395,0.02736588,0.39409497,0.605905
0.15192413,0.0003361851,0.6330787,0.027516598,0.39419836,0.60580164
0.1520043,0.0009147078,0.6337494,0.027403548,0.39416412,0.60583586
0.15184388,0.00046554208,0.63311154,0.027479876,0.39435396,0.6056461
0.14967355,0.0029240847,0.639037,0.027911259,0.39334115,0.6066589
0.15021795,0.003576465,0.639913,0.027620405,0.392952,0.607048
0.15237641,0.0040818453,0.63833076,0.026820244,0.39322618,0.60677385
0.15521088,0.005248718,0.6361773,0.025741521,0.39380306,0.60619694
0.15567458,0.0060689524,0.6363582,0.025512692,0.39394525,0.6060548
0.15633488,0.0077950805,0.6380088,0.02513739,0.3936122,0.60638785
0.15509766,0.0047794357,0.63559216,0.025887137,0.39392528,0.6060747
0.15624231,0.00505127,0.6345065,0.025504965,0.39417627,0.60582376
0.15700316,0.0046278685,0.6327209,0.025313182,0.394563,0.605437
0.1578705,0.0046903715,0.63150644,0.02504754,0.39483595,0.60516405
0.15372899,0.0033595785,0.6346341,0.026554126,0.39424384,0.60575616
0.152046,0.0022036135,0.6354948,0.027248448,0.39387104,0.606129
0.1522893,0.002653405,0.63614017,0.02710246,0.39367244,0.60632753
0.15337452,0.003955193,0.63664687,0.02656176,0.39359936,0.60640067
0.1539473,0.0032716468,0.6348693,0.026429174,0.39397994,0.60602003
0.15279356,0.002278395,0.6346583,0.026930854,0.39414445,0.6058555
0.15263727,0.0035676733,0.63665146,0.026841445,0.39379704,0.606203
0.15406287,0.0033936799,0.63494706,0.026396247,0.39401057,0.60598946
0.155004,0.004954718,0.63595015,0.025925793,0.39388356,0.6061165
0.15686241,0.0053017065,0.63410485,0.025286034,0.39419833,0.60580164
0.15509379,0.004489124,0.63496494,0.025955701,0.39410338,0.6058966
0.15438616,0.0033846945,0.6343249,0.02631079,0.39416322,0.6058368
0.15401343,0.0027623028,0.6339476,0.026512066,0.39422774,0.60577226
0.15292612,0.0034845993,0.6362596,0.02678848,0.39381135,0.60618865
0.15454933,0.003114745,0.63395387,0.026281245,0.39413726,0.60586274
0.15444747,0.0036251023,0.63461745,0.026261179,0.39412203,0.60587794
0.1530439,0.0030575916,0.63546425,0.026784157,0.3939654,0.60603464
0.1539652,0.0031246543,0.6346032,0.026472112,0.39406663,0.60593337
0.15348327,0.0030545518,0.63505477,0.026644189,0.39402467,0.6059754
0.1547021,0.0034462512,0.63410896,0.02619378,0.39419132,0.60580873
0.15332052,0.0045944825,0.6373212,0.026519649,0.39363986,0.60636014
0.15824881,-0.00292404,0.6189072,0.025525281,0.39726022,0.60273975
0.15532804,-0.0007006824,0.6240612,0.02633375,0.39708266,0.6029174
0.15290803,-0.002600804,0.6243001,0.027392425,0.3967883,0.60321176
0.15254983,-0.0020988733,0.6263197,0.027540425,0.3960853,0.6039147
0.1508402,-0.0018165186,0.62932426,0.02810914,0.39528856,0.6047115
0.14936462,-0.0030662194,0.629805,0.028756965,0.3950233,0.6049767
0.14878067,-0.0034789965,0.63010144,0.028990138,0.3949678,0.60503227
0.14754438,-0.0042347386,0.63059753,0.02951879,0.3949351,0.60506487
0.14691955,-0.0042029396,0.6316037,0.02975076,0.39477727,0.6052227
0.144366,-0.006236829,0.6322197,0.031005735,0.39465088,0.6053491
0.15313983,0.0025688335,0.6347876,0.02683056,0.3940485,0.6059515
0.15393364,0.0027969703,0.6342092,0.02653553,0.39413226,0.60586774
0.15446243,0.002864711,0.63356066,0.02634996,0.3942942,0.6057058
0.15270397,0.00529249,0.6389283,0.026638018,0.393352,0.60664797
0.1528466,0.0037379414,0.6370865,0.02675006,0.3934569,0.6065431
0.15360954,0.0034536272,0.63574356,0.026523406,0.3937907,0.60620934
0.15420681,0.0040804297,0.6355532,0.026242703,0.39396954,0.60603046
0.15507683,0.0038946494,0.6341051,0.025985923,0.394278,0.605722
0.15535948,0.0035670549,0.6332019,0.025953438,0.39449185,0.6055082
0.15499401,0.0035517067,0.63358957,0.026096163,0.39442205,0.605578
0.15482968,0.0030418038,0.63318014,0.026221447,0.3944288,0.60557127
0.15504047,0.0033986717,0.633476,0.026120767,0.39434123,0.60565877
0.1553157,0.004190691,0.63426954,0.02593885,0.39415693,0.60584307
0.15214872,0.0021970049,0.63541365,0.027211674,0.39389962,0.6061004
0.1523824,0.0015812814,0.63443685,0.027189473,0.3940233,0.6059767
0.15336165,0.0013771206,0.6328332,0.026873505,0.39440164,0.60559833
0.15310878,0.0016500354,0.63326705,0.026929246,0.3944391,0.6055609
0.15366879,0.002103217,0.63324124,0.026698694,0.39442754,0.60557246
0.15421665,0.0025176331,0.6332459,0.026483648,0.39439803,0.60560197
0.1539168,0.002590321,0.63374454,0.026580187,0.39428595,0.6057141
0.15410182,0.0026616007,0.63367504,0.026508505,0.3942612,0.60573876
0.15397,0.0027662367,0.63398135,0.026536912,0.39420077,0.60579926
0.15340257,0.00277213,0.6346859,0.02671792,0.39406127,0.60593873
0.15231356,0.0020436794,0.63507074,0.027161852,0.39396515,0.6060349
0.1527335,0.002013065,0.63459265,0.027017,0.3940468,0.60595316
0.15407696,0.002472803,0.63352275,0.026511654,0.3942948,0.60570526
0.15403387,0.0026560724,0.6336621,0.026510281,0.39434296,0.60565704
0.15417203,0.0026578829,0.6334884,0.026472075,0.39436424,0.60563576
0.1543661,0.0026585534,0.63329554,0.026418297,0.39438042,0.6056196
0.1543878,0.0020714775,0.6324202,0.02648169,0.39453694,0.6054631
0.15420076,0.0021991953,0.6327492,0.026534094,0.39449742,0.60550255
0.15454856,0.0011075214,0.6307291,0.026539266,0.39485747,0.60514253
0.15429124,-0.00025898218,0.6288651,0.026786244,0.3952895,0.6047105
0.15369269,-0.0016701669,0.6273082,0.02715954,0.39566103,0.60433894
0.15295726,-0.0018891543,0.6277857,0.027459633,0.3955917,0.6044083
0.15280297,-0.0016516894,0.6284341,0.027500562,0.39538518,0.60461485
0.15077704,9.474158e-05,0.63351715,0.027989045,0.39434573,0.6056543
0.15000474,0.00072936714,0.6358682,0.028143156,0.39367506,0.606325
0.15053347,1.5608966e-05,0.63455445,0.028005602,0.39384776,0.6061523
0.14976811,0.0020158663,0.6380141,0.027985707,0.39338446,0.6066156
0.14957607,0.002601035,0.6392206,0.027944729,0.39313188,0.6068681
0.15093872,0.0041493773,0.640018,0.027284363,0.39298496,0.607015
