mu1,mu2,sigma1,sigma2,pi1,pi2
0.022525847,0.005753286,0.024756096,0.20792365,0.55585164,0.44414833
0.01915823,0.004900135,0.025726177,0.21061258,0.5556555,0.44434455
0.020789996,0.004917331,0.025435809,0.20999838,0.55571896,0.44428104
0.030413046,0.005690165,0.023080008,0.20395473,0.55616933,0.4438307
0.026279509,0.0058524683,0.023891285,0.2058235,0.5560004,0.44399956
0.025857463,0.005230166,0.02350174,0.20481822,0.55593866,0.44406134
0.022389382,0.0061162487,0.024151621,0.20598231,0.5558431,0.4441569
0.02075684,0.0054178014,0.024351973,0.20662631,0.5557276,0.4442724
0.017045528,0.0052264407,0.024695799,0.20721225,0.555556,0.44444403
0.012882248,0.0052381232,0.025122197,0.20788758,0.5553751,0.44462487
0.009127885,0.0055283383,0.025860896,0.20938489,0.55522966,0.44477037
0.005629897,0.004818447,0.02630855,0.21044269,0.5550322,0.44496787
0.00038914382,0.004689999,0.026961504,0.2115812,0.55479777,0.44520223
-9.967387e-05,0.0056980327,0.027184602,0.21173164,0.55484074,0.44515926
-0.0014884025,0.005225517,0.028002376,0.2139335,0.55475706,0.44524294
0.0021220893,0.0053309277,0.027444903,0.21288772,0.5549282,0.44507182
-0.0017822236,0.00430838,0.02844689,0.21542843,0.55470794,0.4452921
0.00030902028,0.0049461797,0.028191373,0.21478906,0.55484104,0.445159
0.0010393709,0.004114248,0.027788633,0.2141423,0.55481297,0.445187
0.00022375584,0.004469283,0.027541203,0.21322168,0.5547924,0.44520763
-0.0031991154,0.004338093,0.027987704,0.21400388,0.5546263,0.4453737
0.0020946264,0.0061122254,0.027248945,0.21205188,0.55496126,0.4450387
0.010194868,0.00639949,0.026386885,0.21067683,0.5553366,0.4446634
0.015346572,0.0063837245,0.026634166,0.2120747,0.5555885,0.44441155
0.019759044,0.004843481,0.026369026,0.21253484,0.5557062,0.44429383
0.0270942,0.00573013,0.025676502,0.21122496,0.55609167,0.44390833
0.034357503,0.0043508485,0.024278436,0.20864125,0.5563121,0.4436879
0.033189297,0.0040597096,0.02392021,0.20751779,0.55622345,0.4437766
0.03852229,0.005509801,0.022373304,0.20288725,0.5565082,0.44349182
