mu1,mu2,sigma1,sigma2,pi1,pi2
-0.31547225,0.018605538,0.29156846,0.31082463,0.47640464,0.5235954
-0.30953383,0.016530327,0.2944003,0.31382802,0.47619286,0.52380717
-0.3081798,0.016139373,0.29509237,0.31443638,0.4763128,0.5236872
-0.31188214,0.017169654,0.29322585,0.3125889,0.47624937,0.5237506
-0.30360574,0.014702722,0.2973772,0.31666145,0.47643986,0.5235601
-0.280963,0.008804053,0.30942157,0.32749265,0.47833678,0.5216632
-0.26938158,0.0056561455,0.3156797,0.33323026,0.47912127,0.5208788
-0.27039886,0.0057497323,0.31503597,0.3328236,0.47878107,0.5212189
-0.27294302,0.0063319206,0.3135989,0.33161947,0.4784362,0.5215638
-0.26834196,0.0051259026,0.31610942,0.33392507,0.47873628,0.5212638
-0.26515013,0.0042005777,0.3178123,0.33559847,0.47878233,0.5212177
-0.2671597,0.004789263,0.31673542,0.33455393,0.47872543,0.52127457
-0.26472855,0.0041703656,0.3180785,0.335779,0.4788987,0.52110136
-0.2614979,0.00332731,0.31986356,0.33741236,0.47911835,0.5208817
-0.26414347,0.004077539,0.31843022,0.33604205,0.47902426,0.5209757
-0.26537597,0.0045627877,0.31783938,0.33530682,0.47922933,0.5207707
-0.27182245,0.006444916,0.31441525,0.33192825,0.4791598,0.52084017
-0.27368617,0.0068402886,0.31336272,0.33103386,0.47894013,0.52105993
-0.2756629,0.0073235184,0.3122762,0.33005783,0.47877932,0.5212207
-0.26595378,0.0043071285,0.31733406,0.33522046,0.47865713,0.5213429
-0.26660478,0.0045481846,0.3169985,0.33487487,0.47865188,0.5213481
-0.26517707,0.0042186975,0.31779927,0.33558586,0.47877705,0.52122295
-0.2658974,0.0044755787,0.3174353,0.3351855,0.4788236,0.52117646
-0.2544636,0.0010332167,0.32353804,0.34128535,0.47884828,0.5211517
-0.24697934,-0.0010100529,0.32768133,0.34522703,0.47911778,0.5208822
-0.24631886,-0.0009177178,0.32817906,0.34544054,0.47949967,0.52050036
-0.24793248,-0.0001975447,0.32742947,0.34440443,0.47989827,0.5201018
-0.24882014,6.835163e-05,0.32695568,0.34390718,0.47994205,0.520058
-0.24519105,-0.0010167211,0.3289409,0.34585774,0.47999462,0.52000535
-0.2512535,0.0006416291,0.3255591,0.34267873,0.47971413,0.5202859
-0.25381118,0.0014409348,0.324197,0.341277,0.4797738,0.52022624
-0.2585655,0.0028202161,0.32162258,0.33874792,0.47971603,0.52028394
-0.2627312,0.0039997697,0.3193689,0.33655745,0.47963366,0.5203663
-0.26233077,0.0035229176,0.31940424,0.3369775,0.47909722,0.52090275
-0.2600966,0.0027514473,0.3205377,0.33823958,0.4789108,0.5210892
-0.2568971,0.0018976033,0.32229698,0.33990267,0.4790407,0.5209593
-0.2536468,0.0010867938,0.3241253,0.3415575,0.47928032,0.5207197
-0.25630492,0.0019504502,0.32272562,0.34009632,0.47936082,0.5206392
-0.25863665,0.00257954,0.32144076,0.33888853,0.47925374,0.52074623
-0.254076,0.0012397766,0.3239088,0.3413072,0.47933003,0.52067
-0.2548623,0.0015758052,0.32353482,0.34082687,0.47947457,0.52052546
-0.2527473,0.0010154694,0.3247166,0.34191397,0.47961137,0.52038866
-0.25499082,0.001759097,0.323545,0.34066072,0.47972634,0.5202736
-0.25683045,0.00214006,0.32247084,0.33977398,0.4794684,0.5205316
-0.2587055,0.00261534,0.32142022,0.33882415,0.47932482,0.5206752
-0.26021862,0.0030273572,0.3205891,0.33804333,0.47925243,0.5207476
-0.25642908,0.0018476695,0.3225978,0.34009326,0.47919947,0.52080053
-0.25819564,0.0024896637,0.32170328,0.3390873,0.47934774,0.5206523
-0.25826526,0.0025090873,0.32166713,0.33904916,0.479354,0.52064604
-0.25766385,0.0022351146,0.32194185,0.33942613,0.47921124,0.5207888
-0.25768203,0.00231345,0.32196754,0.33937544,0.4793156,0.5206844
-0.25759518,0.0022677481,0.32200423,0.33943418,0.4792856,0.5207144
-0.25810218,0.0024953187,0.32177174,0.33911565,0.4794059,0.52059406
-0.2532192,0.00096745044,0.32436758,0.34176815,0.47933307,0.5206669
-0.28562796,0.013682336,0.30805972,0.32508394,0.47957465,0.5204254
-0.2920475,0.014364339,0.30438644,0.3218576,0.47904888,0.52095115
-0.29514474,0.014222011,0.3024422,0.3204227,0.4783596,0.52164036
-0.29269636,0.012964822,0.3035203,0.32171515,0.47809693,0.5219031
-0.2887602,0.011402115,0.30539605,0.3237966,0.47783569,0.52216434
-0.28844386,0.011055961,0.30546415,0.3239987,0.4776415,0.5223585
-0.2881397,0.010864273,0.3055919,0.32413426,0.4776289,0.5223711
-0.28791612,0.010674976,0.3056655,0.32424992,0.47756568,0.52243435
-0.2851277,0.009799056,0.30709487,0.325653,0.47761512,0.5223849
-0.28444123,0.009434491,0.30738094,0.32605487,0.47744262,0.5225574
-0.2594084,0.0027177334,0.32098836,0.33851513,0.47915182,0.52084816
-0.25933915,0.0027653426,0.32105866,0.33851412,0.4792498,0.52075016
-0.26062918,0.0031803474,0.32038414,0.33780852,0.47929302,0.52070695
-0.25112557,0.00027596205,0.32546887,0.3429287,0.4792546,0.5207454
-0.25134492,0.00040468574,0.32537085,0.34279415,0.47929,0.52071
-0.25342178,0.0011398345,0.32430255,0.34161755,0.47943577,0.52056426
-0.25379282,0.0013125017,0.32413742,0.3413746,0.4795483,0.52045166
-0.2563485,0.0020981282,0.32277554,0.33998296,0.47959337,0.5204066
-0.2593364,0.002945982,0.32115382,0.33840436,0.47953814,0.52046186
-0.2601142,0.0030902177,0.32069728,0.33803356,0.47942337,0.52057666
-0.26156002,0.0034528524,0.3198905,0.3373031,0.47931597,0.52068406
-0.26143813,0.0033950657,0.31994566,0.33737934,0.47928786,0.52071214
-0.2599023,0.002932325,0.3207647,0.3381988,0.47928908,0.52071095
-0.2604819,0.0028947368,0.32034254,0.33802602,0.4789329,0.5210671
-0.260692,0.0030253232,0.3202587,0.33788538,0.47900474,0.5209953
-0.2631001,0.0038397312,0.31902122,0.33655167,0.47913572,0.5208643
