mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0009801239,0.04738786,0.020967003,0.30945992,0.99152094,0.008479067
-0.0015994161,0.047879003,0.020977857,0.30935946,0.9915058,0.008494201
-0.0014961809,0.04776212,0.020962954,0.30933177,0.9915151,0.008484906
-0.0009970516,0.04736548,0.020959439,0.3093644,0.9915269,0.008473144
-0.0009060949,0.047284268,0.02095025,0.30940172,0.99153125,0.008468739
-0.0021583885,0.04826393,0.020972146,0.30914024,0.99150276,0.008497242
-0.0014078468,0.047679298,0.020955525,0.30933353,0.99151987,0.008480166
-0.0022810549,0.04835152,0.02096719,0.3091375,0.99150205,0.008497974
-0.0031444877,0.049037896,0.020981641,0.3090042,0.9914807,0.008519302
-0.0037402958,0.049507163,0.020989247,0.30891648,0.9914669,0.008533131
-0.0035933107,0.049387686,0.020981982,0.30896798,0.99147147,0.008528574
-0.0047997087,0.050334536,0.021001806,0.3087389,0.99144346,0.008556542
-0.0057062954,0.051048838,0.021013405,0.30860168,0.9914223,0.008577704
-0.004520878,0.050120585,0.020992236,0.30885306,0.9914497,0.008550295
-0.004502997,0.050096236,0.020989053,0.30884016,0.99145204,0.008547966
-0.0040380806,0.049766265,0.020996947,0.30895048,0.99145573,0.008544265
-0.0051127523,0.050634287,0.021022545,0.30878752,0.9914261,0.008573885
-0.004102692,0.049842082,0.021005042,0.30898792,0.99144965,0.008550371
-0.00515531,0.05065512,0.021021133,0.30874303,0.9914273,0.008572701
-0.005323276,0.050795607,0.021024533,0.3087381,0.991422,0.0085780285
-0.0059081167,0.05122476,0.021021016,0.3086073,0.99141437,0.008585607
-0.0034025759,0.049223863,0.020966765,0.30904287,0.99147934,0.008520683
-0.0018143505,0.04798504,0.020951105,0.30929828,0.99151367,0.008486302
-0.00017784536,0.046752118,0.020946046,0.3096529,0.99154115,0.008458879
-0.00082825124,0.047307782,0.02098015,0.30953512,0.99151677,0.00848325
0.0013452917,0.045623742,0.020952826,0.30997047,0.9915624,0.008437588
0.00031544268,0.046434455,0.020980364,0.30970332,0.99153733,0.008462695
-0.0008212179,0.047309212,0.020989412,0.30948177,0.9915148,0.008485175
0.0001334101,0.046488546,0.020947522,0.30956838,0.99155056,0.008449494
0.00017143786,0.046381764,0.020920657,0.30945912,0.99156594,0.008434051
-0.00034557283,0.04677462,0.020925006,0.30933592,0.9915565,0.008443494
-0.0010884851,0.047364585,0.02093386,0.3092512,0.99153876,0.00846123
-0.0020257086,0.04807832,0.02094111,0.3090948,0.9915201,0.008479845
-0.003796205,0.049523734,0.020981336,0.30886072,0.99147075,0.00852926
-0.0039173216,0.04959079,0.020974495,0.30885023,0.9914715,0.008528491
-0.0054284185,0.050840907,0.021012865,0.3086694,0.99142677,0.008573253
-0.0052220672,0.050660662,0.021000821,0.30869865,0.99143535,0.008564689
-0.005430922,0.050825708,0.021005496,0.30865455,0.9914301,0.00856984
-0.0046174377,0.050204597,0.020995647,0.30885667,0.991446,0.008554007
-0.00520657,0.050674997,0.021010313,0.30874097,0.9914306,0.008569469
-0.005994186,0.05131697,0.02103138,0.30862388,0.99140763,0.008592396
-0.0036642402,0.049495928,0.020993354,0.30909982,0.99146056,0.008539427
-0.002791509,0.048801057,0.020982118,0.3092045,0.991482,0.008518009
-0.0018091053,0.048056208,0.020980418,0.30938208,0.9914991,0.008500879
-0.002044186,0.048247032,0.020990409,0.3093149,0.9914921,0.008507947
-0.0026296228,0.048703812,0.021000978,0.30918163,0.99147886,0.008521183
-0.0020832866,0.048247986,0.020980453,0.3092613,0.99149686,0.008503146
-0.0019545406,0.04812675,0.020973219,0.30924216,0.9915035,0.008496523
-0.0017284006,0.04792934,0.020960283,0.3092731,0.9915128,0.008487249
-0.0019283146,0.04804664,0.020950977,0.30916768,0.9915156,0.0084844325
-0.0032491535,0.049099408,0.020979844,0.308924,0.99148184,0.008518179
-0.0039470047,0.04966723,0.020990344,0.30888447,0.99146265,0.008537341
-0.003975615,0.049692295,0.020988788,0.3089109,0.9914619,0.008538176
-0.0059170574,0.051219277,0.021020133,0.30855927,0.9914163,0.008583744
-0.0034838766,0.04929989,0.020971542,0.3090489,0.9914752,0.00852481
-0.0028054565,0.04876279,0.020966452,0.3091175,0.99149096,0.00850905
-0.0014418215,0.047736667,0.020961355,0.3094227,0.9915138,0.0084862225
-0.0020317882,0.048240386,0.02099152,0.30932146,0.99149173,0.00850826
-0.0026470274,0.0487537,0.021011878,0.30924907,0.9914717,0.008528317
-0.0021337122,0.048317634,0.02099096,0.30930516,0.99149,0.00850998
0.00035120547,0.046330594,0.020940853,0.30969548,0.99155384,0.0084461495
