mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.10601428,0.0022043735,-1.0615283,0.021612251,0.01996887,0.8994071,0.022157189,0.97774005,0.00010277895
0.105633914,0.0024246722,-1.0610241,0.02160642,0.01997413,0.89958805,0.02216283,0.9777344,0.00010277688
0.10548109,0.002287224,-1.0626458,0.021485893,0.019864002,0.9002028,0.022036316,0.9778623,0.00010140722
0.10558352,0.0024812967,-1.0606594,0.021626292,0.019994019,0.8995168,0.0221863,0.9777107,0.000103012644
0.10583341,0.0021976382,-1.0619823,0.021562774,0.019927612,0.8996701,0.022113066,0.9777847,0.000102241735
0.1061908,0.0018548518,-1.0632669,0.021511199,0.019870088,0.8996958,0.022052763,0.9778456,0.000101599384
0.10567567,0.0023490936,-1.0622095,0.021544382,0.019910492,0.9000152,0.022076646,0.97782135,0.000102013764
0.10492441,0.002852872,-1.0607921,0.021563556,0.019948857,0.90027124,0.022116998,0.97778064,0.000102353704
0.10578871,0.0021819025,-1.0613736,0.021590458,0.019957658,0.8994029,0.02216213,0.9777353,0.0001025962
0.106886536,0.0015179664,-1.0630847,0.021589682,0.019926148,0.8989579,0.022127002,0.9777706,0.00010240147
0.106677234,0.001727894,-1.0630832,0.021576734,0.019916998,0.8992797,0.022099908,0.97779787,0.00010225872
0.107256174,0.001099065,-1.064237,0.021531435,0.019867426,0.89881134,0.0220801,0.97781813,0.00010173459
0.10871422,-1.244247e-05,-1.0670958,0.021474728,0.019779043,0.8981997,0.022002935,0.97789615,0.00010089801
0.107880175,0.00075019896,-1.0663468,0.021467801,0.019786213,0.8990877,0.021965178,0.97793394,0.00010086121
0.10696313,0.0011937171,-1.0648291,0.021456355,0.019806793,0.89927316,0.022007,0.97789204,0.000100942045
0.106944114,0.0011926442,-1.0646725,0.021463567,0.01981452,0.89921266,0.022019379,0.9778796,0.00010103197
0.10688728,0.0011490732,-1.0655808,0.021401932,0.019756764,0.89958304,0.021947036,0.97795266,0.00010032466
0.10620433,0.0015366226,-1.06583,0.0213313,0.019704254,0.9004161,0.021866715,0.9780337,9.9584846e-05
0.10767236,0.00029547513,-1.0676998,0.021317124,0.01966362,0.89920515,0.021878809,0.9780219,9.931714e-05
0.10817996,0.00023068488,-1.068613,0.021337276,0.0196592,0.89935374,0.021836897,0.97806376,9.936819e-05
0.1100983,-0.001541242,-1.0723972,0.021225495,0.019520534,0.89817077,0.021754304,0.9781477,9.798748e-05
0.111403376,-0.0022496432,-1.0746108,0.021221984,0.019478474,0.89781743,0.02169294,0.9782094,9.7707365e-05
0.10914415,-0.00033788383,-1.0699673,0.021328762,0.019630127,0.89887804,0.021809978,0.9780909,9.91691e-05
0.105597675,0.001949504,-1.0650895,0.02131045,0.019703815,0.9007776,0.021860007,0.9780406,9.947174e-05
0.10483393,0.0021797568,-1.0638044,0.021299206,0.01972037,0.90077704,0.021910992,0.9779895,9.9530116e-05
0.10407245,0.0030011684,-1.0626768,0.021342326,0.019767016,0.9015723,0.021908527,0.97799146,9.999317e-05
0.10383946,0.0031016618,-1.0621691,0.021348614,0.01978058,0.9015587,0.021931365,0.9779685,0.00010011488
0.10490003,0.0022409707,-1.0649619,0.021275712,0.019681646,0.9013904,0.021827428,0.9780735,9.910598e-05
0.10583675,0.0018749982,-1.0649465,0.021378648,0.01975049,0.9006085,0.02190262,0.9779973,0.000100097575
0.106111586,0.0017169863,-1.0654669,0.021377495,0.019740138,0.90055454,0.02188734,0.9780126,0.00010002261
0.1064944,0.0017897636,-1.0627645,0.021583632,0.019927243,0.89930046,0.022116126,0.97778153,0.000102355356
0.10737401,0.0014527589,-1.0614232,0.021744689,0.020060208,0.8979663,0.022290206,0.97760564,0.00010413287
0.10737488,0.0015069395,-1.0617346,0.021727404,0.020042723,0.8981574,0.022258589,0.9776375,0.0001039192
0.10787922,0.0007382184,-1.0644907,0.021567343,0.019887395,0.89825183,0.022114942,0.97778296,0.00010207905
0.107411,0.0012001544,-1.0640092,0.02157019,0.019896915,0.8987642,0.022096109,0.9778018,0.000102126774
