mu1,mu2,sigma1,sigma2,pi1,pi2
0.0909641,-0.01291278,0.16847344,0.025581997,0.45870364,0.54129636
0.09183874,-0.0119526535,0.16783895,0.025440112,0.45902213,0.5409779
0.091052614,-0.012802079,0.16758476,0.025335746,0.45840526,0.54159474
0.09172691,-0.012019023,0.16731198,0.025288705,0.45871654,0.5412834
0.092985176,-0.010875195,0.16669491,0.025168845,0.45920855,0.54079145
0.093018256,-0.010887504,0.1662731,0.025043098,0.459192,0.54080796
0.088894986,-0.014794916,0.1663556,0.024898466,0.45653585,0.5434642
0.08902978,-0.014255762,0.16690774,0.02509136,0.45640004,0.5436
0.089165725,-0.014472023,0.16729954,0.025248768,0.45597526,0.54402477
0.08804595,-0.015703589,0.1673596,0.025239022,0.4549581,0.5450419
0.08762192,-0.016050845,0.16738872,0.02524429,0.45442677,0.5455733
0.08843648,-0.015304714,0.16769712,0.025378944,0.45486417,0.54513586
0.088413246,-0.015437856,0.16764456,0.025365306,0.45478258,0.54521745
0.087796025,-0.016011298,0.16818105,0.025479173,0.4547954,0.54520464
0.088182054,-0.015607387,0.16906336,0.025734283,0.45561188,0.5443881
0.08896246,-0.0149973035,0.16967946,0.025927022,0.4566022,0.5433978
0.08849389,-0.015420347,0.16859712,0.0255983,0.45585147,0.5441485
0.09101123,-0.012815371,0.16823179,0.025590608,0.45750755,0.5424925
0.09147058,-0.012672529,0.16838264,0.025623659,0.4582616,0.5417384
0.09124533,-0.012733415,0.16803358,0.025485381,0.45845035,0.5415497
0.09207677,-0.011744827,0.16754039,0.025367744,0.45899495,0.5410051
0.09169433,-0.012190923,0.16765031,0.025373176,0.45895073,0.5410493
0.09083664,-0.012937233,0.16757806,0.025316326,0.45840162,0.5415984
0.09447921,-0.0092405975,0.16659085,0.025196282,0.46024993,0.53975004
0.09476385,-0.009401768,0.16629516,0.025099402,0.46061897,0.5393811
0.092012174,-0.011867344,0.16648346,0.025012054,0.45939818,0.5406018
0.09091932,-0.012469098,0.16595267,0.024840172,0.45817605,0.5418239
0.08897229,-0.0144804865,0.1666715,0.025002897,0.45656383,0.54343617
0.089636154,-0.013815582,0.16672905,0.025092412,0.4563431,0.54365695
0.08782398,-0.015894607,0.16682096,0.025073627,0.45465425,0.5453458
0.08818372,-0.015439585,0.16711442,0.025189253,0.4547056,0.5452944
0.087554984,-0.016172692,0.1671431,0.025196897,0.45390812,0.5460919
0.08709987,-0.016534686,0.16700864,0.025152331,0.45335788,0.5466421
0.08823573,-0.015535757,0.16854666,0.025622942,0.4549141,0.54508597
0.0881561,-0.015875772,0.16962764,0.025902173,0.4556691,0.5443309
0.08831657,-0.015604898,0.16929998,0.025799356,0.45589098,0.544109
0.088750236,-0.01512742,0.16908294,0.025748823,0.4562023,0.5437977
0.08957753,-0.014295429,0.16850694,0.025614925,0.4565792,0.5434208
0.08912373,-0.014831185,0.16891769,0.025695331,0.45670837,0.5432916
0.08844466,-0.0153503865,0.16849594,0.025547026,0.45610297,0.54389703
0.08877692,-0.014963195,0.16847987,0.025565574,0.4561862,0.54381377
0.092022546,-0.011847675,0.16782416,0.025518222,0.45799047,0.54200953
0.08926534,-0.014877409,0.1678195,0.025376884,0.4565031,0.54349697
0.0899984,-0.013662696,0.16801387,0.02544859,0.4573405,0.54265946
0.08956354,-0.014247343,0.16794403,0.025423454,0.4568091,0.5431909
0.08956293,-0.014175326,0.16776891,0.025381885,0.45665643,0.5433436
0.0895477,-0.014234632,0.1677661,0.0253852,0.45655516,0.5434448
0.08418528,-0.019573554,0.16865833,0.025424182,0.45320687,0.5467931
0.086760975,-0.016476125,0.16822267,0.025467861,0.4539209,0.54607916
0.088164754,-0.015671417,0.16763535,0.025405653,0.453848,0.54615206
0.08839335,-0.015608951,0.16778298,0.025430415,0.45440313,0.54559684
0.08931013,-0.014731586,0.16918369,0.02581984,0.45627883,0.5437212
0.08901543,-0.014981836,0.16872282,0.025652718,0.45622963,0.54377043
0.08943068,-0.014412895,0.16892955,0.025710935,0.45691893,0.5430811
0.0851943,-0.018605605,0.16948478,0.025691388,0.4543594,0.5456406
0.08728019,-0.01608403,0.16937453,0.025786528,0.45523518,0.5447648
0.0877619,-0.01618512,0.16954188,0.02587795,0.4551919,0.54480815
0.08836775,-0.015492082,0.16749538,0.025331924,0.4545456,0.54545444
0.088949434,-0.014949426,0.16779658,0.02542462,0.45525476,0.5447452
0.0894605,-0.014481619,0.16834913,0.025580091,0.4561686,0.5438314
0.08952474,-0.014405847,0.1685622,0.02561976,0.45666546,0.54333454
0.088937156,-0.014930278,0.16905443,0.025718106,0.45678282,0.5432172
0.09028091,-0.013511077,0.16885893,0.02571547,0.4576771,0.54232293
0.09498774,-0.009122461,0.16849186,0.0257809,0.46098158,0.53901845
0.09343662,-0.010907412,0.16692789,0.025228657,0.4599028,0.54009724
0.09215341,-0.011615366,0.16709927,0.025186652,0.45978895,0.5402111
0.08964441,-0.013895601,0.16721907,0.025139134,0.45789382,0.54210615
0.08900919,-0.014338747,0.16703673,0.02511397,0.45666668,0.5433333
0.08892382,-0.01461786,0.16696467,0.025138961,0.45580533,0.5441947
0.08983076,-0.013916686,0.16690749,0.025182016,0.45598277,0.54401726
0.08956794,-0.014315248,0.16680059,0.025145676,0.4556516,0.54434836
0.09061826,-0.013106376,0.16621113,0.025024155,0.4560949,0.5439051
0.089024924,-0.014791265,0.16676769,0.025098044,0.45548815,0.5445119
0.08852468,-0.015197769,0.16889082,0.025657026,0.45641375,0.54358625
0.089271985,-0.014506072,0.16895652,0.025714908,0.45683306,0.54316694
0.08938632,-0.014540434,0.1688015,0.025673602,0.45685112,0.5431489
0.08986949,-0.013992295,0.16795638,0.025454847,0.45679238,0.54320765
0.09141766,-0.012455016,0.16738679,0.025353981,0.45762214,0.5423779
0.08952781,-0.014429897,0.16753376,0.025300814,0.4566674,0.5433326
0.089390256,-0.014249593,0.16785051,0.025384115,0.4567871,0.5432129
0.0897663,-0.013953224,0.16779236,0.02539727,0.45678514,0.5432149
0.0891133,-0.014743611,0.1683306,0.02552139,0.4565878,0.54341227
0.09010487,-0.013661802,0.16773297,0.025401676,0.45687422,0.5431258
