mu1,mu2,sigma1,sigma2,pi1,pi2
0.0138322115,0.0039771125,0.5034019,0.014632112,0.40211287,0.59788716
0.013531953,0.004110202,0.5033474,0.014664765,0.40219834,0.5978017
0.01334022,0.0036063418,0.503743,0.014867168,0.40218326,0.5978167
0.013570756,0.004188478,0.5033818,0.014636078,0.4021417,0.59785837
0.013800472,0.0037295446,0.5036884,0.0147201,0.40201452,0.5979855
0.01424107,0.0032051355,0.5039787,0.014769412,0.4018238,0.59817624
0.013047636,0.004116796,0.5034918,0.014791106,0.4023736,0.5976264
0.012447879,0.0045305043,0.5033092,0.0148142595,0.40257782,0.5974222
0.014434651,0.0034264326,0.50385994,0.014653753,0.40170833,0.59829164
0.015174806,0.0030517653,0.5039985,0.014586169,0.40149286,0.59850717
0.014354289,0.0035342798,0.5036725,0.014640548,0.40190816,0.59809184
0.016149059,0.0021961406,0.5042524,0.014589484,0.40112123,0.59887874
0.017959386,0.00089433044,0.50477725,0.01452752,0.40043345,0.5995665
0.015491545,0.0024640784,0.5038429,0.014659688,0.40159377,0.5984062
0.015563607,0.0022935495,0.50386673,0.014682078,0.40146217,0.5985378
0.015612483,0.00229647,0.5038885,0.01466958,0.40140098,0.5985991
0.015259862,0.0021984577,0.50405765,0.014792035,0.40149567,0.59850436
0.013968617,0.0025982484,0.50402164,0.0150007345,0.40196925,0.59803075
0.017312497,0.000431709,0.5051492,0.01482267,0.40049484,0.5995052
0.016167343,0.0013492107,0.504624,0.01483526,0.4011491,0.5988509
0.020444036,-0.0018314645,0.50612646,0.01472255,0.399318,0.60068196
0.020666733,-0.0017958358,0.5058016,0.014647494,0.39947954,0.6005205
0.016855657,0.0011503622,0.504012,0.014689279,0.40122113,0.59877884
0.013012201,0.003257066,0.5030974,0.015005398,0.40259805,0.5974019
0.013758868,0.0025448948,0.50379574,0.015045249,0.40197185,0.5980282
0.011085957,0.0043553635,0.50332785,0.01519857,0.40302253,0.5969775
0.01139684,0.004027605,0.5038758,0.015242728,0.40272865,0.5972714
0.012591943,0.002839692,0.50476366,0.015323917,0.40216658,0.5978334
0.01333639,0.0029204115,0.5046762,0.015113887,0.40199542,0.5980046
0.013533488,0.0027937368,0.5046385,0.015097519,0.40200278,0.5979972
0.014605284,0.003243789,0.50405145,0.014677255,0.40172067,0.59827936
0.016116947,0.0032345206,0.5037029,0.014298045,0.40124613,0.5987539
0.015523493,0.003606461,0.5033397,0.014323544,0.4015807,0.5984193
0.017014742,0.0019222498,0.5041381,0.014447341,0.40087187,0.5991282
0.015400991,0.0029986128,0.5035063,0.01451894,0.4016204,0.5983796
0.013888165,0.003357336,0.5034391,0.014782864,0.40212265,0.5978774
0.018373787,6.631017e-07,0.50522995,0.014681604,0.40008274,0.59991723
0.015364245,0.002041243,0.50418615,0.014823293,0.4015549,0.59844506
0.016459271,0.0011656582,0.5045829,0.014806456,0.40100473,0.59899527
0.014484882,0.0023077577,0.5040502,0.014955361,0.40184224,0.5981578
0.015728116,0.0014047176,0.50455874,0.014917114,0.4012175,0.5987825
0.014363915,0.002567023,0.5040097,0.014912076,0.4018456,0.59815437
0.015441805,0.0017426759,0.5044872,0.014893763,0.4013222,0.5986778
0.012755036,0.003901966,0.5034336,0.014917635,0.4025255,0.5974745
0.012267783,0.0040191114,0.5035387,0.015007982,0.40258288,0.5974171
0.014754593,0.0019393414,0.5047675,0.015024214,0.4014214,0.59857863
0.014172971,0.0033283085,0.50393414,0.0147535205,0.40188447,0.59811556
0.015145928,0.0025155097,0.5042902,0.014751915,0.40147498,0.59852505
0.01364477,0.00380864,0.50352687,0.014731189,0.40219682,0.5978032
0.0156672,0.002204664,0.50431126,0.0147052575,0.40125751,0.59874254
0.016587585,0.0018986538,0.50433636,0.014568179,0.40098187,0.5990181
0.013214707,0.0040378794,0.5032308,0.014759395,0.4024674,0.59753263
0.016156584,0.0022644103,0.50407255,0.014555807,0.40109178,0.5989082
0.017916217,0.00066404045,0.50491333,0.014605268,0.40039343,0.59960663
0.014646769,0.0023992658,0.5040332,0.014895017,0.4018612,0.59813887
0.013304904,0.0034791678,0.50347,0.014895575,0.40232593,0.5976741
0.0135863125,0.003184259,0.5037713,0.014918892,0.40206915,0.5979309
0.0142305195,0.0029390156,0.50401783,0.014842798,0.40178183,0.59821814
0.013383359,0.003193535,0.504034,0.0149874175,0.40213618,0.5978638
0.013301522,0.0035065338,0.50388294,0.014913819,0.40217486,0.59782517
0.011435181,0.0051619485,0.5030741,0.0148824,0.40299097,0.59700906
0.012905866,0.0035986751,0.5040303,0.014991373,0.40221146,0.5977886
0.011842355,0.0048194677,0.50342,0.0148936855,0.40275943,0.59724057
0.01370129,0.0044135004,0.50349313,0.014552263,0.40202403,0.59797597
0.012465954,0.005138375,0.50312734,0.014642376,0.40261564,0.5973844
0.011976093,0.005177103,0.50314194,0.014749381,0.4027624,0.5972376
0.013169736,0.004411936,0.5035231,0.014681868,0.40222472,0.5977753
0.012146592,0.0054051727,0.5029883,0.01463966,0.4027363,0.5972637
0.008701265,0.007765226,0.5019194,0.014790308,0.40415493,0.5958451
0.015591726,0.0032282695,0.50427127,0.014448318,0.40104675,0.5989533
0.012661442,0.0049819574,0.5033944,0.01465839,0.4025607,0.5974393
0.012816817,0.0049695224,0.5032557,0.014611572,0.40247926,0.5975207
0.01215896,0.0052041933,0.50311124,0.014697787,0.4027276,0.5972724
0.009786397,0.0071341693,0.5021718,0.014708088,0.4037196,0.59628046
0.011315197,0.006030798,0.502862,0.014663878,0.4029185,0.59708154
0.014645398,0.0037546605,0.5040704,0.014532044,0.40152994,0.5984701
0.013947263,0.0045179054,0.5035226,0.0144772995,0.40205508,0.597945
0.014389202,0.0040346757,0.50358576,0.014498498,0.40189335,0.5981067
0.014580488,0.0028854236,0.50414056,0.014783361,0.40174496,0.59825504
0.013581395,0.0046106726,0.50300604,0.0145040965,0.40229592,0.59770405
0.013059914,0.004816249,0.5029266,0.014567967,0.40243694,0.597563
0.013314992,0.004616089,0.5031032,0.014568296,0.40226492,0.5977351
0.015745252,0.0028349906,0.5040577,0.014506815,0.40120956,0.59879047
0.012973443,0.003949322,0.50359946,0.014864022,0.40243372,0.5975663
0.013755441,0.0031187236,0.50403684,0.014913726,0.40198916,0.59801084
0.013865173,0.0036098734,0.50370836,0.0147370715,0.402008,0.597992
