mu1,mu2,sigma1,sigma2,pi1,pi2
-0.74988884,0.0021724105,0.04832519,0.028296988,0.16754462,0.8324554
-0.75181293,0.0023267195,0.04805065,0.028119186,0.16709766,0.8329024
-0.7649382,0.0038739294,0.046254586,0.026924303,0.16434643,0.8356536
-0.7490118,0.0019373223,0.04843665,0.028382841,0.16763729,0.8323627
-0.75612515,0.0028385743,0.047452215,0.027720952,0.16617723,0.8338228
-0.76074094,0.0034665614,0.04682738,0.027297938,0.16526605,0.83473396
-0.756694,0.0028999373,0.04737355,0.027671615,0.16603985,0.8339601
-0.7533278,0.002332732,0.047824357,0.027986178,0.1666354,0.8333646
-0.74930745,0.0019643828,0.048393197,0.028352955,0.16756862,0.8324314
-0.7505172,0.0023445487,0.048243392,0.028233912,0.16746321,0.8325368
-0.7534384,0.002722457,0.04784024,0.027963573,0.16687031,0.8331297
-0.75853556,0.003459379,0.04714989,0.027486082,0.16593389,0.8340661
-0.76628065,0.004716359,0.04613027,0.026778175,0.1645713,0.8354287
-0.7706995,0.005212441,0.04554266,0.026396088,0.16363004,0.83637
-0.7737149,0.005407706,0.04513455,0.026133662,0.16294734,0.8370527
-0.7758223,0.0056334734,0.04485773,0.025951983,0.162506,0.837494
-0.78482825,0.006702997,0.043699373,0.02519012,0.1606556,0.83934444
-0.7926493,0.007502675,0.042707436,0.0245514,0.15896764,0.8410323
-0.79177934,0.0076059103,0.042829316,0.024609445,0.15930273,0.8406973
-0.7904878,0.007615112,0.043002613,0.024717527,0.1596281,0.8403719
-0.80081385,0.009238288,0.041759837,0.023865215,0.1578693,0.8421307
-0.80484027,0.010131076,0.04130555,0.023541555,0.15733308,0.842667
-0.79697245,0.008899495,0.042243615,0.024176974,0.15873536,0.8412646
-0.8023712,0.008838773,0.041537408,0.023766313,0.15723018,0.8427698
-0.8035533,0.008639254,0.04136863,0.023676498,0.1567904,0.8432096
-0.7995046,0.007887721,0.04183568,0.024012385,0.15733168,0.84266835
-0.7949036,0.007147014,0.042380515,0.024386013,0.15808183,0.8419182
-0.7976689,0.0075908154,0.042045627,0.024161266,0.1575488,0.8424512
-0.77710986,0.0052662566,0.04464028,0.025864966,0.16173452,0.8382655
-0.77502924,0.005136594,0.044919364,0.026040649,0.16223268,0.83776736
-0.7453012,0.0016196519,0.048966788,0.028730597,0.16845527,0.83154476
-0.7281229,-0.0002670884,0.0514802,0.030400865,0.17226614,0.8277338
-0.7355678,0.00072614104,0.050394718,0.029659811,0.17076504,0.82923496
-0.75579876,0.003314823,0.047542386,0.027728984,0.16665901,0.833341
-0.76089483,0.0039114803,0.046846196,0.027269488,0.16558741,0.8344126
-0.7745794,0.0053198636,0.04500645,0.026067657,0.1626232,0.83737683
-0.78605807,0.0069935545,0.043552984,0.025075793,0.16053078,0.83946925
