mu1,mu2,sigma1,sigma2,pi1,pi2
0.12054725,0.0191821,0.3035545,0.23142695,0.4837512,0.5162488
0.12194814,0.01922211,0.30220312,0.23001671,0.48343396,0.51656604
0.12205838,0.018892437,0.30242804,0.23033038,0.48332423,0.51667583
0.12146257,0.018309087,0.3034091,0.23149441,0.4833906,0.5166094
0.121835604,0.018082634,0.303185,0.23132819,0.48330563,0.51669437
0.12274973,0.018209249,0.30224752,0.23033492,0.48311895,0.51688105
0.12354492,0.018222764,0.3015405,0.22960865,0.48292843,0.5170716
0.12286331,0.018195152,0.30220398,0.23029834,0.4830742,0.5169258
0.12282927,0.018115938,0.30227113,0.23038916,0.48308423,0.5169158
0.121494636,0.018020868,0.30360192,0.23178639,0.48336807,0.5166319
0.12121834,0.017919078,0.30388877,0.23211266,0.48344454,0.5165555
0.11972956,0.017935544,0.30528134,0.23354919,0.4837826,0.5162174
0.11992951,0.017931238,0.30504966,0.23331602,0.48376545,0.5162345
0.1202928,0.018136874,0.30456722,0.23276612,0.4837076,0.51629245
0.12071441,0.01847452,0.3039102,0.23199618,0.48365518,0.51634485
0.120122924,0.018606529,0.30439737,0.23245846,0.4837831,0.51621693
0.119848356,0.018486425,0.30472836,0.23282824,0.48383254,0.51616746
0.1203617,0.018530548,0.304193,0.2322619,0.4837285,0.5162715
0.12012936,0.018566519,0.3044115,0.23247556,0.48376963,0.5162304
0.12129654,0.018610686,0.30326307,0.23127873,0.4835208,0.5164792
0.120701745,0.018493235,0.303973,0.2320405,0.48360875,0.5163912
0.12086846,0.018057942,0.30412477,0.2323164,0.48353085,0.5164691
0.12257828,0.0184886,0.30213523,0.23015213,0.48323077,0.51676923
0.12155531,0.018596247,0.30313158,0.23114717,0.48341516,0.5165849
0.120694086,0.018115222,0.3042603,0.23243846,0.4835667,0.5164333
0.121576026,0.018155023,0.30334187,0.2314831,0.48340517,0.5165949
0.12129761,0.018291265,0.30355662,0.23167,0.48346135,0.5165386
0.12132634,0.018314302,0.3034874,0.23159228,0.48346886,0.5165311
0.121102765,0.018263623,0.30375433,0.23188147,0.48350468,0.51649535
0.120875284,0.018315583,0.30390024,0.23201723,0.48357394,0.516426
0.122366115,0.018645242,0.3022391,0.23021732,0.48328683,0.51671314
0.12284304,0.018848196,0.30171153,0.229617,0.4831674,0.51683265
0.12092598,0.018513009,0.30378067,0.23182996,0.48353592,0.51646405
0.12231152,0.018286318,0.302563,0.230637,0.4832402,0.5167598
0.121867284,0.018177316,0.3031457,0.23126976,0.4832925,0.5167075
0.121718094,0.018072754,0.3033102,0.23146951,0.483341,0.516659
0.12179388,0.018132135,0.30320302,0.23134653,0.48333213,0.5166679
0.12122883,0.018081814,0.30378312,0.23196043,0.4834504,0.5165496
0.120974794,0.017923594,0.30412722,0.23236148,0.48349932,0.51650065
0.120000854,0.017752647,0.30517322,0.23349221,0.4837029,0.5162971
0.11913009,0.017853558,0.30585712,0.23417537,0.4839429,0.5160571
0.1181439,0.017978325,0.30669487,0.23501179,0.48418412,0.51581585
0.118327275,0.01792562,0.3065495,0.23488048,0.48414883,0.51585114
0.117377356,0.018107876,0.3072983,0.23560724,0.4843911,0.5156089
0.11775158,0.018237919,0.30682406,0.2350817,0.4843336,0.5156664
0.1179824,0.018582076,0.30634502,0.23448975,0.48431918,0.51568085
0.11831771,0.018868953,0.30581984,0.23386315,0.48426595,0.515734
0.11840798,0.018842444,0.30578607,0.23382924,0.4842197,0.5157803
0.11866368,0.018676594,0.30566648,0.23374616,0.4841377,0.5158623
0.12028994,0.01882638,0.30400363,0.23198676,0.48379558,0.5162044
0.120466486,0.018906489,0.30384785,0.23180054,0.48372766,0.5162723
0.121458754,0.018749416,0.30302942,0.23099618,0.48348424,0.5165158
0.12182851,0.018626183,0.30280685,0.23079786,0.48336908,0.5166309
0.12270199,0.018510401,0.30207536,0.23007548,0.48315942,0.5168406
0.122289136,0.018306434,0.302653,0.23072456,0.4832094,0.51679057
0.121497765,0.017902434,0.30368528,0.23189934,0.48334756,0.5166524
0.12111904,0.017750919,0.30411267,0.23238695,0.48344177,0.51655823
0.121076,0.01783672,0.30408153,0.23233865,0.48347467,0.5165253
0.1206923,0.01789248,0.30441117,0.2326689,0.48356953,0.5164305
0.121307924,0.018413574,0.30337772,0.2314622,0.48352256,0.51647747
0.121074274,0.018709242,0.30344433,0.23144777,0.48357347,0.51642656
0.12164675,0.01884067,0.30277643,0.2307178,0.48346624,0.5165338
0.12117462,0.018727496,0.30335343,0.23133644,0.48352724,0.51647276
0.12086846,0.018451855,0.30381837,0.2318862,0.4835713,0.5164287
0.12136026,0.018361479,0.30341288,0.23149362,0.4834573,0.5165427
0.12132551,0.018184513,0.30361634,0.23175442,0.48343137,0.51656866
0.121797934,0.018120483,0.3031957,0.23134135,0.48333445,0.5166655
0.12129243,0.018064022,0.3037431,0.23192401,0.4834311,0.5165689
0.121903405,0.01807332,0.30312747,0.23128985,0.48331597,0.516684
0.121891305,0.018524006,0.30279467,0.23082444,0.4833732,0.51662683
0.121003106,0.01840587,0.30377057,0.23185937,0.48352972,0.5164703
0.12072261,0.018256247,0.3040864,0.23222344,0.48359942,0.51640064
0.119851425,0.018004939,0.30512628,0.23336753,0.48375434,0.5162457
0.119979754,0.017882794,0.30504423,0.23332073,0.483742,0.516258
0.11984725,0.018133134,0.3049789,0.23318897,0.4838073,0.5161927
0.12008761,0.018295184,0.30463928,0.2327961,0.48377106,0.5162289
0.12059425,0.018606156,0.30391657,0.23196419,0.48369694,0.5163031
0.120560005,0.01860705,0.30399722,0.23204373,0.48367742,0.51632255
0.12029727,0.018462509,0.3043352,0.23242728,0.48372135,0.5162787
0.1198404,0.018421754,0.30478036,0.23289521,0.48382252,0.5161775
0.120299235,0.01835233,0.30439883,0.23252131,0.48371387,0.51628613
0.11983092,0.01826024,0.30493054,0.2330962,0.48379973,0.51620024
0.12057926,0.01814887,0.30429015,0.23246866,0.48363253,0.51636744
0.12031041,0.018176824,0.30454618,0.23272741,0.483688,0.516312
0.1204036,0.018203825,0.3044181,0.23258889,0.48368096,0.5163191
0.121874705,0.018750027,0.30259234,0.23055823,0.48343006,0.51657
0.12136467,0.019032255,0.30294326,0.23083669,0.48352906,0.5164709
0.12242527,0.018957853,0.30197644,0.22985466,0.48328623,0.5167138
0.12443046,0.01937522,0.2997989,0.2275011,0.48287687,0.51712316
0.12352307,0.019004911,0.30105153,0.22887668,0.48296285,0.5170372
0.12325658,0.018163115,0.30187362,0.22994374,0.48294324,0.51705676
0.12406002,0.017944306,0.30125102,0.22936791,0.48276284,0.5172372
0.12328021,0.01785484,0.30209082,0.23026279,0.4829158,0.5170842
0.122318104,0.017400399,0.30332828,0.23166887,0.48309112,0.5169089
0.12172498,0.017206594,0.30397987,0.23240457,0.4832395,0.51676047
0.119773135,0.017339915,0.30569533,0.23415056,0.48371562,0.5162844
0.12030958,0.017739445,0.30481103,0.23313518,0.4836882,0.5163118
0.11914165,0.018223062,0.30559388,0.23381342,0.48398706,0.51601297
0.11902626,0.018777281,0.30520496,0.23325442,0.4841053,0.5158947
0.11953284,0.019025534,0.30459705,0.23255314,0.4839861,0.51601386
0.119444534,0.018784285,0.30489227,0.232916,0.48395362,0.5160464
0.11954774,0.018670276,0.30484304,0.23289053,0.48392645,0.5160735
0.11992879,0.018615216,0.30454317,0.2325946,0.48382458,0.5161754
0.120947644,0.01856026,0.3036377,0.23167627,0.48358575,0.5164143
0.12165229,0.018592194,0.3029774,0.2309872,0.48342016,0.51657987
0.122218445,0.018412814,0.30261666,0.23066424,0.4832565,0.51674354
0.12164198,0.018249497,0.30327687,0.2313871,0.4833656,0.51663446
0.12249379,0.018242568,0.3024527,0.23054184,0.483191,0.516809
0.121726915,0.018361881,0.30311295,0.2311892,0.48336163,0.5166384
0.12155567,0.01826471,0.30332547,0.23143427,0.48339787,0.5166021
0.12105881,0.018018574,0.30399695,0.23219557,0.4834743,0.5165257
0.12071706,0.01785992,0.30440462,0.23266321,0.48355278,0.51644725
0.12053181,0.01793024,0.30451202,0.23275977,0.4836156,0.5163844
0.11985321,0.018014818,0.30508894,0.23333573,0.48378122,0.5162188
0.11960961,0.018133342,0.3052014,0.2334213,0.4838647,0.5161353
0.11908744,0.01818195,0.3056686,0.23389187,0.4839837,0.5160163
0.118560836,0.018021613,0.30628404,0.23457359,0.4840867,0.5159133
0.11787723,0.018036634,0.30688342,0.23519133,0.48426035,0.5157397
0.11826812,0.018284231,0.3062991,0.2345206,0.48421624,0.5157837
0.11748774,0.01836437,0.30702034,0.23524477,0.48438078,0.5156192
