mu1,mu2,sigma1,sigma2,pi1,pi2
0.06038884,-0.006763406,0.621487,0.022276582,0.41438153,0.58561844
0.060477726,-0.006649874,0.6215892,0.022087852,0.41396976,0.58603024
0.060025726,-0.00744725,0.6194941,0.021667302,0.41436103,0.58563894
0.06019996,-0.007090777,0.62024707,0.020444084,0.4115754,0.5884246
0.061080914,-0.0064011514,0.62146586,0.020886678,0.41168347,0.58831656
0.061031416,-0.0061106607,0.6218291,0.0206528,0.41098675,0.5890132
0.05983889,-0.006938249,0.6201116,0.019966321,0.41065994,0.5893401
0.05995681,-0.0068470538,0.62071043,0.019854525,0.41014844,0.5898516
0.05935234,-0.0072974786,0.61959416,0.019387187,0.40983215,0.5901679
0.06061244,-0.006707318,0.6206658,0.019755103,0.40989015,0.5901098
0.06037297,-0.0064510703,0.6211504,0.019588485,0.4092866,0.59071344
0.060852136,-0.0058379546,0.62234336,0.019569071,0.40851355,0.59148645
0.06057805,-0.006068632,0.6221316,0.020542389,0.41065517,0.5893448
0.06039884,-0.0060721487,0.62230676,0.020549957,0.4105919,0.58940816
0.059888214,-0.005938813,0.6229312,0.02014008,0.4094838,0.59051627
0.05943696,-0.006195545,0.62246627,0.019963752,0.40940717,0.5905928
0.059770525,-0.0066084415,0.621665,0.020885596,0.41167852,0.58832145
0.06074118,-0.005624667,0.6239278,0.021304158,0.4111702,0.5888298
0.061357565,-0.0050906837,0.6249165,0.022644531,0.41302836,0.58697164
0.060853403,-0.0053352863,0.6242922,0.022534905,0.41317722,0.58682275
0.060881436,-0.0052487627,0.6249436,0.023019118,0.4137232,0.58627677
0.059215643,-0.006394401,0.6228007,0.022500746,0.4141445,0.58585554
0.059456855,-0.006959945,0.62167025,0.022511717,0.41479352,0.5852065
0.05998887,-0.006874658,0.62174064,0.022580419,0.41485026,0.58514977
0.06031081,-0.006936632,0.6210976,0.02234296,0.41471303,0.585287
0.06137434,-0.006463483,0.62178373,0.022791443,0.4150464,0.5849536
0.061104096,-0.0067093223,0.6211036,0.022987152,0.4158034,0.5841966
0.06119211,-0.006187193,0.622102,0.02190318,0.4132508,0.5867492
0.060689624,-0.005645998,0.6235097,0.021158313,0.41111,0.58888996
0.06102106,-0.0049649626,0.62504584,0.021465413,0.41079292,0.5892071
0.06020744,-0.0048127547,0.6256788,0.021102669,0.40980098,0.590199
0.060055368,-0.0052482784,0.6251528,0.022317076,0.41240737,0.58759266
0.06027012,-0.0053227916,0.62534094,0.02331147,0.41409376,0.5859062
0.060134493,-0.005415447,0.6253614,0.02379253,0.41493955,0.5850604
0.06064315,-0.0053939223,0.62538683,0.024713373,0.41643026,0.5835697
0.060766824,-0.005156003,0.6259886,0.02494035,0.41646248,0.5835375
0.06138421,-0.004750043,0.626933,0.026131215,0.41779998,0.58220005
0.06042054,-0.0056062713,0.6250435,0.02610504,0.41888025,0.5811198
0.060181987,-0.0062296167,0.6238923,0.025826631,0.4191318,0.58086824
0.05993623,-0.0065175965,0.6232961,0.025101485,0.4183397,0.5816603
0.060801253,-0.006019272,0.62411976,0.02510934,0.4178069,0.5821931
0.06046594,-0.006623991,0.62234384,0.024876026,0.41840753,0.58159244
0.060606066,-0.006998189,0.6213017,0.024258265,0.4179491,0.5820509
0.060703814,-0.006874405,0.621612,0.023905277,0.41721094,0.58278906
0.06108465,-0.0065021515,0.6219468,0.02334246,0.41597912,0.58402085
0.061110884,-0.006185971,0.62233496,0.022540487,0.4142984,0.5857016
0.060488015,-0.005938947,0.6229431,0.021355461,0.4118022,0.5881978
0.060322978,-0.0060801804,0.62277913,0.02164069,0.4124585,0.58754146
0.059698265,-0.0068142414,0.621254,0.021527898,0.4131518,0.5868482
0.060483143,-0.0063542575,0.6223656,0.02173983,0.41289598,0.587104
0.059877194,-0.006352015,0.62220955,0.020957526,0.41151023,0.5884898
0.060756844,-0.0061448663,0.6224161,0.02153998,0.4124144,0.5875856
0.060680456,-0.006084755,0.62275547,0.022039466,0.41319963,0.5868004
0.06051353,-0.0061584488,0.62249804,0.021872351,0.4130271,0.5869729
0.06044154,-0.006099358,0.62276185,0.021762716,0.41269276,0.5873073
0.06010335,-0.0062016025,0.6226524,0.021603368,0.41248825,0.5875118
0.060017526,-0.0063283443,0.6223486,0.021414394,0.41229624,0.5877038
0.060471073,-0.0058843046,0.6234068,0.021629672,0.41209006,0.58790994
0.061237574,-0.0052930266,0.6246726,0.022814685,0.41349557,0.58650446
0.060819373,-0.0052104965,0.6247695,0.022573033,0.41300398,0.586996
0.05980792,-0.006319709,0.6226355,0.022715071,0.41455102,0.585449
0.060288507,-0.006100774,0.62345165,0.022824006,0.41430217,0.5856978
0.059857145,-0.0063241348,0.6229108,0.022628361,0.41427785,0.58572215
0.061497793,-0.0052405223,0.62500876,0.023311509,0.4141622,0.58583784
0.060865775,-0.0052143857,0.62511367,0.023535235,0.41454116,0.5854589
0.06042911,-0.0060037,0.62330896,0.023634676,0.41573086,0.58426917
0.06044327,-0.0064323843,0.62268704,0.023973698,0.41671553,0.58328444
0.06036172,-0.006189041,0.62346244,0.023715021,0.41588265,0.58411735
0.06116305,-0.005114883,0.6254314,0.023275774,0.41390008,0.5860999
0.060047075,-0.0059499443,0.6234097,0.022903716,0.4144163,0.58558375
0.061286017,-0.0055640936,0.62458456,0.024301583,0.4161367,0.58386326
0.060352348,-0.005954802,0.62372196,0.023934793,0.41607124,0.58392876
0.06141792,-0.005520545,0.62460184,0.024658687,0.41670287,0.5832972
0.060576838,-0.005337283,0.62512714,0.02363968,0.41475415,0.58524585
0.06033551,-0.005538963,0.62468845,0.023477206,0.4147152,0.58528477
0.060502913,-0.005768895,0.62445027,0.024408814,0.4164634,0.5835366
0.059951954,-0.006582938,0.6226934,0.0245227,0.417691,0.582309
0.060196176,-0.006862931,0.6219365,0.024098974,0.4173828,0.58261716
0.05910366,-0.0077943727,0.61972123,0.022481991,0.41586798,0.584132
0.06132001,-0.0069174618,0.6212395,0.023391739,0.4164733,0.5835267
0.061832502,-0.005905181,0.62262946,0.022466479,0.41391972,0.58608025
0.06199678,-0.0056391507,0.6229962,0.022726309,0.41414514,0.5858548
0.061146345,-0.005442798,0.62382,0.022023838,0.4125053,0.58749473
0.06018787,-0.005647108,0.623803,0.021640306,0.41189837,0.5881016
0.05925753,-0.006482132,0.62225735,0.021343831,0.41228124,0.5877187
0.059694327,-0.006132178,0.6232787,0.021197777,0.41142544,0.5885746
0.059743553,-0.006389506,0.6225401,0.021728694,0.41282174,0.5871783
0.060356043,-0.0064856485,0.62199736,0.021974584,0.41350195,0.5864981
0.061039068,-0.006514132,0.6220453,0.023457449,0.41613707,0.58386296
0.061261714,-0.005888328,0.6231781,0.022877816,0.4144415,0.58555853
0.060267314,-0.0064825714,0.62172157,0.022052225,0.41380307,0.5861969
0.05963818,-0.0072184503,0.62029564,0.021322994,0.41330305,0.5866969
0.05986628,-0.0068403482,0.62134284,0.020882409,0.41189784,0.58810216
0.060755946,-0.006043263,0.62256587,0.020902142,0.41112307,0.58887696
0.061194815,-0.005890198,0.6226297,0.021643236,0.4124373,0.5875627
0.06043207,-0.006131485,0.6222851,0.021144237,0.41174987,0.58825016
0.05970155,-0.0068679154,0.6209935,0.021126438,0.41253176,0.58746827
0.060089633,-0.006759748,0.6213574,0.021230709,0.41252738,0.5874727
0.0604859,-0.0061427206,0.6225355,0.021024486,0.41142225,0.58857775
0.060122326,-0.006129965,0.62225866,0.020323036,0.41016635,0.5898337
0.06016748,-0.0064900815,0.6216155,0.020876583,0.4116344,0.5883656
0.060547814,-0.0064373314,0.62198037,0.021787046,0.41318908,0.5868109
0.06049362,-0.006320238,0.6220719,0.021540126,0.4126556,0.5873444
0.059784345,-0.0068745166,0.62073374,0.020722993,0.41185692,0.5881431
0.060244307,-0.006423168,0.62191975,0.020562747,0.4108781,0.58912194
0.060209744,-0.0062798113,0.62212664,0.020711573,0.41104585,0.58895415
0.060816206,-0.0062310845,0.6219869,0.021344576,0.41227144,0.58772856
0.060811818,-0.0058878735,0.62296915,0.0214454,0.41194472,0.5880553
0.060499888,-0.0055905506,0.62370056,0.021147067,0.41098133,0.5890187
0.06003613,-0.0060542524,0.62278664,0.021344595,0.41189772,0.58810234
0.060125217,-0.0061510503,0.6228878,0.021733698,0.41260538,0.5873946
0.059784174,-0.0062655136,0.6227505,0.021545896,0.41236326,0.58763677
0.06037172,-0.0059551,0.6232796,0.021733755,0.4123537,0.58764637
0.061105393,-0.0055358484,0.6242315,0.022965904,0.41402528,0.58597475
