mu1,mu2,sigma1,sigma2,pi1,pi2
-0.037288457,0.043559045,0.05662739,0.19192477,0.8579231,0.14207691
-0.035885245,0.044385016,0.055941775,0.19068423,0.85867214,0.14132789
-0.03530225,0.04489389,0.055571213,0.19017507,0.8591114,0.14088856
-0.03611058,0.045067847,0.055982243,0.19107285,0.8586289,0.1413711
-0.035750538,0.044806123,0.055798072,0.19059117,0.8588635,0.14113653
-0.034582093,0.045196176,0.0551924,0.18942687,0.85957026,0.1404298
-0.03328441,0.04567969,0.054486822,0.18813324,0.8604126,0.13958739
-0.034086272,0.04555881,0.05488829,0.18895237,0.85993963,0.14006037
-0.03422883,0.04550159,0.05496954,0.18908216,0.8598452,0.14015472
-0.035739616,0.045000315,0.055725936,0.19055547,0.8589756,0.14102443
-0.03618467,0.04444328,0.05596463,0.19086926,0.8587185,0.14128153
-0.037917063,0.043758392,0.0568604,0.19255108,0.85769933,0.14230068
-0.03778097,0.0433999,0.05680017,0.1922891,0.8577857,0.14221427
-0.037284717,0.043594956,0.056537267,0.19179738,0.8580867,0.14191331
-0.03690222,0.043688625,0.056367323,0.19143856,0.8582661,0.14173387
-0.03756337,0.043670982,0.056712955,0.19217435,0.8578549,0.1421451
-0.03800337,0.043537796,0.056956355,0.19262852,0.85757065,0.14242938
-0.037520334,0.04359609,0.05672334,0.19213755,0.857831,0.14216901
-0.037752673,0.043724597,0.056842785,0.19243886,0.85768336,0.14231668
-0.036473185,0.0440799,0.05619322,0.19116156,0.85842264,0.14157735
-0.036860928,0.044223994,0.056347832,0.19160508,0.8582501,0.14174995
-0.036637783,0.04439631,0.056210585,0.19136852,0.8584219,0.14157805
-0.034951434,0.04447311,0.05540604,0.18961284,0.8593419,0.14065805
-0.035533264,0.04447812,0.05562333,0.19022486,0.8591053,0.14089476
-0.03681566,0.04447958,0.05630429,0.19159551,0.8583049,0.1416951
-0.03598158,0.044276565,0.05590111,0.19064057,0.85878056,0.14121945
-0.03605534,0.044426084,0.05590895,0.19075154,0.8587739,0.14122616
-0.036178917,0.04438275,0.055995386,0.19088307,0.858666,0.141334
-0.036346257,0.04445225,0.056065876,0.19107167,0.85858685,0.14141318
-0.036760613,0.04410237,0.05630213,0.19143832,0.8583145,0.14168547
-0.035149127,0.04454565,0.055506233,0.18985236,0.8592178,0.14078222
-0.034238234,0.044909358,0.05500419,0.1889843,0.85980356,0.14019644
-0.03654866,0.044717938,0.056185197,0.1914269,0.85841453,0.14158544
-0.03524798,0.044760168,0.055552386,0.19003248,0.859153,0.140847
-0.035265356,0.04498157,0.055487297,0.19006783,0.8592495,0.14075056
-0.035704494,0.044730693,0.055743672,0.1904719,0.85895026,0.14104973
-0.035552174,0.04476714,0.055657547,0.19030596,0.8590552,0.1409448
-0.036118805,0.04461816,0.055931736,0.19085747,0.85874647,0.14125356
-0.03635852,0.04440075,0.056038085,0.19102533,0.8586426,0.14135742
-0.037381425,0.043969035,0.056541093,0.19197582,0.85808647,0.1419135
-0.038645983,0.042993724,0.05723754,0.1930906,0.8573041,0.14269596
-0.03981,0.042477816,0.0578579,0.19421865,0.856606,0.14339405
-0.039534852,0.04243642,0.057697393,0.19387591,0.8568039,0.14319608
-0.040747806,0.04185939,0.05836507,0.1950615,0.8560493,0.14395072
-0.04038927,0.041822344,0.058188226,0.1946625,0.85624844,0.14375153
-0.04024358,0.041885197,0.05814311,0.19455962,0.8562788,0.14372125
-0.039976686,0.042123616,0.058033194,0.19438234,0.85637426,0.14362578
-0.039838538,0.042508423,0.057957105,0.194359,0.8564413,0.14355873
-0.039578393,0.042672366,0.05782025,0.1941286,0.85659057,0.14340942
-0.037814125,0.043211758,0.056917753,0.19238165,0.85760146,0.14239858
-0.037356347,0.043683797,0.056649838,0.19202875,0.8578973,0.14210272
-0.036301196,0.044381708,0.056114987,0.19108756,0.8584917,0.1415083
-0.035708323,0.044742763,0.05578485,0.19054069,0.85887367,0.14112635
-0.034695342,0.04525137,0.05526606,0.18958598,0.85946906,0.14053096
