mu1,mu2,sigma1,sigma2,pi1,pi2
0.17658842,-0.013054796,0.07666924,0.033085734,0.23818032,0.76181966
0.17608052,-0.0131487325,0.076597445,0.033082154,0.23823625,0.76176375
0.17790878,-0.010411613,0.07637006,0.03272913,0.2373145,0.7626855
0.1795302,-0.015143745,0.07637462,0.032680377,0.23678598,0.76321405
0.17710131,-0.015931733,0.076371625,0.032899182,0.23757598,0.762424
0.17510456,-0.0131119415,0.076224364,0.032948125,0.23811881,0.7618812
0.17701006,-0.009906299,0.07607282,0.032636132,0.2373039,0.76269615
0.17874455,-0.014473103,0.07619886,0.03264666,0.2368874,0.76311266
0.17945892,-0.012442656,0.07614973,0.032490574,0.23648149,0.7635185
0.17924422,-0.016365446,0.076223366,0.032636937,0.23669128,0.7633087
0.17720819,-0.014339857,0.07616659,0.032736544,0.23727974,0.7627203
0.17554122,-0.014441736,0.076192476,0.032920297,0.2379507,0.7620493
0.17440307,-0.0118901655,0.076177694,0.03297266,0.23834823,0.76165175
0.17470151,-0.011804573,0.076201424,0.032970432,0.23831967,0.76168036
0.17467475,-0.012163244,0.076303765,0.03303808,0.23844554,0.7615545
0.17524737,-0.010973044,0.07638946,0.03300761,0.2383235,0.7616765
0.17645228,-0.011773773,0.07648855,0.03297121,0.23802263,0.7619774
0.17440438,-0.015672795,0.076690964,0.033349387,0.23897637,0.76102364
0.17029607,-0.012350135,0.07669268,0.033663798,0.24040443,0.7595956
0.16999102,-0.008300893,0.076599434,0.03357969,0.24047245,0.75952756
0.17053723,-0.010373957,0.07676397,0.03368236,0.24053772,0.7594623
0.17284489,-0.006690629,0.07674001,0.033366043,0.23962735,0.76037264
0.17668271,-0.010606818,0.076855876,0.033158418,0.23843467,0.7615653
0.17723584,-0.013639666,0.07693317,0.033185117,0.23824199,0.761758
0.17694873,-0.012792669,0.07680696,0.03310788,0.23814082,0.76185924
0.17584276,-0.014664464,0.07673127,0.03320945,0.23847398,0.76152605
0.1749658,-0.011773832,0.07648937,0.03309226,0.23848665,0.76151335
0.17485416,-0.013261162,0.07638167,0.033085153,0.23846568,0.76153433
0.17318726,-0.01293356,0.07638606,0.03323282,0.23904882,0.7609512
0.1708129,-0.01226186,0.07647791,0.033503667,0.24002962,0.7599703
0.16954267,-0.009490557,0.076581955,0.033635706,0.24061796,0.75938207
0.17009324,-0.008520149,0.07676415,0.033684608,0.240679,0.75932103
0.17042017,-0.009847961,0.07698371,0.033809923,0.24082555,0.75917447
0.17016554,-0.009472556,0.07711,0.033893194,0.24103378,0.75896627
0.16982925,-0.00974793,0.07720652,0.03398905,0.24127282,0.7587272
0.1688956,-0.009958051,0.0772883,0.034128696,0.2416955,0.75830454
0.16689998,-0.009987451,0.07738325,0.034380127,0.2425324,0.75746757
0.16788685,-0.005239792,0.077245474,0.03411236,0.24201778,0.7579822
0.17144501,-0.007748015,0.07727105,0.033852763,0.24083436,0.75916564
0.17340529,-0.009931214,0.07730082,0.03370739,0.2401006,0.7598994
0.17272586,-0.012656175,0.07732973,0.03383049,0.24034029,0.75965965
0.1730504,-0.008844204,0.077093855,0.033575922,0.23990008,0.76009995
0.17561656,-0.010815702,0.076954916,0.033306282,0.23888059,0.7611194
0.17594415,-0.01341074,0.076876424,0.03326946,0.23863882,0.76136124
0.17486036,-0.013015397,0.07669901,0.03325247,0.238789,0.76121104
0.1741355,-0.012296565,0.07653918,0.0332193,0.23888133,0.76111865
0.17382127,-0.0118616745,0.076492436,0.03321668,0.2389513,0.76104873
0.17385906,-0.011217661,0.07651398,0.03321657,0.23897378,0.7610262
0.17579883,-0.009782352,0.07646512,0.032980856,0.23822567,0.76177436
0.17619824,-0.014424659,0.076592736,0.033110894,0.23825882,0.7617412
0.17525786,-0.011844568,0.07653448,0.033092935,0.23843668,0.76156324
0.17505556,-0.012905739,0.07656285,0.03316216,0.2385948,0.7614052
0.17399228,-0.01249785,0.07656174,0.033249427,0.23895817,0.7610418
0.17391574,-0.011073582,0.07649838,0.03319638,0.2389237,0.7610763
0.1742019,-0.011846848,0.076523885,0.033205856,0.23887733,0.76112264
0.17434591,-0.01132939,0.076536804,0.033185877,0.23882468,0.76117533
0.17504108,-0.0113860145,0.07655861,0.03313552,0.23860532,0.7613947
0.17424238,-0.013464667,0.07667698,0.033317436,0.23902658,0.7609734
0.17127007,-0.0129961,0.07674392,0.03362296,0.24014904,0.759851
0.16990662,-0.009467341,0.07668975,0.033658326,0.24059181,0.7594082
0.17264545,-0.00697314,0.07664886,0.033342715,0.23961389,0.7603861
0.17431402,-0.012534969,0.076860175,0.033421822,0.23929532,0.7607047
0.17400122,-0.01068484,0.07684977,0.033381898,0.23928861,0.7607114
0.17193544,-0.014448129,0.07699105,0.033742957,0.24023756,0.75976247
0.16925949,-0.009738289,0.07691616,0.03384863,0.2410528,0.7589472
0.17127317,-0.0071108416,0.07682451,0.03357572,0.2403044,0.75969565
0.1738643,-0.010257818,0.076903254,0.03344534,0.23950174,0.7604983
0.17363828,-0.012427323,0.07694754,0.0335182,0.239578,0.760422
0.17083317,-0.013215952,0.07699736,0.03382073,0.24061272,0.7593873
0.17117065,-0.0068785623,0.07683279,0.033567272,0.24028175,0.75971824
0.17179108,-0.012656458,0.07703449,0.033766977,0.24040903,0.759591
0.17123502,-0.0087586865,0.07694517,0.033664808,0.2403981,0.7596019
0.17113143,-0.011699788,0.077002816,0.033786952,0.2405865,0.75941354
0.16997683,-0.009832226,0.076981895,0.03383374,0.2409197,0.7590803
0.1705684,-0.008759953,0.0770084,0.033780742,0.2407681,0.7592319
0.17117757,-0.009938441,0.07711077,0.033808753,0.24068148,0.75931853
0.17293632,-0.008229546,0.077028364,0.033553116,0.23992495,0.760075
0.17537808,-0.010915019,0.07699118,0.033356994,0.23902796,0.760972
0.17852008,-0.009968512,0.076822214,0.032927208,0.23763327,0.76236665
0.17832565,-0.017391555,0.07688039,0.033126008,0.2378052,0.7621948
0.17418593,-0.014743753,0.07667478,0.03331335,0.2389249,0.761075
0.1720857,-0.011925168,0.07646885,0.033358995,0.23951454,0.7604855
0.17142093,-0.010986246,0.076417826,0.033389553,0.23975037,0.7602496
0.17182851,-0.009568803,0.076453365,0.033350546,0.23966509,0.7603349
0.1745274,-0.008446462,0.07649567,0.03310402,0.23875925,0.7612408
0.1756168,-0.0134078935,0.07674303,0.033239193,0.23866232,0.7613377
0.17496681,-0.011388667,0.07677237,0.033253394,0.23883134,0.76116866
0.1756295,-0.011999346,0.07676633,0.033207025,0.23861693,0.76138306
0.1749605,-0.013278462,0.07674887,0.033283196,0.2388344,0.7611656
0.1731528,-0.013153158,0.076648556,0.033389866,0.23935468,0.76064533
0.17396998,-0.008935384,0.07644298,0.033115964,0.23882718,0.76117283
0.17768562,-0.010432057,0.07640402,0.03279154,0.23751588,0.76248413
0.17836332,-0.01518441,0.07652808,0.03287889,0.23738524,0.7626147
0.17565674,-0.014979102,0.07654043,0.033113975,0.23828837,0.7617116
0.17368191,-0.012365632,0.076444566,0.033199854,0.23890258,0.76109743
0.17409754,-0.010731362,0.076375924,0.033102185,0.23871702,0.76128304
0.17631745,-0.010331981,0.07636406,0.03288654,0.2379308,0.7620692
0.17737025,-0.013730727,0.07644719,0.03290133,0.2376589,0.762341
0.17562932,-0.014413275,0.07647379,0.03307676,0.23825565,0.7617444
0.17494649,-0.011474423,0.076402195,0.033040293,0.23840064,0.76159936
0.17594993,-0.011742644,0.076435864,0.032983888,0.238129,0.761871
0.1756931,-0.013484947,0.07649581,0.033074927,0.23829076,0.7617093
0.17498493,-0.012276791,0.07642445,0.03307065,0.23843585,0.7615641
0.17671627,-0.010359339,0.07631215,0.03281262,0.23769996,0.7623001
0.1772157,-0.014860086,0.076450035,0.03293719,0.2377135,0.7622864
0.17558408,-0.013095744,0.07644719,0.033033613,0.23821282,0.76178724
0.17510092,-0.012446679,0.076408416,0.033055488,0.23838255,0.7616175
0.17405045,-0.013183393,0.076437354,0.03318864,0.23880813,0.76119184
0.17270398,-0.01179833,0.07645872,0.03329946,0.23930703,0.76069295
0.17340791,-0.009566553,0.07645954,0.03319846,0.2390794,0.76092064
0.17446989,-0.011683516,0.07658158,0.0332185,0.2388759,0.76112413
0.17465526,-0.011424415,0.076634124,0.033214293,0.23882404,0.761176
0.17421758,-0.012653284,0.07672106,0.03332969,0.23908472,0.7609153
0.1720097,-0.012881272,0.07679032,0.033580024,0.2399457,0.7600543
0.17186034,-0.008897521,0.0766702,0.033448182,0.23985669,0.76014334
0.17311555,-0.010898583,0.0767362,0.033424236,0.239552,0.760448
0.17366135,-0.010503329,0.07674564,0.033359975,0.23932688,0.7606731
0.17440248,-0.011368759,0.07674923,0.03330959,0.23906969,0.7609303
0.17394847,-0.012446918,0.07679655,0.033394817,0.23926768,0.76073235
0.17358387,-0.01098942,0.07675158,0.03337111,0.23932904,0.76067096
0.1742993,-0.011128403,0.0767082,0.0332875,0.23904613,0.7609539
0.17376143,-0.012821041,0.07673355,0.033385456,0.23927146,0.7607286
0.17226231,-0.011824392,0.07669015,0.0334776,0.2397384,0.7602616
0.17217577,-0.010087512,0.07664701,0.033432733,0.23973706,0.76026297
0.17254287,-0.010807104,0.07672686,0.033466343,0.2397286,0.7602714
0.1736052,-0.00962422,0.07672816,0.0333387,0.23932698,0.76067305
0.1747858,-0.011559658,0.07678738,0.03330253,0.2389889,0.7610111
0.17462373,-0.0121879205,0.07679322,0.03332291,0.2390164,0.7609836
0.17462373,-0.011603244,0.07672672,0.033269968,0.23892662,0.7610734
0.17424971,-0.012620114,0.07671834,0.03332301,0.23906463,0.76093537
0.17355424,-0.011662133,0.07665007,0.033327863,0.23922336,0.76077664
0.17349881,-0.011416264,0.07659665,0.03330327,0.23920296,0.7607971
0.17343521,-0.011441104,0.07660473,0.033315606,0.23923957,0.7607604
0.17273176,-0.011865117,0.076667845,0.03342757,0.23956855,0.76043147
0.17132974,-0.011543073,0.07674714,0.033599272,0.24015917,0.75984085
0.17023951,-0.010150172,0.07681063,0.033716977,0.24063666,0.75936335
0.17015994,-0.009363167,0.07687927,0.03375651,0.24076942,0.7592306
0.17111665,-0.008762173,0.07694124,0.03369217,0.24050397,0.75949603
0.17204934,-0.010052778,0.07703314,0.033682782,0.2402796,0.7597203
