mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.007952416,-0.003873542,-0.07863714,0.4958541,0.06845268,0.46904954,0.4674825,0.15598832,0.37652922
0.00916099,-0.004497841,-0.078002736,0.49666315,0.06870406,0.46926227,0.46674687,0.1561164,0.37713677
0.011764253,-0.005007282,-0.07781215,0.49747124,0.06906632,0.47005,0.46592262,0.1559473,0.3781301
0.012573326,-0.0039517432,-0.07853417,0.49708325,0.06909001,0.4704631,0.46569645,0.15595786,0.3783457
0.013130778,-0.0031994134,-0.0791706,0.4967378,0.06897942,0.47058436,0.46567935,0.15583453,0.3784862
0.015273446,-0.0027437657,-0.079619005,0.49693123,0.06914311,0.4711997,0.46509805,0.15568006,0.3792219
0.014117831,-0.0012087375,-0.08073218,0.4957922,0.06872828,0.47079825,0.46569717,0.15565632,0.3786465
0.016326958,-0.0016241521,-0.080766395,0.49636903,0.068790644,0.47113493,0.46523288,0.15526557,0.37950155
0.013582075,-0.00075413287,-0.08135097,0.4952056,0.068372816,0.47046468,0.46629238,0.15534225,0.37836537
0.01490956,-0.0011050552,-0.080953136,0.49585682,0.06863992,0.47074646,0.4656317,0.15545245,0.3789159
0.01647135,-0.0010019392,-0.0810277,0.49617594,0.06888688,0.4713012,0.46508494,0.15544708,0.37946793
0.013410026,-0.000691548,-0.0810975,0.49528965,0.06872028,0.47084403,0.46606687,0.15571566,0.37821752
0.0160011,-0.00118424,-0.08079438,0.49622604,0.0689403,0.47123772,0.465126,0.15556936,0.37930465
0.010795588,-0.0014453679,-0.08052339,0.49504894,0.06860038,0.4702907,0.46689236,0.15583988,0.3772678
0.013194913,-0.002140209,-0.07989667,0.4962073,0.06882978,0.470468,0.4657954,0.15583763,0.37836695
0.013893837,-0.0021015257,-0.08001967,0.4962938,0.06885842,0.47065789,0.4656368,0.15573655,0.37862667
0.009590143,-0.0025657862,-0.079584196,0.49548027,0.06862578,0.46987852,0.4670339,0.15598825,0.37697783
0.006667876,-0.0041886717,-0.078335896,0.495722,0.068471655,0.46895298,0.46781072,0.15611875,0.3760705
0.0075671314,-0.0050673634,-0.07749204,0.49663964,0.06869762,0.46895054,0.46713138,0.15628403,0.3765846
0.009700621,-0.005829379,-0.07707502,0.4975084,0.06898516,0.46951193,0.46640074,0.156121,0.37747827
0.004036927,-0.0057892054,-0.07699676,0.4960772,0.068496004,0.4683552,0.46831745,0.15639338,0.37528917
0.018158996,-0.008412316,-0.07610951,0.5004852,0.06988998,0.47152033,0.46401054,0.15516083,0.3808287
0.009540344,-0.0024836212,-0.079712644,0.49534595,0.06857925,0.47003698,0.4670592,0.15591936,0.37702146
0.010131234,-0.0033562332,-0.07900761,0.49612263,0.06862541,0.46968028,0.4666821,0.15594591,0.377372
0.013512576,-0.004070565,-0.07884438,0.49715024,0.06886653,0.4703443,0.4657682,0.15552282,0.378709
0.013553107,-0.0026800185,-0.07988544,0.496353,0.068617195,0.47033384,0.46595803,0.15543438,0.37860763
0.013081426,-0.002072528,-0.08023961,0.4959529,0.06852278,0.47022212,0.4661221,0.15551025,0.3783677
0.008929396,-0.0027905256,-0.07962261,0.49533302,0.068368495,0.46944216,0.46744984,0.15579191,0.3767583
0.0121378545,-0.0038901418,-0.078737095,0.4968593,0.068790175,0.47000515,0.46606722,0.15573758,0.37819526
0.006242776,-0.004078999,-0.07849838,0.49548912,0.06838514,0.46888176,0.46805412,0.15606523,0.37588063
0.011698598,-0.005635962,-0.07702099,0.49800804,0.06952912,0.47044,0.4654873,0.15638065,0.37813205
0.010764951,-0.00394468,-0.078639016,0.49657825,0.06867766,0.4697314,0.4664456,0.15583922,0.3777152
0.012734884,-0.0040614456,-0.07861225,0.49709338,0.06897235,0.47033873,0.46579406,0.15578419,0.3784218
0.009591186,-0.0032649785,-0.07897802,0.4959603,0.068706535,0.46980172,0.46679658,0.15607136,0.37713206
0.009903902,-0.0037552267,-0.07866256,0.49634072,0.068639524,0.46952838,0.46666294,0.15598834,0.37734878
0.0095997695,-0.0041446537,-0.078403935,0.49646786,0.068600535,0.469383,0.4667519,0.15594938,0.3772987
0.009709502,-0.004399553,-0.07831021,0.49659058,0.0685829,0.46932036,0.4667761,0.1558745,0.37734947
0.014491642,-0.0050679,-0.07813196,0.4979396,0.069150396,0.47065744,0.4653144,0.15551315,0.37917244
0.017196858,-0.0029511005,-0.079846516,0.49728858,0.06910657,0.47147262,0.4647816,0.15524982,0.37996855
0.01653489,-0.00046004355,-0.08131547,0.49592638,0.06896205,0.471609,0.46496952,0.1555671,0.37946343
0.020026857,-0.00041152537,-0.08179502,0.49649107,0.06906818,0.47228625,0.46421498,0.15504937,0.38073567
0.014452601,0.00080393255,-0.08249928,0.4944644,0.06850255,0.47121578,0.46621227,0.15537277,0.37841496
0.017309422,0.00023142993,-0.08215077,0.49555808,0.06859878,0.47130457,0.46519008,0.15515454,0.3796554
0.011304075,-0.000555411,-0.081473455,0.49447623,0.06831758,0.4702481,0.46717384,0.15549944,0.37732664
0.016370172,-0.0016209036,-0.08066128,0.49646586,0.06885468,0.47106314,0.46516368,0.15536116,0.37947518
0.0147864465,-0.00053550303,-0.08117516,0.49559608,0.06881164,0.4710654,0.4655585,0.1556842,0.3787573
0.015196854,-0.00063441694,-0.08096747,0.49585104,0.068996765,0.47125947,0.46524486,0.15583839,0.37891677
0.013286078,-0.0010942072,-0.08063589,0.4955974,0.06887896,0.47088903,0.46587875,0.15589248,0.37822884
0.01568135,-0.0014471263,-0.080547675,0.4963302,0.06900443,0.47121453,0.46513912,0.1556586,0.3792023
0.008382345,-0.0021778196,-0.0799223,0.49486935,0.068536066,0.46984416,0.46759695,0.15599847,0.37640458
0.009788478,-0.0033934861,-0.07902299,0.49604398,0.06853079,0.46942812,0.46689907,0.15589479,0.37720618
0.011538977,-0.0039554387,-0.07856001,0.49683252,0.06885638,0.4699492,0.46612987,0.1559123,0.37795785
0.013766849,-0.0038048476,-0.07890116,0.49714476,0.06898401,0.47053194,0.4655825,0.15564972,0.37876782
0.009933228,-0.002848968,-0.079257384,0.49581176,0.06877234,0.47001848,0.46671748,0.15610465,0.37717786
0.007315391,-0.0041278154,-0.07834338,0.49588048,0.068562075,0.4691499,0.46752113,0.15614828,0.37633058
0.012457693,-0.005358234,-0.077699825,0.49774593,0.069075674,0.47015,0.46578065,0.15577549,0.3784439
0.0110629145,-0.0033646077,-0.07898258,0.49637526,0.068739586,0.46992758,0.4663248,0.15593417,0.37774107
0.01706403,-0.004272029,-0.07889901,0.49800435,0.06927964,0.4713707,0.46468818,0.15528516,0.3800266
0.014815116,-0.0009339005,-0.081073746,0.4957141,0.06864293,0.47090733,0.46562868,0.15546674,0.3789046
0.014226908,-0.0009868592,-0.08092846,0.49566633,0.06868101,0.47080016,0.46574834,0.15559867,0.37865305
0.015714789,-0.0011392981,-0.080903366,0.49608052,0.068828024,0.47111657,0.46529555,0.15549569,0.37920874
