mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.13214332,-0.011522211,0.10124386,0.16396132,0.01979012,0.1635322,0.016769072,0.9746387,0.008592284
0.1323637,-0.011113144,0.10104782,0.16382207,0.019745212,0.16345581,0.016732326,0.9746951,0.008572556
0.13302127,-0.011420526,0.101020224,0.16371684,0.019692246,0.16334142,0.016678624,0.97476584,0.008555561
0.13352892,-0.008358337,0.10072402,0.1616728,0.019139005,0.16163947,0.016258664,0.9754725,0.0082688555
0.13386896,-0.008772291,0.10062172,0.16189604,0.01918406,0.16184197,0.016285023,0.97541577,0.0082992045
0.13362548,-0.009073593,0.10077881,0.16204059,0.019230664,0.16193609,0.016324148,0.97535646,0.008319402
0.1339427,-0.008035697,0.10057453,0.16141057,0.019055756,0.16143374,0.016188532,0.9755796,0.008231892
0.13376382,-0.007565774,0.100521766,0.16127515,0.019027883,0.16134118,0.01617256,0.97561353,0.008213867
0.13387218,-0.0070362464,0.10037372,0.16106534,0.018970255,0.16119634,0.016128764,0.97568613,0.0081850905
0.13379088,-0.00848905,0.10056504,0.16186193,0.01917894,0.16183417,0.016284278,0.975421,0.008294728
0.13365844,-0.0067098513,0.100441225,0.16086361,0.018926064,0.16101453,0.016100038,0.9757422,0.008157783
0.13388053,-0.0067940727,0.100279965,0.16102144,0.018958831,0.16118363,0.016120786,0.9756998,0.008179368
0.13265306,-0.0070086494,0.100501396,0.16159596,0.01915357,0.16168012,0.016292045,0.97544646,0.008261487
0.13346007,-0.007827915,0.10029612,0.16199644,0.019227566,0.16204154,0.016330648,0.9753541,0.008315288
0.1329098,-0.008896448,0.10073765,0.1624393,0.019362742,0.16232856,0.016439892,0.975183,0.008377111
0.13245851,-0.008538403,0.10070702,0.16245106,0.019382514,0.16236728,0.016464183,0.97515535,0.008380469
0.13212407,-0.008677818,0.10063689,0.16287582,0.019507311,0.1627704,0.01656584,0.97499305,0.008441105
0.13331828,-0.010932244,0.100744836,0.16362725,0.019658415,0.16332768,0.01664982,0.9748073,0.008542782
0.13278162,-0.010320522,0.10114022,0.16289149,0.019484023,0.16261013,0.01652836,0.97503203,0.008439606
0.1325491,-0.011154212,0.101096965,0.16362698,0.019685645,0.16326293,0.016682493,0.9747731,0.00854438
0.1325958,-0.009453274,0.10085227,0.16281049,0.019470934,0.16262975,0.016525555,0.9750446,0.008429821
0.13361159,-0.011805572,0.10092948,0.16377364,0.01968448,0.16338576,0.016660022,0.9747779,0.008562066
0.13498619,-0.010438181,0.10096987,0.16191459,0.01914545,0.1617067,0.016228177,0.9754747,0.008297115
0.13424993,-0.010227479,0.10119308,0.16179055,0.01913923,0.1615706,0.016236376,0.97548187,0.008281783
0.1343045,-0.00835643,0.10072569,0.16114365,0.01897177,0.16114105,0.016115276,0.975691,0.008193755
0.13470605,-0.0056386366,0.10018701,0.15986794,0.018632514,0.16017368,0.01586011,0.9761203,0.00801957
0.13541847,-0.004185237,0.09983016,0.15899013,0.018384913,0.15948007,0.015663525,0.9764366,0.007899883
0.13428712,-0.006718017,0.100361295,0.16063668,0.018844707,0.16081077,0.016026495,0.97584856,0.0081249615
0.13471606,-0.005386509,0.1001007,0.15981722,0.018619567,0.16015336,0.015851127,0.97613597,0.008012913
0.13471222,-0.0046380535,0.100012474,0.1594308,0.018521667,0.15984449,0.01577903,0.9762601,0.0079608625
0.13505995,-0.0032429472,0.099753015,0.1586353,0.018308183,0.15921113,0.015614241,0.9765321,0.007853648
0.13360453,-0.005973138,0.10025803,0.16065292,0.018874554,0.16088635,0.016064644,0.97580576,0.008129628
0.13283652,-0.009279288,0.10067115,0.16283026,0.01946773,0.16268604,0.01651974,0.9750479,0.00843239
0.13271582,-0.008770265,0.10069818,0.16251151,0.019389011,0.16241077,0.016463973,0.97514796,0.008387986
0.1326786,-0.008150734,0.10056933,0.16227174,0.01932804,0.16224125,0.016420385,0.9752245,0.008355127
0.13259065,-0.0076405182,0.10046866,0.16212593,0.019293958,0.16214879,0.016398286,0.97526634,0.00833537
0.13241968,-0.009262659,0.10065838,0.16309941,0.019554751,0.16294287,0.01659443,0.9749341,0.00847146
0.13226989,-0.009641685,0.100812115,0.16322398,0.019592699,0.16301438,0.016624492,0.97488654,0.00848896
0.13232931,-0.010751046,0.10094649,0.16375697,0.019730058,0.16343103,0.016723324,0.97471297,0.008563693
0.1324878,-0.011230566,0.10107245,0.16381155,0.019737748,0.16343448,0.016724031,0.9747054,0.008570513
0.13136935,-0.009394802,0.10100775,0.16326132,0.019636376,0.16303551,0.016675254,0.9748283,0.008496506
0.13277492,-0.010823168,0.10067315,0.16395909,0.01976712,0.16365924,0.016743254,0.9746649,0.0085918605
0.13267517,-0.011862256,0.10122029,0.1639732,0.019773295,0.16352491,0.016745556,0.97466236,0.008592129
0.13303193,-0.01143346,0.10117244,0.16343817,0.01961701,0.16305599,0.016619949,0.9748642,0.008515871
0.13357934,-0.010777511,0.10103574,0.16285528,0.01944344,0.16256584,0.016479995,0.97508746,0.008432608
0.13356823,-0.008713521,0.10081232,0.16174309,0.019155018,0.16167212,0.01626828,0.97545344,0.008278296
0.13354757,-0.008372702,0.10060755,0.16183153,0.019179694,0.16180676,0.016289324,0.9754194,0.008291242
0.13386285,-0.008006014,0.10049788,0.1615841,0.019104483,0.16161017,0.016228031,0.9755158,0.008256205
0.13381848,-0.008277573,0.100591,0.16165754,0.01912477,0.16164953,0.01624312,0.9754907,0.008266235
0.13347593,-0.00798557,0.10060712,0.16161656,0.01912688,0.16162613,0.01625199,0.9754864,0.008261612
0.13465178,-0.004121758,0.09988613,0.15928748,0.018487833,0.15975814,0.015756162,0.9763017,0.007942111
0.1336503,-0.006560661,0.10030309,0.16097938,0.018956888,0.16115353,0.016124746,0.97570115,0.008174109
0.13302934,-0.006988086,0.100402616,0.1614985,0.019114235,0.16160433,0.016255,0.9754978,0.0082472265
0.13303196,-0.008332349,0.10049125,0.16231897,0.019327292,0.16228661,0.016412769,0.9752264,0.008360842
0.13281801,-0.009963848,0.10083293,0.16309527,0.019537514,0.16287033,0.01657064,0.9749603,0.008469067
0.1329591,-0.009089924,0.10077519,0.1624487,0.01936249,0.16232148,0.016437296,0.9751844,0.008378345
0.13287577,-0.008793391,0.10070426,0.16238812,0.019350035,0.16229294,0.016430506,0.9751991,0.008370404
0.13229585,-0.008871295,0.100733586,0.16276251,0.019470515,0.16263708,0.016533505,0.9750421,0.008424374
0.13193381,-0.009296693,0.100718,0.16332136,0.01963178,0.16314144,0.016662264,0.9748337,0.008504037
0.1324715,-0.010004617,0.10072056,0.16351618,0.01966241,0.16328208,0.01667284,0.97479737,0.008529784
0.1325207,-0.0104157105,0.10094433,0.16342707,0.019635914,0.16313948,0.016649483,0.9748342,0.008516365
0.13283727,-0.0107033625,0.10098138,0.16334815,0.019602051,0.16304326,0.016615804,0.9748799,0.008504301
0.13305584,-0.0094826,0.10086643,0.16251941,0.019376697,0.16235137,0.016444458,0.9751679,0.008387685
0.13268885,-0.009590007,0.10086311,0.16281928,0.019469319,0.16262867,0.01652176,0.97504747,0.008430803
0.13224965,-0.009821035,0.10086217,0.16327168,0.019605577,0.16304153,0.016633665,0.9748707,0.008495648
0.1323384,-0.00981269,0.10078088,0.16335437,0.019624509,0.16313198,0.016646892,0.97484595,0.008507214
0.13251203,-0.009699799,0.10077838,0.16317904,0.019571718,0.16297337,0.016603786,0.97491425,0.008481954
0.1327289,-0.008287288,0.10061029,0.16228457,0.01932943,0.16223879,0.016420037,0.97522336,0.008356599
0.13219354,-0.0061489716,0.10034122,0.161492,0.019144509,0.16165745,0.016297093,0.97545385,0.008249062
0.13211972,-0.008457042,0.100408696,0.16308881,0.019564692,0.1630191,0.016611371,0.9749169,0.008471698
0.13125151,-0.0086704865,0.10069942,0.16335109,0.019666953,0.16320877,0.016705327,0.97478443,0.008510235
0.13104215,-0.010786451,0.1008561,0.16471702,0.020036466,0.16434817,0.016982308,0.974313,0.008704656
0.13055584,-0.011082567,0.101059,0.16493383,0.020113286,0.16450296,0.017049175,0.9742143,0.008736486
0.13026714,-0.011012353,0.101007886,0.16511525,0.020173272,0.16468684,0.017100604,0.9741356,0.008763737
0.1305897,-0.01192192,0.10103322,0.16555265,0.020277854,0.16503985,0.017170526,0.97400385,0.00882557
0.13012135,-0.012604512,0.10131074,0.16590436,0.02039031,0.165287,0.017262192,0.97386086,0.008877003
0.13047242,-0.01491306,0.101520576,0.16701613,0.020675685,0.16616172,0.017462002,0.9735006,0.009037353
0.13065523,-0.015539683,0.10180063,0.16692825,0.020643193,0.16599728,0.017430646,0.9735465,0.009022889
0.13151574,-0.01342354,0.101488,0.16531172,0.020173144,0.1646536,0.017064748,0.97414863,0.008786609
0.1313976,-0.014104702,0.10158514,0.16573167,0.020290209,0.1649928,0.017153295,0.97399944,0.008847229
0.13260812,-0.0132183805,0.1013303,0.1647616,0.019983713,0.1641714,0.01690065,0.97439474,0.008704613
0.13258678,-0.012720682,0.10143862,0.16424976,0.019848187,0.16370244,0.016799616,0.97456914,0.008631264
0.13303739,-0.010485627,0.10103475,0.16297533,0.01949588,0.16269672,0.016531454,0.9750174,0.008451118
0.1336298,-0.008161999,0.100586616,0.16167645,0.019136576,0.16167547,0.016255831,0.97547466,0.008269517
0.13389736,-0.008165278,0.100521155,0.161635,0.019116178,0.16164552,0.0162356,0.9755013,0.008263101
0.13422093,-0.0061735883,0.10029324,0.16038069,0.018781483,0.16061133,0.015981192,0.97592837,0.008090436
0.1337187,-0.0066830292,0.10035155,0.16093588,0.018942665,0.16109829,0.016111765,0.9757204,0.008167849
0.13358414,-0.0069569126,0.10034119,0.16123818,0.019026024,0.16136922,0.016177317,0.9756129,0.008209821
0.13300186,-0.006025471,0.10028892,0.16101356,0.018990299,0.16121955,0.0161645,0.9756547,0.008180769
0.13243106,-0.0054274574,0.10010601,0.16120835,0.019063024,0.16146708,0.016233534,0.9755566,0.0082098795
0.13218763,-0.008801617,0.1004454,0.16326177,0.019607777,0.1631555,0.01664198,0.9748624,0.008495606
0.13188139,-0.009655692,0.10080435,0.16350754,0.019683067,0.16328163,0.016701357,0.9747686,0.008530052
0.13182387,-0.010004856,0.100862555,0.16365275,0.019722631,0.16339043,0.016730402,0.97471875,0.008550808
0.13155487,-0.0102308765,0.10092526,0.16388477,0.01979437,0.16358611,0.016789421,0.97462624,0.008584295
0.13116786,-0.011699118,0.101112224,0.16489287,0.020077167,0.16441986,0.017006587,0.9742648,0.008728639
0.13110468,-0.012192644,0.10120108,0.16516042,0.020151015,0.16462825,0.01706213,0.974171,0.008766906
0.13119948,-0.012461819,0.1012445,0.165226,0.02016454,0.16466731,0.01706934,0.9741548,0.008775912
0.13154542,-0.013667621,0.101394765,0.16565132,0.020263996,0.164972,0.017133078,0.9740313,0.008835646
0.13202122,-0.012144841,0.10128952,0.164415,0.019915111,0.16391554,0.016864238,0.9744787,0.008657056
0.13321435,-0.011026718,0.100983955,0.163341,0.019585352,0.16301693,0.016594492,0.9749034,0.008502147
0.132792,-0.011383869,0.10122558,0.16348945,0.019640028,0.16309847,0.016642565,0.97483385,0.008523569
0.13253227,-0.009880222,0.10097281,0.1629432,0.019507302,0.16271198,0.016552271,0.97499937,0.008448359
0.13266626,-0.009165563,0.100693025,0.1628135,0.019469755,0.16267379,0.016524846,0.9750446,0.008430512
0.13310188,-0.008505262,0.10055008,0.16232929,0.019327354,0.16227654,0.016411014,0.97522724,0.00836179
0.13367945,-0.008805551,0.10058925,0.1621253,0.019251708,0.16206028,0.016340898,0.97532755,0.008331541
0.13358736,-0.007844962,0.10062266,0.16142498,0.019072924,0.16145107,0.016209085,0.9755562,0.00823475
0.1336171,-0.007332124,0.10045811,0.16127282,0.019032754,0.16136311,0.016179686,0.975606,0.008214282
0.1330361,-0.007932521,0.10056434,0.16190915,0.01921985,0.16191229,0.016331699,0.9753647,0.008303624
0.13298818,-0.007916249,0.10049484,0.16204023,0.019256214,0.16204749,0.016360752,0.9753171,0.008322164
0.1323438,-0.009557225,0.10077941,0.16317156,0.01957621,0.16297486,0.016610913,0.97490764,0.0084814485
0.13233098,-0.009656765,0.100784846,0.16323715,0.019593855,0.16303016,0.01662416,0.97488517,0.0084907245
0.13270763,-0.00852529,0.10060858,0.1624705,0.019378847,0.1624005,0.016457342,0.9751601,0.008382612
0.13243136,-0.0077704564,0.100546636,0.16218889,0.019316074,0.16218892,0.01641749,0.9752381,0.008344398
0.13215235,-0.008391894,0.100555606,0.16278644,0.019483196,0.16271523,0.016548239,0.9750231,0.008428714
0.13186362,-0.010955669,0.10091727,0.16425794,0.019881632,0.16389507,0.016847637,0.97451615,0.008636262
0.13199624,-0.011327542,0.10107694,0.16418856,0.019857148,0.1637831,0.016824458,0.97455,0.008625491
