mu1,mu2,sigma1,sigma2,pi1,pi2
-0.009510085,0.3406431,0.017221382,1.3141456,0.60726535,0.39273462
-0.00948976,0.34081167,0.01718516,1.3144397,0.6074817,0.39251825
-0.010087535,0.34019572,0.01718833,1.314434,0.6078351,0.39216495
-0.010225192,0.3386776,0.017355273,1.3128101,0.60761327,0.39238676
-0.010020986,0.33292776,0.017941985,1.307161,0.6071724,0.3928276
-0.010848209,0.33499223,0.017666208,1.3099034,0.60763216,0.39236784
-0.010102525,0.32883674,0.018369652,1.3032671,0.6067571,0.3932429
-0.010536239,0.3256039,0.018625634,1.3010011,0.6069894,0.39301065
-0.009858713,0.32542902,0.018745892,1.2998834,0.6063491,0.39365092
-0.011104569,0.3368904,0.017465666,1.3120251,0.6076328,0.3923672
-0.012113735,0.3444894,0.01667399,1.3200544,0.6083934,0.3916066
-0.011868402,0.35011786,0.016226316,1.3246787,0.60822386,0.39177617
-0.012356445,0.3483221,0.016306601,1.3238655,0.6086983,0.39130166
-0.01112251,0.34920245,0.016373534,1.3230345,0.60780305,0.39219692
-0.0114289075,0.34739453,0.016451625,1.3221927,0.60835755,0.39164242
-0.011153147,0.3431608,0.016866557,1.3179158,0.6080151,0.39198488
-0.0102636665,0.3445757,0.016843498,1.3180287,0.6074358,0.3925642
-0.0089671165,0.3385797,0.017487464,1.3114333,0.606822,0.39317802
-0.008903995,0.33870465,0.017437732,1.3118398,0.6071561,0.39284396
-0.008990064,0.33422965,0.017848484,1.3078506,0.6071621,0.3928379
-0.007141724,0.3281011,0.018688703,1.2998178,0.6056645,0.39433548
-0.010545775,0.32415634,0.01862774,1.300728,0.608112,0.39188805
-0.008223459,0.32220548,0.0192792,1.2947881,0.6053651,0.39463487
-0.008759543,0.32491225,0.018863315,1.2985024,0.60626066,0.39373937
-0.009199575,0.32100457,0.01918911,1.2956891,0.6065042,0.39349583
-0.009025261,0.31852907,0.0195046,1.2929572,0.6060527,0.39394727
-0.009414062,0.3239674,0.018906476,1.2982942,0.6063738,0.39362618
-0.009122565,0.3324737,0.018090531,1.3057413,0.6064567,0.39354333
-0.010002449,0.335154,0.017687067,1.3096279,0.6074413,0.39255866
-0.008499995,0.33539265,0.017853525,1.3078576,0.6063614,0.39363858
-0.0105715245,0.34569484,0.01663472,1.3198313,0.6084079,0.39159206
-0.008487746,0.32343692,0.019031785,1.296972,0.606116,0.393884
-0.009689197,0.3303457,0.018202087,1.3046596,0.6070811,0.39291888
-0.009145513,0.3330528,0.01802708,1.3062657,0.6066134,0.3933866
-0.008686289,0.3268748,0.018651837,1.3004113,0.6063893,0.39361075
-0.008296564,0.3237986,0.018998915,1.2972409,0.6061132,0.39388683
-0.008148268,0.3219337,0.019201437,1.2954174,0.6060179,0.3939821
-0.009823248,0.32664305,0.018529028,1.3016522,0.6072009,0.39279908
-0.010488048,0.32491928,0.018691096,1.3003275,0.60708624,0.39291376
-0.011480615,0.33694142,0.01746923,1.3119912,0.60762316,0.3923768
-0.01226525,0.3329745,0.017753864,1.3093934,0.60795873,0.3920413
-0.011446133,0.33870834,0.017345736,1.3133341,0.60723245,0.39276758
-0.01192908,0.33668512,0.017421888,1.3126285,0.6078791,0.39212093
-0.011122331,0.34533364,0.016729338,1.3194616,0.6074946,0.39250544
-0.012534454,0.34873718,0.016228093,1.3247417,0.6089428,0.39105722
-0.012612447,0.35591453,0.015651155,1.330952,0.6088684,0.39113158
-0.013238922,0.36156803,0.015125848,1.3367971,0.60946906,0.3905309
-0.012321517,0.35665184,0.015617843,1.331191,0.60877746,0.39122254
-0.012275115,0.34910172,0.016243126,1.3244982,0.60872334,0.39127672
-0.010443553,0.34890062,0.016466655,1.3218886,0.60744226,0.3925577
-0.009605363,0.3367378,0.017584726,1.3105909,0.6071802,0.39281988
-0.01009728,0.339639,0.017252898,1.3138607,0.6076538,0.3923462
-0.010280594,0.33454198,0.017731287,1.3092229,0.607515,0.39248502
-0.010054693,0.34272963,0.017032783,1.3160254,0.60733443,0.3926656
-0.008770421,0.3346942,0.017884132,1.307564,0.60659605,0.39340395
-0.009638861,0.33100682,0.018100793,1.3055869,0.60734046,0.39265954
-0.008975819,0.32823557,0.018501783,1.3018277,0.6064816,0.3935184
-0.010660812,0.32705337,0.018418461,1.3027968,0.6075448,0.39245525
-0.009867176,0.32406884,0.018890524,1.2985146,0.6063576,0.39364243
-0.010680363,0.3337807,0.017827513,1.3084497,0.607203,0.39279702
-0.011334196,0.33738726,0.017402926,1.3126473,0.60775983,0.3922402
-0.010838911,0.338373,0.017376507,1.3128703,0.6073707,0.3926293
-0.01149185,0.3344186,0.017650869,1.310274,0.60784584,0.39215413
-0.0116999,0.3424005,0.016931321,1.3174225,0.6078736,0.3921264
-0.011896446,0.35248417,0.01601503,1.3269202,0.60833275,0.3916673
-0.011613861,0.3486442,0.016340405,1.3234146,0.60834074,0.39165923
-0.012432888,0.3527581,0.015907058,1.3279984,0.6089881,0.3910119
-0.010113612,0.34352845,0.016973129,1.3167473,0.60713935,0.39286068
-0.010758355,0.34211785,0.016970132,1.3167807,0.6080058,0.39199415
-0.0114239305,0.34228522,0.016907057,1.3175054,0.60827214,0.3917279
-0.011950895,0.34001607,0.017099682,1.3156717,0.6082343,0.39176574
-0.011099204,0.34490114,0.01678664,1.318737,0.60751635,0.39248365
-0.011171922,0.33710533,0.017432708,1.31232,0.6077605,0.3922395
-0.010363802,0.33789665,0.017459935,1.3119856,0.607154,0.392846
-0.008382067,0.34174627,0.017278604,1.3134724,0.606312,0.39368805
-0.009925351,0.33720905,0.017425455,1.3120816,0.60801387,0.3919861
-0.0075900704,0.33326834,0.018135363,1.3050367,0.6059507,0.39404932
-0.009159133,0.33802444,0.017448058,1.3116727,0.60758305,0.39241695
-0.009659782,0.33432132,0.017787391,1.3084671,0.60749805,0.39250192
-0.009727493,0.32735986,0.018512929,1.3017166,0.6069582,0.39304182
-0.00906156,0.3186751,0.01951241,1.2928486,0.6059864,0.3940136
-0.009645447,0.32237285,0.019052895,1.2969959,0.60643554,0.39356452
-0.00923346,0.31837744,0.019517815,1.2929178,0.6059873,0.39401266
-0.008050546,0.32201296,0.019271696,1.2949332,0.60539085,0.39460918
-0.010410503,0.33715147,0.017439147,1.3120708,0.6078366,0.39216343
-0.010154471,0.33141702,0.018057112,1.306166,0.60721123,0.3927888
-0.011945263,0.34530157,0.016610816,1.3205884,0.6084837,0.3915164
-0.011821225,0.3459465,0.016597772,1.3207443,0.6081679,0.39183208
-0.011822835,0.3418315,0.01695852,1.3170998,0.60809195,0.39190805
-0.011669144,0.33838183,0.017297346,1.3137518,0.60781544,0.3921846
-0.010737762,0.34005624,0.017246304,1.3141644,0.6072238,0.39277622
-0.011157796,0.338072,0.01733301,1.3133225,0.6078101,0.39218995
-0.011019662,0.34002286,0.017184395,1.3147814,0.6076564,0.39234355
