mu1,mu2,sigma1,sigma2,pi1,pi2
0.017708533,-0.0027632564,0.21207483,0.05149517,0.42907286,0.57092714
0.017508455,-0.0043087304,0.21183397,0.051330637,0.42845646,0.5715436
0.017442085,-0.006314352,0.2110378,0.05084562,0.42793998,0.57206005
0.018860988,-0.007395804,0.21033399,0.05057804,0.42771664,0.5722833
0.018311046,-0.008978784,0.21006618,0.050362732,0.4271356,0.5728644
0.018334188,-0.008375198,0.21014331,0.050412796,0.42730296,0.5726971
0.018657185,-0.009519577,0.2098197,0.05025587,0.42694756,0.57305247
0.019165732,-0.009072021,0.2099743,0.050403148,0.42714956,0.5728504
0.019048639,-0.009196237,0.21002471,0.050413933,0.42705697,0.57294303
0.018374331,-0.008819297,0.21012573,0.050397936,0.42715716,0.57284284
0.01980076,-0.007967457,0.2101691,0.050578482,0.427627,0.57237303
0.018688343,-0.008528799,0.2103003,0.050528172,0.42720246,0.5727976
0.020300902,-0.0047266334,0.21140124,0.051369864,0.4287234,0.57127666
0.017863639,-0.0066135824,0.21118668,0.050954852,0.42771712,0.5722829
0.018135108,-0.0041226298,0.21153131,0.05119151,0.428652,0.571348
0.01895789,-0.0032413304,0.21193881,0.051536884,0.42903057,0.57096946
0.018687315,-0.0023331344,0.2125065,0.051846452,0.4292222,0.5707778
0.016859777,-0.0052478313,0.2115041,0.051036756,0.42829022,0.5717098
0.017988943,-0.0033837259,0.21148379,0.051160097,0.4289857,0.5710143
0.017374195,-0.004589647,0.21166196,0.05121205,0.42837766,0.5716223
0.01864969,-0.0049060285,0.21152677,0.0512764,0.4284332,0.5715668
0.017410003,-0.008246303,0.21049818,0.0505282,0.42746305,0.57253695
0.018214889,-0.011580184,0.2085948,0.049494393,0.42667294,0.57332706
0.018861659,-0.011450991,0.20870492,0.049653683,0.4265562,0.57344383
0.019554876,-0.013380185,0.20860708,0.049678642,0.42582765,0.5741724
0.020353638,-0.014331058,0.20842017,0.049639262,0.42553797,0.574462
0.020136736,-0.015256345,0.20807254,0.049390078,0.42522788,0.5747721
0.01960785,-0.0116740465,0.20909032,0.049928207,0.42634472,0.5736553
0.01966191,-0.012199461,0.20887831,0.049796764,0.42616627,0.5738337
