mu1,mu2,sigma1,sigma2,pi1,pi2
0.003378503,-0.08636041,0.013222453,0.4022741,0.93323505,0.06676497
0.0045237914,-0.08731634,0.01321846,0.4019789,0.9333267,0.06667326
0.005479254,-0.08529151,0.013166829,0.40080076,0.9339232,0.06607686
0.0046364293,-0.08260074,0.013189566,0.40064806,0.9340418,0.0659582
0.0040723607,-0.07978661,0.013353746,0.4009748,0.93384945,0.0661505
0.0044121966,-0.07805163,0.013192594,0.39964247,0.9345927,0.06540722
0.0027784035,-0.07615648,0.013393556,0.40088928,0.93394935,0.066050686
0.003789179,-0.074622855,0.013363708,0.3998968,0.9344367,0.065563306
0.0019553825,-0.07460117,0.013477832,0.4013481,0.93371123,0.06628879
0.0034750476,-0.077430785,0.013098455,0.39957002,0.9346985,0.06530152
0.003924884,-0.07721172,0.012842054,0.3981579,0.9354906,0.064509414
0.0023997948,-0.0790552,0.012781671,0.39903212,0.9351275,0.064872496
0.004146658,-0.078770526,0.012748275,0.39795047,0.9356242,0.06437586
0.0017810538,-0.08082091,0.012896168,0.40027893,0.9344659,0.06553413
0.004149355,-0.08243018,0.01286922,0.3993533,0.9348556,0.06514444
0.0039705858,-0.08051466,0.012985658,0.39957017,0.934704,0.065296024
0.002373539,-0.08300987,0.013071374,0.40129235,0.9338496,0.06615045
0.0027210042,-0.08618848,0.013355935,0.40315798,0.9327508,0.06724916
0.004363619,-0.08860518,0.0133482115,0.40290663,0.9328051,0.06719486
0.0053112283,-0.08690364,0.0134101445,0.40232745,0.93304664,0.06695333
0.0026111975,-0.087802276,0.013807067,0.40560338,0.9312892,0.06871084
0.00938829,-0.080712564,0.013384361,0.39872557,0.9347796,0.06522045
0.0009210631,-0.0768215,0.013806895,0.40383974,0.9323211,0.06767899
0.0033359304,-0.08126837,0.013656978,0.40292493,0.93277067,0.06722927
0.004669346,-0.07896363,0.013627737,0.401667,0.93337333,0.06662669
0.0034273192,-0.07646485,0.013704804,0.4020559,0.93319505,0.06680495
0.0031182244,-0.077286184,0.013558928,0.4017602,0.9334141,0.0665859
0.002116464,-0.081594706,0.013437978,0.40273067,0.93298244,0.06701758
0.004710801,-0.08293552,0.013248633,0.40093648,0.9338725,0.06612747
0.0020673499,-0.085246556,0.013460271,0.40374973,0.93242407,0.06757599
0.006173961,-0.08736524,0.012983597,0.40003,0.9343798,0.0656202
0.0036345944,-0.08093206,0.013706833,0.4030661,0.93263537,0.06736466
0.0046674535,-0.08098224,0.01342851,0.40129787,0.93362707,0.06637295
0.0027785823,-0.082176775,0.01344565,0.40256023,0.93304116,0.06695885
0.003686227,-0.0828101,0.013608537,0.4029698,0.93273157,0.067268424
0.003715925,-0.08289384,0.013704169,0.4034207,0.9324527,0.067547314
0.0039356723,-0.08268362,0.013773678,0.40358952,0.9323263,0.067673706
0.0058046654,-0.08033724,0.0134362485,0.40063128,0.93392193,0.066078104
0.0046508834,-0.07418004,0.0134311635,0.3997549,0.93443567,0.065564334
0.0029984936,-0.07440239,0.013078417,0.39896014,0.9350515,0.06494849
0.004019432,-0.07077707,0.0130458735,0.39746478,0.9357958,0.06420427
0.00074196607,-0.07295762,0.013030994,0.3995029,0.9348873,0.06511277
0.0032595769,-0.07398909,0.0129872365,0.39833182,0.93539685,0.06460314
0.0010441169,-0.07836107,0.012931416,0.40023097,0.93451273,0.065487295
0.004820071,-0.07956216,0.012690663,0.39757097,0.9358043,0.06419567
0.003114529,-0.07950449,0.012593399,0.39797544,0.93569404,0.064305976
0.0037668124,-0.08104903,0.012434203,0.3972061,0.9361258,0.06387419
0.0029686615,-0.08117474,0.012624825,0.39851084,0.93542534,0.06457463
0.0042450354,-0.07942733,0.012754077,0.3980834,0.93554837,0.06445164
0.0012216195,-0.082764,0.012974216,0.4013343,0.9339155,0.06608452
0.0037081167,-0.08421376,0.013293977,0.40192485,0.9333833,0.06661672
0.0046589896,-0.0844122,0.01315331,0.4009077,0.9339138,0.06608618
0.0048768744,-0.08064425,0.013262657,0.4004318,0.9341175,0.065882534
0.0027066395,-0.08294184,0.013149115,0.40146267,0.9337191,0.06628089
0.00284224,-0.08513509,0.013463648,0.4033019,0.9326385,0.06736147
0.005727075,-0.08340881,0.013391356,0.40118504,0.9336482,0.06635182
0.0034820065,-0.081152365,0.013548184,0.4024688,0.93301636,0.066983655
0.005959727,-0.07728421,0.013319724,0.39928827,0.9346654,0.06533465
0.0024144873,-0.073667146,0.013528288,0.40113217,0.93378645,0.0662136
0.0028421506,-0.076517,0.013239168,0.4002555,0.934331,0.06566902
0.003620945,-0.0766819,0.013069487,0.399169,0.9349142,0.065085836
0.0023999587,-0.07776161,0.013092241,0.4001235,0.9344611,0.06553886
0.0043876544,-0.075729415,0.013077357,0.39863667,0.9351502,0.06484982
0.0026360825,-0.07585791,0.012940479,0.398931,0.93511355,0.064886436
0.0023295656,-0.08041678,0.012734508,0.3991439,0.9350922,0.0649078
0.0035503134,-0.08119278,0.012843427,0.3992625,0.9349349,0.06506509
0.004526727,-0.080869496,0.012653224,0.3978216,0.9357011,0.0642989
0.0014499798,-0.08171583,0.013118496,0.401667,0.93367743,0.0663226
0.0046602264,-0.08319578,0.013051531,0.40012705,0.9343664,0.065633595
0.004961185,-0.080126315,0.012958926,0.39887488,0.93503004,0.06496999
0.0044551715,-0.07569617,0.0129614165,0.3980838,0.93546814,0.06453188
0.0014296696,-0.07810652,0.012982694,0.40016106,0.93452466,0.06547539
0.0038951412,-0.07801137,0.013088672,0.39941368,0.9347718,0.06522822
0.0022452995,-0.07902183,0.013181858,0.40093148,0.93400925,0.06599073
0.00048802048,-0.08746421,0.013361961,0.40456674,0.9321024,0.06789764
0.006964989,-0.08778493,0.013190008,0.40072477,0.9338951,0.06610489
0.002138637,-0.08735621,0.0136314845,0.40503836,0.9316593,0.068340704
0.0061490163,-0.08933231,0.0133383535,0.40215254,0.9331285,0.06687154
0.005927749,-0.08414277,0.013348155,0.4011005,0.93368936,0.066310644
0.004774146,-0.07894941,0.013471256,0.40092748,0.93380797,0.066192046
0.0031019226,-0.075587206,0.013752691,0.40217322,0.9331418,0.06685818
0.0033531114,-0.0760527,0.013560499,0.40129098,0.93366355,0.066336475
0.0027696714,-0.07520631,0.013673119,0.40190542,0.93332344,0.06667659
0.0010386631,-0.07960068,0.013798318,0.40438655,0.9320311,0.06796891
0.0054213926,-0.083592564,0.013135472,0.4002215,0.93425465,0.0657454
0.004330285,-0.07877608,0.013324894,0.40056947,0.93404484,0.06595515
0.004546322,-0.078708805,0.012866936,0.39831078,0.9353759,0.06462408
0.0031411871,-0.07776981,0.012879302,0.39879718,0.9351887,0.06481127
0.0035238639,-0.076652616,0.012937783,0.39859307,0.935264,0.064736
0.00317242,-0.075017646,0.013012079,0.39873958,0.9351766,0.06482333
0.0015030429,-0.07789557,0.013087787,0.4005655,0.93427366,0.06572633
0.003931783,-0.07882406,0.013041902,0.3994058,0.93478286,0.06521714
0.0031458363,-0.07833238,0.013061236,0.39983293,0.9345763,0.06542375
0.0056532547,-0.07719251,0.012516874,0.39579624,0.9367374,0.06326255
0.002776377,-0.07424306,0.012576671,0.39678103,0.9363408,0.06365916
0.0029617473,-0.07421597,0.012544824,0.39647704,0.93651086,0.063489124
0.0026776716,-0.07338679,0.0126081,0.39673808,0.9363655,0.06363454
0.0021196827,-0.07502482,0.012586717,0.39729095,0.93611217,0.06388785
0.0026142225,-0.07656627,0.0126063,0.39751223,0.9359674,0.064032644
0.002212204,-0.07850623,0.012715289,0.3987123,0.9353209,0.064679064
0.003793247,-0.081124395,0.012475921,0.39742887,0.9359927,0.06400734
0.0021593645,-0.083774045,0.012637066,0.39961132,0.9348775,0.06512248
0.0034544244,-0.08807231,0.01265643,0.40003583,0.9345966,0.06540342
0.005571924,-0.084507786,0.012912239,0.3993943,0.9347448,0.06525523
0.0032171533,-0.083581515,0.013103985,0.4011906,0.93384755,0.06615243
0.0047333613,-0.08219737,0.013190353,0.4004729,0.9341375,0.06586248
0.0048360005,-0.07771796,0.013223797,0.39953992,0.9346096,0.0653904
0.0028240457,-0.07646156,0.013267686,0.4003985,0.934242,0.065758005
0.003757663,-0.07524502,0.013228387,0.39947012,0.9347027,0.0652973
0.0033802316,-0.0740572,0.013067719,0.39866272,0.9351896,0.06481039
0.0021048859,-0.07428157,0.013146258,0.39970863,0.9346747,0.065325335
0.0028201118,-0.07701793,0.012935237,0.39904872,0.93505347,0.064946525
0.0035094693,-0.07858509,0.012699606,0.3979976,0.93564224,0.06435779
0.0033671483,-0.07748813,0.012780776,0.39821506,0.9355055,0.06449446
0.002822183,-0.07964519,0.012656496,0.39838642,0.9354846,0.0645154
0.0035516247,-0.08046042,0.01266129,0.3982284,0.93553454,0.06446543
0.002122976,-0.08210949,0.012939609,0.4006158,0.934259,0.065741
0.0049347356,-0.082435794,0.012830651,0.39881048,0.93511254,0.06488747
0.0017122999,-0.08436026,0.013126844,0.4022032,0.9333762,0.066623814
0.004994221,-0.084610306,0.01322058,0.40106666,0.9337997,0.0662003
0.002309613,-0.086928844,0.013415228,0.4038293,0.9323842,0.0676158
0.0061507,-0.0860867,0.0133455135,0.40140957,0.9335228,0.06647713
0.004020773,-0.083251305,0.013496733,0.40247858,0.9330001,0.06699993
0.0033383742,-0.08369772,0.013694703,0.40374276,0.93230325,0.067696735
0.0029932037,-0.08649346,0.01384832,0.4052332,0.93146855,0.06853149
0.006263472,-0.08328714,0.013833395,0.40284324,0.93259853,0.06740147
0.0034757182,-0.082458615,0.013757997,0.403681,0.9323034,0.06769662
0.00514517,-0.078746185,0.013857395,0.40240476,0.93288344,0.06711658
0.00462725,-0.07603407,0.013480811,0.4003711,0.934104,0.06589602
0.0025885627,-0.07414736,0.013589757,0.40140572,0.93361974,0.06638026
0.0030206665,-0.07700471,0.01323458,0.40024492,0.9343314,0.06566855
0.0027713403,-0.076996826,0.013358343,0.4009528,0.93392444,0.06607555
0.002427198,-0.07942229,0.01337288,0.40178138,0.93349284,0.066507176
0.0047718957,-0.07917068,0.013139601,0.3995695,0.934619,0.065381
0.0019621924,-0.08304582,0.012986198,0.4011342,0.9339754,0.0660246
0.004494123,-0.08327133,0.013112945,0.40052056,0.9341447,0.06585538
0.0022456422,-0.086957544,0.013172245,0.402761,0.9330396,0.066960394
0.0041997656,-0.08926168,0.013375684,0.4032326,0.93263555,0.06736446
0.006183751,-0.08482268,0.013510174,0.40185872,0.9332235,0.06677654
0.004854016,-0.080445215,0.013502747,0.4014342,0.9335158,0.06648423
0.0025673583,-0.08071104,0.013659522,0.40325463,0.9326143,0.067385696
0.004644148,-0.079888836,0.013605748,0.4018025,0.9333108,0.06668919
0.0037330613,-0.07894847,0.013471168,0.40144047,0.9335843,0.06641575
0.0034812167,-0.07683142,0.013642896,0.40183336,0.9333336,0.06666644
0.0035327747,-0.07750678,0.013388962,0.40083754,0.9339394,0.06606058
0.0017803535,-0.07950361,0.013576732,0.4030259,0.9327954,0.067204624
0.004142858,-0.082736254,0.013276008,0.40129858,0.93369824,0.06630174
0.0033214465,-0.08498557,0.013181008,0.4018107,0.93349123,0.06650877
0.0047924146,-0.083853096,0.01328394,0.40127498,0.9336764,0.06632356
0.0043670014,-0.080863565,0.0134073645,0.40135977,0.9336077,0.066392355
0.0048420206,-0.07897242,0.013160317,0.39953992,0.93463045,0.06536954
0.004032351,-0.07515642,0.013167857,0.39906195,0.9349183,0.065081745
0.0036451146,-0.07225309,0.013079394,0.39815062,0.9354437,0.06455629
0.0024917051,-0.07115681,0.013025737,0.39820442,0.93548656,0.06451346
-0.0005960986,-0.077051274,0.013285126,0.4022784,0.9334059,0.06659415
0.004285164,-0.08192543,0.012959957,0.39958182,0.9347023,0.06529767
0.004199259,-0.08027584,0.01290237,0.39906952,0.9349735,0.06502656
0.0038416013,-0.08065806,0.012722933,0.39846918,0.93536717,0.06463284
0.0029122308,-0.08195919,0.012791738,0.3995188,0.93484527,0.06515475
0.003938727,-0.08288734,0.012798419,0.3992437,0.93494385,0.06505619
0.0037186965,-0.08203497,0.012953651,0.3998697,0.9345744,0.06542556
