mu1,mu2,sigma1,sigma2,pi1,pi2
-0.009250508,-1.5857047e-05,0.4435974,0.40351352,0.1992544,0.8007456
-0.009100675,0.0001586281,0.44382465,0.40359333,0.19940354,0.8005965
-0.00817858,0.0012370698,0.4451548,0.40404132,0.20025744,0.7997426
-0.008510041,0.0008463763,0.44472116,0.40390772,0.19999221,0.8000078
-0.008030902,0.0014042981,0.4454496,0.40416288,0.20047069,0.7995293
-0.008192013,0.0012167074,0.4452046,0.40407705,0.20030971,0.7996903
-0.008123227,0.0012968011,0.44530916,0.40411368,0.2003784,0.7996216
-0.008440283,0.0009275951,0.4448272,0.40394482,0.20006181,0.7999382
-0.008469931,0.000893084,0.4447821,0.40392905,0.2000322,0.7999678
-0.00816517,0.0012479477,0.4452454,0.40409133,0.20033653,0.7996635
-0.008798971,0.0005099304,0.44428247,0.40375385,0.19970408,0.80029595
-0.008560534,0.0007875614,0.4446445,0.4038808,0.19994183,0.8000582
-0.009680332,-0.0007979296,0.44269797,0.40324363,0.19867176,0.80132824
-0.008675733,0.0006596126,0.4443778,0.40376332,0.19974111,0.8002589
-0.009086232,0.00017543661,0.44384652,0.40360096,0.1994179,0.8005821
-0.00969584,-0.0005652554,0.4428949,0.403272,0.19879432,0.8012057
-0.009657758,-0.0011366628,0.4424113,0.40320227,0.19849347,0.8015065
-0.0077155223,0.0017972045,0.44554925,0.4040985,0.20042992,0.7995701
-0.008659705,0.0006847285,0.44430754,0.40371397,0.1996685,0.8003315
-0.008828859,0.000479465,0.44417325,0.40369886,0.19961454,0.8003855
-0.009265798,-3.3663935e-05,0.4435742,0.4035054,0.1992392,0.80076087
-0.007093358,0.002520477,0.44651446,0.40444088,0.2010691,0.7989309
-0.005879094,0.0039373464,0.4483243,0.4050619,0.20224723,0.7977528
-0.0069958596,0.002618549,0.4468923,0.4046328,0.20138167,0.7986183
-0.007542665,0.001972807,0.4461928,0.40442303,0.20095916,0.79904085
-0.0078043295,0.0016681232,0.44579434,0.40428358,0.20069727,0.79930276
-0.0074265255,0.00210805,0.4463697,0.404485,0.2010755,0.7989245
-0.007991648,0.0014499776,0.4455093,0.40418378,0.20050997,0.7994901
-0.00791902,0.0015345566,0.44561982,0.40422252,0.20058255,0.79941744
-0.008160631,0.0012532376,0.44525224,0.4040938,0.20034106,0.79965895
-0.00820608,0.0012003236,0.44518322,0.40406954,0.20029564,0.7997044
-0.00909762,0.00016218203,0.44382933,0.4035949,0.1994066,0.80059344
-0.009063668,0.00020169246,0.44388074,0.403613,0.19944036,0.80055964
-0.009333533,-0.00011250598,0.44347155,0.40346935,0.19917181,0.80082816
-0.009565561,-0.00038268638,0.44311994,0.40334594,0.19894111,0.8010589
-0.0096842,-0.0007399194,0.44274706,0.40325063,0.19870232,0.80129766
-0.009588971,-0.00040994806,0.4430845,0.40333351,0.19891784,0.8010822
-0.009662296,-0.0004953317,0.4429734,0.4032945,0.19884498,0.80115503
-0.009303889,-7.799489e-05,0.44351652,0.40348515,0.1992013,0.8007987
-0.008984537,0.00029385614,0.44400078,0.40365508,0.19951917,0.80048084
-0.009586978,-0.0021987804,0.44151342,0.40307257,0.19793516,0.8020649
-0.008429813,0.000960318,0.44453996,0.40376487,0.19978853,0.8002115
-0.008393425,0.0009909399,0.44476864,0.40389043,0.1999871,0.8000129
-0.008233818,0.0011694186,0.44512022,0.4040421,0.20024854,0.7997515
-0.0078027984,0.0016699039,0.44579667,0.4042844,0.20069882,0.7993012
-0.008344169,0.0010395177,0.44497323,0.403996,0.20015775,0.79984224
-0.008445592,0.0009214111,0.44481906,0.40394196,0.20005651,0.7999435
-0.008179682,0.0012310498,0.44522333,0.4040836,0.20032203,0.799678
-0.008153436,0.0012616195,0.4452632,0.40409762,0.20034826,0.7996518
-0.008618816,0.0007197313,0.44455594,0.40384978,0.19988367,0.8001163
-0.008412099,0.0009604149,0.44487008,0.40395987,0.20008992,0.79991007
-0.008877688,0.00041826593,0.44416294,0.40371192,0.1996256,0.8003744
-0.00946864,-0.00026983244,0.4432668,0.4033975,0.19903745,0.80096257
-0.009121467,0.00013441371,0.44379312,0.40358225,0.19938283,0.80061716
-0.008916701,0.00037285464,0.44410378,0.40369117,0.19958678,0.80041325
-0.0090099415,0.00026429223,0.44396228,0.40364155,0.19949389,0.8005062
-0.009190452,5.4089003e-05,0.44368848,0.40354553,0.19931418,0.8006859
-0.009685726,-0.0007168747,0.44276658,0.4032535,0.19871446,0.80128556
-0.009654011,-0.0011928774,0.4423637,0.40319532,0.19846389,0.80153614
-0.009282357,-5.1344163e-05,0.44352558,0.40348214,0.19920066,0.8007993
-0.009143452,0.00010881352,0.44375974,0.40357047,0.19936094,0.8006391
-0.008724987,0.00059608894,0.44439477,0.40379322,0.19977781,0.8002222
-0.008807114,0.0005004533,0.44427007,0.40374953,0.19969597,0.80030406
-0.009172565,7.4905925e-05,0.4437156,0.40355504,0.19933197,0.80066806
-0.009575968,-0.00039482338,0.44310418,0.4033404,0.19893076,0.80106926
-0.009467597,-0.00026862544,0.44326836,0.403398,0.19903848,0.80096155
-0.009304627,-7.886661e-05,0.44351536,0.40348476,0.19920056,0.8007994
-0.009467731,-0.0002687819,0.44326818,0.40339795,0.19903836,0.8009616
-0.009591064,-0.0021372908,0.44156533,0.40308008,0.19796747,0.80203253
-0.009646873,-0.001299838,0.44227323,0.40318233,0.1984076,0.8015924
-0.009545439,-0.002822096,0.4409871,0.4029965,0.19760805,0.80239195
-0.009577815,-0.0023364895,0.44139707,0.4030558,0.19786286,0.80213714
-0.009525397,-0.00312301,0.4407332,0.4029598,0.19745031,0.80254966
-0.009484134,-0.003742213,0.44021115,0.40288422,0.19712599,0.802874
-0.009549781,-0.0027569854,0.44104204,0.40300447,0.19764222,0.8023578
-0.009511876,-0.0033258894,0.44056213,0.40293503,0.19734399,0.80265605
-0.009459308,-0.001578959,0.4420533,0.40315953,0.19825175,0.8017482
-0.009670994,-0.0009378366,0.4425795,0.40322646,0.19859812,0.8014019
-0.009538143,-0.000350783,0.44316146,0.40336052,0.19896835,0.80103165
-0.009437776,-0.00023392064,0.44331354,0.40341392,0.19906811,0.8009319
-0.008159309,0.0012625359,0.4451393,0.40402412,0.20023473,0.7997653
-0.008378054,0.0010000669,0.44492173,0.403978,0.20012394,0.79987603
-0.008460865,0.0009036191,0.4447959,0.4039339,0.20004126,0.79995877
-0.008416555,0.0009552218,0.4448632,0.40395746,0.20008548,0.79991454
-0.008110429,0.0013116874,0.4453286,0.40412053,0.20039123,0.7996088
-0.0083026355,0.001087872,0.44503635,0.40401816,0.20019919,0.7998008
-0.008740016,0.0005785652,0.44437188,0.40378523,0.19976284,0.8002372
-0.00882979,0.00047405588,0.44423568,0.4037375,0.19967335,0.80032665
-0.009692728,-0.0006119631,0.4428554,0.4032663,0.19876972,0.8012303
-0.009600832,-0.0019908645,0.44168904,0.403098,0.19804436,0.8019557
-0.00964743,-0.0009780697,0.44254747,0.40322298,0.19857581,0.8014242
-0.0096534,-0.0012021087,0.4423559,0.40319422,0.19845903,0.801541
-0.009651969,-0.001223462,0.4423379,0.40319163,0.1984478,0.80155224
-0.009624203,-0.0016400985,0.4419855,0.40314075,0.1982287,0.80177134
-0.009620669,-0.0016931541,0.44194064,0.40313432,0.19820082,0.80179924
-0.009629249,-0.0015646092,0.4420493,0.40314996,0.19826837,0.80173165
-0.00965033,-0.0012481384,0.44231698,0.40318862,0.19843481,0.8015652
-0.009352853,-0.00013260765,0.44340664,0.4034373,0.19911928,0.80088073
-0.009251579,-1.7093844e-05,0.44359574,0.40351298,0.19925334,0.8007467
-0.008142677,0.0012793221,0.4452027,0.40405634,0.20028697,0.799713
-0.008549183,0.00080079364,0.44466174,0.40388682,0.19995314,0.80004686
-0.009221056,1.8445426e-05,0.44364208,0.4035292,0.19928372,0.8007163
-0.009244318,-8.637435e-06,0.4436068,0.40351683,0.19926056,0.80073947
-0.008931496,0.00035565125,0.4440813,0.40368336,0.19957203,0.80042803
-0.0081814,0.0012318321,0.44517937,0.4040574,0.2002816,0.79971844
-0.008600782,0.0007406898,0.44458336,0.40385935,0.19990169,0.80009836
-0.008731523,0.00058847445,0.4443848,0.40378982,0.1997713,0.8002287
-0.009208077,3.3562654e-05,0.44366175,0.4035361,0.19929664,0.80070335
-0.009272228,-4.1121966e-05,0.44356453,0.403502,0.19923279,0.8007672
-0.009542854,-0.00035625917,0.4431543,0.403358,0.1989637,0.80103636
-0.009538262,-0.0003509171,0.4431613,0.40336043,0.19896826,0.80103177
-0.0094449995,-0.00024230254,0.44330263,0.40341005,0.19906096,0.8009391
-0.009666893,-0.0009995647,0.44252726,0.40321898,0.1985656,0.8014344
-0.009648497,-0.0012755565,0.4422937,0.40318528,0.19842039,0.80157965
-0.009689272,-0.00066368503,0.4428116,0.40325996,0.19874245,0.80125755
-0.0095244115,-0.0003347717,0.4431823,0.40336785,0.19898202,0.801018
-0.009610332,-0.0004348479,0.4430522,0.4033221,0.19889662,0.8011034
-0.009540475,-0.000353495,0.44315797,0.40335923,0.19896606,0.801034
-0.0095685655,-0.00038618816,0.4431154,0.40334433,0.19893813,0.80106187
-0.009432764,-0.00022806448,0.44332114,0.40341657,0.19907314,0.8009269
-0.009243988,-8.235103e-06,0.44360733,0.40351704,0.1992609,0.8007391
-0.009672814,-0.0005075879,0.44295743,0.40328887,0.19883454,0.80116546
-0.009633544,-0.0004618786,0.44301698,0.4033098,0.19887355,0.8011265
-0.009572445,-0.0003907032,0.4431095,0.4033423,0.1989343,0.80106574
-0.009678069,-0.0008321054,0.44266903,0.40323943,0.19865379,0.8013462
-0.009677242,-0.00084427965,0.44265872,0.40323797,0.19864735,0.8013526
-0.009695153,-0.000575567,0.44288626,0.40327075,0.1987889,0.8012111
-0.009684567,-0.0007344432,0.4427517,0.40325138,0.19870521,0.8012948
-0.00964868,-0.00127277,0.44229618,0.4031856,0.19842187,0.80157816
-0.009589578,-0.00041067076,0.44308355,0.40333316,0.19891724,0.8010828
-0.009034022,0.00023685175,0.4439165,0.4036231,0.19946128,0.8005387
-0.008429374,0.0009407677,0.44483665,0.40394628,0.20006603,0.79993397
-0.008859473,0.00043947774,0.44419065,0.40372166,0.19964378,0.8003562
-0.009142521,0.0001099013,0.44376117,0.40357104,0.19936189,0.80063814
-0.008884375,0.00041050243,0.44415277,0.40370837,0.19961897,0.80038106
-0.009280886,-5.1224953e-05,0.44355136,0.4034974,0.19922417,0.8007758
-0.009058624,0.00020759332,0.4438884,0.40361565,0.1994454,0.80055463
-0.009042858,0.00022593664,0.44391236,0.40362403,0.1994611,0.8005389
-0.009683923,-0.0005205147,0.44294065,0.403283,0.19882348,0.80117655
-0.009682783,-0.00051917357,0.44294244,0.4032836,0.19882464,0.80117536
-0.009621982,-0.0016736336,0.44195715,0.4031367,0.19821106,0.801789
-0.009656838,-0.0011505134,0.4423996,0.40320054,0.19848618,0.8015138
-0.009682649,-0.00076329184,0.4427273,0.40324786,0.19869001,0.80131
-0.009697708,-0.00053711457,0.4429188,0.40327543,0.19880915,0.8011909
-0.009002647,0.000274805,0.4439433,0.40362704,0.19947302,0.800527
-0.009178023,6.855803e-05,0.44370735,0.40355214,0.19932653,0.8006735
-0.009669089,-0.0009667076,0.4425551,0.40322298,0.19858292,0.80141705
-0.009646869,-0.001300054,0.44227308,0.4031823,0.1984075,0.8015925
-0.009657021,-0.0011477418,0.44240192,0.40320086,0.19848764,0.8015124
-0.0096253315,-0.0016230516,0.44199988,0.4031428,0.19823764,0.8017624
-0.00960645,-0.0019067995,0.44176006,0.4031082,0.19808853,0.8019115
-0.009643382,-0.0013523943,0.44222873,0.40317592,0.19837996,0.80162007
-0.009639758,-0.001406791,0.4421828,0.40316927,0.19835138,0.8016486
-0.009654286,-0.0011889212,0.44236708,0.40319583,0.19846597,0.80153406
-0.009632125,-0.0015213512,0.4420859,0.40315524,0.19829111,0.8017089
-0.009622618,-0.001664,0.4419653,0.40313783,0.19821614,0.8017839
-0.009691362,-0.00063240004,0.44283807,0.4032638,0.19875894,0.8012411
-0.009658053,-0.0011322595,0.442415,0.40320277,0.19849578,0.8015042
-0.00957927,-0.002314555,0.44141564,0.40305844,0.19787437,0.80212563
-0.009657766,-0.0011366106,0.4424113,0.40320227,0.19849347,0.8015065
-0.009637558,-0.0014398046,0.44215488,0.40316528,0.19833401,0.80166596
-0.009625963,-0.001613716,0.44200778,0.403144,0.19824256,0.80175745
-0.009679942,-0.00080384535,0.44269294,0.4032429,0.19866864,0.80133134
-0.009664212,-0.0004975818,0.4429705,0.4032935,0.19884308,0.80115694
-0.009126234,0.00012887048,0.44378585,0.40357968,0.1993781,0.8006219
-0.009523115,-0.00033328158,0.44318426,0.40336853,0.1989833,0.8010167
-0.009319595,-9.6293516e-05,0.44349268,0.4034768,0.19918567,0.80081433
-0.009139723,0.00011317211,0.44376537,0.4035725,0.19936465,0.80063534
-0.0087239435,0.00059729593,0.44439632,0.40379375,0.19977885,0.80022115
-0.008553605,0.0007956304,0.444655,0.40388444,0.19994871,0.8000513
-0.008335142,0.0010500305,0.44498697,0.4040008,0.20016676,0.79983324
-0.008181724,0.001228673,0.44522023,0.40408254,0.20031998,0.79968
-0.008368074,0.0010116749,0.44493687,0.40398327,0.2001339,0.79986614
-0.008525855,0.000827951,0.44469717,0.40389925,0.19997641,0.8000236
-0.0088895215,0.0004044898,0.44414496,0.4037057,0.19961384,0.8003862
-0.009443258,-0.00024029089,0.44330522,0.403411,0.1990627,0.8009373
-0.0096329665,-0.0004611857,0.4430178,0.4033101,0.19887412,0.8011259
-0.009635801,-0.0014662839,0.44213247,0.40316197,0.19832006,0.8016799
-0.009688347,-0.0006777368,0.44279972,0.4032583,0.19873509,0.80126494
-0.009603622,-0.00042701734,0.4430623,0.40332568,0.19890329,0.80109674
-0.009167776,8.050131e-05,0.44372287,0.40355754,0.19933674,0.80066323
-0.008993599,0.00028331357,0.44398713,0.40365025,0.19951016,0.8004899
-0.008844382,0.0004570313,0.44421342,0.40372965,0.19965878,0.8003412
-0.009021289,0.0002510451,0.44394505,0.40363547,0.19948259,0.80051744
-0.0087324185,0.00058741646,0.44438344,0.4037893,0.19977039,0.8002296
-0.008837591,0.00046497362,0.44422382,0.40373325,0.19966558,0.8003344
-0.008798997,0.0005099081,0.44428235,0.40375385,0.19970408,0.80029595
-0.009448762,-0.0002467133,0.4432969,0.40340808,0.19905719,0.8009428
-0.009695475,-0.0005708657,0.44289023,0.40327135,0.19879135,0.8012086
-0.009638927,-0.0014192708,0.4421722,0.40316772,0.1983448,0.8016552
-0.0096285185,-0.0015756584,0.44203994,0.40314865,0.19826256,0.80173737
-0.009644047,-0.0013424329,0.44223717,0.40317708,0.19838521,0.8016148
-0.009155813,0.00010178762,0.44363236,0.4034974,0.19924705,0.80075294
-0.009696412,-0.00055674685,0.44290215,0.40327308,0.1987988,0.8012012
-0.0090423515,0.00022752362,0.4438987,0.40361553,0.19944814,0.8005519
-0.007793571,0.001692129,0.44564074,0.4041854,0.20054877,0.79945123
-0.008347283,0.0010382138,0.4449346,0.4039736,0.20012286,0.79987717
-0.00902574,0.0002458893,0.44393831,0.40363312,0.19947815,0.8005219
-0.009400594,-0.00019060296,0.44336993,0.40343368,0.19910511,0.8008949
-0.00834976,0.0010372676,0.44490176,0.40395457,0.20009324,0.7999068
-0.009225114,1.3714307e-05,0.44363588,0.40352708,0.19927965,0.80072033
-0.009304809,-7.9075224e-05,0.44351512,0.40348467,0.19920038,0.8007996
-0.009053581,0.00021346437,0.4438961,0.4036183,0.19945042,0.8005496
-0.009362503,-0.00014626456,0.4434276,0.40345395,0.19914298,0.800857
-0.00967159,-0.0009291641,0.44258687,0.40322757,0.19860265,0.8013973
-0.009691077,-0.0006366916,0.44283447,0.4032633,0.1987567,0.8012433
-0.008533808,0.0008286141,0.4445388,0.4038055,0.19983155,0.8001685
-0.009578559,-0.00039693934,0.44308722,0.40333104,0.19891599,0.80108404
-0.008760179,0.0005553268,0.44433814,0.40377256,0.1997398,0.80026025
-0.009049303,0.00021842646,0.44390252,0.40362066,0.19945468,0.80054533
-0.008108604,0.0013175287,0.4452765,0.4040879,0.20034163,0.79965836
-0.008274757,0.0011203416,0.4450788,0.404033,0.20022705,0.799773
-0.008427593,0.0009423845,0.44484648,0.4039516,0.20007448,0.79992557
-0.009043743,0.00022491592,0.443911,0.40362358,0.1994602,0.8005398
-0.008787849,0.00052289444,0.44429925,0.40375978,0.19971517,0.80028486
-0.009049649,0.00021803158,0.44390196,0.40362042,0.19945434,0.8005457
-0.009682947,-0.00075867993,0.44273114,0.4032484,0.19869244,0.80130756
-0.009653381,-0.0012023173,0.44235572,0.40319422,0.19845894,0.8015411
-0.009621221,-0.0016849659,0.44194755,0.4031353,0.1982051,0.80179495
-0.009639374,-0.0014123417,0.4421781,0.40316862,0.19834845,0.8016516
-0.009636373,-0.0014575444,0.44213986,0.40316308,0.19832465,0.8016753
-0.009575211,-0.0023754188,0.44136417,0.40305102,0.19784243,0.8021576
-0.009633428,-0.001501853,0.4421024,0.40315762,0.19830137,0.8016986
-0.009511593,-0.0033297786,0.44055882,0.40293455,0.19734195,0.8026581
-0.009541641,-0.0028792494,0.44093886,0.40298957,0.19757809,0.8024219
-0.009525864,-0.0031158873,0.4407392,0.4029607,0.19745402,0.8025459
-0.009596734,-0.0020523095,0.4416371,0.40309042,0.19801207,0.80198795
-0.009591374,-0.00052338315,0.44293913,0.403284,0.19880967,0.8011904
-0.009654081,-0.0011920132,0.44236445,0.40319544,0.19846435,0.80153567
-0.009586223,-0.0022100233,0.44150394,0.40307125,0.19792925,0.8020707
-0.009658844,-0.0011204652,0.44242498,0.4032042,0.198502,0.801498
-0.009448794,-0.00024672074,0.4432969,0.40340808,0.19905719,0.8009428
-0.009505772,-0.00031308306,0.44321048,0.40337774,0.19900052,0.80099946
-0.00890381,0.00038785266,0.44412336,0.40369806,0.19959961,0.8004004
-0.009328115,-0.00010622514,0.44347972,0.40347224,0.19917719,0.80082285
-0.009450945,-0.00024924648,0.4432936,0.40340692,0.19905505,0.800945
-0.009686192,-0.0007099457,0.44277242,0.40325433,0.19871812,0.80128187
-0.009667742,-0.00050167216,0.44296518,0.40329158,0.19883959,0.80116045
-0.009610425,-0.0018468968,0.44181073,0.40311554,0.19812,0.80188
-0.009556892,-0.0026502558,0.44113216,0.4030175,0.1976982,0.8023018
-0.009618877,-0.0017201178,0.44191787,0.40313104,0.19818664,0.80181336
-0.009616732,-0.0017523117,0.4418906,0.40312704,0.1981697,0.8018303
-0.0096639125,-0.001044283,0.44248945,0.40321353,0.19854206,0.80145794
-0.009563501,-0.0025511854,0.4412158,0.40302956,0.1977502,0.8022498
-0.009584836,-0.0022309371,0.44148618,0.4030687,0.19791828,0.80208176
-0.009643954,-0.0013439007,0.44223595,0.40317696,0.19838445,0.8016156
-0.00961824,-0.0017296918,0.44190985,0.40312982,0.1981816,0.80181843
-0.009608946,-0.0018691219,0.44179192,0.40311277,0.19810833,0.8018917
-0.009696386,-0.0005569778,0.442902,0.40327302,0.19879869,0.8012013
-0.008950303,0.0003342681,0.44404453,0.4036683,0.19954565,0.8004544
-0.0087099625,0.00061357545,0.44441757,0.40380123,0.19979279,0.8002072
-0.007957603,0.0014931165,0.4455097,0.40417048,0.2004958,0.7995042
-0.00885295,0.00044707733,0.44420046,0.40372512,0.19965026,0.8003497
-0.007339581,0.0022198237,0.44634572,0.40443575,0.20101595,0.79898405
-0.007295533,0.0022621206,0.4465462,0.4045407,0.2011851,0.79881495
-0.0076763844,0.001817105,0.4459891,0.40435177,0.20082527,0.7991747
-0.007514407,0.0020057089,0.44623584,0.40443814,0.20098746,0.79901254
-0.008104554,0.0013185196,0.44533756,0.40412363,0.20039706,0.7996029
