mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.00998348,-0.54775304,0.0055300966,0.03672885,0.81305826,0.008178168,0.8654711,0.005421767,0.12910716
-0.010078162,-0.5449018,0.005453326,0.037164513,0.8128025,0.008337564,0.86464095,0.0055081807,0.12985092
-0.009485573,-0.544691,0.004685372,0.037256137,0.8126725,0.00836019,0.86439604,0.0055388957,0.13006511
-0.011860363,-0.55738175,0.008149557,0.03524981,0.8136094,0.0076796375,0.8684983,0.0051018563,0.12639983
-0.012727782,-0.56011254,0.009153403,0.034885462,0.8134752,0.00756412,0.86929274,0.005020632,0.12568665
-0.012567714,-0.56091267,0.008738767,0.034883946,0.81300545,0.0075622546,0.8692273,0.0050317645,0.12574098
-0.013722971,-0.5666912,0.00994768,0.03418635,0.8125605,0.007336062,0.8706423,0.0048919017,0.12446583
-0.015008017,-0.56873995,0.011196673,0.03401053,0.81198657,0.0072866785,0.8711557,0.0048429556,0.124001384
-0.015153132,-0.5701039,0.011726476,0.03369109,0.81269926,0.007178489,0.8718205,0.0047724964,0.12340698
-0.015770502,-0.5715439,0.013200752,0.033166498,0.8142061,0.007012606,0.87292963,0.0046498207,0.1224205
-0.014996417,-0.5678745,0.012736972,0.03343381,0.8152181,0.007098124,0.872342,0.004698318,0.1229597
-0.014941521,-0.5660781,0.013573825,0.033260707,0.81705046,0.007047076,0.8727164,0.004645308,0.122638315
-0.013454862,-0.56382,0.011945639,0.03355815,0.8173048,0.007128135,0.87201613,0.0047172406,0.12326664
-0.0126919225,-0.5644664,0.010261916,0.03387497,0.8156523,0.0072180117,0.87131345,0.0048056077,0.12388093
-0.013436504,-0.56193984,0.010743331,0.034305282,0.8148734,0.007379397,0.8705311,0.004882559,0.1245864
-0.012314774,-0.56873506,0.008783568,0.033777818,0.81338274,0.007189547,0.8712087,0.0048344936,0.12395679
-0.015213452,-0.5655835,0.010244541,0.034901354,0.80960053,0.007596797,0.86939484,0.0050354227,0.1255698
-0.014657773,-0.5660592,0.010343123,0.034539487,0.8111289,0.0074653537,0.87007076,0.004957377,0.12497185
-0.014800422,-0.56679994,0.0110222995,0.03420495,0.81230533,0.007349474,0.8707456,0.0048796097,0.12437479
-0.015344776,-0.5773491,0.012402907,0.03260006,0.81355965,0.006817295,0.87384856,0.0045704353,0.12158107
-0.018510468,-0.5654827,0.01745449,0.033252586,0.81648344,0.007100422,0.87300825,0.0046003996,0.12239132
-0.014429651,-0.57192373,0.014435746,0.03204024,0.8197562,0.0066330903,0.87519175,0.0043994943,0.12040874
-0.01509241,-0.58055526,0.014240466,0.031458393,0.81759626,0.006435633,0.87638533,0.0043112705,0.1193034
-0.015828423,-0.5699586,0.014236428,0.03296294,0.8159898,0.0069555664,0.8734218,0.004587115,0.12199109
-0.014695607,-0.57115245,0.012775756,0.0329282,0.81582755,0.006924217,0.87340355,0.0045984024,0.12199802
-0.010332786,-0.5437041,0.0057452098,0.037311558,0.8127724,0.008397888,0.8643983,0.005531523,0.13007015
-0.00990361,-0.54787177,0.005542144,0.036669042,0.81326735,0.008156055,0.86558056,0.0054088025,0.12901057
-0.010658212,-0.5503584,0.006272316,0.03638172,0.8129157,0.00806261,0.8661825,0.00534666,0.12847087
-0.011412919,-0.5518248,0.0073304437,0.03607485,0.81324005,0.007966514,0.8668542,0.005270641,0.1278751
-0.0087229535,-0.5407336,0.0032199472,0.038057085,0.811689,0.008641178,0.8627342,0.0057266904,0.13153906
-0.014854707,-0.56677496,0.012892365,0.03344852,0.8157684,0.0071059484,0.872343,0.00469403,0.122963
-0.013458073,-0.56669444,0.010835275,0.03370977,0.81497693,0.0071694013,0.87169576,0.004771975,0.1235323
-0.011698082,-0.5573083,0.0073972046,0.035488408,0.8125064,0.007764022,0.8679117,0.005169762,0.12691854
-0.013994351,-0.56088334,0.010386705,0.03483234,0.8129451,0.0075647817,0.86949617,0.004997868,0.12550595
-0.012337893,-0.5532215,0.008872617,0.035646133,0.8140753,0.007833296,0.8677751,0.005163359,0.12706158
-0.01238925,-0.55426276,0.010056935,0.035004932,0.8163408,0.0076157763,0.86904836,0.0050138836,0.12593779
-0.010708652,-0.5487811,0.0080717355,0.035767674,0.81648463,0.007860462,0.86742187,0.0051819473,0.1273961
-0.009700477,-0.54485744,0.0066214167,0.036438573,0.8160259,0.008083494,0.8660461,0.005330881,0.12862301
-0.009548433,-0.54751974,0.006107107,0.03628958,0.8151895,0.008022691,0.8663303,0.0053142044,0.12835549
-0.009503521,-0.54722375,0.005168233,0.036740888,0.8133855,0.008178361,0.86542445,0.0054263324,0.12914923
-0.010854371,-0.5403649,0.007389657,0.037222825,0.81486094,0.008390141,0.86466724,0.005474911,0.12985788
-0.007084109,-0.53438056,0.0026026443,0.038391177,0.8143879,0.008745645,0.8621014,0.0057749944,0.13212366
-0.0059490874,-0.5295933,7.379055e-05,0.039641455,0.812261,0.009186613,0.8595225,0.0060833823,0.13439417
-0.007971451,-0.537149,0.0022556335,0.038624547,0.81156754,0.00883872,0.86162585,0.0058514886,0.13252266
-0.009784155,-0.54486245,0.004638061,0.03741551,0.811791,0.008422019,0.8641206,0.0055757635,0.13030367
-0.011066966,-0.5434197,0.0072129183,0.03701306,0.81400037,0.008309471,0.86504716,0.00544485,0.12950803
-0.009570964,-0.5448078,0.0060681254,0.03664045,0.8152181,0.00815003,0.86563694,0.0053823995,0.12898067
-0.009698406,-0.5429535,0.006314665,0.03681153,0.81550497,0.008216395,0.86531466,0.00541005,0.12927525
-0.008225292,-0.5410338,0.003904935,0.037475713,0.81415075,0.008424991,0.863914,0.0055806837,0.13050526
-0.007809125,-0.53299916,0.002740465,0.038865317,0.8130579,0.008929615,0.86124235,0.005876176,0.13288149
-0.009738453,-0.5449019,0.006332729,0.036603756,0.8152486,0.008141954,0.8657515,0.0053698597,0.12887868
-0.00920099,-0.5412094,0.005502019,0.037187148,0.81499064,0.008344044,0.8645782,0.0054951687,0.12992659
-0.0073957965,-0.53035104,0.0028643198,0.038941734,0.8143421,0.008958856,0.8610879,0.00587934,0.13303272
-0.0055732056,-0.52028084,0.000576064,0.040475734,0.8144298,0.009506143,0.8580692,0.0062183784,0.13571247
-0.0039590597,-0.5208794,-0.0018282905,0.040761497,0.81338984,0.009574899,0.85736334,0.0063243755,0.13631232
-0.006731823,-0.52965754,0.0018390492,0.039201517,0.8138592,0.0090403445,0.86054045,0.0059495266,0.13350996
-0.0063983947,-0.5298765,0.0011462048,0.039355274,0.8131933,0.009088343,0.86023086,0.0059946636,0.1337744
-0.007081993,-0.5304689,0.0020200163,0.03919337,0.81333053,0.009042049,0.8605916,0.0059483373,0.13346006
-0.005790271,-0.52577525,-6.926805e-05,0.040188063,0.81238675,0.009386881,0.85860413,0.0061864606,0.13520934
-0.0064631402,-0.5317294,0.00075825676,0.03930272,0.81227964,0.009068267,0.86023945,0.006002662,0.13375792
-0.0076420233,-0.5338302,0.0017543621,0.039154563,0.8114427,0.009026954,0.8606484,0.0059614116,0.1333902
-0.0081482455,-0.5366172,0.00254789,0.038659107,0.8117524,0.008851464,0.86162996,0.0058490336,0.13252103
-0.009362362,-0.54375124,0.0044513717,0.03742993,0.81250113,0.008421092,0.8640618,0.0055764318,0.13036178
-0.01130151,-0.5478093,0.007803209,0.03630313,0.81452006,0.0080557205,0.8664278,0.005298627,0.12827367
-0.009328626,-0.54647774,0.005109906,0.036759168,0.8138182,0.008181355,0.86535573,0.0054290015,0.12921524
-0.010594584,-0.5494466,0.0064630434,0.03637954,0.81346154,0.008063451,0.8662001,0.005339204,0.12846069
-0.010624923,-0.5489772,0.0064709596,0.036454894,0.81338096,0.008091813,0.866068,0.0053533404,0.12857865
-0.011231214,-0.5521721,0.0075129494,0.035875406,0.81393903,0.007895785,0.8672473,0.0052252547,0.12752753
-0.0113166645,-0.5422309,0.008489471,0.0366809,0.8160246,0.008204019,0.8657285,0.0053501474,0.12892139
-0.007554747,-0.54069066,0.0035590753,0.037349693,0.8150542,0.0083706,0.86410564,0.0055552274,0.13033919
-0.008834273,-0.5383615,0.0047032237,0.037730664,0.8144356,0.0085330745,0.8634791,0.0056166407,0.13090426
-0.008135676,-0.53772295,0.003832411,0.037897076,0.8142622,0.008581684,0.86312664,0.00566138,0.131212
-0.0077495053,-0.53413904,0.0030857995,0.038523346,0.8138096,0.008805137,0.861901,0.005797817,0.13230121
-0.00849019,-0.53998905,0.0043365285,0.037545595,0.8143547,0.008458878,0.8638281,0.005585232,0.13058665
-0.007653214,-0.5349201,0.0026323572,0.03859475,0.8131057,0.008825319,0.86174715,0.005823864,0.13242902
-0.007381387,-0.5336883,0.0019983985,0.038926683,0.81252855,0.008940835,0.8610892,0.005903134,0.13300768
-0.007404454,-0.5327298,0.001916118,0.039100956,0.8123667,0.009005748,0.8607563,0.005940314,0.13330339
-0.007250041,-0.53563166,0.0016357638,0.038746465,0.81209004,0.008874924,0.86131316,0.005882892,0.13280392
-0.011335254,-0.5504803,0.007392548,0.036188196,0.8134967,0.00800895,0.86664814,0.0052888542,0.12806301
-0.009560853,-0.54227006,0.0049601644,0.03748098,0.8130764,0.0084469635,0.8640084,0.005573679,0.13041791
-0.009773515,-0.54224443,0.005814135,0.03717701,0.81432396,0.008345714,0.86461276,0.005494772,0.12989244
-0.00904087,-0.544273,0.0048705637,0.03700799,0.81409466,0.008267502,0.86486727,0.005477596,0.12965512
-0.010043934,-0.54330415,0.006292913,0.03695396,0.8145971,0.008270717,0.86507076,0.005443101,0.12948616
-0.009024851,-0.54373467,0.0049569122,0.037037134,0.8142602,0.008280148,0.8648303,0.005479797,0.12968981
-0.00950966,-0.54517454,0.005218044,0.03697168,0.81360024,0.008261397,0.8649876,0.005468099,0.12954433
-0.009792417,-0.54416376,0.005486194,0.037113614,0.81348616,0.008318904,0.86474484,0.005491947,0.12976316
-0.009805717,-0.5457575,0.005596094,0.036868326,0.81362987,0.008229585,0.86521506,0.0054424955,0.12934245
-0.008778326,-0.54257816,0.0036966018,0.037632752,0.8123926,0.008489028,0.8635779,0.0056305444,0.13079156
-0.010180138,-0.5428768,0.0054479465,0.037475765,0.8125985,0.008453978,0.86406004,0.005569235,0.13037077
-0.009783044,-0.5436584,0.0056036487,0.03710644,0.8138207,0.008316981,0.86474514,0.005487535,0.12976728
