mu1,mu2,sigma1,sigma2,pi1,pi2
0.02054248,0.0011928268,0.57325363,0.3071298,0.46038088,0.53961915
0.019351147,0.0022205636,0.57326454,0.30716515,0.46111223,0.53888774
0.01927089,0.0023032948,0.5732565,0.30711123,0.46118084,0.53881913
0.01998467,0.0017289296,0.5732229,0.3069174,0.46080175,0.5391982
0.02023933,0.0015756078,0.57317704,0.3066333,0.46074033,0.53925973
0.019572638,0.0021415763,0.57319343,0.3067234,0.46112782,0.5388722
0.019744791,0.0020339303,0.5731609,0.30651602,0.46108922,0.5389108
0.019544192,0.002166599,0.57318914,0.30669007,0.46115467,0.53884536
0.019496001,0.0022097006,0.5731886,0.30668524,0.46118647,0.53881353
0.018361099,0.0030732192,0.5732746,0.30720067,0.4617182,0.53828186
0.01941339,0.0021408722,0.57328093,0.3072717,0.4610369,0.53896314
0.01996442,0.0017417669,0.5732261,0.30693725,0.4608076,0.5391924
0.018292032,0.003105469,0.57329315,0.3073166,0.4617215,0.5382785
0.019299664,0.0022228733,0.5732926,0.3073424,0.46108368,0.53891635
0.019713707,0.0018982068,0.5732675,0.3071945,0.46087593,0.5391241
0.020497747,0.0013217218,0.5731949,0.30675465,0.4605374,0.53946257
0.02040153,0.0014595166,0.57316,0.30652928,0.4606748,0.53932524
0.019827984,0.0019480884,0.57316935,0.3065721,0.46101806,0.538982
0.020466767,0.0014391281,0.5731359,0.30637783,0.46068606,0.539314
0.019580431,0.0022019148,0.57314533,0.3064118,0.46122763,0.5387724
0.019012712,0.0026054308,0.5732069,0.30678782,0.46145293,0.5385471
0.018833943,0.0026825517,0.57325894,0.30711448,0.46145245,0.5385475
0.01948493,0.0021694526,0.57322127,0.30689305,0.46112207,0.53887796
0.018556051,0.0028990842,0.57327676,0.3072196,0.46158996,0.53841007
0.01848305,0.002873689,0.57332647,0.30751136,0.46152934,0.5384706
0.01980979,0.0017861761,0.5732857,0.30731314,0.4607753,0.5392247
0.019276284,0.0022492781,0.57328874,0.30731708,0.46110696,0.53889304
0.019272603,0.0022596456,0.57328403,0.3072872,0.4611195,0.5388805
0.018714212,0.0026834868,0.573327,0.3075452,0.46137968,0.53862035
0.018654682,0.0026907697,0.5733442,0.3076196,0.4613826,0.5386174
0.018116497,0.002930276,0.57341045,0.30779096,0.46159843,0.5384016
0.017464332,0.0031517446,0.5735157,0.308104,0.4618096,0.53819036
0.016859882,0.0032545552,0.5736507,0.30855137,0.46193045,0.53806955
0.018990435,0.0021728799,0.57343715,0.30807656,0.46097854,0.5390215
0.01781965,0.00288108,0.57351303,0.30816305,0.46158484,0.5384152
0.016470574,0.0033393502,0.5737309,0.30881134,0.4620219,0.5379781
0.018037759,0.0024261102,0.57361656,0.30864197,0.46123564,0.5387644
0.01703953,0.002955258,0.57370853,0.30883047,0.46169797,0.538302
0.017164193,0.0028416663,0.5737144,0.3088798,0.46160546,0.5383945
0.016735084,0.0030096844,0.5737756,0.3090521,0.4617608,0.53823924
0.017766915,0.002495125,0.5736687,0.3088075,0.46130654,0.5386935
0.018303923,0.0023722127,0.5735603,0.3084581,0.4611761,0.5388239
0.019433402,0.0019745491,0.5733783,0.30789378,0.4608115,0.5391885
0.018811308,0.0023765564,0.57341397,0.3079438,0.461141,0.538859
0.01883655,0.0024419576,0.57338333,0.30781975,0.46118653,0.53881353
0.018702246,0.0026195422,0.57335657,0.30768105,0.46132693,0.5386731
0.0186323,0.0026018173,0.573383,0.307778,0.46131924,0.5386808
0.018534489,0.002693735,0.57337743,0.30773515,0.46139386,0.53860617
0.018335275,0.0027887896,0.5733996,0.30778882,0.46147838,0.5385216
0.018567197,0.0026869848,0.5733705,0.3077128,0.4613864,0.53861356
0.019402958,0.0020984188,0.5733147,0.30748674,0.46096975,0.53903025
0.019190915,0.002298072,0.5733058,0.30742353,0.4611238,0.53887624
0.019451268,0.00208221,0.5732977,0.3073791,0.46097648,0.5390235
0.019420527,0.002135791,0.5732803,0.3072671,0.46103403,0.53896594
0.019399174,0.0021703243,0.5732699,0.3072005,0.46107015,0.5389298
0.018852971,0.0026174001,0.5732907,0.30731744,0.46137112,0.53862894
0.019108467,0.002397053,0.5732883,0.30730945,0.4612143,0.5387857
0.018123947,0.003050357,0.57336456,0.30759987,0.46168566,0.53831434
0.018725328,0.002663128,0.573334,0.30758995,0.4613574,0.5386426
0.018663473,0.002687037,0.57334304,0.30761656,0.46137923,0.5386208
0.019497223,0.0020266026,0.5733077,0.30744433,0.46092543,0.5390746
0.019794174,0.001831051,0.57326525,0.3071825,0.4608298,0.5391702
0.01865729,0.0027576163,0.5733112,0.30744272,0.4614503,0.53854966
0.018991508,0.0024530366,0.5733187,0.3075005,0.4612219,0.5387781
0.018730901,0.002654083,0.5733358,0.3075996,0.46135002,0.53865004
0.018032052,0.0029686019,0.5734205,0.30781668,0.4616328,0.5383672
0.019119494,0.002304379,0.57334256,0.30765632,0.46108863,0.53891134
0.018810816,0.002598904,0.57332695,0.30754766,0.46131852,0.5386815
0.019437931,0.0020968728,0.57329565,0.30736622,0.46098924,0.5390108
0.019610338,0.001993753,0.57326424,0.30717093,0.46094856,0.5390515
0.018775828,0.002659127,0.57330763,0.30742332,0.46138296,0.5386171
0.018837936,0.0025675818,0.5733319,0.30758,0.4612905,0.53870946
0.018236928,0.0028998256,0.5733871,0.3077172,0.46156704,0.53843296
0.018659689,0.0026118904,0.5733715,0.3077353,0.46132454,0.5386755
0.019171067,0.0022861473,0.5733249,0.3075452,0.4610945,0.5389055
0.01860287,0.0027615875,0.5733332,0.3075631,0.4614383,0.5385617
0.01789727,0.002986662,0.5734524,0.30792373,0.46165618,0.5383438
0.018301375,0.0026990399,0.573442,0.30796,0.46141532,0.5385847
0.01816576,0.0027069934,0.57347775,0.30808344,0.46143135,0.5385686
0.017384358,0.0030081272,0.5735909,0.30840397,0.4617106,0.53828937
0.018498607,0.002427131,0.5734848,0.3081791,0.46120158,0.53879845
0.017727457,0.0028501078,0.57355064,0.30830276,0.46156913,0.53843087
0.017690413,0.0028404854,0.5735647,0.3083546,0.46156487,0.5384351
0.019181065,0.0021029413,0.5734082,0.30799294,0.46091297,0.539087
0.018387623,0.0025844574,0.5734591,0.30804917,0.46132505,0.538675
0.01879295,0.002414681,0.5734054,0.30790386,0.46117023,0.53882974
0.01888632,0.0024610423,0.5733618,0.30773953,0.4611971,0.5388029
0.019387089,0.0021037832,0.5733203,0.3075221,0.46096757,0.53903246
0.01979556,0.0018214546,0.5732708,0.30721754,0.46081692,0.5391831
0.019158192,0.002388239,0.57326555,0.30716577,0.46123248,0.5387675
0.01903192,0.0024666563,0.57328665,0.30729684,0.46126643,0.5387336
0.01919172,0.0023471862,0.5732731,0.30721533,0.46119457,0.5388054
0.018177517,0.0030829608,0.5733374,0.30749655,0.46170548,0.53829455
0.017132796,0.0033528209,0.57353705,0.3081277,0.46198174,0.5380183
0.016727619,0.0033607706,0.57364976,0.30852097,0.46201816,0.53798187
0.016431414,0.0033146814,0.5737511,0.30888844,0.4620068,0.5379932
0.014433794,0.004068926,0.57404613,0.30973426,0.4627094,0.5372906
0.01506374,0.003404513,0.5741086,0.31012356,0.4621758,0.5378242
0.01821702,0.0017947406,0.57379556,0.30943155,0.4607604,0.53923965
0.018925227,0.0017857775,0.57359684,0.30873507,0.4607004,0.53929967
0.016876407,0.002951473,0.57375646,0.3089998,0.46170753,0.53829247
0.018763654,0.0019591078,0.5735797,0.30863106,0.4608393,0.53916067
0.019928195,0.0015424378,0.57337725,0.30790114,0.4605002,0.5394998
0.018887214,0.0024662279,0.57335967,0.30773073,0.4612008,0.53879917
0.018618576,0.002650611,0.5733691,0.3077171,0.46135595,0.5386441
0.018939696,0.0025019832,0.57332855,0.3075781,0.4612344,0.5387656
0.019989572,0.0017214082,0.5732249,0.3069309,0.4607941,0.53920597
0.019836672,0.0019168034,0.57318485,0.3066708,0.46097872,0.5390213
0.019020133,0.0025322177,0.57325053,0.30706617,0.46135283,0.5386472
0.019032367,0.0024714768,0.5732838,0.30727947,0.4612724,0.5387276
0.018291764,0.0030598715,0.5733132,0.30741775,0.46167997,0.53832006
0.018231384,0.0028950572,0.5733905,0.30773,0.46156397,0.53843606
0.017799444,0.0029370487,0.57349837,0.30809757,0.46162727,0.53837276
0.01740653,0.0030629113,0.5735646,0.3082979,0.46174902,0.538251
0.018313937,0.0025684685,0.5734859,0.30814737,0.4613189,0.53868115
0.017109565,0.003144659,0.57361954,0.3084699,0.46183124,0.5381688
0.017950349,0.0025588796,0.57359314,0.30852598,0.46133932,0.5386607
0.017873563,0.0026040375,0.5735986,0.3085336,0.46137813,0.53862184
0.01711201,0.0029868037,0.57367635,0.30870944,0.46171558,0.5382844
0.016655453,0.0030999407,0.5737654,0.30899346,0.46183282,0.5381672
0.018028148,0.0024140142,0.5736237,0.30867016,0.4612275,0.5387725
0.017064162,0.00296323,0.5736986,0.30879354,0.46170196,0.5382981
0.016229294,0.0032919198,0.573817,0.30912608,0.4620054,0.5379946
0.018289842,0.002238132,0.5736132,0.30867773,0.4610791,0.5389209
0.018404983,0.002313383,0.5735529,0.30844706,0.46112543,0.53887457
0.018068038,0.002621673,0.57353663,0.30831194,0.46137637,0.5386237
0.019072019,0.0021430776,0.5734247,0.30804053,0.46095055,0.53904945
0.01900778,0.0023046806,0.57338417,0.30785742,0.4610736,0.5389264
0.018014662,0.002876453,0.5734591,0.30797514,0.46156672,0.5384333
0.018920638,0.0024325587,0.57336247,0.30774888,0.46117368,0.53882635
0.018956982,0.0024340674,0.57335097,0.3077052,0.46117336,0.53882664
0.018682666,0.0026564822,0.5733487,0.30764422,0.46135536,0.5386446
0.018934138,0.0025112443,0.5733136,0.30746576,0.4612696,0.53873044
0.018255793,0.002857484,0.5733972,0.30776322,0.46153465,0.5384654
0.017212756,0.0032363608,0.57355666,0.30822605,0.46189052,0.5381095
0.017114602,0.0031353012,0.5736216,0.30847916,0.461824,0.538176
0.018349178,0.0024168119,0.57353115,0.30834445,0.4612053,0.5387947
0.017698877,0.002786737,0.5735818,0.30842844,0.46152496,0.5384751
0.017834134,0.0027360842,0.5735617,0.30837068,0.4614777,0.5385223
0.017776735,0.002716601,0.57358515,0.30845797,0.46146777,0.53853226
0.01755061,0.0027888753,0.57362336,0.30857363,0.46153772,0.53846234
0.018252991,0.0024443343,0.57354856,0.30839846,0.4612327,0.53876734
0.018102191,0.0025664717,0.57354707,0.3083623,0.46133342,0.5386666
0.019837134,0.0016583949,0.5733535,0.30774742,0.46060956,0.53939044
0.018480875,0.0027364492,0.57337713,0.30772343,0.46142915,0.5385709
0.018102355,0.0028877705,0.57342994,0.30787015,0.4615684,0.5384316
0.01880052,0.002445694,0.57339185,0.30784878,0.46119234,0.53880763
0.019751526,0.0018140897,0.57330084,0.30740818,0.4607791,0.53922087
0.019571833,0.0020219982,0.5732679,0.3071928,0.46096507,0.53903496
0.019296743,0.0022700056,0.57326347,0.30715635,0.46114925,0.5388507
0.018169306,0.0030937567,0.57333577,0.30748817,0.461714,0.53828603
0.019595705,0.0019786954,0.57328254,0.30728692,0.46091795,0.5390821
0.015653856,0.0042252056,0.5736663,0.30835414,0.46272013,0.5372799
0.016646512,0.0031933933,0.57373387,0.30885896,0.46190184,0.53809816
0.019095667,0.0020162538,0.5734642,0.3082111,0.46085602,0.539144
0.017178066,0.0031427555,0.57360065,0.3084042,0.4618247,0.53817534
0.018628545,0.0023154467,0.5734884,0.3082202,0.4611101,0.53888994
0.018736951,0.0022953488,0.5734648,0.3081425,0.4610872,0.53891283
0.018004201,0.0026842281,0.5735321,0.3082799,0.46142688,0.5385731
0.018004276,0.0026465207,0.5735458,0.30833763,0.46139935,0.5386007
0.0184033,0.002517268,0.5734791,0.30813646,0.46127468,0.5387253
0.019338168,0.0020405129,0.5733897,0.3079452,0.46084246,0.5391575
0.019112654,0.0023704097,0.5733033,0.30740556,0.46117878,0.5388212
0.018136509,0.0030119903,0.5733749,0.30764604,0.46165666,0.53834337
0.018709786,0.0025265366,0.57338834,0.3078158,0.46125832,0.53874165
0.018865354,0.002536267,0.5733367,0.30761117,0.46126273,0.53873724
0.018439762,0.0027254894,0.5733928,0.30778128,0.46142423,0.5385758
0.0190114,0.0023883134,0.57334965,0.3076985,0.4611417,0.53885835
0.018689372,0.0026377663,0.57335365,0.30766603,0.46134123,0.5386588
0.018612616,0.0026708096,0.5733635,0.30769217,0.46137118,0.5386288
0.018536516,0.0026762113,0.5733832,0.30775994,0.46138087,0.5386191
0.017904185,0.0028848872,0.5734875,0.3080727,0.4615812,0.53841877
0.018956862,0.0023274869,0.57339036,0.30787343,0.46109414,0.5389059
0.019429095,0.0020741075,0.5733156,0.30749348,0.46095118,0.53904885
0.018473916,0.0027755722,0.57336485,0.3076705,0.46145827,0.53854173
0.018877722,0.002511792,0.57334554,0.3076684,0.46123546,0.5387646
0.018836178,0.0025581717,0.57333905,0.30762562,0.461276,0.538724
0.019019984,0.0024052113,0.57333374,0.30759677,0.46117112,0.53882885
0.018606924,0.0026944727,0.57335645,0.30766165,0.46138892,0.5386111
0.019030578,0.0024030432,0.573329,0.30756727,0.46117467,0.5388254
0.018235885,0.0028797835,0.5733948,0.3077489,0.46155247,0.53844756
0.017013513,0.0033864677,0.5735588,0.30819544,0.46201536,0.53798467
0.017146967,0.0030822642,0.57363164,0.3085281,0.46178275,0.53821725
0.01765991,0.0027125254,0.57362,0.3085812,0.4614736,0.5385264
0.016254999,0.0033945814,0.57377225,0.30894265,0.46207857,0.5379214
0.016738825,0.0029766187,0.57378656,0.30909917,0.4617363,0.5382637
0.018354319,0.0021853223,0.57361406,0.30869412,0.46103564,0.5389644
0.019155256,0.0019602105,0.5734677,0.30823734,0.46081057,0.53918946
0.019551449,0.0018917769,0.5733648,0.3078106,0.46076626,0.53923374
0.01898443,0.0023644194,0.5733691,0.3077894,0.46111903,0.538881
0.01912909,0.0023007616,0.57334006,0.30764103,0.4610882,0.5389118
0.018611737,0.0027294457,0.5733423,0.3076034,0.46141416,0.5385859
0.020795815,0.0010301769,0.5732147,0.30688918,0.46030524,0.5396948
0.019031502,0.0025321767,0.5732455,0.30703685,0.46135664,0.53864336
0.019397415,0.0022448376,0.5732222,0.30689612,0.46117565,0.5388244
0.019798718,0.001937665,0.57319295,0.3067215,0.46098503,0.539015
0.01939962,0.0022504628,0.5732172,0.30686462,0.46118504,0.53881496
0.019359268,0.0022539496,0.5732381,0.30699632,0.46116504,0.5388349
0.018741988,0.0027219504,0.573286,0.30728397,0.4614518,0.5385482
0.018906705,0.0025649741,0.57329416,0.3073411,0.46132943,0.5386706
0.018219821,0.0029780306,0.57336354,0.30761465,0.46162555,0.5383745
0.014955215,0.004387751,0.5737876,0.3087429,0.46290037,0.53709966
0.015700169,0.003437128,0.57391506,0.30943394,0.4621516,0.5378484
0.015653916,0.0033535697,0.5739587,0.30960876,0.46209392,0.53790605
0.0163491,0.0029042065,0.5739242,0.30960155,0.46171275,0.5382872
0.01751285,0.0023272373,0.57380235,0.30932003,0.46120295,0.5387971
0.016924195,0.0027152002,0.573829,0.30931467,0.4615311,0.5384689
0.018031709,0.0021869764,0.5737055,0.30901498,0.4610612,0.5389388
0.01828637,0.0022277236,0.573618,0.30869716,0.4610718,0.5389283
0.017834045,0.0025335774,0.5736355,0.3086812,0.46132958,0.5386704
0.018524908,0.0022469163,0.57354647,0.308443,0.46105358,0.53894645
0.018825404,0.0024370179,0.573388,0.3078372,0.4611841,0.53881586
0.018777542,0.002555117,0.57335854,0.30770433,0.46127412,0.53872585
0.019753046,0.0018452369,0.5732796,0.30727255,0.4608246,0.5391754
0.017734371,0.003241472,0.57340604,0.30769673,0.46185488,0.5381451
0.019065462,0.0023542494,0.573341,0.3076445,0.46112645,0.53887355
0.018829666,0.002579756,0.5733287,0.30755925,0.4613028,0.53869724
0.018015988,0.002948545,0.57343245,0.30786347,0.46161935,0.5383806
0.017540447,0.0030501857,0.573531,0.3081834,0.46172962,0.5382704
0.01888699,0.0023496784,0.5734022,0.30790925,0.46111563,0.5388844
0.018699415,0.0025032982,0.5733997,0.30786175,0.46124214,0.5387579
0.018020205,0.0028320104,0.5734737,0.30803764,0.4615338,0.5384662
0.017643727,0.0029370487,0.57354283,0.30825335,0.46163905,0.53836095
0.018402763,0.0024478287,0.5735048,0.30824396,0.46122375,0.5387763
0.019578941,0.0019086562,0.5733379,0.3076401,0.46080744,0.53919256
0.018964387,0.0024403967,0.57334256,0.3076517,0.46118706,0.538813
0.018595256,0.0026473328,0.573377,0.30774546,0.4613553,0.5386447
0.018847428,0.0025421903,0.57334304,0.30765146,0.46126014,0.53873986
0.017520927,0.0032032542,0.57348084,0.30796853,0.46184298,0.538157
0.01790119,0.0028189868,0.5735124,0.3081766,0.46153325,0.53846675
0.018349908,0.0025719106,0.5734744,0.30810612,0.46131867,0.5386813
0.017720558,0.0029230043,0.573526,0.30819803,0.46162298,0.53837705
0.018418454,0.0025669336,0.5734567,0.30804518,0.46130988,0.53869015
0.019641288,0.0018521696,0.5733391,0.30764958,0.46076527,0.5392347
0.01974582,0.0018113963,0.57330585,0.30744016,0.4607717,0.53922826
0.019220747,0.0022778735,0.5733019,0.3073993,0.46111342,0.5388866
0.019547619,0.002032455,0.5732749,0.30723697,0.460965,0.53903496
0.018149026,0.0030312166,0.5733644,0.30760407,0.46166977,0.53833026
0.019113444,0.0023704022,0.57330287,0.30740273,0.46117923,0.53882074
0.01982633,0.001827959,0.57324886,0.30707875,0.46084526,0.5391547
0.018752448,0.0027163476,0.5732836,0.3072694,0.46145028,0.5385497
0.019009016,0.0024964958,0.57328033,0.30725545,0.4612949,0.5387051
0.019128017,0.0023909025,0.5732811,0.3072642,0.46121764,0.5387824
0.017972924,0.0030569807,0.5734052,0.3077406,0.4617019,0.5382981
0.018332846,0.0027097836,0.57342905,0.30791208,0.46142083,0.5385792
0.018280335,0.0027173534,0.5734413,0.30795303,0.46143028,0.5385697
0.018195309,0.0027061887,0.57346964,0.30805513,0.46142855,0.5385715
0.01837919,0.002667565,0.57343125,0.3079304,0.4613864,0.53861356
0.01930935,0.002129607,0.573348,0.30769667,0.46095634,0.53904366
0.017988555,0.0028633773,0.5734713,0.30802122,0.46155915,0.5384409
0.017825939,0.0028832033,0.57351047,0.30815354,0.4615859,0.5384141
0.01862342,0.0024428852,0.5734434,0.30803013,0.4612037,0.53879637
0.018973328,0.0023281798,0.5733854,0.30785587,0.46109337,0.53890663
0.018934123,0.0024634376,0.5733449,0.3076656,0.46120122,0.5387988
0.0184341,0.0027314052,0.57339233,0.30777785,0.46142897,0.53857106
0.017520674,0.0031082258,0.57351553,0.3081143,0.46177354,0.5382265
0.0177617,0.0028724782,0.5735327,0.3082342,0.46158293,0.5384171
0.017864577,0.0027785525,0.5735376,0.30827513,0.46150646,0.5384936
0.017944045,0.0026685447,0.573555,0.30836415,0.46141997,0.53858
0.01889228,0.002285473,0.5734241,0.3080023,0.46106824,0.5389318
0.018350922,0.0026640594,0.57344055,0.30796403,0.461386,0.53861403
0.018572412,0.0025155172,0.5734315,0.30797005,0.46126065,0.5387394
0.017738543,0.002889581,0.573533,0.3082312,0.46159717,0.53840286
0.017628692,0.0028527454,0.5735778,0.3083976,0.46157855,0.5384215
0.01836253,0.0024877042,0.5735015,0.30822247,0.46125612,0.5387439
0.020735957,0.0009898022,0.57327545,0.30727467,0.4602105,0.53978956
0.018818848,0.0026371144,0.5732973,0.30735895,0.46137813,0.5386219
0.01920069,0.0023093969,0.57329273,0.3073406,0.4611461,0.53885394
0.01852452,0.0028319135,0.57332987,0.30753383,0.46149564,0.53850436
0.016602792,0.0035861656,0.57360315,0.30830055,0.46219245,0.5378076
0.014871247,0.0041219443,0.57390195,0.30921358,0.46271518,0.5372848
