mu1,mu2,sigma1,sigma2,pi1,pi2
-0.00578627,-0.00077696145,0.05794213,0.024852877,0.48710698,0.5128931
-0.0067662895,-0.0020611435,0.05828055,0.024982741,0.4873078,0.5126922
-0.0064260215,-0.0013270527,0.058287233,0.025031261,0.48716688,0.5128332
-0.0035140514,0.00039945543,0.05693696,0.024340278,0.48684457,0.51315546
-0.002766177,0.00020091236,0.05666894,0.02420606,0.48670164,0.5132984
-0.0014963001,0.00076566637,0.056548283,0.02423408,0.48624763,0.51375234
0.0010459572,0.0014347285,0.055932764,0.024009695,0.4855998,0.5144002
0.00067307055,-0.00011993945,0.055895954,0.023910437,0.4858273,0.51417273
6.094575e-06,0.00010757148,0.05580011,0.023777135,0.4862652,0.5137348
-0.0010358393,0.00014255941,0.05562125,0.023557113,0.48689318,0.5131068
-0.00284563,0.000120684505,0.0559311,0.023632236,0.48745587,0.5125441
-0.0047320575,0.00011704862,0.055996567,0.023532487,0.48820126,0.51179874
-0.0049432665,0.0014856309,0.05614177,0.023662006,0.48811874,0.5118813
-0.0027645081,0.0025747865,0.05607072,0.023832483,0.48711383,0.51288617
-0.0030925274,0.00052563846,0.056334578,0.02396074,0.48700824,0.5129918
0.0042913705,0.0054534525,0.05532417,0.023941584,0.48453063,0.51546943
0.0021253526,-0.0018147379,0.056205492,0.02424351,0.48483026,0.51516974
0.0004426986,-0.0010295659,0.05620118,0.024080701,0.48576376,0.5142363
-0.0010731965,-0.0009688884,0.056186434,0.023923168,0.4865587,0.51344126
0.0035244375,0.0034481138,0.05483103,0.023417128,0.485543,0.514457
-0.0059521943,-0.004885152,0.0561063,0.023390194,0.48872072,0.5112793
-0.0048766285,0.0035203546,0.055229597,0.023035992,0.48891285,0.5110871
0.00073346496,0.006014809,0.054287355,0.022898776,0.48697025,0.51302975
-0.001632899,0.0009587258,0.055314723,0.023365134,0.48707888,0.5129211
-0.00062672794,0.0031808466,0.05483757,0.023152946,0.48696753,0.5130325
-0.0069929063,-0.0027147084,0.05827724,0.024950475,0.4873861,0.51261395
-0.005801752,-0.00047393143,0.057797402,0.02474897,0.48723927,0.5127607
-0.0047865063,-0.0005452782,0.05752575,0.024639534,0.48697263,0.51302737
-0.004880905,-0.0008947998,0.057332695,0.024484145,0.48715058,0.51284945
-0.0059263855,-0.0015600473,0.058508758,0.025230572,0.48679045,0.5132096
-0.0029576868,0.000412032,0.05586886,0.023612902,0.48740536,0.51259464
-0.0018921643,0.002098903,0.055875603,0.023743063,0.48692557,0.51307446
-0.0013865381,0.0007752031,0.056850858,0.024467004,0.48596177,0.5140382
-0.0026063174,-0.0014068633,0.05663791,0.024156408,0.486676,0.51332396
-0.005983621,-0.0019647032,0.057418756,0.02440734,0.48768324,0.51231676
-0.007420942,-0.0010582358,0.05721316,0.024156246,0.488483,0.511517
-0.008700147,-0.0006095916,0.057724983,0.024438376,0.48861486,0.5113852
