mu1,mu2,sigma1,sigma2,pi1,pi2
0.0019406006,0.015562721,0.4273153,0.30919343,0.25672114,0.74327886
0.0021371618,0.014882468,0.42750072,0.30916193,0.25660095,0.7433991
0.0022205338,0.0149777755,0.4273282,0.30897456,0.2564476,0.7435524
0.0019067004,0.016088806,0.42701593,0.30901334,0.25663272,0.7433673
0.0015740618,0.01725211,0.4266944,0.3090609,0.25683278,0.7431672
0.00179746,0.016608514,0.42682025,0.30896643,0.25666156,0.7433384
0.0017199442,0.017295457,0.42647362,0.30878896,0.25659716,0.74340284
0.0019127354,0.016593032,0.42667833,0.30877417,0.25648883,0.7435112
0.001974322,0.016518272,0.42664593,0.3087016,0.25641426,0.74358577
0.0026940182,0.014101528,0.42727613,0.3085533,0.25595522,0.7440448
0.00253392,0.014416821,0.42728126,0.308687,0.2561165,0.7438835
0.0020547435,0.015885718,0.42695323,0.30884936,0.25645965,0.74354035
0.0027435347,0.013650127,0.4275061,0.3086723,0.25599965,0.7440003
0.0026022121,0.014065199,0.42742112,0.3087284,0.25610563,0.7438944
0.002284132,0.014878787,0.42730898,0.3089094,0.25637645,0.7436236
0.0016555712,0.016855769,0.42684594,0.30909976,0.2568135,0.74318653
0.0013978258,0.017649151,0.42666745,0.30918568,0.2569974,0.7430026
0.0015712753,0.017217316,0.42672077,0.3090815,0.2568463,0.7431537
0.0013001487,0.018267356,0.42639238,0.30907413,0.2569823,0.7430177
0.0015772954,0.017649762,0.42643028,0.30887493,0.2567216,0.74327844
0.002116315,0.015997268,0.42679906,0.30869237,0.25633544,0.7436646
0.0025027022,0.014753528,0.42710224,0.30858836,0.25607464,0.7439254
0.0022488013,0.01576478,0.4267762,0.3085688,0.25619426,0.74380577
0.0027141944,0.014097728,0.42725196,0.3085201,0.2559253,0.74407476
0.0030179992,0.01299154,0.4275745,0.30849656,0.25575462,0.74424535
0.002477549,0.014415406,0.4273567,0.30878517,0.25620338,0.7437966
0.0024675503,0.014176123,0.42752644,0.30891088,0.25628248,0.74371755
0.0024445578,0.014261894,0.42750072,0.30891183,0.25629497,0.7437051
0.0027717724,0.013132937,0.42780733,0.30885795,0.25609425,0.7439058
0.0029062107,0.012845151,0.42781812,0.30875608,0.25596496,0.74403507
0.003202565,0.012022771,0.4279649,0.30861667,0.25573,0.74426997
0.0036528483,0.010665156,0.4282589,0.30845395,0.2554022,0.7445978
0.004175581,0.00892549,0.42870754,0.3083392,0.2550654,0.74493456
0.0034091547,0.011348583,0.4281334,0.30856526,0.2555932,0.74440676
0.0035896227,0.010556243,0.42841396,0.30861259,0.255528,0.744472
0.004368551,0.007868893,0.42914534,0.30848455,0.25505134,0.7449487
0.003968142,0.009107269,0.42886314,0.3086152,0.25533438,0.7446656
0.0042168424,0.008129664,0.4291753,0.30862853,0.255214,0.744786
0.00427144,0.007988922,0.4291953,0.308598,0.255168,0.74483204
0.0044924095,0.007266097,0.42937714,0.3085438,0.25502235,0.74497765
0.004114233,0.008489229,0.4290752,0.30864286,0.25527534,0.7447247
0.0036751851,0.009857886,0.42875865,0.30878127,0.25558293,0.7444171
0.0029471293,0.012193121,0.42819118,0.30898103,0.25607604,0.74392396
0.0029772297,0.011863299,0.42836756,0.30907863,0.25611785,0.7438822
0.0029064491,0.01229573,0.42817783,0.30900487,0.2561111,0.743889
0.0028921291,0.012657501,0.42795965,0.30886552,0.25603655,0.7439635
0.0029952005,0.012348898,0.42802554,0.30882725,0.25596085,0.7440391
0.003034927,0.012414776,0.4279298,0.3087287,0.25588238,0.7441177
0.003165044,0.012113117,0.42795536,0.3086406,0.25576347,0.7442365
0.0031134412,0.012394838,0.427839,0.30860206,0.25576746,0.74423254
0.002703406,0.013583489,0.42760274,0.30877188,0.25607893,0.7439211
0.002613537,0.013713397,0.42763647,0.30886832,0.25618207,0.743818
0.00246308,0.014049806,0.42761514,0.30897596,0.25632313,0.7436769
0.0023471043,0.014459662,0.42750004,0.30899057,0.25639164,0.74360836
0.0022958443,0.014702953,0.42740852,0.30896887,0.25640538,0.7435946
0.0025534555,0.014011435,0.4275208,0.30883718,0.25619474,0.7438052
0.0025489256,0.014157169,0.42743137,0.30877888,0.25616282,0.74383724
0.0030399635,0.012671284,0.4277551,0.30860373,0.25580633,0.74419373
0.0030039325,0.012893595,0.42765728,0.3085653,0.2558023,0.74419767
0.003022559,0.012756549,0.42772233,0.30859515,0.25581026,0.74418974
0.0026325807,0.013792716,0.4275594,0.30879954,0.2561318,0.74386823
0.0022423193,0.014894955,0.42735368,0.30897444,0.25643626,0.7435638
0.0026809946,0.013420202,0.42773932,0.30888474,0.2561569,0.7438431
0.0027153566,0.013397776,0.4277086,0.3088354,0.25611016,0.74388987
0.0028564557,0.012958698,0.42780954,0.3087905,0.25601086,0.7439891
0.0032221451,0.0119109675,0.42801225,0.30863354,0.25572985,0.74427015
0.002909176,0.012925081,0.4277618,0.3087147,0.25593907,0.74406093
0.0028647855,0.013107561,0.42770112,0.3087087,0.25595847,0.7440415
0.0025558248,0.014044128,0.42749622,0.3088182,0.25618234,0.7438176
0.002289243,0.014831714,0.42733303,0.30892193,0.25638115,0.74361885
0.0026523247,0.013552152,0.4276908,0.3088745,0.25616565,0.7438344
0.0028037205,0.013070561,0.42780593,0.30883104,0.25606194,0.7439381
0.0030888692,0.012328781,0.42791486,0.3086745,0.25582272,0.7441773
0.003067471,0.012432821,0.42787492,0.30866423,0.25582772,0.7441723
0.0027820542,0.013324983,0.42766804,0.30875322,0.2560273,0.74397266
0.0029223934,0.012921728,0.42774662,0.3086934,0.25591978,0.74408025
0.0033704415,0.011418916,0.42813852,0.30860034,0.25563383,0.74436617
0.0033648983,0.011450194,0.4281253,0.30859563,0.25563392,0.74436605
0.0034455732,0.011015199,0.42830372,0.30865344,0.25562632,0.74437374
0.0038395151,0.009645186,0.42868045,0.30859363,0.25538802,0.744612
0.003481172,0.0108330175,0.42837602,0.3086745,0.2556203,0.7443797
0.0036721453,0.010121547,0.42858973,0.30866697,0.25551736,0.74448264
0.0037692115,0.009884067,0.42861697,0.3086069,0.25543204,0.744568
0.0031560883,0.011744507,0.42820877,0.30882314,0.25587538,0.7441246
0.003237076,0.011290647,0.42839912,0.30888903,0.2558723,0.7441277
0.0030669048,0.011930533,0.42820483,0.30889305,0.25596246,0.7440375
0.002919726,0.0125191435,0.42801377,0.30888054,0.25603113,0.7439689
0.0026046857,0.013553195,0.42775306,0.3089563,0.2562384,0.74376166
0.002205722,0.014867239,0.42742005,0.30905026,0.25649977,0.74350023
0.0023149475,0.014694773,0.42738864,0.30893958,0.25637823,0.74362177
0.0024995878,0.014181338,0.4274807,0.30885312,0.25623196,0.74376804
