mu1,mu2,sigma1,sigma2,pi1,pi2
0.04533661,0.004967736,0.08686462,0.031575,0.0010971063,0.9989029
0.043998554,0.00472253,0.08598366,0.031169299,0.0010706134,0.9989294
0.043999366,0.004841311,0.08567064,0.03098522,0.0010544619,0.99894553
0.048212685,0.005439004,0.08974342,0.033019904,0.0012032517,0.99879676
0.04878234,0.006131868,0.090477325,0.033396684,0.0012317536,0.99876827
0.048896514,0.0064676814,0.090136886,0.0331883,0.0012136786,0.9987863
0.050005086,0.007881387,0.09119994,0.03370501,0.0012494976,0.9987505
0.05000601,0.007455225,0.09148606,0.033888288,0.0012703104,0.9987297
0.05071295,0.007333435,0.09222525,0.03426435,0.0012986443,0.99870133
0.05142376,0.0077246698,0.09369722,0.035057157,0.0013597965,0.99864024
0.050930426,0.007205434,0.09346694,0.03495811,0.0013511807,0.9986488
0.05120466,0.0073856823,0.09452677,0.035547327,0.0013970834,0.9986029
0.051375277,0.006294963,0.094079494,0.035283674,0.001375255,0.9986248
0.051280744,0.0057385247,0.09308736,0.034724712,0.0013316557,0.9986684
0.04987374,0.0068993736,0.0923125,0.034366645,0.0013052394,0.9986947
0.051658332,0.010563333,0.092112295,0.034056313,0.0012586184,0.9987413
0.04734052,0.009540668,0.08939189,0.032845035,0.0011890716,0.99881095
0.049250677,0.0073190266,0.090038635,0.03311846,0.0012132413,0.99878675
0.049172536,0.007141351,0.090819344,0.03356293,0.0012454008,0.9987546
0.053081922,0.007973143,0.09381799,0.035000134,0.0013482621,0.9986517
0.048731446,0.010735706,0.09456574,0.035715457,0.0014132359,0.9985868
0.05504105,0.006270851,0.09750224,0.037021335,0.0015152827,0.9984847
0.05598405,0.0067187706,0.09828565,0.037412576,0.0015485738,0.9984514
0.05198902,0.008640998,0.09545026,0.036024544,0.0014368098,0.99856323
0.053769596,0.007668242,0.0957335,0.03607671,0.0014407701,0.9985592
0.043584406,0.0053509027,0.08594598,0.031169659,0.0010710949,0.9989289
0.045712866,0.004586868,0.08697052,0.03161807,0.0011014396,0.99889857
0.045640662,0.0055111274,0.08736058,0.031830695,0.0011152618,0.99888474
0.04626739,0.005578134,0.08812667,0.03222805,0.0011459334,0.99885404
0.04181569,0.0058508003,0.08367106,0.02998322,0.0009811233,0.9990189
0.051173262,0.0076468345,0.09406247,0.035282094,0.001376853,0.99862313
0.05169963,0.006383335,0.09325276,0.03479083,0.0013378082,0.99866223
0.047247484,0.007513904,0.08873317,0.032473333,0.0011547485,0.9988453
0.04815671,0.0072738016,0.090459436,0.03342024,0.0012345068,0.99876547
0.04679723,0.006087167,0.089107886,0.03274442,0.0011834331,0.9988166
0.048059538,0.0060939454,0.09099699,0.033733442,0.0012559682,0.998744
0.046930127,0.004943013,0.08964198,0.03304007,0.001203368,0.99879664
0.04584401,0.0043893196,0.08843643,0.032429148,0.0011585087,0.99884146
0.04671748,0.0042126793,0.08857767,0.0324581,0.0011608376,0.9988392
0.045489088,0.0058160825,0.0873229,0.03180482,0.0011091891,0.9988908
0.043497935,0.0064162584,0.08719805,0.031866234,0.0011200785,0.99887997
0.04294595,0.0028833598,0.084453024,0.030390033,0.0010159775,0.99898404
0.038869195,0.0059220046,0.08143443,0.028904798,0.0009055876,0.9990944
0.040789112,0.0065461462,0.083092496,0.029712006,0.0009610412,0.99903893
0.043530017,0.0059392024,0.08535464,0.030826593,0.0010422142,0.9989578
0.04382012,0.0059438655,0.086904384,0.031685956,0.0011072333,0.9988927
0.04573375,0.004260538,0.0876719,0.032009255,0.0011288265,0.99887115
0.044785686,0.0046493653,0.08755875,0.03199922,0.0011280499,0.998872
0.044152103,0.003952192,0.08593265,0.031126732,0.0010641183,0.9989359
0.040643133,0.003916841,0.083349936,0.02990192,0.0009821194,0.9990179
0.04592342,0.0046931226,0.08813596,0.03225574,0.0011466797,0.9988533
0.0445565,0.00456552,0.087009154,0.03170667,0.0011075346,0.9988925
0.040937714,0.003568979,0.08369668,0.03008212,0.000995457,0.99900454
0.037854157,0.002421504,0.08110119,0.028834634,0.000913163,0.99908686
0.037594885,0.003357876,0.080198206,0.02832567,0.0008720483,0.9991279
0.04040622,0.003734272,0.08324695,0.029855039,0.0009775152,0.9990225
0.04051435,0.003958015,0.08279939,0.029597798,0.00095896266,0.999041
0.040615574,0.003713306,0.08308702,0.029761378,0.00097313855,0.9990269
0.03846506,0.0039964058,0.08098408,0.028715184,0.00090080616,0.99909914
0.04001011,0.0055892095,0.08219418,0.029267645,0.0009316502,0.9990684
0.039757445,0.005703672,0.08227179,0.029333217,0.00093923585,0.9990608
0.041049592,0.0050214995,0.08310518,0.029730098,0.000967763,0.99903226
0.04364022,0.0050512385,0.08542586,0.030868148,0.001046146,0.9989539
0.045492224,0.0057956334,0.088254154,0.032343227,0.0011538677,0.9988461
0.045575775,0.0042300746,0.086935,0.031603277,0.0010985562,0.9989015
0.045704663,0.0050163586,0.087680645,0.032012034,0.001129331,0.9988707
0.045755126,0.0049560554,0.087566696,0.03194736,0.001125306,0.9988747
0.04693456,0.0053485977,0.088821895,0.03257854,0.0011708194,0.9988292
0.044258542,0.0063644713,0.088227466,0.032397825,0.0011576936,0.9988423
0.04511814,0.0027318038,0.086280994,0.03127504,0.0010755131,0.9989245
0.04285992,0.0042207874,0.08574544,0.031102438,0.0010649626,0.99893504
0.043450475,0.0036006272,0.08544267,0.030904418,0.0010512501,0.99894875
0.041891158,0.0035224464,0.084261246,0.030340211,0.0010128216,0.9989872
0.04420118,0.0039352793,0.086140536,0.031247076,0.0010751607,0.99892485
0.041662715,0.0042883065,0.08389238,0.030138012,0.0009967125,0.99900323
0.04085236,0.0045053884,0.08306253,0.029721634,0.0009675776,0.9990324
0.040288962,0.00436157,0.08263261,0.029519297,0.00095472723,0.9990453
0.040908314,0.005947288,0.08286167,0.029579759,0.00095143367,0.9990486
0.045979597,0.0057363287,0.08821122,0.032291323,0.0011504096,0.99884963
0.04366351,0.0044450182,0.08559043,0.030971617,0.0010567703,0.99894327
0.04404196,0.0046594925,0.08651926,0.03146352,0.0010906376,0.99890935
0.045007467,0.0038608517,0.0866476,0.031481024,0.0010908534,0.9989092
0.044392012,0.004936235,0.08714606,0.03179098,0.0011136889,0.9988863
