mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.0003403835,0.004708968,-0.097976044,0.36387172,0.3303311,0.24976793,0.30757657,0.23425862,0.4581648
0.00096282735,0.0051613525,-0.09865962,0.36362776,0.3301511,0.24944583,0.3075283,0.23419876,0.45827293
0.0006045066,0.004855156,-0.09814866,0.3638526,0.33034182,0.24974123,0.3075519,0.23425663,0.45819142
-0.0008263439,0.003411334,-0.09554033,0.36516047,0.331527,0.2514584,0.30762565,0.23460118,0.45777312
0.0019696504,0.005425971,-0.09856589,0.36409476,0.33075014,0.25004807,0.30740738,0.23434123,0.45825145
0.0054725967,0.007833667,-0.10205774,0.36297715,0.33000025,0.24856943,0.30712304,0.23407516,0.45880178
0.0016810149,0.004821215,-0.09723489,0.3649377,0.3315879,0.2511506,0.30739346,0.23457137,0.4580352
0.0023587458,0.0056044683,-0.09872536,0.3641346,0.33083642,0.25009757,0.30736765,0.23435722,0.45827514
0.0029322654,0.006101299,-0.0995606,0.36376208,0.33051774,0.24960804,0.30733052,0.2342611,0.45840842
0.0011070184,0.0048380643,-0.09771873,0.3643612,0.33092552,0.25040144,0.30747786,0.2344042,0.45811802
0.0014497824,0.0051936656,-0.09836863,0.36403006,0.33062306,0.24996711,0.30746105,0.23431669,0.4582223
0.0038270205,0.007083945,-0.10139634,0.3627996,0.32962647,0.24834916,0.3072915,0.23400494,0.45870355
0.0021826886,0.0059175566,-0.099664435,0.36339024,0.33004677,0.24912846,0.3074217,0.23414828,0.45843
0.0013671927,0.0056087226,-0.09949769,0.3631866,0.32974213,0.24886867,0.30751097,0.23408134,0.4584077
0.0018599816,0.0057720765,-0.09953867,0.3633525,0.32997048,0.24908148,0.30745488,0.2341337,0.45841137
0.0029902272,0.006189164,-0.09974159,0.3636551,0.33041388,0.24946824,0.3073302,0.2342321,0.4584377
0.00052958354,0.004597321,-0.09754409,0.3642574,0.3307513,0.25026968,0.30753902,0.23436806,0.4580929
0.0023145415,0.005955275,-0.099660024,0.36344567,0.33011928,0.2491998,0.3074062,0.23416536,0.4584285
0.0030392967,0.0064554997,-0.1003878,0.36321074,0.32996032,0.24888918,0.3073475,0.23410927,0.4585432
0.0021923296,0.0060307644,-0.099947706,0.36319083,0.3298418,0.24886872,0.3074307,0.23409298,0.4584763
0.002610799,0.0064164847,-0.10061662,0.36287695,0.3295658,0.24845755,0.30740568,0.23401104,0.45858333
0.005667381,0.008632649,-0.103959545,0.3616926,0.3286946,0.2468995,0.3071679,0.23372008,0.45911205
0.0029750168,0.0067484677,-0.10118933,0.3626107,0.32933283,0.248109,0.30738357,0.23394161,0.45867485
0.0013243742,0.005591411,-0.09948613,0.36317796,0.32972822,0.24885765,0.30751556,0.2340784,0.45840606
0.0013814606,0.005618725,-0.09951244,0.36318168,0.3297387,0.2488621,0.30750984,0.23408015,0.45841002
0.002409678,0.0063318238,-0.10055362,0.3628424,0.32950696,0.248414,0.3074269,0.23399888,0.4585742
0.0027727894,0.00693243,-0.10181694,0.3620813,0.32876265,0.24742265,0.30742946,0.23379175,0.4587788
0.0031626336,0.007159535,-0.102100626,0.36203247,0.32875708,0.24735668,0.30739406,0.23378307,0.45882288
0.0015017577,0.0057527795,-0.09976418,0.36304876,0.32961527,0.24868836,0.30750477,0.23404475,0.4584505
0.000884261,0.005276587,-0.09901573,0.36334094,0.32984576,0.24907273,0.30755016,0.2341181,0.4583317
0.0015670359,0.0056968406,-0.09957044,0.36321363,0.32979313,0.24890253,0.30749026,0.23409139,0.45841837
0.0016759336,0.005271435,-0.09839462,0.3641012,0.3307227,0.2500584,0.30743554,0.23433927,0.45822516
0.0020975247,0.0057176165,-0.099216536,0.36367804,0.33033428,0.24950391,0.3074157,0.23422714,0.45835721
0.00047259778,0.004578829,-0.09754042,0.3642374,0.33072406,0.25024396,0.30754557,0.23436178,0.4580927
0.001884032,0.0056796856,-0.099283054,0.36354554,0.33017272,0.2493327,0.30744296,0.23418765,0.45836937
0.0015705228,0.0052639097,-0.09845613,0.36401513,0.3306216,0.24994688,0.30745003,0.23431405,0.4582359
0.0013662614,0.0049024336,-0.097684965,0.36448848,0.33108714,0.25056592,0.30744633,0.2344428,0.45811084
0.003787689,0.006693825,-0.10042496,0.36348084,0.330326,0.24923593,0.3072615,0.23419379,0.45854473
0.0021138005,0.005567614,-0.09881882,0.3639702,0.33063808,0.24988467,0.30739957,0.23430847,0.45829195
0.0025896467,0.0060948506,-0.09980722,0.36344907,0.33015472,0.24920247,0.30737928,0.2341698,0.45845088
0.002500508,0.0060173944,-0.099676654,0.3635075,0.3302047,0.24927908,0.30738506,0.2341849,0.45843005
0.0015005507,0.005288258,-0.0985726,0.3639036,0.33049834,0.24980195,0.3074624,0.23428221,0.4582554
0.0025267117,0.0060593523,-0.09976433,0.3634549,0.33015338,0.24921042,0.30738512,0.23417062,0.45844424
0.0012570582,0.0052598417,-0.09868644,0.36372522,0.33028576,0.2495709,0.3074949,0.2342296,0.45827553
