mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.0048538223,0.01120678,0.006626174,0.09321648,0.066561595,0.017517446,0.17306633,0.07409223,0.7528414
0.005624965,0.0111501105,0.0070035905,0.093858466,0.06711065,0.017744858,0.17340828,0.07448592,0.75210583
0.0016572252,0.008722503,0.010120526,0.09411797,0.0672166,0.017839568,0.17376645,0.07461499,0.7516186
0.0038960725,0.009022582,0.010256395,0.095323615,0.06827196,0.018270256,0.17438345,0.07534676,0.75026983
0.006897323,0.0121980645,0.0055470765,0.09345193,0.06680985,0.017600102,0.1730906,0.07425367,0.7526557
0.008907147,0.0136612095,0.00355573,0.09303117,0.06651733,0.017450325,0.17273144,0.07401504,0.7532535
0.003280729,0.009574432,0.009146497,0.09422383,0.06734736,0.017876808,0.17373598,0.0746943,0.7515697
-0.0028047115,0.005325023,0.014855072,0.095288135,0.06805749,0.018262058,0.1746893,0.075287014,0.7500237
0.0017528683,0.008366231,0.010806605,0.09465259,0.06765924,0.018030746,0.17407964,0.074936904,0.7509834
0.004581213,0.009998385,0.008624122,0.09449943,0.06761193,0.017972918,0.17387839,0.074849,0.7512726
0.009314515,0.013065327,0.0045421273,0.093932875,0.06727426,0.017767465,0.17331095,0.07453519,0.7521539
0.013370156,0.015855242,0.0008190423,0.09328893,0.06685249,0.017536936,0.17271137,0.0741777,0.7531109
0.011157878,0.015381772,0.0010799617,0.09239416,0.06605398,0.017224269,0.17225143,0.07363669,0.7541119
0.009258524,0.014449853,0.002051279,0.092157416,0.06580965,0.017141512,0.17222892,0.07347004,0.7543011
0.0067188963,0.012225587,0.005049303,0.09302862,0.06646097,0.017446995,0.17294075,0.07395526,0.75310403
0.008115537,0.012714241,0.004516408,0.09333782,0.066754304,0.0175545,0.17308165,0.07413967,0.75277865
0.007966481,0.013987634,0.002114609,0.09159285,0.06531529,0.016942166,0.1720367,0.07308199,0.7548813
0.01161544,0.018706802,-0.0051171184,0.08839378,0.0627862,0.015846781,0.1698227,0.07117612,0.7590012
0.0063510463,0.015961248,-0.0016909391,0.0882399,0.06252529,0.01579901,0.16995148,0.071064726,0.75898373
0.009679697,0.018145103,-0.004580885,0.08785262,0.062293403,0.015667299,0.16954075,0.070847906,0.7596113
0.010934688,0.018192891,-0.004332289,0.08860059,0.062937245,0.015917456,0.16996954,0.071305886,0.7587246
0.006875992,0.014359746,0.0013072342,0.09051145,0.06439705,0.016570669,0.17136934,0.07244362,0.756187
0.0031064749,0.011759181,0.004760161,0.09108831,0.064771585,0.016771397,0.1719273,0.07276425,0.7553084
0.0037657917,0.0125280805,0.003390655,0.09046956,0.06428429,0.016555935,0.17155719,0.07237345,0.75606936
0.0040799156,0.013607312,0.0015646666,0.089376785,0.06339853,0.0161823,0.17085125,0.07171468,0.75743407
0.005955808,0.014990527,-0.00017550588,0.089075156,0.06319849,0.016080257,0.17052785,0.071559854,0.7579123
0.003558278,0.013204474,0.002472669,0.08973479,0.063673906,0.016307535,0.17101672,0.07196584,0.75701743
0.0068471953,0.013722021,0.00270392,0.09144804,0.06516166,0.016896633,0.17188792,0.07303769,0.7550744
0.00517717,0.012845311,0.003848508,0.09143576,0.0651065,0.016894141,0.17194113,0.073029645,0.7550292
0.005010292,0.011636708,0.0059566647,0.09282106,0.06623995,0.01737841,0.17280379,0.073861726,0.75333446
0.008277953,0.012880567,0.0046699196,0.093511194,0.06689695,0.01761951,0.17307778,0.074289024,0.7526332
0.008267537,0.013425801,0.0036939979,0.09282026,0.0663274,0.017375609,0.1726562,0.0738749,0.75346893
0.0075511187,0.013900299,0.0026053935,0.091717236,0.0654013,0.016989835,0.17201845,0.07320481,0.7547767
0.00859344,0.014819775,0.0013265163,0.09133137,0.06511136,0.016855601,0.1717161,0.072983615,0.7553003
0.0069935247,0.013674397,0.0029080957,0.09165675,0.06533607,0.016969744,0.17199132,0.0731725,0.7548362
0.0072384253,0.013329092,0.003591463,0.0922491,0.06582945,0.017176183,0.17234695,0.07352965,0.75412333
0.011602312,0.016782794,-0.0013050139,0.09095765,0.064884014,0.016724145,0.17134531,0.072771795,0.7558829
0.010521367,0.016019572,-0.00033386052,0.09111216,0.06498324,0.016777618,0.17151065,0.072851665,0.75563765
0.0076256245,0.0146720745,0.0011592954,0.09075974,0.0646182,0.016657326,0.1714421,0.07261786,0.75594
0.004789315,0.01342513,0.002388522,0.09026017,0.06413632,0.016485997,0.17130305,0.07228424,0.75641274
0.008958653,0.01594371,-0.00086565316,0.09001376,0.06404311,0.01639898,0.1709487,0.072157435,0.7568939
0.0035610422,0.012395833,0.0037813932,0.09063225,0.06440975,0.016613938,0.17161494,0.072493955,0.7558911
0.0014434308,0.011001293,0.005707279,0.09094324,0.06460807,0.016723117,0.17189418,0.072677515,0.75542825
0.0021607354,0.011050973,0.0058797896,0.09140294,0.065002926,0.016882226,0.17213425,0.07296365,0.7549021
0.004659325,0.012859616,0.0033918172,0.0908837,0.064643286,0.016700909,0.1716917,0.07266374,0.7556445
0.007243857,0.014621455,0.0010984987,0.0905381,0.064426854,0.016580926,0.17133115,0.07247782,0.7561911
0.0040241107,0.011105437,0.0065127015,0.09273483,0.06614369,0.01734782,0.1728233,0.0737937,0.75338304
0.0047343895,0.010860283,0.007243797,0.093592,0.066867106,0.017650751,0.17329228,0.07432029,0.75238746
0.0037917718,0.010199059,0.00818406,0.09379287,0.06700639,0.017723052,0.17344975,0.074439704,0.7521106
0.006728485,0.012367506,0.0051095337,0.0930647,0.06648737,0.017462607,0.17288388,0.07401132,0.7531048
0.0051444992,0.010410059,0.008072302,0.09438422,0.0675322,0.017931499,0.17377768,0.0747851,0.75143725
0.003951937,0.010229725,0.008041009,0.09377511,0.066997685,0.017715346,0.17346564,0.07441484,0.75211954
0.008235604,0.013678689,0.0032574087,0.092498705,0.06606157,0.0172629,0.1724543,0.07368436,0.75386137
0.013043106,0.017172296,-0.001445055,0.09154543,0.06540417,0.016927944,0.17160974,0.07314806,0.7552422
0.007968724,0.013522927,0.003507927,0.09254254,0.06608989,0.017278941,0.17248096,0.07371492,0.7538041
0.006065406,0.0115081705,0.006359905,0.09362423,0.06693117,0.01766011,0.17327891,0.07433319,0.7523879
0.006429568,0.012394194,0.00469701,0.092640094,0.06613304,0.017310813,0.17270768,0.07372453,0.75356776
0.006992094,0.013348345,0.003099069,0.09180176,0.065459564,0.017016688,0.1721794,0.07321704,0.75460356
0.009070091,0.015455756,3.708899e-05,0.09068261,0.06459458,0.016628481,0.17136317,0.07256242,0.7560744
0.0074735433,0.014200542,0.0019156635,0.09120831,0.06498275,0.016812041,0.17173912,0.07288341,0.7553775
0.0010886192,0.010607336,0.0064657778,0.09129026,0.06488108,0.01684486,0.17208715,0.07290233,0.75501055
0.005851038,0.014213193,0.001538679,0.090174735,0.064091355,0.016458157,0.17113823,0.07226427,0.7565975
0.0025503337,0.01122034,0.005775735,0.09151484,0.06510404,0.016921569,0.17216451,0.07304213,0.7547934
0.0011264309,0.00853515,0.010163605,0.09389224,0.06701795,0.017758308,0.17368895,0.07446231,0.75184876
0.0046136603,0.011197586,0.0064394623,0.09297297,0.06635631,0.017430466,0.17296222,0.07393041,0.7531074
0.0034360886,0.0109283365,0.006579116,0.09249879,0.065934815,0.017264627,0.17272545,0.07364057,0.753634
0.0048352033,0.01171333,0.0056250095,0.09250923,0.06598052,0.017267644,0.17265683,0.07365788,0.7536853
0.004719399,0.011157785,0.006646365,0.09316613,0.066516824,0.017499488,0.17304894,0.07405829,0.7528928
0.011798635,0.014806543,0.0023516566,0.09359626,0.06706204,0.01764796,0.17294173,0.07436737,0.7526909
0.013323903,0.015782867,0.0010990947,0.09345779,0.06698877,0.017598232,0.17277487,0.07429691,0.7529282
0.00895986,0.014074568,0.00285168,0.09256326,0.066133164,0.017285863,0.17243761,0.073736474,0.7538259
0.006119333,0.011679638,0.006099239,0.09346567,0.0668017,0.017604169,0.17317234,0.074241854,0.75258577
0.009330533,0.014588077,0.0015925765,0.091881596,0.06558731,0.017043065,0.17211384,0.07327893,0.75460726
0.01190915,0.017623309,-0.0030927807,0.089894824,0.06402356,0.016355544,0.17075983,0.07208956,0.75715065
0.008685313,0.015675265,-0.00048460066,0.09014463,0.06414341,0.0164438,0.17104824,0.07223337,0.7567184
0.008476138,0.016178641,-0.001482144,0.08937091,0.0635046,0.016179608,0.17057934,0.07175948,0.75766116
0.011152379,0.018311653,-0.004608795,0.08852088,0.06287899,0.015889348,0.16994053,0.07124474,0.75881475
0.0076828375,0.016792048,-0.0028951615,0.08805697,0.062411074,0.015735818,0.16980019,0.07094777,0.759252
0.008480392,0.016242493,-0.0015717745,0.08931158,0.063455895,0.01615965,0.17053585,0.071725994,0.7577382
0.007388644,0.0148341395,0.00047560036,0.09019123,0.06414954,0.01645923,0.17117833,0.07223792,0.7565838
0.008111082,0.016137067,-0.0016596466,0.08908525,0.06326302,0.01608167,0.17045125,0.07156889,0.75797987
0.004454322,0.014912415,-0.00051511824,0.08815098,0.062405955,0.015769172,0.1700174,0.07098668,0.7589959
0.006285779,0.015682,-0.0012427717,0.08851015,0.06274459,0.01588971,0.17013507,0.07122558,0.75863934
0.00497929,0.013646353,0.0021355897,0.09017469,0.064070344,0.016457323,0.17121884,0.07224279,0.75653833
0.004272409,0.013351861,0.002404645,0.090025626,0.06393048,0.016406313,0.17117038,0.07214383,0.75668585
0.0049629584,0.01363251,0.0021749586,0.09019313,0.0640848,0.016463822,0.17122632,0.07225595,0.75651777
0.0064631477,0.013453964,0.0030521303,0.0915051,0.06519852,0.01691655,0.17194574,0.07306829,0.754986
0.0074401796,0.014122058,0.0021454543,0.09134725,0.065094836,0.016861098,0.17180213,0.07297786,0.75522006
