mu1,mu2,sigma1,sigma2,pi1,pi2
0.0020188391,0.004553944,0.21041591,0.59135777,0.5706718,0.4293282
0.0020425096,0.004537612,0.21058604,0.59140015,0.57050204,0.42949802
0.0022321492,0.004387498,0.21081974,0.5913761,0.5706349,0.4293651
0.0017890036,0.004694164,0.2091859,0.59107196,0.5716256,0.4283744
0.0012776554,0.004996687,0.2083595,0.5910353,0.5709816,0.42901838
0.00082280487,0.004924178,0.20626755,0.5904435,0.5704524,0.4295476
0.0010213479,0.0047339797,0.20568836,0.59001994,0.5717646,0.42823544
0.0010119975,0.004942775,0.20675561,0.59056395,0.5711546,0.42884544
0.001055479,0.004884422,0.20691264,0.59058315,0.57090074,0.4290993
0.0014693737,0.004677683,0.20786808,0.5907194,0.57121795,0.42878208
0.0014382154,0.0048033,0.20839973,0.5909414,0.57094574,0.42905426
0.0014597625,0.004683584,0.20860307,0.5909575,0.5701319,0.42986807
0.002007231,0.004255742,0.2093232,0.59090644,0.57047457,0.42952546
0.0024941117,0.0041046143,0.21131116,0.59136844,0.57015693,0.42984313
0.0020180345,0.004404485,0.21003848,0.5911843,0.5703646,0.4296354
0.0011207983,0.0048435032,0.20712173,0.59062034,0.57082003,0.42918
0.0019062981,0.0044498146,0.20920466,0.5909624,0.5710367,0.42896333
0.0015555769,0.0047297776,0.20898004,0.5910724,0.5705116,0.42948845
0.0015997663,0.004566133,0.20862675,0.59089065,0.5704035,0.42959648
0.0021581277,0.0042189956,0.21005012,0.59108883,0.5702728,0.42972717
0.0021704212,0.00423494,0.21033941,0.59118307,0.5700356,0.42996445
0.0017120764,0.0043449104,0.20901594,0.59090817,0.56938034,0.43061966
0.0024181083,0.003848344,0.21011017,0.59091395,0.56989926,0.4301007
0.0023685098,0.0041048527,0.21066937,0.591195,0.57020235,0.4297977
0.002129808,0.0043842196,0.2106173,0.5913343,0.57019895,0.42980108
0.0019704998,0.0044469833,0.21021807,0.5912673,0.5700202,0.42997977
0.0027279407,0.0039319694,0.21233197,0.59157264,0.5693588,0.43064123
0.0026881695,0.0038712323,0.21188894,0.59142077,0.56936854,0.43063146
0.0025808215,0.0039622784,0.21122152,0.59126884,0.5700832,0.4299168
0.002438344,0.004194051,0.21132907,0.5914192,0.5702492,0.4297508
0.0021892115,0.0043693483,0.21084446,0.59138703,0.57020193,0.4297981
0.0013523474,0.0047877133,0.20785521,0.5907818,0.5710475,0.42895254
0.0015390962,0.0046857,0.20859009,0.59093624,0.5707086,0.42929146
0.0019508004,0.004478514,0.209563,0.5910762,0.570993,0.42900702
0.001795724,0.004612297,0.20967223,0.5911946,0.57051986,0.42948017
0.0016932264,0.0045852363,0.20879759,0.5909307,0.5709098,0.4290902
0.0013007224,0.004827261,0.20756954,0.5907168,0.5713237,0.4286763
0.000936158,0.0049716234,0.20680144,0.5906063,0.57072824,0.42927173
0.001546897,0.004529625,0.20783094,0.5906361,0.5709748,0.42902517
0.0016062632,0.004572481,0.2085756,0.59087527,0.57055694,0.4294431
0.0015999824,0.0045544505,0.20843828,0.5908264,0.5706091,0.42939088
0.0016982257,0.0045446455,0.20870823,0.5908865,0.5708446,0.42915538
