mu1,mu2,sigma1,sigma2,pi1,pi2
0.01154568,0.03043324,0.016543046,0.3664343,0.5784132,0.4215868
0.01094193,0.030802133,0.01601178,0.3646096,0.5788309,0.4211691
0.0112506,0.030745627,0.016109288,0.36487612,0.57990134,0.42009863
0.00921195,0.032313347,0.0148795005,0.3607329,0.580872,0.41912797
0.011015713,0.030899884,0.01642089,0.36619794,0.57810843,0.42189157
0.011663556,0.03008175,0.016607167,0.36660817,0.5771856,0.42281443
0.011754245,0.030067505,0.01616704,0.36485997,0.5793144,0.42068556
0.010851011,0.03132558,0.015749821,0.36363855,0.58180165,0.4181984
0.009831876,0.0323503,0.015836336,0.36445054,0.58056986,0.4194301
0.0098659545,0.032001674,0.015620964,0.36353952,0.57999665,0.42000332
0.010120086,0.03130865,0.015523754,0.36299226,0.57857156,0.42142844
0.010642029,0.030348541,0.0155201955,0.36270502,0.57701004,0.42299
0.012538612,0.028788747,0.01659997,0.36614573,0.57604796,0.42395204
0.012786239,0.02876735,0.01697563,0.3674822,0.57591534,0.42408463
0.01177153,0.029765787,0.016384313,0.3656791,0.5771629,0.42283714
0.010381877,0.030922415,0.015727252,0.363689,0.57740533,0.4225947
0.011861831,0.02990103,0.01705111,0.36820802,0.5757819,0.42421815
0.014862478,0.027575316,0.0199353,0.37700486,0.57176095,0.42823905
0.01634401,0.026437642,0.020624654,0.37857032,0.5725535,0.42744648
0.016043581,0.02669883,0.020814624,0.3793116,0.5715182,0.4284818
0.015571609,0.026847126,0.020119065,0.37727237,0.57172984,0.42827016
0.014594264,0.027640523,0.018841138,0.3734303,0.57414174,0.42585832
0.013911612,0.028593065,0.018604362,0.37294883,0.5755878,0.42441222
0.013502754,0.02916664,0.018812349,0.37387475,0.575288,0.42471203
0.014388159,0.028514924,0.019626725,0.3762451,0.5744983,0.4255017
0.014699176,0.028107943,0.01972576,0.3764208,0.5740117,0.42598835
0.014920451,0.027896943,0.019474914,0.37548178,0.5750879,0.42491207
0.013006777,0.029219033,0.017880188,0.37077484,0.57597786,0.42402214
0.013526179,0.028849902,0.018154493,0.37153107,0.57618546,0.42381456
0.012294188,0.029799761,0.017116804,0.36828378,0.5774743,0.42252573
0.010906428,0.030704202,0.016165175,0.36522168,0.5775767,0.42242336
0.011734046,0.02997631,0.016667018,0.366803,0.57685864,0.4231414
0.013060503,0.029018166,0.017751895,0.3702732,0.57579273,0.42420727
0.013299547,0.028799118,0.018020146,0.3711325,0.57515484,0.4248452
0.013393216,0.028745594,0.01795554,0.3708606,0.57565355,0.42434645
0.012677744,0.029335381,0.017479435,0.3694478,0.5761194,0.4238806
0.013090923,0.028883578,0.018117815,0.37156793,0.5740454,0.42595458
0.013578728,0.028297247,0.018059619,0.3711262,0.5742268,0.42577317
0.014181964,0.027998747,0.018567482,0.37266755,0.57444185,0.42555812
0.014554657,0.028039517,0.019190168,0.37467313,0.5746261,0.42537394
0.013857886,0.028530957,0.01899542,0.37431598,0.57368386,0.42631614
0.014329322,0.028237285,0.018867318,0.37367162,0.5753664,0.42463368
0.013852298,0.028927686,0.018745493,0.3734902,0.57634383,0.42365623
0.013026543,0.029682638,0.01827553,0.3722203,0.5768732,0.4231268
0.013170294,0.029461207,0.01842927,0.37269005,0.57611096,0.423889
