mu1,mu2,sigma1,sigma2,pi1,pi2
-0.028772801,0.01046405,0.07043177,0.024405451,0.034738243,0.96526176
-0.02862677,0.010593511,0.07050272,0.024443699,0.034790784,0.96520925
-0.029102117,0.010773517,0.070581004,0.024469897,0.03480345,0.96519655
-0.028212935,0.0112314,0.06968587,0.024051445,0.0343105,0.96568954
-0.027339906,0.010564782,0.06945621,0.023956237,0.03424485,0.96575516
-0.029739588,0.0075903907,0.06922294,0.023758424,0.033972293,0.96602774
-0.031714827,0.007780291,0.0689297,0.02356804,0.033658683,0.9663413
-0.029408842,0.008812763,0.06915145,0.023746543,0.033947714,0.9660523
-0.02962336,0.008102633,0.06933435,0.023823826,0.034038443,0.9659616
-0.029933006,0.008995272,0.069606096,0.023955774,0.03417199,0.965828
-0.028878778,0.00963638,0.06971314,0.024040895,0.034306582,0.9656934
-0.029658884,0.008579947,0.07008919,0.024198482,0.034495324,0.9655047
-0.031454533,0.008611895,0.07045016,0.024330482,0.034589447,0.9654106
-0.030782133,0.009861566,0.071049415,0.024656292,0.034993347,0.96500665
-0.029955357,0.009457566,0.070494965,0.024398781,0.034711372,0.96528864
-0.029764086,0.00822971,0.069438785,0.023872664,0.03409391,0.96590614
-0.030169398,0.009535171,0.0700933,0.02419385,0.034446236,0.9655538
-0.028949946,0.009556986,0.069995776,0.024178583,0.03447841,0.9655216
-0.030180424,0.0085625425,0.070075914,0.024177708,0.03444838,0.9655516
-0.031097025,0.009034134,0.07065565,0.02444533,0.034737922,0.96526206
-0.030871063,0.00903175,0.07076942,0.024508812,0.03482569,0.9651743
-0.03166178,0.0071288124,0.07062154,0.0244021,0.034705408,0.9652946
-0.033605784,0.0073692575,0.07109025,0.024585798,0.03484846,0.96515155
-0.03164044,0.0089037195,0.07094654,0.024579367,0.034883212,0.9651168
-0.029926926,0.009386875,0.07074685,0.02452689,0.0348663,0.9651337
-0.02988705,0.00908909,0.070676364,0.024489064,0.03482856,0.96517146
-0.031277746,0.00928209,0.07167631,0.024951145,0.035344906,0.9646551
-0.03205052,0.0087886825,0.07161132,0.024895292,0.035261028,0.96473897
-0.03184375,0.009092547,0.07118496,0.024690686,0.035007745,0.9649923
-0.030269176,0.009949304,0.07097673,0.024634896,0.034979258,0.9650208
-0.02954486,0.00986395,0.07075088,0.024539562,0.03488917,0.96511084
-0.029336601,0.009075977,0.069567904,0.02395231,0.0341883,0.9658117
-0.029452235,0.009289838,0.06989316,0.024111895,0.03438116,0.96561885
-0.029625565,0.010030247,0.07014731,0.024237182,0.03451092,0.9654891
-0.028889984,0.010063268,0.07019145,0.02427914,0.03459475,0.9654052
