mu1,mu2,sigma1,sigma2,pi1,pi2
0.07414286,0.009119742,0.06459499,0.020255696,0.038158495,0.9618415
0.07455163,0.00880634,0.064139105,0.020047229,0.03785969,0.9621403
0.075164065,0.009024613,0.0639746,0.019982442,0.037757378,0.9622426
0.07746087,0.008390538,0.06260019,0.019406473,0.036978234,0.96302176
0.07478182,0.009065978,0.06439944,0.020190606,0.038097378,0.9619027
0.07277922,0.009023897,0.06502636,0.020420466,0.038379006,0.961621
0.07347767,0.00895118,0.06441543,0.02013232,0.037926827,0.96207315
0.07703398,0.009100549,0.06315986,0.019650862,0.03729359,0.96270645
0.078531966,0.009166591,0.06295678,0.019628337,0.037354168,0.9626458
0.07741873,0.008921973,0.06306634,0.019635716,0.037331738,0.96266824
0.07500552,0.0087745115,0.06359791,0.019812595,0.03754227,0.9624577
0.072132036,0.008282892,0.064438865,0.020110793,0.037910633,0.96208936
0.069397375,0.008614294,0.06594267,0.02073318,0.03873272,0.96126723
0.069511816,0.008610837,0.06632737,0.020922942,0.039015654,0.96098435
0.07154058,0.008179657,0.06557198,0.020619072,0.03861874,0.96138126
0.0730602,0.007837884,0.06493078,0.020366894,0.038307384,0.96169263
0.0712208,0.00866615,0.06638707,0.021018136,0.039221577,0.9607784
0.06675123,0.0101,0.06944506,0.02238731,0.041117404,0.95888263
0.06551795,0.010503881,0.0700133,0.022604058,0.04134279,0.9586572
0.06562774,0.010547154,0.07015023,0.022697039,0.041518755,0.95848125
0.0656278,0.009862773,0.06979954,0.022506054,0.041235525,0.9587645
0.06743102,0.009401791,0.06844459,0.021884557,0.040354915,0.9596451
0.06994085,0.009565346,0.067618676,0.021574376,0.03997423,0.9600258
0.07117097,0.009812944,0.067457795,0.021554865,0.04000609,0.9599939
0.07022111,0.010373704,0.06811174,0.02184939,0.040410016,0.95958996
0.06926094,0.0105504915,0.06829527,0.021910194,0.040474523,0.95952547
0.069409594,0.010514848,0.06792034,0.021719206,0.040174462,0.9598255
0.071245894,0.009627692,0.06643119,0.021056,0.03927552,0.9607245
0.071019635,0.009661786,0.066634126,0.021137929,0.03937337,0.96062666
0.0726745,0.009213917,0.06550382,0.020643242,0.03869049,0.96130955
0.07355748,0.008551829,0.06474673,0.020307729,0.03823622,0.96176374
0.0721169,0.008760802,0.06548849,0.020613663,0.038641814,0.9613582
0.07054339,0.009381764,0.06660257,0.021106673,0.039323065,0.96067697
