mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.0018021166,0.0029561333,-0.03582777,0.021538353,0.02171217,0.08343415,0.081904806,0.91333604,0.0047592116
0.00044383854,0.0011407547,-0.03689523,0.021137675,0.02131094,0.08251695,0.080874115,0.9144818,0.004644106
0.0024220124,0.0037939362,-0.035483256,0.021506704,0.0217063,0.08339762,0.08193768,0.9133055,0.0047568385
0.0055558756,0.007640701,-0.033594802,0.022080574,0.022293802,0.08469044,0.083534464,0.9115388,0.0049267192
0.0043808892,0.006909471,-0.033360913,0.022114832,0.02233929,0.08480825,0.0835597,0.9115018,0.0049385075
0.0048764274,0.007465046,-0.03318216,0.022091199,0.022326091,0.0847612,0.08357117,0.9114942,0.004934594
0.005862996,0.007782679,-0.033739522,0.021878786,0.022091607,0.08419654,0.083118744,0.9120124,0.0048688767
0.0048680604,0.0064289384,-0.034414604,0.021770557,0.02195851,0.08391566,0.08273738,0.91243154,0.004831131
0.003856741,0.004971545,-0.035192803,0.021720406,0.02187915,0.08377294,0.08246364,0.9127274,0.0048089884
0.00015941262,0.0017013364,-0.035741463,0.021669773,0.021841737,0.083773814,0.08207767,0.9131272,0.0047951904
0.0015466362,0.002885919,-0.035682276,0.021639839,0.02182195,0.08370519,0.08212347,0.91308653,0.004790025
0.002801001,0.004472118,-0.034904078,0.021823129,0.022017756,0.084127165,0.08267406,0.9124796,0.0048463787
0.0047482625,0.0065341406,-0.03414686,0.022051394,0.022243267,0.084605806,0.083346575,0.9117408,0.0049125636
0.0042982027,0.006000858,-0.03431566,0.022065794,0.02224243,0.08461532,0.08331464,0.9117726,0.0049126814
0.002025053,0.0044741444,-0.034041062,0.022186495,0.022388034,0.08499904,0.08346481,0.9115833,0.004951898
0.003042534,0.005795818,-0.033464685,0.022227246,0.0224593,0.08513372,0.083702974,0.9113253,0.004971787
0.0035448447,0.0063212924,-0.033436373,0.021949774,0.022208072,0.08451556,0.083188765,0.91191256,0.004898711
0.007772073,0.009570342,-0.033466533,0.021756664,0.021988973,0.08390456,0.08303545,0.91212463,0.004839903
0.0019728765,0.004283052,-0.03460504,0.021233287,0.021492261,0.08283511,0.081471026,0.913836,0.0046929927
0.005173363,0.0074751787,-0.033884242,0.021131286,0.021427503,0.0825969,0.08156949,0.9137554,0.00467508
0.010304928,0.011748653,-0.033424094,0.021124301,0.021387517,0.08238139,0.08189703,0.9134344,0.004668571
0.012024485,0.01244412,-0.03383608,0.021406611,0.021573562,0.08281034,0.08247127,0.91280186,0.004726893
0.004880257,0.004876893,-0.036051825,0.021519981,0.021599736,0.08308716,0.08194574,0.91332096,0.0047333282
-0.004667856,-0.004447419,-0.03849335,0.021368897,0.021440418,0.0829792,0.08077724,0.9145409,0.0046818596
-0.004747346,-0.004465539,-0.03854628,0.021569246,0.021661332,0.08354744,0.08121119,0.9140451,0.0047437656
-0.0016797408,-0.0012251325,-0.037450865,0.021949183,0.02204935,0.08440227,0.08231173,0.9128319,0.0048564244
-0.00024279952,0.0013423972,-0.035563543,0.022544248,0.02267294,0.08580651,0.083838016,0.9111263,0.005035624
0.00070235133,0.0024155192,-0.035183206,0.022522977,0.022666138,0.08575546,0.08390768,0.91105866,0.005033697
0.0017823428,0.0056261234,-0.032201067,0.023318795,0.023541905,0.0877009,0.0859656,0.90874916,0.005285246
0.006906621,0.011909407,-0.029306188,0.023965938,0.024249826,0.08914554,0.087965466,0.9065407,0.005493824
0.009270281,0.014211934,-0.028715923,0.023876896,0.024164384,0.08886651,0.08801134,0.9065184,0.0054702857
0.008454569,0.011679929,-0.031145766,0.022932239,0.023159321,0.086605944,0.08573606,0.9090855,0.005178457
0.0035863295,0.0056205206,-0.03410931,0.022002814,0.022191295,0.08449038,0.08316625,0.91193676,0.0048969937
0.00037481636,0.0027677827,-0.034733728,0.02173964,0.021963164,0.08402699,0.08238367,0.91278845,0.0048278314
0.003025271,0.0052241497,-0.03439893,0.02156108,0.02181349,0.08360681,0.08224586,0.91296864,0.00478556
0.005489856,0.0071667247,-0.034432843,0.021272957,0.021523856,0.08285064,0.081794046,0.9135013,0.004704675
0.00705602,0.008328658,-0.034448937,0.02118096,0.02141221,0.08254196,0.08167799,0.91364723,0.004674814
0.0042842627,0.0057933144,-0.034950092,0.021020493,0.021255573,0.08222209,0.081113085,0.9142586,0.004628313
0.010059506,0.010742944,-0.034093276,0.021539852,0.02171769,0.08321872,0.08261374,0.91262007,0.0047662165
0.0018886775,0.0036982708,-0.034859076,0.021692451,0.021867212,0.083755285,0.08232035,0.9128761,0.0048035583
-0.002444461,-9.234622e-05,-0.035709336,0.021328699,0.021566637,0.08314913,0.0812632,0.9140247,0.0047120773
0.0056675375,0.0059099607,-0.036167398,0.020930983,0.021132356,0.081959724,0.08086998,0.91453433,0.004595696
0.0038169846,0.0040639453,-0.036568716,0.020865398,0.021040535,0.08176734,0.08054377,0.9148866,0.004569639
0.0040692165,0.0049749427,-0.035542265,0.021362867,0.021539276,0.08295138,0.0817113,0.9135774,0.0047113504
0.001133196,0.0033603124,-0.03474398,0.021646364,0.02186779,0.08377847,0.08223492,0.9129639,0.004801162
0.003994137,0.006373327,-0.033848003,0.021729013,0.021981295,0.08397323,0.082712516,0.91245323,0.004834237
0.0058689937,0.007980626,-0.033693627,0.021572903,0.021825936,0.08355057,0.082522705,0.9126863,0.004791038
0.009400003,0.011218052,-0.032880977,0.021905767,0.022125432,0.08417524,0.083497144,0.91162217,0.004880721
0.0022423714,0.0031952076,-0.036068812,0.021004565,0.021190215,0.08213891,0.080793194,0.91459626,0.00461056
0.0019835606,0.0027202778,-0.036474958,0.020949231,0.021138748,0.08204145,0.08062776,0.9147766,0.0045956117
0.0029215813,0.0051415376,-0.0343007,0.02164681,0.02188218,0.08376569,0.08240931,0.9127848,0.0048058843
0.0039666593,0.005588632,-0.034874514,0.021273132,0.02150943,0.08285933,0.08163898,0.9136608,0.004700179
0.0045007765,0.0059194975,-0.035033777,0.021070827,0.021309558,0.08236199,0.08123198,0.9141244,0.0046436065
0.005134262,0.005977731,-0.035608724,0.020794762,0.02101989,0.0816556,0.080617,0.9148205,0.0045625158
0.0060741454,0.0073607974,-0.03467472,0.021151291,0.02137539,0.08247563,0.08152212,0.91381395,0.0046640034
0.003689453,0.005792778,-0.034340873,0.021267433,0.021517651,0.08285427,0.0816702,0.9136281,0.0047017504
0.007973045,0.009317201,-0.03400649,0.021407533,0.0216296,0.08304083,0.08225027,0.913012,0.0047377422
0.002053447,0.0031131916,-0.036103204,0.020815644,0.021024186,0.08173467,0.08039954,0.9150381,0.0045624305
0.00276535,0.0036446266,-0.036215976,0.020751288,0.02097066,0.08160171,0.08031062,0.9151421,0.0045472803
0.005793132,0.00593416,-0.03619106,0.0208184,0.021003786,0.081627846,0.080616154,0.9148237,0.0045600915
0.0062033087,0.006225746,-0.03593166,0.021285536,0.021417907,0.082625784,0.08160508,0.91371477,0.0046801358
