mu1,mu2,sigma1,sigma2,pi1,pi2
-0.004828252,0.0139443055,0.10422852,0.046764802,0.4430783,0.5569217
-0.004512362,0.013609506,0.10467639,0.047034778,0.44328538,0.55671465
-0.004550256,0.013451494,0.10474329,0.047065422,0.44333637,0.5566637
-0.004590966,0.013419963,0.10476521,0.04707572,0.44334805,0.55665195
-0.0046604797,0.01353053,0.104716405,0.047049712,0.44330913,0.5566909
-0.004939027,0.013740934,0.10434974,0.04682401,0.44315237,0.55684763
-0.0047410503,0.0137344375,0.104533136,0.04694506,0.4432119,0.5567881
-0.005163245,0.014166512,0.10398813,0.04661697,0.4429535,0.55704653
-0.0052873865,0.01437626,0.103846006,0.046534963,0.44279724,0.55720276
-0.0049544945,0.014065601,0.10408073,0.046674356,0.4429632,0.5570368
-0.0046969578,0.013853468,0.10434667,0.046837486,0.44313487,0.55686516
-0.0049166903,0.014139034,0.104185306,0.046746235,0.44300228,0.5569978
-0.0043054894,0.013711311,0.104827434,0.0471429,0.4433132,0.5566868
-0.004455738,0.013816692,0.10478735,0.047119167,0.4432757,0.55672437
-0.004253663,0.013594784,0.10505044,0.047277052,0.44340262,0.55659735
-0.004429467,0.013628639,0.10492452,0.04719417,0.44335476,0.5566453
-0.0046152845,0.013837315,0.10470193,0.047061447,0.44324243,0.5567576
-0.005068071,0.014280595,0.104076885,0.04668258,0.44295287,0.5570472
-0.005396761,0.014473833,0.10376804,0.046487365,0.44271022,0.5572898
-0.0048664436,0.014139332,0.10426043,0.046792787,0.44295552,0.5570445
-0.004396133,0.01382456,0.10468951,0.047060505,0.44324768,0.5567524
-0.004598953,0.013793923,0.10454788,0.04696293,0.44320774,0.55679226
-0.0048420653,0.014169492,0.10431157,0.046829596,0.44303423,0.55696577
-0.0043290183,0.013778903,0.104807295,0.04713371,0.44329277,0.55670726
-0.0045619085,0.01404462,0.10463931,0.0470371,0.44318286,0.5568172
-0.0043707415,0.013946928,0.10482375,0.04715311,0.44326136,0.5567387
-0.0042235926,0.0136768,0.10505517,0.047286235,0.4433878,0.5566122
-0.0044838414,0.013630487,0.104825936,0.047130667,0.44332466,0.5566754
-0.0045539513,0.013430394,0.104768515,0.047079768,0.44334787,0.5566522
-0.004823871,0.013655998,0.104497544,0.046915054,0.44321573,0.5567843
-0.0048042163,0.013790645,0.10446645,0.046904698,0.44317937,0.5568207
-0.0047167763,0.0137421265,0.104537696,0.046949252,0.44321236,0.55678767
-0.0050323233,0.013937987,0.10414201,0.046703316,0.443049,0.556951
-0.004858218,0.013933934,0.104279846,0.04679516,0.44309437,0.5569056
-0.005961828,0.014837898,0.1032528,0.046168253,0.44242766,0.5575723
-0.0058842376,0.014885403,0.10340505,0.046263866,0.44230843,0.5576916
-0.0051346347,0.014477052,0.10414786,0.046728563,0.44266337,0.5573367
-0.0042118505,0.013850965,0.10496552,0.047238123,0.44322,0.55678
-0.003998421,0.013745226,0.105189554,0.047382668,0.44341823,0.5565818
-0.00407698,0.013701059,0.1052014,0.047384568,0.4434286,0.55657136
-0.0040782616,0.01361201,0.10527554,0.047425378,0.4434682,0.5565318
-0.004181184,0.013679422,0.10522641,0.047395203,0.44343728,0.5565627
-0.004074566,0.013422824,0.10539305,0.047487296,0.44354114,0.5564589
-0.004293151,0.013470389,0.10522852,0.047379456,0.44347826,0.5565218
-0.0048393384,0.01358173,0.10454506,0.04693957,0.4432443,0.55675566
-0.0051387325,0.013678826,0.104113534,0.046665758,0.44309178,0.55690825
-0.005196817,0.013764419,0.10398006,0.046585817,0.44303387,0.5569661
-0.004992567,0.013750292,0.10418607,0.046720527,0.44310185,0.5568982
-0.0049952343,0.013826884,0.104171894,0.046716377,0.44308177,0.5569182
-0.005039759,0.013963617,0.1040753,0.04666305,0.44302425,0.5569757
-0.004894443,0.013943829,0.10419801,0.046743438,0.44306782,0.5569322
-0.0047651306,0.013830282,0.10435436,0.04683849,0.44313997,0.5568601
-0.004758097,0.013944127,0.104391225,0.04686887,0.44312707,0.55687296
-0.00472603,0.014032163,0.10439944,0.04688063,0.44311202,0.556888
-0.004618652,0.013969339,0.10450653,0.04694735,0.44315884,0.5568412
-0.0043643937,0.013630427,0.10485248,0.04715143,0.4433356,0.55666447
-0.004534878,0.013650931,0.104754396,0.04708539,0.44329846,0.55670154
-0.0044447556,0.013506867,0.104889415,0.047164015,0.4433696,0.55663043
-0.0043674484,0.013260938,0.105061695,0.04725911,0.44347218,0.55652785
-0.0048865452,0.013636865,0.104504064,0.04691576,0.4432198,0.55678016
-0.0049437657,0.0137831345,0.1043269,0.046812207,0.4431369,0.5568631
-0.0054847077,0.01448635,0.10364972,0.046413757,0.4427502,0.55724984
-0.0044539794,0.013616957,0.104621075,0.047002696,0.44326958,0.5567304
-0.004656516,0.013469733,0.10460493,0.046976335,0.44328994,0.55671006
-0.0048188493,0.013510145,0.10445875,0.046881866,0.4432351,0.55676496
-0.004877366,0.013682462,0.10438467,0.0468443,0.44317633,0.5568237
-0.0047916546,0.013655581,0.10445423,0.046889085,0.44320428,0.5567958
-0.004656039,0.0135544315,0.10464156,0.047004547,0.4432828,0.5567172
-0.004718207,0.013717569,0.10460466,0.046989534,0.4432366,0.55676347
-0.004787393,0.013756312,0.10447725,0.046909902,0.44319,0.55681
-0.0047208443,0.013626851,0.10454274,0.04694504,0.44323763,0.5567624
-0.0049718246,0.013526298,0.1042579,0.046752136,0.44316968,0.55683035
-0.0050295666,0.013797857,0.104199044,0.0467303,0.44309467,0.5569053
-0.004820265,0.013753451,0.10438475,0.046850774,0.44316313,0.55683684
-0.004975684,0.013978459,0.104191124,0.046738464,0.44305634,0.55694366
-0.005474232,0.01448945,0.10366951,0.04642528,0.44271025,0.5572897
-0.005710356,0.014758088,0.103547566,0.046353295,0.44246474,0.55753523
-0.0049864277,0.014338233,0.10424613,0.046788644,0.4427939,0.55720615
-0.0049272105,0.014325239,0.10431701,0.04683524,0.44285357,0.5571465
-0.0049121305,0.014358975,0.104363345,0.04686646,0.44284847,0.5571515
-0.0039020702,0.013685562,0.10527442,0.047434215,0.44341546,0.55658454
-0.0039428845,0.01362548,0.10537795,0.047495242,0.44349834,0.5565016
-0.0041587576,0.01371453,0.10519689,0.0473797,0.44342223,0.5565778
-0.0039924607,0.013512529,0.105438635,0.047524426,0.44353777,0.5564622
-0.00421267,0.013535537,0.10526885,0.047411647,0.4434784,0.5565216
-0.004574321,0.013613023,0.10483469,0.04713192,0.4433283,0.55667174
-0.0048285797,0.0136104,0.10449091,0.04690789,0.44322315,0.5567768
-0.00509765,0.013925113,0.10413155,0.04669375,0.44304687,0.5569532
-0.004857801,0.013668932,0.10432168,0.046804793,0.44316158,0.55683845
-0.0050981715,0.013747431,0.10406867,0.046643436,0.44306567,0.55693436
-0.0048801973,0.013733484,0.10430445,0.04679729,0.44314256,0.55685747
-0.0048849806,0.013813056,0.104299694,0.046799112,0.44312453,0.5568755
-0.004754521,0.013680555,0.104439884,0.04688292,0.443196,0.556804
-0.0047025457,0.013671912,0.10454624,0.046950687,0.44322976,0.5567702
-0.0047387406,0.013738133,0.10451376,0.04693325,0.44320565,0.55679435
-0.004907422,0.013972975,0.10428123,0.046796758,0.44308534,0.5569147
-0.0045722052,0.013691939,0.104631215,0.047009602,0.4432536,0.5567464
-0.004708104,0.013628818,0.10454219,0.04694528,0.44323742,0.5567626
-0.005546443,0.014570691,0.10362703,0.04640201,0.442701,0.557299
-0.005044423,0.014258541,0.10410109,0.046693847,0.44285738,0.5571426
-0.0048104003,0.014132358,0.10433238,0.046839744,0.44299528,0.55700475
-0.0045007393,0.013900496,0.10459075,0.046999447,0.44318798,0.55681205
-0.0045265183,0.013946392,0.10460568,0.04701115,0.44319466,0.5568054
-0.00427299,0.013685025,0.10494067,0.047213286,0.443352,0.556648
-0.0044569,0.013789333,0.10481363,0.047133863,0.44328883,0.55671114
-0.004484974,0.013742425,0.10477627,0.047106553,0.44328713,0.5567129
-0.004460521,0.013778247,0.10483779,0.04714816,0.44329792,0.5567021
-0.004422255,0.013767518,0.10489622,0.047185406,0.44331792,0.55668205
-0.0047737584,0.013758399,0.10446359,0.04690197,0.44318604,0.55681396
-0.005071558,0.014099278,0.10406648,0.046664875,0.44299263,0.5570074
-0.0047929063,0.01391957,0.10429692,0.046807215,0.44310412,0.55689585
-0.0047957674,0.013958551,0.104325846,0.0468276,0.44310424,0.55689573
-0.0046031848,0.0137210265,0.10455559,0.04696306,0.443225,0.55677503
-0.004494466,0.013581373,0.104771145,0.047092933,0.44331884,0.55668116
-0.0046832636,0.013695456,0.10459613,0.046984036,0.44323972,0.5567603
-0.0049567446,0.014086641,0.1042225,0.046765465,0.4430434,0.55695665
-0.0045438036,0.0137703195,0.104625806,0.047012128,0.4432366,0.55676347
-0.0047612265,0.013953544,0.104436256,0.046897486,0.44313797,0.55686206
-0.004584037,0.013802387,0.104607776,0.047001455,0.44322357,0.5567764
-0.004427336,0.013388373,0.10485645,0.04713655,0.44338533,0.5566147
-0.0045404956,0.013310172,0.10485635,0.047127638,0.4433984,0.55660164
-0.0047604665,0.013412274,0.10463388,0.04698723,0.44330728,0.5566927
-0.00489711,0.013631441,0.10444829,0.046880197,0.44320467,0.55679536
-0.004625447,0.013425745,0.10473832,0.04705808,0.4433382,0.55666184
-0.0049184486,0.013637282,0.10443295,0.04687024,0.44319844,0.55680156
-0.004921548,0.0135054365,0.1043634,0.04681847,0.4432058,0.5567942
-0.004897736,0.013474382,0.10441813,0.046851523,0.4432286,0.5567714
-0.005182855,0.013690628,0.10406263,0.046633225,0.4430734,0.5569266
-0.00517983,0.0138033405,0.1039822,0.046590164,0.44302687,0.5569731
-0.0050431117,0.013894655,0.10409665,0.04667196,0.4430447,0.55695534
-0.0048688427,0.013858892,0.104273774,0.046786338,0.44310796,0.55689204
-0.0047746226,0.013782777,0.10439276,0.046859194,0.44316062,0.55683935
-0.0048048273,0.013758101,0.10437255,0.046843987,0.44315913,0.5568409
-0.004629202,0.013648547,0.10460395,0.046987854,0.44325325,0.5567467
-0.004734941,0.013685979,0.10451528,0.0469311,0.44321707,0.55678296
-0.0046810284,0.013686277,0.10458241,0.04697494,0.44323775,0.5567623
-0.0047525093,0.013825871,0.10449971,0.046929482,0.443183,0.556817
-0.004937403,0.014065303,0.104220696,0.046763677,0.44304785,0.5569522
-0.004598953,0.013735272,0.104563855,0.046969265,0.44322452,0.55677545
-0.00515496,0.014268078,0.103946775,0.046597637,0.44291708,0.5570829
-0.004808344,0.014042772,0.10426641,0.046794485,0.44304308,0.55695695
-0.0047416463,0.0140288845,0.10434813,0.046847463,0.44308683,0.5569132
-0.0053651705,0.014535643,0.103857964,0.04654784,0.44270706,0.55729294
-0.004465632,0.013956822,0.10468579,0.047061607,0.44313726,0.5568627
-0.00446824,0.013981499,0.10469627,0.04707142,0.443194,0.55680597
-0.00452774,0.01405517,0.10466772,0.047055773,0.44315854,0.55684143
-0.0042335168,0.013802566,0.104953244,0.04722993,0.44333223,0.55666775
-0.0042195395,0.013555028,0.10507926,0.047293797,0.44342014,0.5565799
-0.004451312,0.013789274,0.10489042,0.047182146,0.44331092,0.5566891
-0.00450217,0.013674296,0.10478805,0.047109053,0.44330418,0.5566958
-0.004409246,0.013490476,0.104952164,0.0472035,0.44339192,0.5566081
-0.00442978,0.013333894,0.10500709,0.047227338,0.44343963,0.55656034
-0.0048315004,0.013366081,0.104567416,0.04694036,0.44329587,0.55670416
-0.004716538,0.013275303,0.104712054,0.047029056,0.4433594,0.5566406
-0.0050565377,0.013554253,0.10432161,0.04679074,0.44317982,0.55682015
-0.0053832904,0.013961174,0.10381392,0.046488013,0.4429398,0.5570602
-0.004820399,0.01353047,0.104371406,0.04682853,0.44320568,0.5567943
-0.004749514,0.013371743,0.10457481,0.046948146,0.44329908,0.5567009
-0.0048733875,0.013314165,0.10447731,0.046879344,0.44327965,0.5567204
-0.0050662383,0.013495721,0.1042568,0.046746287,0.44317314,0.5568269
-0.005327113,0.013970114,0.10386795,0.04652419,0.44295514,0.55704486
-0.0047783777,0.013639189,0.10440376,0.046856977,0.44319353,0.55680645
-0.004843347,0.013651527,0.10440768,0.046857927,0.4431903,0.5568097
-0.004560016,0.01337228,0.10476956,0.047076557,0.44336012,0.5566399
-0.0051268265,0.013866521,0.10414103,0.04669501,0.443061,0.55693907
-0.0050880983,0.013851501,0.10403363,0.046628393,0.44303426,0.55696577
-0.004739709,0.013616182,0.10445369,0.046888083,0.44321376,0.55678624
-0.0045263693,0.013359465,0.104802765,0.04709768,0.4433732,0.55662686
-0.0047618076,0.01356367,0.10460367,0.04697776,0.4432671,0.55673295
-0.0048211887,0.0136521235,0.10448528,0.04690724,0.44321308,0.55678695
-0.005009137,0.013731517,0.10421843,0.04673899,0.4431146,0.5568854
-0.005134754,0.014043905,0.10401337,0.0466261,0.44298705,0.557013
-0.005414732,0.014425673,0.10370488,0.046445776,0.44274718,0.5572528
-0.0050069615,0.014257766,0.10415187,0.046727147,0.4428845,0.55711555
-0.0048783496,0.014110722,0.104221076,0.046766836,0.44297665,0.55702335
-0.004590936,0.013893701,0.10445938,0.046913918,0.4431555,0.55684453
-0.0046003237,0.013963439,0.104505144,0.046946768,0.4431602,0.5568398
-0.0045142844,0.014020182,0.10466,0.04704964,0.44317773,0.5568223
-0.0041815415,0.013703145,0.10504378,0.047282223,0.4433802,0.5566198
-0.004294671,0.013692178,0.10502719,0.047267172,0.4433746,0.55662537
-0.00422395,0.013521232,0.105159834,0.047342006,0.44345003,0.55654997
-0.0042941645,0.013330795,0.10515878,0.0473269,0.44348738,0.55651265
-0.0044116452,0.013044931,0.10510268,0.047269642,0.44352758,0.5564724
-0.0047555044,0.0131613985,0.10478223,0.047064446,0.44340217,0.5565979
-0.0047703013,0.013067521,0.104757704,0.047042727,0.44341424,0.5565858
-0.0052908137,0.013609506,0.104135916,0.046670202,0.44310838,0.5568916
-0.0053004846,0.013743617,0.10394753,0.04656068,0.44302592,0.5569741
-0.0052701905,0.013722278,0.10390214,0.046532106,0.44301808,0.5569819
-0.0049911216,0.013480283,0.10422311,0.046726905,0.44316876,0.5568313
-0.0051404163,0.013564862,0.104089774,0.046643812,0.4431086,0.55689144
-0.0050868317,0.013598241,0.10412287,0.0466684,0.44311264,0.5568873
