mu1,mu2,sigma1,sigma2,pi1,pi2
0.0077117756,0.007898942,0.030053949,0.010575532,0.4997069,0.50029314
0.007910736,0.0075466787,0.030087791,0.010585193,0.49982342,0.50017655
0.008192129,0.0074856435,0.030297939,0.010680993,0.4998922,0.50010777
0.008042939,0.00777413,0.030349283,0.010709921,0.49980792,0.50019205
0.0084371045,0.0077363406,0.030483635,0.010770452,0.49987152,0.50012845
0.008412786,0.0076723252,0.030530214,0.0107913455,0.49989206,0.50010794
0.0077422336,0.00779976,0.030274777,0.010676792,0.49976376,0.5002363
0.007450111,0.008000389,0.03008039,0.010590427,0.49965873,0.5003413
0.0070785657,0.008254424,0.029849268,0.010488232,0.4995274,0.5004726
0.008043386,0.008001462,0.030109396,0.01060152,0.49971762,0.50028235
0.007976688,0.0078047668,0.030156892,0.010620957,0.4997696,0.50023043
0.00815279,0.007755414,0.030267922,0.01067123,0.49981305,0.500187
0.007817514,0.007956758,0.030190432,0.010639525,0.4997185,0.5002815
0.0076209977,0.008149043,0.030067837,0.010586101,0.49963364,0.5003664
0.008490242,0.007973567,0.03037128,0.010721358,0.4997995,0.5002005
0.00880269,0.007697121,0.030598132,0.010821855,0.4999303,0.5000697
0.009123303,0.0072579538,0.030803861,0.010910079,0.50010234,0.49989766
0.0077598765,0.007475749,0.030387266,0.010724305,0.49986556,0.5001344
0.009193577,0.006863967,0.030809674,0.01090643,0.5002144,0.4997856
0.009038635,0.006478921,0.030982342,0.010982026,0.5003234,0.49967656
0.007483609,0.0069354926,0.030484706,0.010762734,0.4999955,0.50000453
0.005468555,0.008278742,0.029558817,0.010360303,0.4993334,0.50066656
0.005196102,0.009264603,0.029035516,0.010133691,0.49897847,0.5010215
0.0067452863,0.009035721,0.029279435,0.010236937,0.49921578,0.5007843
0.0074172392,0.008647338,0.029545357,0.010351654,0.4994159,0.50058407
0.007523097,0.008562699,0.029645342,0.010396326,0.4994611,0.5005389
0.008206673,0.008526579,0.029957034,0.010537792,0.49957407,0.500426
0.008278705,0.00834097,0.0300483,0.010577185,0.49964166,0.50035834
0.009701051,0.008096233,0.030762779,0.0109013105,0.49992839,0.50007164
0.00977958,0.008085743,0.031091427,0.011055119,0.4999786,0.5000214
0.009210475,0.008111849,0.030883731,0.010960212,0.4998999,0.50010014
0.007908262,0.008251563,0.030310983,0.010699705,0.4996694,0.50033057
0.0077915266,0.008131161,0.030152172,0.010624426,0.4996649,0.5003351
0.008889772,0.007550374,0.030554803,0.010798992,0.4999721,0.5000279
0.008881815,0.0071023856,0.030716011,0.01086756,0.5001103,0.49988964
0.008391358,0.006941334,0.03061144,0.010818239,0.5000945,0.49990556
0.007672526,0.0071633016,0.03035521,0.010704975,0.4999365,0.50006354
0.008126952,0.007067219,0.03045721,0.010749224,0.5000172,0.49998277
0.0060418323,0.008121863,0.0297363,0.010438002,0.4994514,0.50054866
0.007674463,0.0082132965,0.030036638,0.0105723245,0.4996176,0.50038236
0.009401031,0.0072031175,0.030719241,0.010868437,0.50013256,0.49986747
0.0071909204,0.0072504436,0.030089563,0.01058453,0.49983516,0.50016487
0.0072929636,0.007442132,0.029968569,0.010530723,0.49977854,0.5002215
0.007303633,0.007789985,0.029981527,0.010541883,0.4996886,0.50031143
0.008751191,0.007492081,0.03051355,0.010779398,0.4999695,0.50003046
0.008731075,0.007243887,0.030681467,0.0108542,0.50005436,0.4999456
0.008405842,0.0071683084,0.030621966,0.010826577,0.5000367,0.49996325
0.0071631446,0.007791296,0.030124074,0.010608715,0.49969774,0.5003023
0.0075946227,0.007584468,0.0300747,0.010580962,0.49978217,0.5002178
0.0075841025,0.0074651395,0.030093493,0.010587963,0.49981532,0.5001847
0.008585878,0.0074160253,0.030558152,0.010799776,0.49997985,0.5000202
0.008308746,0.0071411286,0.030508462,0.010773519,0.500021,0.49997908
0.008222915,0.0069877063,0.030503906,0.010769421,0.5000531,0.4999469
0.007728137,0.006973997,0.030325877,0.01068821,0.4999884,0.50001156
0.0076043084,0.007287041,0.030295452,0.010679262,0.49988976,0.5001102
0.008513369,0.0071212207,0.030616304,0.010822756,0.50005865,0.4999414
0.0071509853,0.00756003,0.030182047,0.010632384,0.4997613,0.5002387
0.007932462,0.00725855,0.030264005,0.010662818,0.49992415,0.5000759
0.007892825,0.0070629274,0.030317679,0.010685047,0.49997917,0.5000208
0.0068186596,0.00745,0.029924778,0.010512425,0.49972656,0.50027347
0.0060092583,0.008324757,0.02948844,0.010326215,0.4993628,0.5006372
0.008957155,0.0076263105,0.030380035,0.010718242,0.49993652,0.5000635
0.008177526,0.007386819,0.030374644,0.010715333,0.49992672,0.50007325
0.008957066,0.0070078527,0.030691057,0.010854114,0.50013953,0.49986053
0.008273251,0.0069376384,0.03057106,0.0107998075,0.50007945,0.49992058
0.00796137,0.0072907363,0.030498737,0.010772709,0.4999475,0.5000526
0.008119114,0.0071399366,0.030473659,0.010758038,0.49999923,0.5000008
0.008168288,0.0071518575,0.030555222,0.010796118,0.5000107,0.49998933
0.0093605295,0.0066318666,0.031046377,0.011013072,0.5003206,0.4996794
0.0068643466,0.0070181047,0.030182391,0.010625523,0.49988112,0.5001189
0.0061764196,0.0074178134,0.029647376,0.010385872,0.4996399,0.50036013
0.0072715357,0.0076145087,0.029954055,0.010526633,0.49972883,0.5002712
0.0077568665,0.0073399697,0.030127957,0.010601424,0.49986908,0.5001309
0.0082444325,0.0071557914,0.030399501,0.010723149,0.49999747,0.50000256
0.0069839135,0.0076000844,0.029989496,0.010544056,0.49971026,0.5002898
0.0077907816,0.007537261,0.030129606,0.010605001,0.49981996,0.50018007
0.0079875365,0.0074213897,0.030267399,0.01066663,0.49988636,0.5001136
0.00699044,0.007882133,0.029932046,0.01052153,0.49962857,0.50037146
0.007247217,0.008569971,0.029953865,0.01054087,0.4994724,0.5005276
0.008033313,0.008270398,0.030097585,0.010600087,0.49964365,0.5003564
0.009379096,0.007247821,0.03064121,0.0108327195,0.50010896,0.49989104
0.008097298,0.0071907197,0.03041654,0.010732245,0.49997658,0.5000235
0.008851327,0.00707008,0.030707058,0.010863003,0.50011504,0.49988496
0.007970162,0.0074322377,0.030517805,0.01078373,0.499913,0.500087
0.007975824,0.007439271,0.030405892,0.010731542,0.49989775,0.5001022
