mu1,mu2,sigma1,sigma2,pi1,pi2
0.015057057,-0.0064531774,0.043516602,0.018830525,0.23588578,0.7641142
0.014791697,-0.0063036294,0.043234825,0.018671596,0.23563251,0.7643675
0.015762538,-0.0064673633,0.043371584,0.018756675,0.23590109,0.76409894
0.016613692,-0.0066342563,0.043252606,0.018696457,0.23582429,0.7641757
0.017282933,-0.006889245,0.042956084,0.018537274,0.23543787,0.76456213
0.017677516,-0.0070321173,0.04343183,0.018806066,0.23596062,0.7640394
0.016969651,-0.006883642,0.042995594,0.018555593,0.23539585,0.76460415
0.01732561,-0.007323465,0.043281905,0.018725242,0.23551789,0.76448214
0.015790194,-0.0070489855,0.043164898,0.01864693,0.23523103,0.76476896
0.013995141,-0.0062858076,0.043730494,0.018942669,0.2360241,0.7639759
0.013850659,-0.0062341304,0.043576,0.018857695,0.23588754,0.7641125
0.014499873,-0.006742558,0.04290108,0.018493572,0.2349187,0.7650813
0.013210744,-0.006017825,0.042428013,0.018210966,0.234557,0.765443
0.014639348,-0.0066678734,0.04202252,0.018005246,0.23396981,0.7660302
0.0147251785,-0.0064385743,0.041911658,0.017939003,0.23398831,0.7660117
0.01595065,-0.006796858,0.042088833,0.018048551,0.23421776,0.7657823
0.016585559,-0.007080278,0.04204208,0.01802894,0.23409216,0.7659078
0.016708106,-0.0073166103,0.042593576,0.018338317,0.23459391,0.7654061
0.015234202,-0.0069817514,0.043093927,0.01860359,0.23507735,0.7649227
0.013156384,-0.0062604756,0.042929836,0.018491479,0.23494487,0.7650552
0.013066024,-0.006172857,0.042641833,0.018332653,0.23468795,0.7653121
0.014204711,-0.006420693,0.042955007,0.018517544,0.2351414,0.7648586
0.014755696,-0.0068745227,0.04227925,0.018150838,0.23415276,0.76584727
0.013431042,-0.006111941,0.042233247,0.018104771,0.23430195,0.7656981
0.014770001,-0.006902835,0.04173056,0.017847542,0.23348771,0.7665122
0.014278859,-0.006624183,0.041529696,0.017728245,0.23330858,0.7666914
