mu1,mu2,sigma1,sigma2,pi1,pi2
-0.009933472,0.00026563508,0.04314212,0.014891447,0.046696402,0.9533036
-0.0096972585,0.00024691923,0.04049886,0.013657352,0.044525623,0.9554744
-0.008816421,0.0005519758,0.03813554,0.012565338,0.042537637,0.9574624
-0.005738616,0.00082869036,0.036219753,0.011683971,0.040855143,0.95914483
-0.006610036,0.00056187017,0.036313456,0.0117331995,0.04087162,0.9591284
-0.007363379,0.00092083914,0.035877623,0.011529904,0.040421203,0.9595788
-0.0047584176,0.0011452506,0.034711085,0.01100432,0.039455082,0.96054494
-0.0019788146,0.00064099533,0.0344314,0.010885954,0.039253235,0.9607468
0.0011361837,8.7268185e-05,0.03464752,0.01098428,0.039520778,0.9604792
-0.0006608367,-0.0008547832,0.03498394,0.011162523,0.03977818,0.9602218
-0.002639711,-0.00018804567,0.034990396,0.011152431,0.03971306,0.960287
-0.0036301613,8.3304476e-05,0.034967944,0.0111375535,0.039651234,0.9603488
-0.0029032826,0.000413544,0.035586294,0.0114001045,0.04026499,0.95973504
-0.0011451244,8.6493324e-05,0.0358046,0.011499125,0.040499847,0.9595002
-0.003628552,-0.0004449417,0.03674555,0.011945228,0.04134496,0.95865506
-0.0071033835,0.000102139544,0.037563454,0.012324587,0.042224333,0.95777565
-0.010707796,0.00050402386,0.037970215,0.012544095,0.04301691,0.95698303
-0.011111259,0.0017080377,0.03910609,0.013009722,0.043787196,0.9562128
-0.013976514,0.00032690866,0.039814793,0.013452353,0.045251407,0.9547486
-0.013810754,0.0022663544,0.045555957,0.0163988,0.05212529,0.9478747
-0.02476418,0.002747334,0.050937477,0.018817924,0.05439336,0.94560665
-0.016847074,0.0021090875,0.05558867,0.021151036,0.05785308,0.94214696
-0.009470105,-0.00046613114,0.05943194,0.02324165,0.06067609,0.93932396
-0.010233939,-0.002462529,0.060210407,0.023743497,0.060798634,0.93920135
-0.01270771,-0.0021293391,0.059656292,0.023432394,0.060145717,0.93985426
-0.012727082,-0.0015117158,0.058343597,0.022692798,0.059113774,0.94088626
-0.012094557,-0.0014001955,0.05567198,0.021260872,0.056973375,0.9430266
-0.012635946,-0.00085123675,0.053550236,0.020129278,0.055256486,0.9447435
-0.012565374,-0.00096910493,0.049563788,0.018139571,0.052513417,0.9474866
-0.014971495,0.00024480326,0.048930284,0.017783642,0.05193476,0.9480652
-0.01518029,0.0009855698,0.048349418,0.017450241,0.051293552,0.9487065
-0.009085655,0.00096584065,0.043613367,0.015105303,0.04737246,0.9526276
-0.005204618,2.1345448e-05,0.03926794,0.013076799,0.043536544,0.95646346
-0.00856638,-0.00048195617,0.03944535,0.013230621,0.044233795,0.9557662
-0.014549911,0.0005879174,0.041974597,0.014436789,0.046815667,0.9531843
-0.018219769,0.0014756988,0.044074114,0.01542137,0.048531264,0.95146877
-0.018880546,0.0019634436,0.045669056,0.016139979,0.04938617,0.95061386
-0.019734383,0.0014440487,0.046222843,0.01643815,0.049883544,0.9501164
-0.012292087,0.0019975076,0.047352742,0.016917948,0.05085883,0.94914114
-0.012337089,-0.0003026058,0.048804108,0.0177006,0.05162304,0.948377
-0.018091083,-0.00071119564,0.049824264,0.018383063,0.053809777,0.94619024
-0.02101624,0.0015845965,0.05224352,0.019491885,0.055242572,0.94475746
-0.020088315,0.0009934376,0.05281936,0.01976221,0.05517266,0.9448273
-0.016132772,0.00069517596,0.050272916,0.018428478,0.052898396,0.94710165
-0.017282784,-0.00011571543,0.049369134,0.018056516,0.052625477,0.9473745
-0.021677554,0.00090143783,0.0514123,0.0190952,0.054452963,0.94554704
-0.024087727,0.0016218792,0.052597996,0.01967186,0.05520339,0.9447966
-0.02026403,0.0020190547,0.053531878,0.020082263,0.055735722,0.9442643
-0.017623067,0.0007467638,0.049100973,0.01784255,0.05184989,0.9481501
-0.017822623,0.0010826658,0.0477958,0.017166266,0.050577592,0.9494224
-0.014080286,0.0006958614,0.04243027,0.01459091,0.046452634,0.95354736
-0.015781045,0.0013418864,0.04188064,0.014329185,0.04611065,0.95388937
-0.017289102,0.0016889046,0.042184178,0.014475307,0.046458974,0.95354104
-0.017396629,0.00209818,0.041709483,0.014223364,0.045844268,0.95415574
-0.013454437,0.0019500325,0.039221443,0.013041682,0.043521453,0.9564786
-0.013476908,0.0011948119,0.038566276,0.0127924215,0.043325268,0.95667475
-0.012185276,0.002109624,0.040401723,0.01358984,0.044810582,0.9551894
-0.01159662,0.00068978174,0.039202865,0.013088598,0.043893732,0.9561063
-0.014725864,0.0012063156,0.04090433,0.01387922,0.04541188,0.9545881
-0.01322937,0.0017388831,0.042543594,0.01460569,0.046622746,0.95337725
-0.0055599213,0.00082100136,0.043146268,0.014877332,0.047180932,0.9528191
-0.009911299,-0.001775377,0.045015164,0.015964767,0.049628388,0.9503716
-0.016505599,0.00030333502,0.04843223,0.017591316,0.0521952,0.9478048
-0.021464348,0.00037408574,0.051739134,0.019332914,0.055322662,0.94467735
-0.025871098,0.0015527974,0.054847885,0.020894349,0.05745048,0.9425495
-0.0248546,0.0018454264,0.054472875,0.020621417,0.056530256,0.94346976
-0.024778128,0.0015707384,0.05305977,0.019895395,0.055334013,0.94466597
-0.024849236,0.0018782686,0.052074473,0.019369915,0.05446368,0.9455363
-0.027917147,0.0015895437,0.052927442,0.019944055,0.05630707,0.9436929
-0.027299702,0.003240026,0.055038113,0.02090811,0.057444442,0.9425556
-0.021193266,0.0020180712,0.05285303,0.019741442,0.055243134,0.9447569
-0.0151721835,0.0006034146,0.04662472,0.01660497,0.049826153,0.95017385
-0.016915739,0.0005815397,0.046832014,0.016729796,0.050112925,0.9498871
-0.016700089,0.00076965196,0.04459602,0.015654512,0.048517115,0.9514829
-0.015321434,0.0016385983,0.046460208,0.016504295,0.049925014,0.950075
-0.015478432,0.00061950786,0.046419445,0.016511697,0.04969786,0.9503022
-0.016056836,0.00092873676,0.04542691,0.016017674,0.048826605,0.95117337
-0.012494922,0.0013830136,0.045480706,0.016003534,0.048897114,0.9511029
-0.004496634,0.000125892,0.042782143,0.014712735,0.046690013,0.95331
-0.004726112,-0.00089617865,0.041179597,0.013983279,0.04512293,0.9548771
-0.009752572,-0.0011226465,0.04069961,0.013874953,0.045825716,0.9541743
-0.016000867,0.0011849473,0.04436372,0.01554072,0.048540972,0.95145905
-0.018005073,0.00086954935,0.0457494,0.016254114,0.04994879,0.9500512
