mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
5.7407888e-05,0.013064606,-0.0044542355,0.6834527,0.647704,0.6850917,0.3385097,0.32363752,0.33785275
0.00016970956,0.013088306,-0.0044865953,0.68340534,0.6477103,0.68513465,0.33848622,0.32364058,0.33787325
-0.0013215214,0.012492964,-0.003892676,0.6839064,0.6476599,0.6848132,0.33870998,0.32365602,0.337634
-0.0022925192,0.012233058,-0.00359035,0.6842911,0.6476129,0.684493,0.338896,0.3236411,0.33746293
-0.0016724125,0.012533985,-0.003856591,0.6841073,0.64764786,0.6845749,0.338809,0.32363778,0.3375532
0.00030252174,0.013295168,-0.0044923583,0.6833758,0.6476972,0.685132,0.33843264,0.3236418,0.33792552
-0.0005840047,0.012839047,-0.0041874507,0.68366337,0.6476571,0.6849671,0.33859986,0.3236345,0.33776563
-0.00064223935,0.01281268,-0.0042283097,0.683712,0.6476713,0.6848964,0.338644,0.32362837,0.3377276
0.0003593054,0.013230281,-0.004554427,0.683349,0.64769554,0.6851634,0.33845213,0.32362992,0.33791792
0.0010594747,0.013404079,-0.0048430236,0.6830913,0.64772886,0.6853602,0.33835423,0.3236262,0.33801958
0.0018535892,0.013404423,-0.0053333445,0.6828294,0.64786726,0.685518,0.33831978,0.3236415,0.3380387
0.0019514665,0.013389042,-0.005396341,0.6827907,0.6478653,0.68555385,0.33832264,0.32363197,0.33804542
0.0031272147,0.013379635,-0.0061098533,0.68240404,0.6480927,0.6857804,0.33826452,0.32366797,0.33806753
0.0021248872,0.013248045,-0.0054875584,0.6826982,0.64789647,0.6856586,0.33832094,0.3236358,0.33804333
0.0013930586,0.013274133,-0.005036642,0.68294424,0.6477507,0.6855059,0.3383577,0.32361063,0.3380317
0.0015948594,0.013338659,-0.0051635923,0.6828946,0.64778864,0.6855111,0.33834517,0.32361624,0.33803862
0.0031009635,0.013344996,-0.006079194,0.6824057,0.64809525,0.68578625,0.3382648,0.32367155,0.3380637
0.003495699,0.013322264,-0.0063211704,0.682269,0.6481574,0.685879,0.33825094,0.32367516,0.33807397
0.0025336633,0.01325817,-0.005732908,0.6825665,0.6479679,0.68573207,0.33830273,0.3236436,0.33805367
0.003510888,0.013330411,-0.006332566,0.68226564,0.6481576,0.6858792,0.33825073,0.323674,0.3380753
0.0020547651,0.013198325,-0.005438219,0.68270874,0.6478841,0.68566936,0.3383262,0.32363427,0.33803958
-0.0004484395,0.012566026,-0.004234572,0.6835407,0.64765847,0.68515325,0.3386046,0.3236271,0.33776832
0.0017392302,0.013238983,-0.005232091,0.6828322,0.64789546,0.6855562,0.33831576,0.3236679,0.33801633
0.00073517044,0.013118165,-0.004685213,0.68315595,0.647705,0.6853798,0.3384086,0.32362384,0.3379676
0.0019449492,0.01334182,-0.0053684013,0.6827847,0.64788294,0.6855628,0.3383187,0.32364282,0.33803853
0.0016033512,0.013320157,-0.0051627485,0.6828893,0.6478058,0.6855148,0.33834034,0.3236257,0.33803394
0.0011589706,0.013317769,-0.0049086316,0.68303907,0.64772,0.685423,0.33837044,0.32360902,0.33802053
-0.00094109285,0.012503529,-0.0040586675,0.6837449,0.64764446,0.6849693,0.33867794,0.3236314,0.33769068
-0.0015752015,0.012374641,-0.0038595283,0.684016,0.6476471,0.68471324,0.3387929,0.32363883,0.33756825
-0.0004272794,0.012925608,-0.0042731063,0.68363494,0.6476857,0.68494827,0.33858842,0.32363826,0.3377733
0.00030559418,0.01317516,-0.004535283,0.68336433,0.6477047,0.6851554,0.338464,0.32363456,0.3379014
0.0022741763,0.013369868,-0.005569755,0.68269014,0.6479978,0.68559116,0.33828384,0.3236837,0.3380325
0.0019431936,0.013375681,-0.005385411,0.68279177,0.6478757,0.68555295,0.3383196,0.3236389,0.33804157
0.0008636669,0.01321481,-0.0047565447,0.68312323,0.6476958,0.6853905,0.33839428,0.32361355,0.3379922
2.998882e-05,0.012932094,-0.004484008,0.68343955,0.64767605,0.6851391,0.33854756,0.32361397,0.33783844
0.0006293508,0.013213027,-0.004707572,0.68324524,0.64770347,0.6852517,0.33844614,0.32361493,0.33793896
0.0029924477,0.013408573,-0.006022795,0.68245935,0.64809537,0.6857269,0.33826032,0.323681,0.33805868
0.00070371875,0.013064813,-0.0046283947,0.68313235,0.64768326,0.68544376,0.33839175,0.323624,0.3379842
-0.00028483546,0.012729432,-0.004292176,0.6835094,0.6476734,0.6851379,0.33856815,0.3236328,0.33779907
-0.0010941436,0.01250664,-0.004063123,0.68384475,0.64766335,0.6848372,0.3387319,0.32363048,0.3376376
0.002442349,0.0133666005,-0.0056891115,0.68263,0.64800495,0.68564,0.33828413,0.32367387,0.33804205
0.0015385591,0.013282791,-0.0051454185,0.6828983,0.6477886,0.685532,0.33834672,0.3236213,0.338032
-9.8554185e-05,0.012831135,-0.004390427,0.68344814,0.64765245,0.6851829,0.33854747,0.32361516,0.33783743
-0.00022008712,0.012856439,-0.0043900376,0.6835341,0.6476738,0.6850628,0.33858678,0.32361832,0.3377949
0.00080596027,0.013274077,-0.00474652,0.6831744,0.6477176,0.6853099,0.33840185,0.3236241,0.33797404
0.0011654452,0.01333197,-0.0049016112,0.68304014,0.6477649,0.6854113,0.33834684,0.3236388,0.3380144
0.00060144183,0.013180092,-0.0046863174,0.6832421,0.64771116,0.68527037,0.33843777,0.3236248,0.33793744
-0.0007933674,0.012613567,-0.0041278163,0.6837131,0.6476747,0.6849621,0.3386481,0.32364383,0.33770803
0.00046886993,0.01317017,-0.004548722,0.6832771,0.6477292,0.6852505,0.338411,0.32365432,0.33793467
0.0029435533,0.01332498,-0.0059734816,0.68246275,0.6481513,0.6857317,0.3382444,0.3237186,0.33803704
0.003218272,0.013388211,-0.006169134,0.68237656,0.64811385,0.68579286,0.33825845,0.32367292,0.33806866
0.002851153,0.013359508,-0.0059457766,0.68248624,0.64801866,0.6857481,0.3382861,0.32364717,0.3380668
0.0040470473,0.013357198,-0.006670541,0.6820957,0.6482554,0.6859722,0.33822486,0.32368696,0.33808815
0.0044172527,0.013334626,-0.006896197,0.68196714,0.64831156,0.68606025,0.3382126,0.32368904,0.33809832
0.0025112045,0.01314914,-0.0057213707,0.6825455,0.6479653,0.68578655,0.33830795,0.32364413,0.33804792
0.0032128731,0.01327548,-0.006149822,0.6823487,0.64809877,0.6858524,0.33826834,0.32366416,0.33806753
0.0022749363,0.013237791,-0.0055729533,0.6826447,0.64790666,0.6856974,0.33832026,0.32362896,0.3380508
0.002942606,0.013285244,-0.005973031,0.68244076,0.6480478,0.68579143,0.33828095,0.32365647,0.3380626
0.0035571496,0.013278766,-0.006348149,0.6822408,0.64818954,0.68590295,0.33824292,0.32368904,0.33806798
0.0022439829,0.013213547,-0.005550745,0.6826509,0.64791906,0.68569666,0.33831665,0.323639,0.33804435
