mu1,mu2,sigma1,sigma2,pi1,pi2
0.019366551,0.016098741,0.6443749,0.70275676,0.50702876,0.4929713
0.019454919,0.01640708,0.64430004,0.70276743,0.5069961,0.49300393
0.018506084,0.014644463,0.64484143,0.7026929,0.50708425,0.49291572
0.017607871,0.011876188,0.64554864,0.702565,0.5073296,0.4926704
0.017996825,0.012388963,0.64539146,0.7025622,0.5073272,0.49267277
0.019390251,0.014892619,0.6446333,0.7026394,0.50720173,0.49279827
0.018785406,0.014382206,0.64481837,0.70267034,0.5071677,0.4928323
0.01879334,0.014792111,0.64474064,0.70270103,0.5071158,0.49288425
0.019431967,0.015644584,0.64445335,0.7027103,0.50709766,0.4929023
0.019856151,0.01670191,0.6441461,0.7027684,0.50701296,0.49298704
0.020238709,0.017736617,0.6438512,0.7028281,0.5069246,0.4930754
0.020291232,0.018271308,0.6437161,0.70287883,0.50685376,0.49314624
0.021023635,0.020323958,0.64316565,0.70298487,0.50668675,0.49331322
0.020657849,0.020511415,0.64317936,0.70304674,0.5066015,0.49339846
0.020355254,0.020055186,0.643334,0.70303386,0.5066208,0.49337918
0.020381007,0.019607674,0.64342797,0.70298845,0.5066886,0.49331143
0.021241631,0.021501672,0.6428974,0.70306194,0.50656635,0.49343368
0.021476898,0.02245051,0.6426524,0.7031261,0.5064694,0.4935306
0.02097727,0.021632526,0.64289737,0.70311093,0.5064999,0.4935001
0.021472093,0.02240612,0.64266056,0.70312285,0.50647324,0.4935268
0.020736203,0.021199148,0.64302254,0.7031013,0.50652,0.49348006
0.01934174,0.018423628,0.64384574,0.7029962,0.5066882,0.4933118
0.020628836,0.019833568,0.6433653,0.70296866,0.506707,0.49329296
0.020039465,0.019099135,0.64360285,0.7029745,0.50671107,0.49328893
0.020686392,0.020162836,0.6432865,0.7029921,0.50667024,0.49332976
0.020470921,0.019861568,0.6433753,0.70299333,0.5066737,0.49332637
0.020152256,0.018956792,0.64361316,0.7029478,0.5067459,0.49325418
0.01883319,0.016285375,0.644392,0.7028491,0.5069068,0.4930932
