mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0017066523,-0.0018896153,0.62825954,0.6782761,0.5175901,0.48240992
-0.0017681848,-0.0016639298,0.628203,0.67821985,0.5176656,0.48233438
-0.0013324805,-0.0038792123,0.6289465,0.6788245,0.51681644,0.48318353
-0.00089937635,-0.0054965434,0.6295116,0.67927647,0.51624376,0.48375627
-0.0010238672,-0.004672781,0.6291847,0.6790373,0.5165848,0.48341522
-0.0017318279,-0.001167221,0.62805325,0.67811275,0.51791096,0.4820891
-0.0015459787,-0.002641229,0.62861276,0.67854184,0.51728827,0.4827117
-0.0014530402,-0.003061412,0.62867606,0.6786048,0.5171471,0.48285294
-0.0017786911,-0.0012608026,0.6281109,0.67812985,0.51784253,0.4821575
-0.0020507704,-0.00014818506,0.6277995,0.6778496,0.5182341,0.4817659
-0.002275683,0.0007989004,0.62752724,0.6775962,0.5185724,0.48142764
-0.002325371,0.0008369768,0.62753695,0.67757815,0.5185651,0.48143485
-0.0026290547,0.0021693609,0.6270535,0.6771794,0.519065,0.48093495
-0.002439456,0.00081053865,0.62747085,0.6775219,0.5185178,0.48148224
-0.0022186954,-0.00019378727,0.6277401,0.67775863,0.5181561,0.48184392
-0.002225888,9.134761e-05,0.62764996,0.6776889,0.51828563,0.48171443
-0.0026181564,0.0019433012,0.6270105,0.67717856,0.51898605,0.48101395
-0.002769065,0.002367194,0.6268906,0.67707103,0.5191146,0.4808854
-0.002546465,0.001179066,0.62729925,0.6773932,0.5186529,0.48134705
-0.0027481029,0.0023785043,0.62688625,0.6770541,0.51913005,0.48087
-0.0024358463,0.0006318104,0.6274886,0.6775428,0.51843923,0.48156077
-0.001683481,-0.002896132,0.6285857,0.6784781,0.51711404,0.482886
-0.0022288468,0.0004495075,0.6274299,0.67755103,0.5184709,0.48152918
-0.0020505404,-0.0009499104,0.6279483,0.6779761,0.51788163,0.48211843
-0.002303674,0.0005373608,0.6274224,0.6775542,0.5184741,0.48152596
-0.0022594426,0.00012736977,0.62760305,0.67768997,0.51829267,0.4817073
-0.0021229312,-0.00041027227,0.62780845,0.6778449,0.51809585,0.48190418
-0.0014848979,-0.003528025,0.6288287,0.6786894,0.51691663,0.4830834
-0.0011639278,-0.00467876,0.6291267,0.67897105,0.5165334,0.48346663
-0.0014829962,-0.002703139,0.628491,0.6784651,0.517315,0.48268506
-0.0017816015,-0.0014443295,0.6281229,0.67815983,0.517764,0.48223606
-0.0023761457,0.0012718528,0.6272281,0.6774188,0.5187754,0.48122457
-0.0023417994,0.00083359773,0.6275031,0.67758363,0.5185616,0.48143837
-0.0020693336,-0.0006233691,0.6279543,0.67794275,0.51800525,0.48199472
-0.001737481,-0.002062921,0.62841135,0.6783175,0.5174804,0.48251963
-0.0018822849,-0.0011299965,0.62806594,0.6780505,0.5178608,0.48213923
