mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.018717322,4.098937e-05,0.010015354,0.012107932,0.034650434,0.36709803,0.35577157,0.5082846,0.1359438
-0.019072328,9.645149e-05,0.009986982,0.012028239,0.034481917,0.3666356,0.35558668,0.50870615,0.13570711
-0.020335529,0.00033479556,0.010123238,0.0117356405,0.033846807,0.36531755,0.3551813,0.50978965,0.13502902
-0.021167193,0.0018798672,0.010832891,0.011518436,0.033312872,0.364583,0.35508558,0.51012486,0.13478957
-0.02068821,0.005672317,0.012916669,0.0113028325,0.032715924,0.36343476,0.35471198,0.5105673,0.13472065
-0.019268546,0.0042177252,0.012165651,0.011617819,0.03346126,0.36449057,0.35485214,0.5099897,0.13515823
-0.020610068,0.0044033043,0.012369499,0.011315804,0.032804657,0.36307433,0.35440183,0.5111679,0.13443038
-0.020558987,0.0031356178,0.0114598125,0.011539685,0.03331964,0.36445922,0.35497046,0.5101108,0.1349188
-0.020740543,0.0060750656,0.013150558,0.011224117,0.032541238,0.36277232,0.35438624,0.51115423,0.13445948
-0.02015457,0.0047798865,0.012472495,0.011419125,0.03301189,0.36358714,0.35458255,0.5106784,0.13473912
-0.02061722,0.003174495,0.01161693,0.011445645,0.033126246,0.36374345,0.3546254,0.5107767,0.13459791
-0.021011863,0.0043006353,0.01199542,0.01138386,0.032940947,0.36375153,0.35477412,0.5105448,0.13468112
-0.021021102,0.008304875,0.014253363,0.011004112,0.03198997,0.36162657,0.35401747,0.5118344,0.13414818
-0.02106813,0.007026788,0.013823852,0.010990043,0.03201365,0.36131412,0.35379037,0.5123338,0.13387583
-0.020762894,0.0036503188,0.011795148,0.011439194,0.033087347,0.36390984,0.35476798,0.5105203,0.13471183
-0.02098653,0.0024145655,0.011186466,0.011431584,0.033121344,0.36375862,0.35465598,0.5108552,0.13448884
-0.021882925,0.0050381087,0.012516841,0.0111393845,0.03238279,0.3627186,0.35450602,0.5112684,0.13422568
-0.020526323,0.0058865957,0.013041601,0.01128384,0.0326743,0.36314923,0.3545428,0.51083106,0.13462614
