mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.013576732,-0.0048086196,-0.01593209,0.095132716,0.030717993,0.01880792,0.0012896259,0.6879156,0.31079474
-0.013127551,-0.0048011094,-0.015565105,0.0951893,0.030724952,0.018828627,0.0012905499,0.6881361,0.31057334
-0.011016355,-0.004635766,-0.013667323,0.09507458,0.030589258,0.01880677,0.0012820443,0.6894955,0.30922243
-0.013071285,-0.0051190406,-0.015207149,0.09618914,0.031106723,0.019119203,0.0013209379,0.6878475,0.3108316
-0.013106332,-0.0050638467,-0.015381552,0.09573633,0.030942058,0.018992491,0.0013076165,0.6879627,0.31072968
-0.011863933,-0.005270079,-0.014358856,0.09581065,0.030949017,0.019039536,0.0013088383,0.68859273,0.3100984
-0.016077742,-0.0047959834,-0.017879404,0.095562495,0.030950371,0.018895647,0.0013062098,0.6863862,0.31230757
-0.015617237,-0.0053177625,-0.017986514,0.09541232,0.030960945,0.018902548,0.0013057698,0.6863255,0.31236875
-0.01663433,-0.0053236037,-0.018925764,0.09556385,0.031059198,0.018936653,0.0013125815,0.68560606,0.3130814
-0.015763745,-0.0052870065,-0.018279709,0.09547937,0.03100163,0.018922996,0.0013086768,0.68608814,0.31260324
-0.015524731,-0.0051371604,-0.017997093,0.09560019,0.031020552,0.018948738,0.0013107775,0.6862366,0.3124526
-0.012803421,-0.0052657872,-0.015575744,0.09585642,0.03102947,0.019054405,0.0013138051,0.68773735,0.31094888
-0.012121544,-0.005372837,-0.01462955,0.09652964,0.031243872,0.019247118,0.0013319704,0.6880361,0.31063193
-0.014834748,-0.0051759034,-0.016819395,0.096460186,0.031283192,0.019183097,0.0013332578,0.68661594,0.31205082
-0.0150254825,-0.0056331903,-0.017310001,0.09634204,0.03131003,0.019183679,0.0013339081,0.6862901,0.31237602
-0.013333068,-0.0060879737,-0.015910096,0.09666289,0.03141803,0.019320201,0.0013432484,0.687024,0.31163275
-0.017647013,-0.0051788837,-0.019427337,0.095972635,0.03120943,0.01902178,0.0013245055,0.685082,0.31359348
-0.018702134,-0.0055604726,-0.020872988,0.09568675,0.031211266,0.018967887,0.0013221735,0.6841932,0.3144847
-0.0130478,-0.0056846887,-0.016175367,0.09549658,0.030967038,0.018985666,0.0013072797,0.6874583,0.3112344
-0.015463338,-0.004808143,-0.017632015,0.09573591,0.031017728,0.018959653,0.0013116722,0.6864535,0.31223482
-0.009896622,-0.0052157193,-0.012923665,0.09580209,0.030893063,0.019062402,0.001305803,0.6895646,0.30912966
-0.01463233,-0.0048462898,-0.01643712,0.096453294,0.03122866,0.019158218,0.0013299745,0.68691564,0.31175444
-0.011777983,-0.005908206,-0.014382191,0.09672506,0.031357087,0.019338448,0.0013403586,0.68805397,0.3106057
-0.015110717,-0.0052692443,-0.017013289,0.096303456,0.031237913,0.019140007,0.0013292732,0.6865538,0.31211692
-0.01566182,-0.005550459,-0.017858572,0.095947,0.031174084,0.019060764,0.0013225843,0.68612194,0.31255552
