mu1,mu2,sigma1,sigma2,pi1,pi2
0.008306015,1.0763372,0.022871614,0.47169283,0.6308595,0.3691405
0.0086420365,1.0797962,0.022775419,0.47106588,0.63077825,0.36922175
0.009227533,1.0877047,0.022539368,0.46943444,0.63065875,0.36934125
0.008864123,1.0882599,0.022234352,0.469568,0.6317326,0.3682674
0.008645464,1.0872191,0.021917745,0.47072867,0.63298833,0.36701164
0.009107102,1.0864311,0.022217706,0.47086197,0.6319265,0.3680735
0.00963955,1.0934817,0.022046808,0.4692847,0.631707,0.36829296
0.008868922,1.0871161,0.022163933,0.47030717,0.63210505,0.36789492
0.009225089,1.0915676,0.021843519,0.47010857,0.63269883,0.36730123
0.009274948,1.0896069,0.022067128,0.47026864,0.63210744,0.36789256
0.009555507,1.0920609,0.022169454,0.46934113,0.63144296,0.36855704
0.0089195855,1.0894397,0.021943692,0.47012287,0.63263565,0.36736435
0.009415526,1.0954206,0.021501282,0.46994838,0.6334897,0.36651024
0.01012646,1.0995936,0.021691816,0.46871015,0.6322395,0.36776048
0.009056795,1.0889608,0.022107024,0.4700113,0.6320846,0.36791536
0.009713132,1.0942359,0.0221663,0.46870822,0.631188,0.36881208
0.009036887,1.0929077,0.021791358,0.4693426,0.6327901,0.36720997
0.009018261,1.0897115,0.021890359,0.4703962,0.63275665,0.36724335
0.008335132,1.082336,0.021796497,0.47270626,0.63399863,0.36600137
0.009880412,1.0927244,0.021793392,0.47092122,0.6326398,0.3673602
0.010126013,1.0998836,0.02150395,0.46919414,0.6329153,0.36708468
0.009873975,1.0970728,0.02179251,0.46900606,0.63221115,0.36778888
0.008493621,1.0853926,0.021761565,0.47175384,0.63380075,0.36619925
0.01053806,1.1025563,0.021471784,0.4689098,0.6326568,0.3673432
0.010027666,1.1009575,0.021532297,0.46843323,0.6327253,0.3672747
0.00986864,1.1046832,0.020983534,0.46851796,0.63435227,0.36564773
0.010225374,1.1040586,0.021260887,0.46845314,0.6333168,0.36668321
0.010166962,1.1025908,0.021551322,0.46795106,0.63243264,0.3675674
0.008684535,1.08538,0.022217434,0.4705515,0.632135,0.3678651
0.009321529,1.0913709,0.021972673,0.46991825,0.63224214,0.3677579
0.009844381,1.0972536,0.021891575,0.46853855,0.6318243,0.36817572
0.010082234,1.1019108,0.021862714,0.46704486,0.6313918,0.36860818
0.009100456,1.0882851,0.022827972,0.46802178,0.6296193,0.3703807
0.008503724,1.0872743,0.022434223,0.4687109,0.6311857,0.36881426
0.009046543,1.0899667,0.022493543,0.46833134,0.63057446,0.36942557
0.008025337,1.0778708,0.022950009,0.47025946,0.6304709,0.36952916
0.007972259,1.0758544,0.022921864,0.47116187,0.6307792,0.36922076
0.0080851205,1.0770059,0.022657054,0.47172377,0.6315511,0.36844894
0.008127231,1.0729872,0.022983417,0.472473,0.6308577,0.3691423
0.00825863,1.0733459,0.023036804,0.47235256,0.6306332,0.36936682
0.008886296,1.0808953,0.022832982,0.47082746,0.6304303,0.36956975
0.008654702,1.0841655,0.022288075,0.47078866,0.6320246,0.36797547
0.00914951,1.091449,0.021689618,0.47054854,0.63328105,0.36671898
0.009196658,1.0898619,0.021725794,0.47118044,0.6333145,0.3666855
0.009640235,1.0962138,0.021294996,0.47069257,0.63413316,0.3658668
0.010250468,1.1008699,0.021329831,0.46961954,0.6334115,0.3665885
0.0103157945,1.1023242,0.021463407,0.46862185,0.6327715,0.3672285
0.009664733,1.0970699,0.02162242,0.46921262,0.632865,0.367135
0.00963654,1.0969142,0.021571862,0.46941656,0.633059,0.36694095
0.009549815,1.0969918,0.021396667,0.469831,0.63370025,0.36629975
0.010012586,1.103348,0.020974923,0.46938202,0.6344927,0.3655073
0.010233838,1.1032612,0.021155689,0.46916693,0.63379514,0.3662049
0.010007042,1.1000345,0.021422628,0.46922696,0.63320494,0.36679503
0.009819705,1.0973859,0.021651553,0.46925983,0.6326884,0.36731157
0.009547252,1.0937043,0.021909226,0.46949184,0.6322026,0.36779743
0.009782065,1.0974154,0.021800637,0.4686636,0.63215464,0.36784536
0.0094149895,1.0977585,0.02143179,0.46914363,0.63351136,0.36648864
0.00978585,1.0989978,0.02147796,0.46912128,0.63313127,0.3668687
0.009978432,1.0998528,0.02165106,0.46847263,0.632387,0.36761308
0.009501953,1.0946865,0.021968774,0.46879566,0.63188034,0.36811963
0.009816248,1.0949506,0.022471162,0.46756792,0.6300201,0.3699799
0.008680213,1.0877274,0.022505103,0.46856976,0.6308742,0.36912584
0.008737136,1.0865843,0.022570355,0.46899152,0.63073194,0.3692681
0.008713026,1.0855753,0.02264838,0.4691123,0.6305727,0.36942735
0.008485127,1.0831274,0.022704506,0.469597,0.6306743,0.3693257
0.008422602,1.0823637,0.022640523,0.47004262,0.6309818,0.36901817
0.008016128,1.0744421,0.023064295,0.47138608,0.63044184,0.36955816
0.008138109,1.0735086,0.023229616,0.47146496,0.62996703,0.370033
0.008145023,1.074852,0.023068922,0.47139806,0.6303781,0.3696219
0.008079071,1.0744568,0.022941988,0.47186637,0.63086677,0.36913323
0.009031702,1.0869902,0.022275204,0.47029346,0.6316818,0.3683182
0.008850325,1.0853621,0.022287868,0.47062585,0.6318494,0.3681506
0.009211469,1.0886006,0.022239417,0.47002265,0.6316125,0.36838752
0.009435285,1.0922424,0.022147393,0.469135,0.6315175,0.36848247
0.009208817,1.0915053,0.022114433,0.46917182,0.6317505,0.36824948
