mu1,mu2,sigma1,sigma2,pi1,pi2
0.042599503,-0.00103489,0.01125211,0.023253698,0.38294622,0.6170538
0.042917673,-0.0006287439,0.011215844,0.023196245,0.38281524,0.61718476
0.043985907,-0.00031498505,0.01150821,0.023702098,0.38357073,0.61642927
0.044133876,0.0012634652,0.010308646,0.021671869,0.38009635,0.6199036
0.043577556,0.00024970935,0.0107022105,0.022338504,0.38131204,0.618688
0.044301603,0.0012032645,0.010691046,0.02233778,0.38117766,0.61882234
0.041610513,-0.001595412,0.010717882,0.022329168,0.3815384,0.6184616
0.041815016,-0.00029269292,0.010708439,0.022331279,0.38136274,0.61863726
0.041396413,7.9716905e-05,0.010478683,0.021931592,0.38068175,0.6193183
0.04191551,0.00059112476,0.010581276,0.022112444,0.38093495,0.61906505
0.042232785,0.00079652236,0.0105049,0.021980237,0.38071343,0.61928654
0.04412255,0.0023992914,0.010443193,0.021904988,0.38038442,0.6196156
0.045246307,0.0035011428,0.009950907,0.021073952,0.37882987,0.62117016
0.043577258,0.001450743,0.009897838,0.020952333,0.37886697,0.621133
0.043311093,0.0019600051,0.009877803,0.020928442,0.3787261,0.62127393
0.044598255,0.0040903944,0.0096610775,0.020584293,0.37783468,0.6221653
0.041278753,-0.00035837723,0.010142757,0.021347106,0.37975436,0.62024564
0.04050881,-6.829039e-06,0.01016314,0.021381153,0.37976277,0.62023723
0.043503467,0.0026173252,0.010652041,0.0222698,0.38092455,0.6190754
0.042394016,0.00040086673,0.010494008,0.021954043,0.38073987,0.61926013
0.045774344,0.0030190605,0.010733434,0.022425527,0.38115215,0.6188479
0.043650333,0.0009860651,0.009996644,0.021115066,0.37922853,0.62077147
0.045708153,0.004140343,0.0097477995,0.020743351,0.37811327,0.62188673
0.043044303,0.0007724421,0.010045164,0.021206444,0.3793533,0.6206467
0.042419318,0.00069436,0.010222546,0.02151247,0.3798658,0.6201342
0.043469552,0.0026994604,0.010008532,0.021169655,0.37902492,0.6209751
0.041522507,-0.00079217984,0.010757094,0.02240034,0.38156638,0.61843365
0.041586105,-0.0014944418,0.011424975,0.023524784,0.38346115,0.6165389
0.04202393,0.0005068438,0.0104238745,0.02183782,0.3805074,0.61949265
0.042477373,0.00070902274,0.010569813,0.02209296,0.38091007,0.61908996
0.04444814,0.004425611,0.009511364,0.020311045,0.3773646,0.62263536
0.043687496,0.002332415,0.009932837,0.021020697,0.37888142,0.62111855
0.044599924,0.00404283,0.00952279,0.020333877,0.37743035,0.6225696
0.04191998,0.00080164836,0.009810008,0.020783657,0.37864426,0.6213557
0.043835673,0.0027329582,0.010253382,0.021591825,0.37976193,0.6202381
0.04612306,0.004042353,0.010335826,0.02176222,0.3798934,0.6201066
0.044427905,0.00029751228,0.010701071,0.0223362,0.38133293,0.61866707
0.044646088,0.00061675475,0.0107678855,0.022465277,0.38146365,0.61853635
0.043362055,-0.0008311613,0.011005895,0.022848,0.38225886,0.61774117
0.04360274,-0.00026372506,0.011078364,0.022982351,0.38238904,0.61761093
0.0474394,0.0027867216,0.011374837,0.023554472,0.38288528,0.6171147
0.043050382,-0.0030750376,0.011312497,0.023339845,0.38333377,0.61666626
0.04135159,-0.0029262644,0.011148976,0.02306179,0.38283107,0.61716896
0.042088214,-0.0023905379,0.012255518,0.02493427,0.38563117,0.6143688
0.042228643,-0.0021264893,0.011826208,0.024206527,0.38456002,0.61544
0.04252145,-0.00034824444,0.010766447,0.022429844,0.38155374,0.61844623
0.042780373,-6.2976615e-05,0.010906312,0.02267379,0.38191256,0.6180875
0.043303672,0.00047394203,0.01082272,0.022538867,0.38163403,0.618366
0.043667678,6.1120256e-05,0.011089964,0.022991441,0.38242018,0.6175798
0.04485965,0.000707473,0.011133822,0.023084363,0.3824784,0.6175216
0.047434423,0.00498959,0.009802113,0.020860372,0.37820446,0.62179554
0.04577175,0.0007803099,0.010778749,0.02249881,0.38147977,0.6185202
0.045565877,-0.0012380226,0.012003962,0.024560023,0.3849167,0.6150833
0.0463782,-0.00068954064,0.011973256,0.02452606,0.38477954,0.6152204
0.04481489,-0.002799068,0.012122654,0.024741411,0.38536134,0.6146386
0.044299636,-0.0036028964,0.012777658,0.025824295,0.38701743,0.6129826
0.043862287,-0.0042276722,0.013138681,0.026407572,0.38792613,0.6120739
0.043726835,-0.004577194,0.013366989,0.0267745,0.38849017,0.6115098
0.04485661,-0.003924523,0.0136304535,0.027223317,0.38902643,0.61097354
0.04391325,-0.004978214,0.013307472,0.026667275,0.3884153,0.61158466
0.043149266,-0.004577909,0.012756021,0.02575823,0.38707718,0.61292285
0.043787483,-0.0036686999,0.01303699,0.026240576,0.38763958,0.6123604
0.042347703,-0.0045181853,0.012552025,0.025407525,0.3865866,0.61341345
0.044379387,-0.0014908655,0.01218441,0.024851067,0.38537437,0.6146257
0.04327819,-0.0033573252,0.012416354,0.025199423,0.38615173,0.6138483
0.04195765,-0.0041003567,0.012205438,0.024826407,0.38570374,0.61429626
0.042605285,-0.0025542122,0.012097792,0.024669873,0.38527372,0.61472625
0.04290596,-0.00202838,0.011896892,0.024335925,0.38472846,0.6152715
0.046174083,0.0014474051,0.01145936,0.023666399,0.38325426,0.6167457
0.043119494,-0.0024068695,0.011267702,0.023268785,0.38314843,0.61685157
0.043425325,-0.0016066177,0.011590698,0.023836754,0.3838885,0.6161115
0.04274148,-0.0012131078,0.011138033,0.02306629,0.38264528,0.61735475
