mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0036370046,0.00080031157,0.02887887,0.21934234,0.9655529,0.034447044
-0.003079716,0.00038859248,0.02905641,0.21991628,0.9653063,0.0346937
-0.0011027642,-0.00052657723,0.029229494,0.22080311,0.9649693,0.035030738
-0.003181059,0.0016603768,0.02909245,0.22026025,0.96526253,0.03473744
-0.0033842362,0.0009582341,0.0291674,0.22022405,0.9652021,0.034797907
-0.002113361,1.2218952e-06,0.029203745,0.22052808,0.9650691,0.034930892
-0.006222967,0.0025467277,0.029158551,0.21962483,0.965417,0.034583
-0.005328793,0.00030362606,0.029101081,0.21928266,0.9654245,0.03457558
-0.005894888,0.0009888113,0.028740536,0.21830368,0.96586823,0.03413171
-0.0047930516,0.00041911006,0.028626777,0.21825255,0.9659124,0.034087643
-0.004484225,0.0008176565,0.028620508,0.21843249,0.9658903,0.03410974
-0.0019330569,-0.000118762255,0.028629774,0.21907654,0.9656962,0.034303803
-0.0016663857,0.0012552142,0.028522305,0.21918434,0.9657879,0.034212127
-0.004773069,0.0029950738,0.028753908,0.21917471,0.96574503,0.03425496
-0.004887853,0.0014636219,0.028854538,0.21906514,0.9656497,0.034350287
-0.0029605813,-0.00013586879,0.029001186,0.21972261,0.9653503,0.034649782
-0.007226173,0.0026901364,0.028988643,0.21889941,0.96567625,0.034323774
-0.007793341,0.0014927983,0.028630247,0.2175177,0.9661262,0.03387377
-0.0018634982,-0.0020363033,0.028649403,0.2187281,0.9656826,0.034317404
-0.004516352,0.0022301972,0.02844754,0.21826147,0.9660835,0.033916496
0.0006352775,-0.001255244,0.028857598,0.22027531,0.96524876,0.03475124
-0.004568506,0.003724724,0.028694779,0.21921997,0.9658007,0.034199305
-0.0018850006,0.0005723238,0.028691046,0.21941632,0.965616,0.03438401
-0.0053079017,0.0027064383,0.028987024,0.21955545,0.9655254,0.03447457
-0.0055822767,0.0014031827,0.028857252,0.21881615,0.96570843,0.034291614
-0.0038627274,-2.8759241e-05,0.028885327,0.2191408,0.96555394,0.034446094
-0.0056287088,0.0018102825,0.028630381,0.21826251,0.9659751,0.034024935
-0.0043135323,0.00050097704,0.028642545,0.2184478,0.96586704,0.034132965
-0.005141232,0.0015779436,0.028494967,0.21805161,0.966077,0.03392295
-0.004216511,0.0009717941,0.028466377,0.21814738,0.9660427,0.03395732
-0.0031702854,0.00082466006,0.028528918,0.21864608,0.9658847,0.034115348
-0.0038863458,0.0015658736,0.028708708,0.21902598,0.9657395,0.0342605
-0.003374029,0.0011281967,0.028668774,0.2189949,0.9657475,0.034252558
-0.006917093,0.0029850006,0.028708544,0.21834983,0.965958,0.034042023
-0.0027736016,-0.00097182393,0.028909167,0.21935746,0.9654464,0.034553617
0.0006086193,-0.0013496876,0.029145634,0.22098644,0.9649289,0.0350711
-0.0024307705,0.0020454228,0.029177194,0.22079103,0.96511716,0.034882892
-0.0021117814,0.0009063482,0.029200854,0.22071148,0.9650702,0.034929812
-0.0034931488,0.001357764,0.029265866,0.22052638,0.96510035,0.03489963
-0.002749566,0.00021862984,0.029300611,0.22061636,0.96500975,0.034990277
0.0035625063,-0.0031502843,0.029741751,0.22308841,0.96404546,0.035954554
-0.0045340993,0.00424394,0.029322343,0.22094204,0.9651204,0.034879584
-0.0067146756,0.0024807453,0.029108686,0.219308,0.96552014,0.034479864
-0.0026489682,-0.0016709864,0.029423438,0.22055614,0.9648784,0.0351216
-0.00306632,4.8458576e-05,0.029331807,0.22055802,0.96500224,0.03499778
-0.004470993,0.0013727248,0.028977599,0.2194639,0.96549857,0.034501437
-0.0037306435,0.0009995401,0.028536303,0.21844153,0.9659494,0.034050625
-0.0030801184,0.0011993945,0.028381644,0.21831241,0.9660649,0.033935115
-0.0022670813,0.000765115,0.028793968,0.21959397,0.9655327,0.034467317
-0.0006236322,-5.9723854e-05,0.029177623,0.22094573,0.96498215,0.035017878
0.00058869645,0.0001809895,0.029149331,0.22131574,0.96492076,0.035079263
-0.0009734072,0.0013577938,0.029486652,0.22192766,0.9646641,0.035335943
0.00050252303,-0.00059098005,0.029995658,0.22328818,0.96399266,0.036007386
0.0015423112,-0.000944823,0.0301976,0.224061,0.9636912,0.03630881
-0.001059059,0.00083079934,0.0302367,0.22368361,0.9638486,0.036151424
-0.0006491579,-0.0005223751,0.030259099,0.22355548,0.96380395,0.03619606
-0.0005655624,-0.0005850494,0.030150803,0.22328229,0.96392316,0.03607686
-0.00041330233,-0.000739485,0.030219968,0.22348595,0.9638307,0.036169294
0.0016541891,-0.0018173158,0.030333145,0.22421402,0.96354896,0.0364511
-0.0006255694,0.0006197095,0.030070208,0.22332744,0.9640135,0.035986498
-0.0023272522,0.00087079406,0.029903391,0.2224091,0.96432215,0.035677858
-0.00039393082,-0.0013195872,0.030113801,0.2231044,0.96394336,0.036056634
-0.0032239892,0.00085142255,0.029946495,0.22222401,0.96433973,0.035660326
-0.00023883954,-0.0016276538,0.029867578,0.22245884,0.96420497,0.035795018
-0.0018194057,0.00057411194,0.029629236,0.22179557,0.9645919,0.03540808
-0.004090283,0.0014729202,0.029443372,0.2207817,0.9649616,0.035038445
-0.00265095,-0.0004248023,0.029466536,0.22091264,0.9648287,0.035171308
-0.0023311712,-0.00011533499,0.029407438,0.22093041,0.96486914,0.035130877
0.0018051527,-0.0018953085,0.029490352,0.22212325,0.96446323,0.035536814
-0.004059065,0.0032718182,0.029298164,0.2208289,0.96510834,0.034891672
-0.002671767,0.00025460124,0.029369872,0.22080755,0.96493375,0.035066266
-0.0039471276,0.0010411739,0.02926306,0.2203018,0.96514094,0.03485906
0.0007365458,-0.0022782087,0.029682623,0.22219412,0.9643281,0.03567191
-0.003079746,0.0018001497,0.029509723,0.22138898,0.964799,0.035201043
-0.0036431737,0.001353085,0.029047975,0.21987557,0.96537036,0.03462965
-0.0035406686,0.0007854998,0.029023241,0.21973707,0.9653882,0.03461181
-0.0032001175,0.00022786856,0.029288862,0.22044763,0.96505606,0.03494398
-0.0046000667,0.0010915995,0.029214244,0.21998313,0.9652412,0.03475883
-0.0045325197,0.0010546148,0.028684596,0.21860757,0.96583176,0.034168243
-0.0014026202,-0.0006531775,0.02886153,0.21972032,0.9654075,0.03459254
-0.001096312,0.00042495131,0.029077725,0.22062644,0.9651319,0.034868106
-0.0011369176,0.0005888045,0.02935609,0.22136632,0.96482325,0.03517676
-0.0014451034,0.0008558631,0.029297283,0.22117391,0.9649092,0.03509083
-0.00247759,0.0011048019,0.02940857,0.22117363,0.9648649,0.035135094
-0.0070839114,0.0027752817,0.029379021,0.21996091,0.9652365,0.034763493
-0.0024948753,-0.001829356,0.029355252,0.22037916,0.9649448,0.035055224
-0.0022652932,-0.00020459294,0.029246734,0.22051819,0.96504414,0.03495588
-0.0028149225,0.0006777644,0.02920354,0.22041874,0.9651302,0.03486981
-0.0028932877,0.0006714761,0.029160824,0.2202873,0.96518195,0.03481808
-0.0019310303,0.00029802322,0.029051987,0.22025111,0.9652277,0.03477225
-0.004171539,0.0020014048,0.028947512,0.21962868,0.96550083,0.0344992
-0.0052446164,0.0015657246,0.02897624,0.21927093,0.96554744,0.034452584
-0.00426336,0.00044047832,0.028870972,0.2190665,0.96559906,0.034400918
-0.0019624718,-0.00054100156,0.029003654,0.2199448,0.9652835,0.03471654
-0.003403578,0.0011367798,0.029160729,0.22023185,0.9652138,0.03478625
-0.0037077405,0.0010666847,0.02896113,0.21960211,0.9654589,0.03454106
-0.004395608,0.0014300048,0.028787758,0.21901843,0.9656981,0.034301855
-0.0048833974,0.0012561679,0.028839694,0.21897152,0.9656722,0.0343278
-0.004831586,0.0007390678,0.02895676,0.21918459,0.96553814,0.03446186
-0.004028354,0.0005468726,0.028722307,0.21877587,0.9657473,0.034252707
-0.0042541064,0.0011774004,0.028667994,0.21870121,0.96582097,0.034179088
-0.0025986321,0.0002015233,0.028827354,0.21944667,0.96552294,0.034477014
-0.0028894134,0.0010327399,0.028889254,0.21969213,0.96547127,0.034528688
-0.0042758323,0.0018223226,0.028831372,0.21927029,0.9656322,0.034367807
-0.0048643835,0.001382947,0.028894717,0.21915117,0.9656068,0.034393184
-0.003966067,0.00039628148,0.028948478,0.2193642,0.9654862,0.034513798
-0.0037146993,0.0005297065,0.028983645,0.2195613,0.96542925,0.034570724
-0.0023175962,7.480383e-06,0.029007446,0.2199508,0.9653054,0.034694605
-0.0023397692,0.0007353425,0.02902312,0.22014207,0.9652865,0.03471351
