mu1,mu2,sigma1,sigma2,pi1,pi2
0.013213744,0.004428953,0.5488356,0.027505366,0.4056949,0.59430516
0.01396488,0.0040695295,0.54718125,0.027041636,0.40568694,0.5943131
0.013961419,0.0039968044,0.54677695,0.026636695,0.4051503,0.59484977
0.014280686,0.004016228,0.54666513,0.026779074,0.40552846,0.5944715
0.013002757,0.0036685914,0.54504675,0.025116902,0.40308818,0.59691185
0.012302129,0.0037590712,0.54539734,0.024756594,0.40218028,0.59781975
0.009793153,0.0038516372,0.5457353,0.023509998,0.39938405,0.6006159
0.011169901,0.0034954846,0.54419094,0.023696402,0.4005561,0.599444
0.01194693,0.0027402714,0.5410533,0.022458438,0.39939195,0.6006081
0.012170447,0.0027659014,0.54112047,0.022310752,0.3990459,0.6009541
0.01069529,0.003236927,0.5429678,0.022390556,0.3983555,0.60164446
0.010463852,0.003392741,0.54352605,0.022778535,0.39897698,0.601023
0.009653488,0.003576599,0.5443171,0.022711514,0.39840126,0.60159874
0.009715781,0.0032363757,0.5428125,0.022130327,0.39781728,0.60218275
0.010028299,0.0034327284,0.54373896,0.022544375,0.39826068,0.60173935
0.008614829,0.0037858263,0.5453249,0.022579603,0.3975399,0.60246015
0.008555707,0.0030822977,0.5424655,0.021495497,0.3964644,0.6035356
0.010745717,0.0029340684,0.5419685,0.022153392,0.39821616,0.6017838
0.012965156,0.0030384958,0.5422934,0.02344167,0.4009723,0.5990277
0.012648668,0.0031787604,0.5427503,0.023455465,0.40082124,0.59917873
0.01082859,0.003154859,0.542525,0.02241171,0.39864647,0.6013536
0.009922849,0.0033701658,0.54342353,0.02236438,0.39807948,0.60192055
0.009656107,0.0028696582,0.54123545,0.021350067,0.39681587,0.6031841
0.009970419,0.0034286156,0.5436512,0.022351548,0.3978971,0.60210294
0.008635465,0.0036101341,0.5444206,0.022207985,0.39719018,0.6028098
0.0070241243,0.0036788806,0.5449609,0.021692673,0.3956841,0.6043159
0.008541487,0.004162535,0.54715973,0.023604246,0.39883524,0.60116476
0.009907741,0.004055679,0.54673284,0.024317179,0.4005396,0.5994604
0.010389134,0.004400544,0.5483733,0.025302526,0.4017137,0.5982863
0.010296201,0.004469998,0.54866725,0.025550466,0.40206456,0.5979355
0.0111512225,0.004232794,0.54772156,0.025620038,0.4026588,0.5973412
0.011626473,0.0040261745,0.5469206,0.025372481,0.40255493,0.5974451
0.013267238,0.0043074638,0.5481358,0.02698333,0.40511832,0.59488165
0.012711635,0.0039919913,0.5466226,0.025895804,0.40380388,0.5961961
0.012228534,0.0041985586,0.5475416,0.025947515,0.4034489,0.5965511
0.011794554,0.0041901693,0.5473645,0.025701666,0.403069,0.59693104
0.011039108,0.004149601,0.5472001,0.025134496,0.40199977,0.5980003
0.011478787,0.0043327212,0.5480052,0.025826927,0.40297607,0.59702396
0.010825876,0.004094489,0.54699844,0.024965752,0.4017377,0.5982623
0.010635996,0.0041232407,0.5472099,0.024869896,0.40141976,0.59858024
0.01170015,0.0039317906,0.54637176,0.025140038,0.40239996,0.59760004
0.012873245,0.0036497414,0.54516876,0.025126852,0.40298638,0.5970136
0.012390964,0.0036205277,0.5450001,0.024606422,0.40202832,0.5979717
0.013587115,0.0031667054,0.542921,0.024338081,0.4025603,0.5974397
0.012683757,0.0031148046,0.54260546,0.023410024,0.40076017,0.5992398
0.011123186,0.0036369562,0.5446686,0.023531685,0.40002486,0.5999751
0.009790275,0.0038331598,0.54540986,0.023382917,0.39933768,0.60066235
0.008780863,0.00388214,0.5456754,0.023006005,0.39833286,0.6016671
0.008854311,0.0040434226,0.54648477,0.023446972,0.39884368,0.60115635
0.008812048,0.00385236,0.5458169,0.023163835,0.39852256,0.6014775
0.009735931,0.0038815588,0.54610056,0.023750296,0.3996282,0.60037184
0.011547634,0.0034982637,0.5445245,0.024069134,0.40110683,0.59889317
0.011515869,0.0036718696,0.54529905,0.024206022,0.40102023,0.5989798
0.012830133,0.003860876,0.5459564,0.02546328,0.40332505,0.596675
0.01301093,0.0037673563,0.5454606,0.02533493,0.40333328,0.59666675
0.011120055,0.0039758086,0.5462874,0.024523813,0.40125605,0.5987439
0.01029975,0.0039497614,0.5461039,0.024102913,0.4004636,0.59953636
0.010157848,0.0038672686,0.5458468,0.02388619,0.40010154,0.59989846
0.009212114,0.004217714,0.54745173,0.024068244,0.39966103,0.600339
0.009725338,0.0042029694,0.5474177,0.024555845,0.4006904,0.5993096
0.010408957,0.004011549,0.5467323,0.024580026,0.40105432,0.5989457
0.012002159,0.004233055,0.54774845,0.025980463,0.40337232,0.5966277
0.012136649,0.0038842857,0.54616076,0.025296466,0.4028258,0.59717417
0.012235485,0.003957495,0.5465248,0.025391709,0.40284136,0.5971586
0.012950828,0.0037333071,0.54544294,0.02534061,0.40331298,0.596687
0.011677753,0.0039121956,0.5461677,0.024782803,0.40182236,0.5981776
0.011316756,0.0039760843,0.5463317,0.024796909,0.401789,0.59821105
0.011588534,0.0039061606,0.5460366,0.024826806,0.4019875,0.5980125
0.010545345,0.00374005,0.54533833,0.023808401,0.40018833,0.5998117
0.01024987,0.003982097,0.54642063,0.024131969,0.40032735,0.5996726
0.0095906295,0.0046070814,0.54919374,0.025243768,0.40123144,0.5987686
0.009008568,0.0046476647,0.54935247,0.025240889,0.40112287,0.5988772
0.010743419,0.0044930205,0.548798,0.026019441,0.40289977,0.5971002
0.011411261,0.0042625964,0.54791415,0.02582859,0.4029403,0.59705967
0.012778861,0.0042507797,0.54793453,0.026624179,0.4044951,0.5955049
0.01249709,0.004047349,0.5470604,0.025969207,0.40368655,0.5963135
0.0129111465,0.0038485005,0.5461126,0.025677266,0.40361336,0.5963866
0.013357706,0.0038175583,0.54585373,0.025729893,0.40388104,0.596119
0.013986597,0.0035462305,0.5445335,0.025420304,0.40396172,0.5960383
0.012985436,0.0036657006,0.5449615,0.02486647,0.40263999,0.59736
0.011019751,0.003308259,0.54331976,0.023033246,0.399585,0.600415
0.010341467,0.0032963231,0.5433104,0.02256527,0.3985354,0.6014646
0.00990314,0.0036144182,0.5446302,0.022949787,0.3987341,0.6012659
0.0092935525,0.003978491,0.54620504,0.023478774,0.3990955,0.60090446
0.008389203,0.0043990016,0.54810417,0.024008578,0.39924726,0.6007527
0.0085254125,0.0044981763,0.5486046,0.024504514,0.39999253,0.6000075
0.009730614,0.004346803,0.5481165,0.02498592,0.40117455,0.59882545
0.010555066,0.004257031,0.5478902,0.025262484,0.40182272,0.5981773
0.012641214,0.0039008334,0.54642975,0.025786977,0.40361643,0.59638363
0.012431284,0.0039920956,0.5468679,0.02567088,0.40318927,0.59681076
0.013882987,0.0036207587,0.54506296,0.025751574,0.40431494,0.59568506
0.013972988,0.0037541762,0.54553926,0.025813714,0.40422636,0.59577364
0.013198834,0.0036228,0.54474014,0.025004826,0.40304667,0.59695333
0.0115689915,0.0038748458,0.5457743,0.024481917,0.4014521,0.5985479
0.00947924,0.0039942563,0.5462306,0.023636611,0.39942655,0.6005735
0.008830141,0.004021108,0.5464246,0.023445848,0.3988792,0.6011208
0.009461891,0.003954515,0.54625887,0.023744324,0.39956605,0.600434
0.009251072,0.0042534247,0.5476963,0.024256136,0.3999052,0.6000948
0.010910407,0.004129909,0.5471923,0.025169704,0.402042,0.597958
0.01163581,0.003577806,0.5449321,0.024355464,0.40148523,0.59851474
0.013545124,0.003550224,0.5447855,0.025195654,0.40331438,0.5966856
0.01313152,0.003455855,0.5442338,0.024628608,0.40248594,0.59751403
0.012890166,0.0036881268,0.5451105,0.024920698,0.4026872,0.59731287
0.01114025,0.0038683861,0.5457532,0.024290245,0.40107393,0.59892607
0.010116216,0.0038625076,0.5456421,0.023736564,0.39994094,0.60005903
0.0097735245,0.0038694516,0.5457219,0.023572119,0.39951253,0.6004875
0.009817047,0.004015565,0.5464501,0.023948511,0.39992592,0.60007405
0.008952923,0.003839627,0.54583293,0.02322741,0.39865622,0.6013438
0.009860177,0.0038315803,0.54594725,0.02377293,0.39976123,0.60023874
0.01176697,0.0037516505,0.5456109,0.024716372,0.40192255,0.5980774
0.012189804,0.0038902909,0.5461778,0.025156988,0.40255752,0.59744245
0.01232568,0.003938094,0.546289,0.02536565,0.4029507,0.5970493
0.011747252,0.003935866,0.5462374,0.024986932,0.40221342,0.59778655
0.010666778,0.004098527,0.54690284,0.024670709,0.40122563,0.5987744
0.010352101,0.004175365,0.5472246,0.024741936,0.40120098,0.59879905
0.010988202,0.0038321093,0.54578835,0.024435438,0.40126416,0.59873587
0.011032613,0.0037416443,0.5455003,0.024142342,0.4007772,0.59922284
0.010742003,0.004104845,0.54708755,0.024749659,0.40126315,0.5987368
0.010280881,0.0044048056,0.54836977,0.025304385,0.40176374,0.59823626
0.010767493,0.0045895875,0.54917955,0.026153915,0.40302765,0.59697235
0.010789862,0.0045590624,0.5490474,0.026113154,0.4029845,0.5970155
0.0115063675,0.004363969,0.5482474,0.026110454,0.40335706,0.5966429
0.012180835,0.004156783,0.5474338,0.026003137,0.40354806,0.596452
0.011792744,0.0041489825,0.5474945,0.025717452,0.40296394,0.5970361
0.012250055,0.003761202,0.5457358,0.025143713,0.40272367,0.59727633
0.013660559,0.003739208,0.54559153,0.025760883,0.40405837,0.5959416
0.013747431,0.0037633926,0.54552436,0.02573861,0.40409186,0.59590816
0.01228996,0.0038390756,0.5457287,0.02494824,0.40242133,0.59757864
0.0108289495,0.003899917,0.5459138,0.024241079,0.40086493,0.5991351
0.0100973025,0.0038257837,0.54560757,0.023722218,0.39989677,0.60010326
0.010265244,0.003544569,0.5444542,0.023249852,0.39942905,0.600571
0.010592349,0.0036213994,0.54484713,0.023496853,0.3997592,0.60024077
0.011108374,0.0034760162,0.5442485,0.023568472,0.40022922,0.5997708
0.0107767135,0.0034318566,0.54409766,0.023236033,0.39958718,0.60041285
0.01174482,0.003409423,0.5439146,0.023716222,0.40074298,0.59925705
0.011527212,0.0035957694,0.5446459,0.023885362,0.40075007,0.59924996
0.011593673,0.0033267066,0.54339576,0.02341768,0.40038702,0.599613
0.010889035,0.0033506379,0.54351217,0.022934975,0.39925888,0.6007411
0.00999932,0.0033674315,0.54356563,0.02252079,0.39831203,0.60168797
0.009579301,0.0034603775,0.5439856,0.022512477,0.39807656,0.60192347
0.0104991235,0.0032954738,0.54330504,0.022766983,0.39898375,0.6010163
0.010287885,0.0032957345,0.5433457,0.022552293,0.39847046,0.6015296
0.010445025,0.0034639984,0.5440316,0.02297846,0.39908805,0.600912
0.009653531,0.0038282722,0.54559726,0.02331996,0.39905277,0.6009472
0.010080902,0.003718868,0.54513645,0.023525642,0.39971998,0.60028005
