mu1,mu2,sigma1,sigma2,pi1,pi2
-0.021445278,0.0033508912,0.13548723,0.012334975,0.4146854,0.58531463
-0.019840244,0.002412416,0.13720733,0.012742034,0.41568437,0.58431566
-0.021377329,0.0022168085,0.13766484,0.012850981,0.41585281,0.58414716
-0.015932087,-0.00094584376,0.14374134,0.014341955,0.41902903,0.580971
-0.016005043,-0.0016660765,0.14505152,0.014721486,0.42013517,0.5798648
-0.016276482,-0.0019703433,0.14581028,0.014887968,0.42014897,0.5798511
-0.014343742,-0.0024065152,0.14659281,0.015083454,0.42050222,0.5794978
-0.014215592,-0.0023133233,0.14622903,0.015034637,0.42083943,0.5791606
-0.013001684,-0.0032978877,0.14820084,0.015589659,0.42215917,0.57784086
-0.012946252,-0.0031572953,0.14793433,0.015521295,0.42207155,0.5779284
-0.013439778,-0.0026976988,0.14700602,0.015277526,0.4216538,0.57834625
-0.012803439,-0.0026389882,0.14683421,0.015242946,0.42171887,0.57828116
-0.016410831,0.00063125044,0.14038695,0.013579992,0.41828844,0.58171153
-0.017419819,0.00021339208,0.14128962,0.013818072,0.4188599,0.58114016
-0.019102935,0.0018549189,0.1383038,0.013023303,0.41652578,0.5834742
-0.021929387,0.0043182597,0.13365635,0.0119161615,0.4137366,0.5862634
-0.021147016,0.00425715,0.1336764,0.011933917,0.41396,0.58603996
-0.021746878,0.004101135,0.13396959,0.012019761,0.41434458,0.58565545
-0.021685604,0.004751347,0.13281053,0.01173653,0.4134653,0.5865347
-0.022500638,0.005046986,0.13222979,0.011622981,0.41335678,0.5866433
-0.022939805,0.0054009184,0.13164592,0.011480566,0.4128586,0.5871414
-0.02288187,0.0038178489,0.13466553,0.012165067,0.4144663,0.5855337
-0.020465616,0.0015057698,0.13916923,0.013188184,0.41635868,0.58364135
-0.020780686,0.002365239,0.13746828,0.012749706,0.41508487,0.58491516
-0.02019823,0.0017465279,0.13852325,0.013024831,0.4159408,0.58405924
-0.018330697,0.0005848929,0.14070907,0.013569248,0.41727766,0.5827223
-0.016165975,-0.0022565946,0.14631778,0.015034061,0.42053854,0.57946146
-0.014031891,-0.0029759184,0.14778054,0.015394141,0.42104018,0.5789598
-0.01124597,-0.0051524267,0.15202788,0.016627584,0.42388996,0.57611006
-0.010498766,-0.0066317692,0.15520741,0.017554237,0.42557427,0.57442576
-0.00796533,-0.0075171515,0.15705474,0.018082544,0.42640573,0.57359433
-0.010518316,-0.005529128,0.15277444,0.01686293,0.42451394,0.57548606
-0.013054136,-0.0040980205,0.14994006,0.01605142,0.4228665,0.57713354
-0.012095932,-0.0043639317,0.15050988,0.01618984,0.4229917,0.5770083
-0.012433652,-0.004303463,0.15033348,0.016157612,0.42305842,0.5769416
-0.011513118,-0.0045640245,0.15084253,0.016301101,0.42336717,0.57663286
-0.014441971,-0.0027052984,0.14710186,0.015275707,0.4213618,0.5786382
-0.013884667,-0.0037805215,0.14939718,0.015880354,0.4223431,0.57765687
-0.012406949,-0.0041816905,0.15018073,0.016076745,0.42259428,0.57740575
-0.0148778,-0.0031161532,0.14801063,0.015493191,0.42150834,0.5784917
-0.011891965,-0.004127629,0.15000853,0.016027465,0.4225133,0.57748675
-0.011907939,-0.004539512,0.1507364,0.016286287,0.42344457,0.57655543
-0.012963418,-0.0035021529,0.14868441,0.015705347,0.42223626,0.57776374
-0.013018612,-0.0041144416,0.1499826,0.01606695,0.42292815,0.57707185
-0.012324695,-0.0035506561,0.14880306,0.015721718,0.42215765,0.57784235
-0.011837486,-0.0035394654,0.14860955,0.015720297,0.42261633,0.5773837
-0.013734464,-0.002310507,0.14618522,0.015079201,0.4214538,0.57854617
-0.0164758,1.7516315e-05,0.14167978,0.013887624,0.41876373,0.58123624
-0.017174128,5.953014e-06,0.14175309,0.013904766,0.41875553,0.58124447
-0.019305829,0.0025070235,0.13700102,0.012703541,0.41573635,0.5842637
-0.018758062,0.0014652386,0.1389088,0.013194736,0.41715768,0.58284235
-0.019449238,0.0021070614,0.13777566,0.012895965,0.4162302,0.58376986
-0.019599322,0.0026359037,0.1367271,0.012645206,0.41566432,0.58433574
-0.022511605,0.004309289,0.13366075,0.011927272,0.41385034,0.58614963
-0.020968799,0.0030587688,0.13603988,0.012466456,0.41502777,0.5849722
-0.01919711,0.0014937446,0.13896848,0.013173804,0.41673198,0.58326805
-0.018364195,0.0014752075,0.13894175,0.013166369,0.41674194,0.5832581
-0.01783574,0.0015945956,0.13858196,0.013108292,0.4169401,0.5830599
-0.019835833,0.0028696582,0.13619637,0.012549287,0.41575608,0.58424395
-0.019448522,0.0015357509,0.13886288,0.013183118,0.41710085,0.58289915
-0.019389633,0.0019994602,0.138054,0.012945168,0.4161571,0.58384293
-0.019505028,0.002013214,0.1379391,0.012929524,0.41623953,0.58376044
-0.019186858,0.0003880635,0.14116107,0.013718105,0.41791245,0.5820876
-0.018332843,0.00059659034,0.1408159,0.01358107,0.41716146,0.58283854
-0.018139128,0.00056097656,0.1407166,0.013585036,0.41745716,0.5825429
-0.018230919,0.0006257966,0.14058384,0.013560222,0.41748232,0.5825177
-0.016675118,-0.0011829212,0.14415063,0.01447473,0.41951087,0.58048916
-0.013108257,-0.0032599345,0.14824642,0.015562506,0.42176393,0.5782361
-0.011482481,-0.0032617822,0.14799944,0.015544784,0.42222747,0.5777725
-0.01521707,-0.0018134639,0.1452558,0.014836995,0.42096117,0.5790388
-0.014618639,-0.002091013,0.14593899,0.014973657,0.42085645,0.5791436
-0.014959697,-0.0025366172,0.14685412,0.015211158,0.421237,0.578763
-0.017031673,0.00017409772,0.14150986,0.0137824165,0.41791403,0.58208597
-0.01716626,0.00017052144,0.1413762,0.013786922,0.41828567,0.58171433
-0.017025713,0.00021941215,0.14130136,0.013771052,0.41828918,0.5817108
-0.017232183,0.0006270185,0.14049448,0.013576084,0.4179395,0.5820605
-0.01941276,0.002195634,0.13753553,0.012850155,0.41625306,0.5837469
-0.01952136,0.0012114719,0.13952942,0.013326704,0.4172053,0.58279467
-0.014983419,-0.001574032,0.14493118,0.01468123,0.4200263,0.57997376
