mu1,mu2,sigma1,sigma2,pi1,pi2
0.028910168,0.0021610707,0.117645755,0.020445714,0.0134994,0.9865006
0.03147299,0.0022262782,0.11768628,0.020256344,0.013356215,0.9866438
0.032345302,-0.0015255362,0.1175155,0.020214217,0.013325931,0.9866741
0.031030007,-0.0013613552,0.11724888,0.020192286,0.013311249,0.9866888
0.03170509,7.645786e-05,0.11696176,0.020013198,0.013180779,0.98681927
0.031146891,-0.0025105625,0.11674673,0.020044502,0.013206629,0.9867934
0.027978726,-0.0018342584,0.1164613,0.02014209,0.0132819265,0.98671806
0.030443318,0.003285423,0.11667513,0.01993704,0.013127334,0.9868727
0.038574763,0.00068102777,0.11706114,0.01957306,0.01285235,0.9871476
0.04104752,-0.007794991,0.117123604,0.0195865,0.012859116,0.9871409
0.03479571,-0.009300128,0.116679385,0.019863183,0.013066902,0.98693305
0.029952414,-0.0026937574,0.11630018,0.019928388,0.01312074,0.9868793
0.027983375,-0.0014402419,0.116026804,0.019979458,0.013165319,0.9868347
0.030496486,0.0021053702,0.116243124,0.019806713,0.013034652,0.98696536
0.03180761,-0.0026247948,0.11633452,0.019867985,0.0130804805,0.98691946
0.028079696,-0.0028831512,0.11624682,0.020084407,0.01324133,0.98675865
0.031611867,0.0041774064,0.11662373,0.019809704,0.013032229,0.98696774
0.0374989,-0.002282843,0.11704551,0.019710535,0.0129550705,0.9870449
0.03855253,-0.0054211766,0.11723291,0.019733962,0.012966966,0.987033
0.036017127,-0.0065159947,0.11685472,0.01979177,0.013013137,0.9869868
0.033079155,-0.0043957084,0.11642917,0.019799516,0.013023603,0.9869764
0.030352421,-0.0034421831,0.11613415,0.01988186,0.013089866,0.98691016
0.03300167,0.0011173338,0.11629953,0.019658636,0.012922132,0.9870779
0.032033034,-0.005827412,0.116207704,0.019870207,0.013082586,0.9869174
0.02799917,-0.0015967935,0.11611792,0.019999953,0.013178348,0.9868217
0.026381262,0.00036220253,0.11608191,0.020082675,0.013242956,0.98675704
0.024487741,0.00091440976,0.11629389,0.020293627,0.013399611,0.9866004
0.026015945,0.0046421736,0.11663412,0.020226853,0.013346454,0.98665357
0.025777109,0.0004824251,0.11672251,0.020385997,0.013465747,0.98653424
0.024347134,0.0031886548,0.11683767,0.020450354,0.013511222,0.98648876
0.026857145,0.004785165,0.1170633,0.020327622,0.01341798,0.98658204
0.030143924,0.0020463914,0.117313355,0.020241605,0.013350404,0.9866496
0.029497214,-0.00096948445,0.11734625,0.020353816,0.013432538,0.9865675
0.029828258,0.001825735,0.11724383,0.0202155,0.013329091,0.9866709
0.028583832,-0.0015029162,0.11698774,0.02030219,0.01339782,0.9866022
0.026901193,0.0014261752,0.116863966,0.0202992,0.013396062,0.986604
0.026811428,0.001646325,0.11675544,0.020278282,0.013383104,0.98661685
0.026042588,0.0014106184,0.11675429,0.020341516,0.013430737,0.9865693
0.027203746,0.0033466965,0.11682635,0.020239022,0.0133532,0.9866468
0.028027363,0.00092341006,0.116908066,0.020270294,0.013376062,0.98662394
0.029820032,0.002386257,0.11714578,0.020179853,0.013304561,0.9866954
0.033383496,0.00067685544,0.11730522,0.020023605,0.013186026,0.986814
0.03385354,-0.0031658262,0.11720964,0.020027868,0.013188701,0.98681134
0.03639228,-0.0004387051,0.11728557,0.019795315,0.013012697,0.9869873
0.0372457,-0.0059312135,0.11698344,0.019760685,0.012990582,0.9870094
0.031037875,-0.007100746,0.11648352,0.02002514,0.0131915435,0.9868085
0.025813766,-0.0007316023,0.11607915,0.020117551,0.013266443,0.98673356
0.02487553,0.0019642264,0.11597298,0.02012275,0.013275004,0.986725
0.02506984,0.0022381693,0.11615418,0.020182278,0.013318829,0.98668116
0.027343936,0.0035656542,0.116508484,0.020116767,0.013265857,0.98673415
0.02940274,0.0010216981,0.116842374,0.020148,0.013285421,0.9867146
0.033449657,0.0021186024,0.11728581,0.019974036,0.013148801,0.9868512
0.03366316,-0.0043142885,0.11723642,0.020083023,0.0132301655,0.98676986
0.03096164,-0.0019626468,0.11714608,0.020162651,0.013288383,0.9867116
0.0306511,-0.0002604276,0.11688447,0.020069886,0.013223512,0.98677653
