mu1,mu2,sigma1,sigma2,pi1,pi2
0.0069288015,-0.00015404075,0.5297083,0.03507426,0.028287679,0.97171235
0.0072273314,-0.0013203248,0.5292905,0.03492594,0.028185826,0.9718142
0.0064197034,0.0011403933,0.53025717,0.03512294,0.028294757,0.97170526
0.008015588,-0.0024517402,0.5282587,0.033736546,0.027239677,0.9727603
0.007868692,-0.0019356236,0.52842027,0.03368663,0.027187984,0.97281206
0.0073197633,-0.00093670934,0.5290058,0.033930533,0.02735865,0.9726414
0.008088753,-0.0035077557,0.52799714,0.033560164,0.027101632,0.97289836
0.008399874,-0.0044774637,0.5276429,0.033557534,0.027119987,0.97288
0.008779094,-0.004808508,0.52725816,0.033267606,0.026898233,0.9731018
0.009269401,-0.004959129,0.52678347,0.03282824,0.026555702,0.97344434
0.009162813,-0.004560314,0.5269702,0.033015892,0.02670537,0.9732946
0.009614587,-0.0052334294,0.5265051,0.03279555,0.026546573,0.9734534
0.009224802,-0.0044120178,0.52708143,0.03345656,0.02707624,0.97292376
0.008511931,-0.0017752275,0.52801996,0.033680726,0.027214311,0.9727857
0.007663667,-0.00064411014,0.5289764,0.034462463,0.02781802,0.972182
0.006993264,-0.0001726374,0.52972215,0.035287008,0.028468443,0.9715315
0.00742355,-0.0015744194,0.5291903,0.035170402,0.028401287,0.9715987
0.0072268546,-0.00062241405,0.52947426,0.035198413,0.028409211,0.9715908
0.00734511,-0.0013142452,0.52932733,0.035333306,0.028531684,0.97146827
0.0071027577,-0.0006219968,0.52965355,0.035550296,0.028696137,0.9713038
0.007174939,-0.0003549084,0.52960664,0.035403773,0.028576273,0.97142375
0.0067222863,0.0019479766,0.5301662,0.035066642,0.028259171,0.97174084
0.006661296,0.0020928755,0.5300946,0.034589842,0.027858295,0.97214174
0.0065160543,0.000676848,0.53006715,0.034926444,0.028138697,0.9718613
0.0066637397,-0.00046225637,0.529776,0.03486118,0.028098145,0.97190183
0.0070837736,-0.001988016,0.5292008,0.03463591,0.027940253,0.9720597
0.00718078,-0.0014490113,0.5290699,0.034109004,0.027503103,0.97249687
0.0077154636,-0.0033565983,0.5283502,0.033850595,0.027324606,0.9726754
0.009136274,-0.0053375587,0.52672446,0.03253136,0.02630291,0.9736971
0.009557202,-0.0046549067,0.52631056,0.03173176,0.025650999,0.974349
0.010327712,-0.0068391785,0.525355,0.031356,0.025383482,0.9746165
0.009455085,-0.0056585893,0.52641606,0.032365,0.026180763,0.97381926
0.008498788,-0.003448926,0.5275958,0.03307942,0.026720168,0.97327983
0.009101778,-0.0044033155,0.5268961,0.032550793,0.026312731,0.9736873
0.009031326,-0.0042116866,0.52699035,0.032612596,0.026360014,0.97364
0.009166211,-0.004890643,0.5268155,0.032672476,0.026420046,0.97357994
0.008536607,-0.0032283291,0.5276218,0.033137225,0.026769176,0.97323084
0.008327827,-0.0023488626,0.5278522,0.03299476,0.026635448,0.9733646
0.008591607,-0.00377997,0.5274476,0.032956026,0.026623366,0.9733767
0.0078422725,-0.002039276,0.52833855,0.03340097,0.026948914,0.9730511
0.009024411,-0.005277775,0.5268704,0.032743923,0.026474884,0.9735251
0.009042203,-0.0050394163,0.52690256,0.032768283,0.026494907,0.97350514
0.008672118,-0.004439853,0.5273754,0.033234745,0.02686357,0.9731364
0.008536965,-0.0032629594,0.52759147,0.03305282,0.026698858,0.9733011
0.009346649,-0.005114697,0.52664346,0.032608453,0.026376404,0.9736236
0.009800777,-0.006193422,0.52616316,0.032551702,0.026356399,0.97364366
0.009442836,-0.004703425,0.52671516,0.03284969,0.026580784,0.97341925
0.008586213,-0.003203772,0.52777874,0.03377426,0.02730369,0.9726963
0.008134559,-0.001702331,0.5283541,0.033939224,0.027410863,0.9725891
0.0076853186,-0.0017516837,0.5288546,0.0346846,0.028010428,0.9719896
0.008045375,-0.0015068874,0.5284861,0.034089614,0.027530883,0.9724691
0.0077375174,-0.0011767372,0.52882534,0.034390476,0.027764585,0.97223544
0.007619694,-0.0016722903,0.5289235,0.03473282,0.028046867,0.97195315
0.00667125,0.00015411526,0.53005534,0.03554187,0.028662175,0.97133785
0.0068683624,-0.0001148209,0.52978843,0.035196908,0.028386522,0.9716135
0.007440299,-0.0008068904,0.5290942,0.034447215,0.027794799,0.9722052
0.007736191,-0.0021753535,0.52868843,0.03444615,0.027816318,0.9721837
0.008227676,-0.0035151467,0.52812976,0.034342844,0.027762294,0.9722377
0.007734239,-0.0021996126,0.5288016,0.03485588,0.028158324,0.9718417
0.007323146,-0.00021060556,0.52934194,0.034725904,0.028017959,0.97198206
0.00745894,-0.00068142265,0.52913827,0.03457822,0.027904319,0.97209567
0.0075170696,-0.0009568557,0.52903956,0.03451442,0.027855556,0.9721444
0.0071814954,0.00070712715,0.52942055,0.0341763,0.027547764,0.9724522
0.0072383583,-0.0007618293,0.52919394,0.034305762,0.027666356,0.97233367
0.0072949976,-0.0018264279,0.5290419,0.03447829,0.027818767,0.97218126
0.007158622,-0.0020880327,0.52916926,0.03475377,0.028042888,0.9719571
0.0076295137,-0.0019956455,0.528649,0.03396514,0.027408654,0.97259134
0.008761823,-0.004374288,0.5272792,0.0330736,0.026732992,0.973267
0.0097002685,-0.006974481,0.5262048,0.03287236,0.026624,0.97337604
0.008862406,-0.0034983978,0.5273971,0.033242162,0.026874274,0.97312576
0.00897859,-0.0031025633,0.5272974,0.03295677,0.026639415,0.9733606
0.008272409,-0.0014600381,0.52810353,0.033260535,0.026849966,0.9731501
0.0078036934,-0.00212463,0.52855796,0.03411688,0.027544698,0.97245526
0.008168727,-0.0027508363,0.52814585,0.033853605,0.02734664,0.9726534
0.008264676,-0.0030642375,0.5280458,0.033892464,0.02738556,0.97261447
0.008085653,-0.0030319914,0.52827233,0.034254637,0.027678808,0.9723212
0.007653773,-0.0020081028,0.52884024,0.034699887,0.028022952,0.97197706
0.007318765,-0.00012525171,0.52928317,0.034461398,0.027796762,0.97220325
0.008800119,-0.0028157458,0.52748245,0.033037215,0.02669643,0.9733036
0.007933855,-0.0015273318,0.52846915,0.033786844,0.027272701,0.97272736
0.007986903,-0.0026389584,0.5283368,0.034041893,0.027494106,0.97250587
0.007121727,-0.0011958107,0.5293638,0.034870703,0.028133666,0.97186637
0.0077010393,-0.002639912,0.52865833,0.034510173,0.027870458,0.9721296
0.007638216,-0.0020642504,0.52877384,0.03445935,0.027821748,0.9721783
0.0077194422,-0.0008821115,0.5287243,0.033838023,0.027301265,0.97269875
0.007965729,-0.0013454184,0.5283522,0.033360705,0.02691781,0.9730822
0.007860631,-0.0010952577,0.5283825,0.03309767,0.02669198,0.973308
