mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.020194829,-0.1428895,0.0023500472,0.13233007,0.21314818,0.2508064,0.26246786,0.7266201,0.010912125
0.022475243,-0.14349198,0.0023224652,0.13216779,0.21314888,0.2506491,0.2622962,0.72682434,0.010879489
0.022486284,-0.14376473,0.002489522,0.13190387,0.21289192,0.25037447,0.26214546,0.72701997,0.01083457
0.023620993,-0.14426374,0.002508238,0.13170227,0.212846,0.25026467,0.26204115,0.7271568,0.010802002
0.021161824,-0.14413029,0.0028427392,0.13139355,0.21233512,0.24988118,0.2619218,0.7273255,0.010752674
0.022156298,-0.14435488,0.002741173,0.13142335,0.21240799,0.24988432,0.2618835,0.72736263,0.010753875
0.021655723,-0.14411029,0.0026789755,0.13155635,0.21257964,0.25012025,0.26203328,0.7271847,0.010782089
0.020645157,-0.14392155,0.0027228296,0.13156044,0.21256265,0.2501839,0.2621065,0.7271056,0.0107879
0.019230187,-0.14359319,0.0027938336,0.13160104,0.21244593,0.25014326,0.26213697,0.7270686,0.010794405
0.021592632,-0.1439498,0.0025268197,0.13174632,0.2128518,0.25043678,0.26220876,0.72697145,0.010819773
0.018478572,-0.14331344,0.0027204454,0.13173804,0.21270777,0.2505179,0.26237303,0.7267968,0.010830117
0.018337965,-0.14334127,0.0027154386,0.1317297,0.21267284,0.25048655,0.26235923,0.72681296,0.01082785
0.017019957,-0.14295545,0.002765417,0.13182056,0.21257512,0.2504506,0.26238894,0.72677046,0.010840575
0.01807347,-0.14310196,0.002751261,0.13183442,0.21241748,0.25015062,0.26218277,0.72699124,0.010826049
0.022804618,-0.14367852,0.0023094267,0.13212578,0.21302629,0.25047103,0.26218185,0.726953,0.010865099
0.02295661,-0.14375728,0.0023945868,0.13200831,0.21300806,0.25046125,0.26217467,0.72697514,0.01085015
0.022909075,-0.14391237,0.0024860501,0.13185611,0.21288578,0.25034145,0.26211104,0.7270628,0.010826156
0.022967562,-0.14408663,0.0025390685,0.1317318,0.21281354,0.25027147,0.2620699,0.7271226,0.010807542
0.021130309,-0.14367998,0.0026305467,0.13176751,0.2127158,0.25029317,0.26215133,0.72703135,0.010817347
0.023365393,-0.14457476,0.0026383698,0.13144544,0.21260999,0.2500393,0.26192427,0.72731507,0.010760738
0.020614594,-0.14421517,0.002858922,0.13130648,0.21238284,0.25001135,0.26201272,0.72723824,0.010749057
0.019050613,-0.14402857,0.002953291,0.13125668,0.21222039,0.24994525,0.2620328,0.7272237,0.010743518
0.018224925,-0.14406496,0.003017202,0.13116245,0.21206805,0.24983951,0.26200217,0.72726893,0.010728915
0.017687932,-0.14307886,0.0026236027,0.13189125,0.21287683,0.2507713,0.26254,0.72659785,0.010862177
0.016062334,-0.1428377,0.0027748197,0.13181263,0.21266519,0.25065282,0.26253614,0.7266128,0.010851048
0.016010106,-0.1427005,0.0027372986,0.13191777,0.21264566,0.25060704,0.2625119,0.72662616,0.010861974
0.018503323,-0.14304397,0.0025159866,0.13204522,0.21293612,0.2507424,0.26249242,0.72662973,0.010877815
0.01841855,-0.14304528,0.002563119,0.13199347,0.21292467,0.2507467,0.26249993,0.72662807,0.010871993
0.018022731,-0.14283216,0.0025195181,0.13210481,0.21304627,0.25091353,0.26260757,0.7264981,0.010894349
0.018105477,-0.14309779,0.002640754,0.13189052,0.2128203,0.25066143,0.26246506,0.7266787,0.010856204
0.017363384,-0.14294934,0.0027149916,0.13187699,0.21266179,0.25052103,0.26241532,0.7267347,0.010849929
0.020206407,-0.14347368,0.002478376,0.13194413,0.21298496,0.2506835,0.2623967,0.72674465,0.010858629
0.017989412,-0.14314568,0.0026939213,0.1318172,0.21275713,0.250606,0.2624395,0.7267155,0.010844988
0.018474773,-0.1434204,0.0027114153,0.13170204,0.21267359,0.25048238,0.2623512,0.72682494,0.010823877
0.017774493,-0.1432311,0.0027050972,0.13175988,0.21273313,0.25060686,0.26244628,0.7267153,0.010838337
0.015559226,-0.1425544,0.002753079,0.13194543,0.21268618,0.2506922,0.26257727,0.72655225,0.010870465
0.017561033,-0.1428889,0.0026268363,0.13199468,0.21273568,0.25057325,0.2624348,0.726699,0.010866172
