mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.15505804,0.017100215,0.036595613,0.0045134383,0.023938257,0.054154348,0.16390425,0.8360589,3.6816647e-05
-0.15551744,0.016890675,0.036909416,0.0044731256,0.023800356,0.053913463,0.16358957,0.83637416,3.6229765e-05
-0.15740173,0.017256528,0.03700757,0.004482571,0.023797171,0.053919856,0.16362068,0.836343,3.6346835e-05
-0.15643467,0.016370624,0.03681892,0.004454161,0.02369757,0.05372293,0.16331914,0.836645,3.5905116e-05
-0.15491505,0.016267493,0.03681363,0.004449739,0.023718366,0.053754684,0.1633521,0.83661205,3.5870606e-05
-0.15610434,0.017752856,0.03720057,0.0044909893,0.023878189,0.054072417,0.16384141,0.8361221,3.6534082e-05
-0.15958859,0.018939301,0.037568063,0.004517979,0.023923839,0.054187633,0.1640593,0.83590376,3.692634e-05
-0.16010608,0.018509716,0.03739415,0.004511473,0.023871351,0.054085333,0.1639054,0.8360577,3.6788028e-05
-0.15771027,0.01809287,0.03728126,0.0045008194,0.023881853,0.05408962,0.16388433,0.836079,3.6661302e-05
-0.15991063,0.019128457,0.037648976,0.0045202742,0.02393129,0.0542062,0.16409415,0.8358689,3.6966518e-05
-0.16088895,0.019071698,0.037619293,0.0045197723,0.023902154,0.054155212,0.16402736,0.8359357,3.6931906e-05
-0.15905295,0.018801257,0.03752947,0.0045144805,0.02392084,0.054178115,0.16403875,0.8359244,3.6878646e-05
-0.16094019,0.020059243,0.037826344,0.004552534,0.024042236,0.054423906,0.16442345,0.8355391,3.7471607e-05
-0.16278352,0.02059783,0.03779584,0.004583547,0.024109526,0.054555584,0.16462156,0.83534056,3.7909726e-05
-0.1610706,0.019699842,0.037546694,0.0045597875,0.02404232,0.05441307,0.16438825,0.8355742,3.754007e-05
-0.16068344,0.019062221,0.03752868,0.004527821,0.023930017,0.054202303,0.16408575,0.83587724,3.7048198e-05
-0.16059409,0.019063607,0.03717573,0.004561134,0.024027718,0.05436856,0.16429394,0.83566856,3.7516715e-05
-0.15805002,0.018814772,0.036717534,0.0045920536,0.02416944,0.054600798,0.1645676,0.83539444,3.799158e-05
-0.15686573,0.018029645,0.03682302,0.0045406367,0.02401482,0.05431359,0.16416073,0.835802,3.723102e-05
-0.15564679,0.01829812,0.03720124,0.004519695,0.0239988,0.054294117,0.16415182,0.8358112,3.6989426e-05
-0.15999322,0.0201222,0.0380885,0.0045314934,0.02400919,0.054369256,0.16435832,0.8356045,3.7204194e-05
-0.16296436,0.020388931,0.038639545,0.0044931513,0.023835845,0.054083157,0.16401747,0.83594596,3.662168e-05
-0.16484658,0.020777836,0.038883284,0.00449029,0.023798332,0.054031696,0.16397731,0.8359861,3.6570214e-05
-0.16671772,0.02170451,0.038857087,0.0045409645,0.023940323,0.054302868,0.1643745,0.83558816,3.7310558e-05
-0.16662483,0.021628007,0.038550302,0.0045658615,0.024010118,0.054419447,0.1645158,0.8354466,3.765592e-05
-0.16551055,0.021472469,0.038002193,0.0046099513,0.02415679,0.054663897,0.16481115,0.8351506,3.8292033e-05
-0.16247745,0.02150616,0.03747198,0.004663605,0.024389343,0.055058826,0.165303,0.8346579,3.913351e-05
-0.16183208,0.0215628,0.037510306,0.0046631843,0.024407733,0.05509153,0.16534667,0.8346142,3.9148443e-05
-0.16236417,0.021441773,0.03746821,0.0046605063,0.02438036,0.055041548,0.16527757,0.83468336,3.9086324e-05
-0.16084413,0.019678712,0.03725058,0.004586773,0.024124186,0.054551538,0.16455989,0.83540213,3.7923513e-05
-0.15837578,0.01866275,0.03708081,0.0045494707,0.024031932,0.054362617,0.16426109,0.8357016,3.7372072e-05
-0.15828495,0.018722832,0.037328437,0.00452939,0.023979558,0.054275353,0.16415541,0.8358075,3.7098245e-05
-0.15928392,0.018965691,0.0376554,0.0045112916,0.023913674,0.054171026,0.16403988,0.83592325,3.6842426e-05
-0.16033594,0.019543394,0.03794518,0.004514292,0.023923155,0.0542052,0.16411813,0.8358449,3.6907542e-05
-0.16240998,0.020444691,0.038248077,0.004532832,0.023966651,0.05430759,0.16430195,0.8356609,3.7192905e-05
-0.16468962,0.021075353,0.0381864,0.004571435,0.024049029,0.054468025,0.16454208,0.8354202,3.7733847e-05
-0.16250037,0.020115957,0.037851408,0.004552711,0.024005458,0.05436363,0.16435234,0.8356102,3.7441823e-05
-0.16236942,0.019920588,0.037762493,0.004550762,0.023993833,0.05433782,0.16430818,0.83565444,3.740116e-05
-0.16125475,0.019958347,0.0374451,0.004583125,0.024116741,0.054547634,0.1645721,0.83539003,3.788602e-05
-0.1602896,0.02022168,0.03727992,0.004613261,0.02424036,0.054765403,0.16485907,0.83510256,3.83581e-05
-0.1596557,0.020068437,0.03743513,0.0045904405,0.024184195,0.05466506,0.16472438,0.83523756,3.803719e-05
-0.16116844,0.020087466,0.03766863,0.004568858,0.024084441,0.05449665,0.16451623,0.8354461,3.7698042e-05
-0.16143285,0.019542038,0.03747371,0.004558182,0.02402082,0.05437179,0.16432731,0.8356352,3.7495618e-05
-0.15949573,0.01841709,0.037122697,0.0045321905,0.023941906,0.054202393,0.16404627,0.83591664,3.708335e-05
-0.15787469,0.017805398,0.036930233,0.0045184377,0.023914523,0.054136522,0.16392595,0.83603716,3.6878806e-05
-0.15738435,0.018140808,0.036785543,0.004549898,0.024033427,0.05434881,0.16421178,0.8357509,3.7357706e-05
-0.15618633,0.017856628,0.03686051,0.004528169,0.02398811,0.05426263,0.1640861,0.8358768,3.705836e-05
-0.15803017,0.018346325,0.037048995,0.0045358073,0.023986377,0.054275326,0.16413257,0.83583033,3.716247e-05
-0.15782978,0.017900556,0.03684753,0.004531218,0.023956908,0.054211527,0.16402565,0.83593726,3.706595e-05
-0.15585904,0.017212868,0.036777496,0.004502144,0.023890706,0.054077182,0.16381472,0.8361487,3.6650235e-05
-0.15672065,0.017069891,0.03708452,0.0044659115,0.023757525,0.053846397,0.1635167,0.8364472,3.611708e-05
-0.15763764,0.017201915,0.037013546,0.0044790963,0.023778554,0.053886566,0.1635757,0.83638805,3.6288842e-05
-0.15623538,0.01732625,0.036805674,0.0045053596,0.023895789,0.054089442,0.16383713,0.83612615,3.6695517e-05
-0.15679912,0.017814472,0.037012547,0.004511536,0.023922594,0.054150138,0.16394293,0.83602023,3.680863e-05
-0.15930648,0.017789587,0.036864787,0.0045233006,0.023891171,0.05409682,0.16387606,0.83608705,3.6911726e-05
-0.15537645,0.016207859,0.03598766,0.0045232237,0.023915397,0.05408838,0.16376804,0.8361951,3.6871457e-05
