mu1,mu2,sigma1,sigma2,pi1,pi2
-0.007891402,-0.007505238,0.017813087,0.20567775,0.60578054,0.3942195
-0.008428618,-0.007742077,0.017800936,0.20566615,0.60593337,0.39406663
-0.0023656934,-0.005259797,0.017866373,0.20552033,0.60431796,0.395682
-0.0028462857,-0.005784735,0.017737735,0.20505589,0.6046375,0.39536247
-0.010257646,-0.008633435,0.017727733,0.205503,0.60650325,0.39349672
-0.01447998,-0.009635389,0.017956229,0.20666274,0.6072035,0.3927965
-0.006656751,-0.006145492,0.018151173,0.2068926,0.6049537,0.39504626
-0.0028766245,-0.0049042404,0.018075278,0.20635405,0.6041247,0.39587525
-0.013772652,-0.009268105,0.017993432,0.20675904,0.60697013,0.39302984
-0.009595856,-0.0071697086,0.018187601,0.20722546,0.60563236,0.39436767
-0.0050625056,-0.005446404,0.018186454,0.20692162,0.6045018,0.3954982
-0.013886437,-0.0089559555,0.018129105,0.20728604,0.6067916,0.39320838
-0.012062475,-0.0077227354,0.018336661,0.2079547,0.60602295,0.39397708
-0.0052614063,-0.004942909,0.01841045,0.20778267,0.6042136,0.39578643
-0.008681461,-0.0066508055,0.018253343,0.20741488,0.60530454,0.39469552
-0.006293878,-0.0059095025,0.018188698,0.20701143,0.60480607,0.395194
-0.0014130324,-0.0040696114,0.018181544,0.2066621,0.603597,0.396403
-0.006987378,-0.006419167,0.018094573,0.20669863,0.60512245,0.39487752
-0.007866606,-0.007014647,0.017995149,0.2063763,0.60549396,0.39450604
-0.020068571,-0.011598378,0.018018946,0.20727287,0.6084999,0.3915001
-0.016687855,-0.009518921,0.018323105,0.20821029,0.6071969,0.39280307
-0.014080569,-0.008367598,0.018384589,0.20827006,0.6064545,0.3935455
-0.013882801,-0.008083373,0.01846594,0.20856418,0.6062835,0.3937165
-0.010486349,-0.0063799024,0.018626653,0.20894217,0.6051967,0.3948033
-0.0077077,-0.0053122193,0.018630423,0.20877123,0.604497,0.39550298
-0.0047225207,-0.0042432547,0.018603774,0.20847303,0.60379034,0.39620966
-0.01172553,-0.0070201755,0.018560477,0.20877641,0.6056043,0.39439568
-0.011581644,-0.006957993,0.018563395,0.20877786,0.60556406,0.39443594
-0.006238684,-0.0050292164,0.018521953,0.20826703,0.6042911,0.3957089
-0.0036365837,-0.004749909,0.018245578,0.20705189,0.6040558,0.39594415
-0.009657308,-0.007480234,0.018077584,0.20680986,0.605815,0.39418504
-0.011779413,-0.008216798,0.0181049,0.20705436,0.6063029,0.3936971
-0.01186882,-0.008107275,0.018159946,0.20727038,0.6062415,0.39375848
-0.0143470615,-0.008814365,0.018250931,0.20778087,0.606722,0.39327797
-0.013007328,-0.007920146,0.018399674,0.20825584,0.6061641,0.39383587
-0.0049611777,-0.00460203,0.018498762,0.2080951,0.60400635,0.39599365
-0.0098507255,-0.006879583,0.018337032,0.20780951,0.60547036,0.39452967
-0.006530151,-0.00560759,0.01833995,0.20760056,0.60463655,0.39536342
-0.0075582713,-0.006032303,0.018327087,0.20761998,0.60491276,0.39508724
-0.009927198,-0.0068988353,0.01834086,0.20782906,0.60548365,0.39451638
-0.013113186,-0.008194134,0.018309021,0.20791964,0.60632664,0.39367336
-0.007777795,-0.0061203837,0.01832537,0.20762803,0.6049702,0.39502984
-0.0030068606,-0.004542634,0.018233048,0.20696278,0.60391736,0.3960826
-0.0041360706,-0.0054321587,0.018056847,0.20636664,0.6044677,0.39553228
-0.0056438893,-0.00622122,0.017975044,0.20615293,0.60496974,0.3950303
-0.005853936,-0.0062003434,0.018013362,0.20631354,0.60496336,0.3950366
-0.010733053,-0.008194357,0.01796164,0.20643656,0.6062608,0.39373925
-0.004588589,-0.005637318,0.01804433,0.20634867,0.60459995,0.39540008
-0.002523169,-0.0050899684,0.017953336,0.2058645,0.6042233,0.39577672
-0.009403989,-0.008018523,0.017836701,0.20586826,0.60612154,0.39387852
-0.0066660494,-0.0069148093,0.01785978,0.20577726,0.60540247,0.39459753
-0.0023143142,-0.005187407,0.017886333,0.2055937,0.6042743,0.3957257
-0.008631274,-0.007625714,0.017873902,0.20596083,0.60587126,0.39412877
-0.009059057,-0.0075672567,0.017957686,0.20631114,0.6058491,0.39415097
0.0067345053,-0.0015066117,0.017975448,0.20534143,0.60187304,0.398127
0.0025550872,-0.0038901865,0.017677011,0.20446783,0.6033819,0.39661816
-0.0053305477,-0.0073679388,0.017500388,0.20429638,0.60562944,0.39437056
-0.007995293,-0.00816682,0.017580435,0.20478256,0.60616875,0.39383125
-0.018755183,-0.011937708,0.017702086,0.20596157,0.60866076,0.39133924
0.0012810379,-0.003776729,0.017902091,0.20541824,0.6033511,0.39664894
0.005539432,-0.002661243,0.017711611,0.2044066,0.6025811,0.3974189
0.0013730079,-0.004649043,0.01756202,0.2040991,0.60385776,0.39614227
-0.007797107,-0.008427501,0.01745594,0.20428355,0.60631514,0.3936849
-0.0097498745,-0.008901328,0.017555753,0.20480119,0.60664517,0.3933549
-0.002828166,-0.005561009,0.017819209,0.20536913,0.60450655,0.39549348
-0.006790027,-0.0071488023,0.017789416,0.20551404,0.60554224,0.39445773
-0.006398663,-0.007065162,0.01776482,0.20539339,0.60548264,0.39451733
0.0021089464,-0.0039367825,0.01772312,0.20467523,0.6034215,0.39657852
-0.006446883,-0.007889569,0.017464723,0.20422983,0.6059643,0.3940357
-0.007249281,-0.0075440556,0.017706737,0.20522435,0.6057853,0.39421472
-0.0061901063,-0.006674856,0.017881945,0.20583136,0.60524935,0.39475062
-0.0073035806,-0.0070244223,0.017910093,0.20601277,0.605484,0.39451596
-0.01044558,-0.008337408,0.017866034,0.20604981,0.6063361,0.3936639
