mu1,mu2,sigma1,sigma2,pi1,pi2
0.025603577,0.0043011084,0.013494427,0.020766614,0.4959991,0.50400096
0.027327344,0.00352446,0.013629994,0.020960324,0.49605238,0.5039477
0.027293727,0.003983535,0.013816085,0.021213405,0.49551955,0.5044805
0.030099913,0.0025189295,0.013994909,0.021467384,0.49577984,0.5042201
0.02794163,0.0045273677,0.014274362,0.021834422,0.4944675,0.50553256
0.02915828,0.0038903132,0.014352891,0.021945354,0.49458212,0.5054179
0.029784843,0.0030895844,0.014193859,0.021731978,0.49519444,0.5048056
0.029876515,0.0029487982,0.014167918,0.02169611,0.49529883,0.5047012
0.027761027,0.004286088,0.014142348,0.021651737,0.49480605,0.50519395
0.031729743,0.0014810935,0.014065645,0.021564959,0.49607566,0.50392437
0.029882237,0.0023100749,0.013915145,0.021350976,0.49602306,0.503977
0.030078217,0.0022741929,0.013958533,0.021409823,0.49595556,0.5040445
0.027085707,0.0040061846,0.0138526,0.021253277,0.4954553,0.50454473
0.023867056,0.0065670386,0.0140093705,0.021454986,0.4941302,0.50586987
0.02706258,0.0041326657,0.013828671,0.021228071,0.49543816,0.50456184
0.027616903,0.003811635,0.013836997,0.021243358,0.49555194,0.50444806
0.028106019,0.0037302151,0.01393457,0.021378027,0.49540058,0.50459945
0.029220387,0.0031541958,0.014017083,0.021493595,0.49548265,0.5045174
0.027281448,0.0039934292,0.013836603,0.021239255,0.49548042,0.5045196
0.031551763,0.0021174327,0.01427065,0.021844836,0.49544552,0.5045545
0.031265184,0.0023663417,0.014333214,0.02192494,0.49523947,0.50476056
0.030835316,0.0028635636,0.014448017,0.022075707,0.4948347,0.50516534
0.03074424,0.002477087,0.014260361,0.021820098,0.49532756,0.50467247
0.031307146,0.0010353699,0.013798547,0.021195691,0.49675527,0.5032447
0.029617712,0.0022625104,0.013853231,0.021261955,0.49616078,0.50383925
0.02756612,0.003559865,0.013814752,0.021201888,0.49570695,0.504293
0.029383346,0.0022944584,0.013771079,0.021152169,0.49629566,0.50370437
0.029609725,0.0021862164,0.013785866,0.021173814,0.49631226,0.50368774
0.029473111,0.001808919,0.0135802105,0.020893855,0.49684832,0.50315166
0.029620811,0.0022284165,0.013805954,0.021200951,0.49625632,0.50374365
0.027372405,0.0037705079,0.013827137,0.021220358,0.4955961,0.50440395
0.031049773,0.0013481751,0.0138246,0.021233482,0.4965751,0.50342494
0.029656217,0.002255477,0.013832989,0.021237833,0.4961982,0.5038018
0.030831024,0.001924552,0.01402937,0.021508591,0.49596715,0.50403285
0.031147763,0.0015215054,0.013959933,0.021414421,0.49625984,0.5037402
0.02741246,0.003390707,0.013700122,0.021045623,0.49599037,0.50400966
0.02695243,0.003924884,0.0137749035,0.021147497,0.49563107,0.50436896
0.027735755,0.0035471097,0.013815116,0.021207843,0.49570653,0.5042935
0.029541418,0.0025176182,0.013874953,0.021297982,0.49600798,0.5039921
0.027784273,0.0036626235,0.013865003,0.021276964,0.4955643,0.5044357
0.028290316,0.002848424,0.013649876,0.020987527,0.49629173,0.5037083
0.027195975,0.0042043105,0.013924486,0.021355988,0.4952359,0.50476414
0.027931735,0.0037675276,0.013936194,0.021375963,0.49538815,0.50461185
0.028856322,0.0034745112,0.014078206,0.021572547,0.49524698,0.50475305
0.030317351,0.0029157773,0.014269049,0.021836363,0.49512726,0.5048728
0.030029818,0.0026338473,0.014073207,0.021568302,0.49559712,0.50440294
0.029868886,0.002438344,0.013952411,0.021402514,0.49589872,0.50410134
0.029951617,0.0023675337,0.013957067,0.02140812,0.4959207,0.5040793
0.029177472,0.0031955615,0.014102373,0.021601077,0.49532232,0.5046777
0.022003219,0.007554807,0.013908649,0.021309977,0.4939196,0.5060804
0.028223798,0.0037918463,0.014012826,0.021482999,0.49523467,0.5047654
0.026861712,0.0043067113,0.013840597,0.021244802,0.49534824,0.5046518
0.028660223,0.0031792298,0.013851092,0.021267423,0.49577606,0.50422394
0.029653117,0.002620019,0.01391298,0.021354001,0.49589062,0.5041094
0.028849408,0.0034126416,0.014048629,0.021532396,0.49532565,0.5046744
0.029253528,0.0033603087,0.014157452,0.021680225,0.49515057,0.50484943
0.03028135,0.0029081479,0.01427555,0.021843208,0.4951227,0.5048773
0.030760929,0.0028312579,0.014399439,0.022011213,0.49493372,0.50506634
0.030922815,0.0026936904,0.01439786,0.022008253,0.49499243,0.5050076
0.028557226,0.0025776997,0.013659239,0.020996531,0.49639142,0.5036086
0.027552173,0.0037680045,0.013875393,0.021286814,0.49550712,0.5044929
0.027031705,0.003896512,0.0137630515,0.021134105,0.49566174,0.50433826
0.029433534,0.0025430098,0.01385255,0.021267293,0.4960387,0.5039613
0.027774379,0.0038189068,0.013929706,0.02136492,0.4953824,0.50461763
0.025904462,0.0049024,0.013845784,0.021244338,0.49509728,0.5049027
0.02760987,0.0038459674,0.013862522,0.0212761,0.49549037,0.5045096
0.030157492,0.00242237,0.013983079,0.021450497,0.49584374,0.50415623
