mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.0017446578,0.002855029,0.004056848,0.44826132,0.53058225,0.41358823,0.4983004,0.16839153,0.33330804
0.0019722022,0.0015708469,0.0033667046,0.4470847,0.53053206,0.41297588,0.49911097,0.16787304,0.33301595
0.0018080436,0.0024883412,0.0038525197,0.4478847,0.5305551,0.41337207,0.49856314,0.16821949,0.3332174
0.002006255,0.0013310425,0.0032351683,0.44683817,0.5305084,0.41282618,0.49928543,0.1677602,0.33295438
0.0016681515,0.0032992028,0.004288118,0.44863355,0.5305912,0.41376787,0.4980463,0.16855025,0.3334035
0.0017264374,0.003105294,0.0041732225,0.4484374,0.53059685,0.413683,0.4981755,0.16846155,0.33336294
0.0017443784,0.0029924326,0.004106208,0.4482975,0.53058046,0.41359127,0.4982751,0.16839436,0.3333305
0.0017329827,0.0030456744,0.0041390206,0.44836518,0.5305864,0.413633,0.49822775,0.16842696,0.33334532
0.0015759729,0.003999751,0.0046438496,0.4492187,0.5306266,0.4140793,0.49763888,0.16879989,0.33356124
0.0015224889,0.00439794,0.0048480104,0.44956017,0.53064835,0.41426364,0.49740106,0.16894695,0.333652
0.0016663484,0.0035757236,0.004405878,0.44880053,0.53061354,0.4138649,0.49792403,0.1686116,0.33346438
0.0016623475,0.0035426132,0.004384767,0.44873735,0.5305953,0.41380656,0.49797276,0.16857861,0.33344862
0.0017775483,0.0028318577,0.004007857,0.4480947,0.5305619,0.4134653,0.49841735,0.16829675,0.3332859
0.0017954558,0.0026664995,0.0039200145,0.44793054,0.53054315,0.4133621,0.49853465,0.16822232,0.333243
0.0017830953,0.0027123056,0.003954142,0.44801545,0.53055394,0.41342142,0.4984743,0.16826612,0.3332596
0.0020954385,0.0007931553,0.0029355283,0.4462817,0.5304642,0.4125002,0.49967596,0.16750516,0.33281893
0.0022735372,-0.00046833232,0.0022785324,0.44516754,0.5303907,0.411889,0.5004562,0.16701905,0.33252475
0.0021703541,8.074567e-05,0.0025832239,0.44570932,0.5304193,0.41218385,0.50008047,0.1672638,0.33265573
0.0019846708,0.0012546442,0.0032168212,0.44683135,0.5304965,0.41281447,0.49929577,0.16776606,0.33293816
0.0014309287,0.0046497397,0.00503046,0.44996417,0.53067124,0.41450283,0.4971246,0.16915017,0.33372524
0.0016841143,0.0034565143,0.0043662707,0.44881356,0.5306413,0.41392428,0.49790704,0.16863571,0.33345726
0.0018163398,0.0025831126,0.0038973126,0.44797903,0.5305803,0.41345114,0.4984903,0.1682626,0.3332471
0.0012826324,0.0056722425,0.00554914,0.45079604,0.5307053,0.41491964,0.49655235,0.16950077,0.3339469
0.0013144538,0.005770933,0.0055769864,0.4508328,0.5307318,0.4149663,0.4965167,0.16950965,0.33397365
0.0016739108,0.0036630295,0.0044384818,0.44884223,0.5306238,0.41389337,0.49789143,0.16862457,0.333484
0.0013182163,0.005597513,0.0054736356,0.45057738,0.53067696,0.4147611,0.49670687,0.1693822,0.333911
0.0016002804,0.004083406,0.0046447325,0.44912693,0.53061193,0.41399577,0.49770296,0.16873473,0.33356234
0.0017577037,0.00299659,0.004071332,0.44812986,0.53054243,0.41344023,0.498399,0.1682949,0.33330607
0.0018213801,0.0025047474,0.0038211676,0.44771594,0.53051573,0.413217,0.49868816,0.16811767,0.33319414
0.0020054504,0.0013233386,0.0032121162,0.44672927,0.5304772,0.41272038,0.49936864,0.16769683,0.3329345
