mu1,mu2,sigma1,sigma2,pi1,pi2
0.023299618,-0.002499327,0.9193744,0.026938284,0.42476836,0.5752317
0.022548554,-0.002830997,0.91968995,0.026904576,0.42432207,0.575678
0.023133485,-0.0028805956,0.9184889,0.027239494,0.42491385,0.5750861
0.022557048,-0.0031005442,0.9188628,0.027164742,0.4245518,0.57544816
0.02351701,-0.0025800318,0.9186864,0.02714732,0.42504403,0.57495594
0.02319817,-0.0028361157,0.91818595,0.027369792,0.42502013,0.5749799
0.023173643,-0.00318411,0.91716063,0.02770843,0.4252681,0.57473195
0.023158057,-0.0029048547,0.91816294,0.027372088,0.4249847,0.57501537
0.023566125,-0.0028444007,0.9174429,0.027591903,0.42536414,0.57463586
0.023610933,-0.0029500052,0.916845,0.027809039,0.4255315,0.57446855
0.023138253,-0.0030852333,0.91739136,0.027661378,0.42514586,0.5748542
0.023283659,-0.003352724,0.91633487,0.027991971,0.42550203,0.574498
0.023030592,-0.003447108,0.91658485,0.02791845,0.42532966,0.5746704
0.023150636,-0.00368952,0.91562957,0.028219778,0.42566288,0.5743371
0.023186786,-0.0033376217,0.91673976,0.027835287,0.42539376,0.5746063
0.022405474,-0.003790468,0.91690665,0.02782556,0.4250023,0.5749977
0.022191672,-0.0039143115,0.9172834,0.027669435,0.4248363,0.5751637
0.022671876,-0.003470175,0.91788137,0.027414199,0.42494205,0.5750579
0.023075683,-0.0028344542,0.9189677,0.027045086,0.42485055,0.5751495
0.024219004,-0.0018540621,0.9194825,0.026843874,0.4252118,0.5747882
0.023118896,-0.002525799,0.919111,0.027098512,0.42473674,0.57526326
0.022760866,-0.0027906448,0.9193139,0.027029965,0.42447367,0.57552636
0.024189947,-0.0020558238,0.9187581,0.027117485,0.42528293,0.57471704
0.023791967,-0.002359882,0.9180901,0.027424363,0.42524245,0.5747576
0.022786168,-0.0030941442,0.91790736,0.027545331,0.42478803,0.575212
0.023995308,-0.0029631034,0.91607195,0.028049003,0.4258585,0.5741415
0.023292689,-0.0038917512,0.9142047,0.028766291,0.42605218,0.57394785
0.023111043,-0.0042524114,0.9137144,0.028910518,0.426117,0.573883
0.023156969,-0.0041823015,0.91401196,0.028776007,0.42609861,0.57390136
0.02268864,-0.0037749633,0.91642725,0.027962435,0.42525768,0.5747423
0.022995455,-0.0037043542,0.9161365,0.0280206,0.42550868,0.5744913
0.023420153,-0.0035668388,0.91560775,0.028177489,0.42586783,0.57413214
0.022615982,-0.0033109784,0.91806775,0.027414057,0.42482346,0.5751766
0.022564767,-0.0030654222,0.91920495,0.027020315,0.42449367,0.5755063
0.023270546,-0.0028399006,0.91843045,0.027229704,0.42504027,0.57495975
0.022786347,-0.0025627092,0.92016345,0.02672132,0.42433205,0.575668
0.023068396,-0.0025266707,0.91974074,0.026838487,0.42455736,0.5754427
0.023062749,-0.0026585534,0.9192087,0.027025666,0.42468622,0.5753138
0.022763832,-0.0029127225,0.9190094,0.02711116,0.42459077,0.5754093
0.02231492,-0.0034025684,0.9184787,0.027296918,0.4245373,0.57546276
0.02246259,-0.0033041239,0.91872096,0.027177295,0.42456964,0.57543033
0.022977723,-0.0027542412,0.91942406,0.026913036,0.42464095,0.57535905
0.02286653,-0.002981998,0.91869676,0.027179684,0.42478526,0.5752148
0.022629825,-0.0032244772,0.91844124,0.0272753,0.42473847,0.57526153
0.022839485,-0.0028211325,0.9194296,0.026928006,0.42456996,0.5754301
0.022748707,-0.002850227,0.9194325,0.02694263,0.42452648,0.5754735
0.022581233,-0.0027654842,0.92009926,0.026735237,0.42426285,0.5757372
0.0225808,-0.0026343465,0.92057693,0.026577257,0.42413327,0.57586676
0.022374837,-0.002786234,0.9205109,0.0266104,0.42405984,0.57594013
0.024543611,-0.0017795116,0.91915697,0.026922135,0.42542568,0.5745743
0.023172466,-0.0027254894,0.9182045,0.027410038,0.42499432,0.5750057
0.022948546,-0.00287804,0.91858137,0.02726638,0.42474243,0.5752576
0.022548018,-0.0032123923,0.91845334,0.027317539,0.4246049,0.5753951
0.02227412,-0.0035785213,0.9180428,0.027440341,0.42462176,0.5753783
0.022395296,-0.0034466535,0.91841596,0.027279278,0.42462105,0.57537895
0.021975024,-0.0036634803,0.9186263,0.02722353,0.42441356,0.57558644
0.02283278,-0.0031638667,0.9186276,0.027144294,0.42484248,0.5751575
0.023719309,-0.0025580078,0.9184126,0.027194247,0.4253129,0.57468706
0.023027448,-0.0030936152,0.91775125,0.027503736,0.42512983,0.57487017
0.023132829,-0.0020390153,0.9212156,0.026360169,0.4241964,0.57580364
0.023409767,-0.001967907,0.9206649,0.026545262,0.42444327,0.57555676
0.022860838,-0.0023720413,0.9203704,0.026693957,0.4242326,0.57576746
0.022397814,-0.0029574186,0.9196077,0.02695095,0.42421746,0.57578254
0.023850365,-0.002479583,0.91824365,0.027287753,0.4252768,0.57472324
0.023061825,-0.0031618848,0.9172283,0.027723076,0.42518046,0.5748195
0.022781832,-0.0039098114,0.91562784,0.028252631,0.42548355,0.5745165
0.022665514,-0.0039333776,0.916025,0.028091975,0.4253579,0.5746421
0.02287112,-0.0033392012,0.91766036,0.027510514,0.42504284,0.5749572
0.023599414,-0.0029790103,0.91716886,0.027639853,0.42552537,0.5744747
0.022827296,-0.0032065287,0.9178187,0.027501712,0.4249749,0.57502514
0.023065506,-0.002811715,0.91883206,0.027132625,0.42479682,0.5752032
0.022911025,-0.0029461086,0.9186188,0.027222762,0.42478245,0.57521755
0.023093475,-0.0031296015,0.9176665,0.027522068,0.42512208,0.5748779
0.022545753,-0.0028753057,0.9196727,0.026897676,0.42432404,0.57567596
0.021935178,-0.0033379868,0.9196078,0.026935583,0.42407587,0.57592416
0.022211505,-0.003356345,0.9192424,0.02699926,0.42434224,0.5756577
0.022619305,-0.003197208,0.9188773,0.027087776,0.4246665,0.57533354
0.02318093,-0.0027316287,0.9190773,0.027002037,0.4248765,0.57512355
0.023308499,-0.002213955,0.92025906,0.026645282,0.42458522,0.5754148
0.022678806,-0.0027287155,0.91975415,0.026869819,0.42439133,0.5756087
0.023218555,-0.0023080409,0.92017704,0.026686024,0.4245042,0.57549584
0.022595001,-0.0026719272,0.9201117,0.02676757,0.42422116,0.57577884
0.022399647,-0.0027559549,0.9204656,0.026643805,0.42403138,0.5759687
0.025414465,-0.0011134893,0.9193267,0.026840938,0.42574096,0.5742591
0.023810176,-0.002591893,0.9168046,0.027904166,0.42560086,0.5743992
0.023888556,-0.0031260476,0.9153198,0.02837,0.4259721,0.5740279
0.023256717,-0.0037771612,0.91459423,0.028651904,0.4258789,0.5741211
0.02304907,-0.0038999915,0.9149455,0.028503193,0.4257132,0.57428676
0.023267148,-0.0036600456,0.9154188,0.028301246,0.42572725,0.57427275
0.022903932,-0.0041519552,0.91455036,0.028617734,0.425831,0.57416904
0.023609025,-0.00359381,0.9150629,0.028370006,0.4260466,0.5739534
0.023468984,-0.0039137155,0.9140773,0.028742116,0.42626262,0.5737374
0.024121774,-0.0038242564,0.9130099,0.029070457,0.42685214,0.57314783
0.023021383,-0.003066279,0.91771054,0.027553825,0.42504105,0.5749589
0.02292685,-0.0031922907,0.91772044,0.027534096,0.4249861,0.5750139
0.022594599,-0.0031921044,0.91851723,0.027278464,0.42463225,0.5753678
0.023065506,-0.0030696765,0.9180303,0.027393712,0.42500186,0.57499814
0.023070274,-0.0031786114,0.91752803,0.02757194,0.42515078,0.5748492
0.024060471,-0.0025539994,0.9174217,0.027553618,0.425629,0.57437104
0.023753641,-0.0030080825,0.9161834,0.0280386,0.42578915,0.5742108
0.022657616,-0.003532827,0.9169017,0.02785943,0.42505747,0.5749426
0.023571832,-0.0030787587,0.9168091,0.027791252,0.42551908,0.57448095
0.023566855,-0.0027434155,0.91765094,0.027539467,0.42529187,0.57470816
0.022632567,-0.0035143793,0.91706115,0.02780134,0.425008,0.574992
0.022780178,-0.0036024377,0.9168238,0.027827129,0.42516258,0.57483745
0.02317263,-0.0035746098,0.9161008,0.02803594,0.42557752,0.5744225
0.02302186,-0.00357382,0.9163472,0.027967134,0.42545652,0.5745435
0.023604257,-0.0032390505,0.91623366,0.027965387,0.4257603,0.5742397
0.022677047,-0.0032194257,0.9181038,0.027418919,0.42481375,0.57518625
0.023002518,-0.0028817058,0.9187758,0.027151676,0.424778,0.575222
0.02243161,-0.0035424158,0.91771716,0.027543405,0.42481533,0.5751847
0.022628872,-0.0030920804,0.9190517,0.02705972,0.4245606,0.5754394
0.02308674,-0.0024902746,0.9199814,0.026736282,0.4245329,0.5754671
0.022734402,-0.0029740632,0.9189235,0.02712556,0.42464685,0.5753532
0.022842778,-0.0030211955,0.9186634,0.027192097,0.42476043,0.5752396
0.023236824,-0.002682425,0.9189083,0.027091565,0.4248748,0.5751252
0.023328139,-0.0026624799,0.918601,0.027209237,0.4249827,0.57501733
0.0228153,-0.0027059987,0.919502,0.026956774,0.42447665,0.5755234
0.022752551,-0.0030230358,0.9187261,0.027200297,0.4246541,0.57534593
0.023053063,-0.0027658269,0.9189979,0.027084276,0.4247283,0.5752717
0.022614552,-0.0033624098,0.9178664,0.027492441,0.42484027,0.5751597
0.023131592,-0.0031437427,0.91766995,0.027503302,0.42514384,0.57485616
0.02325022,-0.002845019,0.9182453,0.027321773,0.4250464,0.5749536
